Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
25Ey0ERtlkIRATBdyidFci,"38C3okxv3fyyOIQUVPCdGX","Yes I Can, No You Can't","The Gigolo","Lee Morgan",1966-01-01,443253,26,spotify:user:seankmchenry,2023-01-03T14:27:36Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.578,0.725,10,-10.482,1,0.0325,0.5,0.00377,0.0661,0.697,122.531,4
50nlIyBarA8spW1GUDY7jS,"38C3okxv3fyyOIQUVPCdGX","Trapped","The Gigolo","Lee Morgan",1966-01-01,359200,10,spotify:user:seankmchenry,2023-01-03T14:27:36Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.598,0.753,10,-10.285,0,0.0485,0.531,0.00189,0.112,0.743,112.696,4
1cRkhIEn9RQiuzvSTB2p2A,"38C3okxv3fyyOIQUVPCdGX","Speedball","The Gigolo","Lee Morgan",1966-01-01,330560,16,spotify:user:seankmchenry,2023-01-03T14:27:36Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.611,0.633,1,-10.651,1,0.0323,0.535,0.0236,0.131,0.851,99.018,4
1KHBXcAbYTYrUYczFOPHEp,"38C3okxv3fyyOIQUVPCdGX","The Gigolo","The Gigolo","Lee Morgan",1966-01-01,662306,16,spotify:user:seankmchenry,2023-01-03T14:27:36Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.36,0.695,8,-10.855,0,0.0424,0.594,0.105,0.123,0.667,167.152,3
7rgaeO3fJnPEFFSAkBnWzN,"38C3okxv3fyyOIQUVPCdGX","You Go To My Head","The Gigolo","Lee Morgan",1966-01-01,442000,18,spotify:user:seankmchenry,2023-01-03T14:27:36Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.55,0.432,8,-12.599,1,0.0292,0.65,0.0312,0.0713,0.654,114.327,4
7CTiJdCGPj8T2SiqFEqElJ,"38C3okxv3fyyOIQUVPCdGX","Capra Black","Lee Morgan","Lee Morgan",1972-01-01,932426,6,spotify:user:seankmchenry,2023-01-03T14:27:15Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.409,0.45,11,-11.219,1,0.0343,0.647,0.801,0.39,0.367,102.657,4
4Q4SDTxjS0nq26nZErmNCo,"38C3okxv3fyyOIQUVPCdGX","In What Direction Are You Headed?","Lee Morgan","Lee Morgan",1972-01-01,991693,5,spotify:user:seankmchenry,2023-01-03T14:27:15Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.485,0.48,2,-11.802,0,0.0326,0.757,0.935,0.104,0.668,145.325,4
5jdYpP1auacgmpPp4yOy47,"38C3okxv3fyyOIQUVPCdGX","Angela","Lee Morgan","Lee Morgan",1972-01-01,388146,4,spotify:user:seankmchenry,2023-01-03T14:27:15Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.358,0.579,10,-11.441,1,0.034,0.418,0.935,0.0991,0.533,100.397,4
2npJVzVXYXV0wnGSMXN7ez,"38C3okxv3fyyOIQUVPCdGX","Croquet Ballet","Lee Morgan","Lee Morgan",1972-01-01,653146,3,spotify:user:seankmchenry,2023-01-03T14:27:15Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.437,0.531,2,-10.267,0,0.0473,0.524,0.0642,0.278,0.595,155.633,3
10gYUqyXnhf1RdS5K8FDfE,"38C3okxv3fyyOIQUVPCdGX","Inner Passions Out","Lee Morgan","Lee Morgan",1972-01-01,1061906,1,spotify:user:seankmchenry,2023-01-03T14:27:15Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.371,0.461,2,-12.763,1,0.0432,0.659,0.757,0.467,0.152,117.251,4
51Zt28w2hCBqv8GLdUbdri,"1lB7KbOr9xdPK1CuasxmeA","Saturday And Sunday - Rudy Van Gelder 24-Bit Remastering/2008","One Step Beyond (Remastered)","Jackie McLean",2009-01-01,631053,9,spotify:user:seankmchenry,2023-01-03T14:25:09Z,"avant-garde jazz,bebop,contemporary post-bop,free jazz,hard bop,jazz,jazz saxophone",0.411,0.556,0,-10.331,0,0.0606,0.409,0.0326,0.112,0.367,94.556,4
0lrjUCv0wibJiJnbTpw1W3,"1lB7KbOr9xdPK1CuasxmeA","Frankenstein - Rudy Van Gelder 24-Bit Remastering/2008","One Step Beyond (Remastered)","Jackie McLean",2009-01-01,506733,7,spotify:user:seankmchenry,2023-01-03T14:25:09Z,"avant-garde jazz,bebop,contemporary post-bop,free jazz,hard bop,jazz,jazz saxophone",0.489,0.595,4,-8.937,0,0.0538,0.577,0.00165,0.121,0.295,133.279,3
69eVL7mKZvsqcgSESdQTop,"1lB7KbOr9xdPK1CuasxmeA","Blue Rondo - Rudy Van Gelder 24-Bit Remastering/2008","One Step Beyond (Remastered)","Jackie McLean",2009-01-01,292493,10,spotify:user:seankmchenry,2023-01-03T14:25:09Z,"avant-garde jazz,bebop,contemporary post-bop,free jazz,hard bop,jazz,jazz saxophone",0.469,0.61,0,-9.492,0,0.0417,0.695,0.00444,0.209,0.741,124.485,4
6mqv09iUHp2klMTtqfkCpQ,"1lB7KbOr9xdPK1CuasxmeA","Ghost Town - Rudy Van Gelder 24-Bit Remastering/2008","One Step Beyond (Remastered)","Jackie McLean",2009-01-01,879013,6,spotify:user:seankmchenry,2023-01-03T14:25:09Z,"avant-garde jazz,bebop,contemporary post-bop,free jazz,hard bop,jazz,jazz saxophone",0.45,0.332,1,-11.277,1,0.0424,0.849,0.0217,0.114,0.188,98.109,4
3DXTLdW3iLRRV3qsB4GuRQ,"1lB7KbOr9xdPK1CuasxmeA","Saturday And Sunday - Alternate Take/Rudy Van Gelder 24-Bit Remastering/2008","One Step Beyond (Remastered)","Jackie McLean",2009-01-01,512200,3,spotify:user:seankmchenry,2023-01-03T14:25:09Z,"avant-garde jazz,bebop,contemporary post-bop,free jazz,hard bop,jazz,jazz saxophone",0.439,0.573,1,-10.085,1,0.0487,0.573,0.00567,0.142,0.412,148.525,4
2rvlhyiUa082VRTa3OFgmh,"0fTHKjepK5HWOrb2rkS5Em","Arietis - Remastered 2003/Rudy Van Gelder Edition","Ready For Freddie (Rudy Van Gelder Remaster Edition)","Freddie Hubbard",1961,401560,33,spotify:user:seankmchenry,2023-01-03T14:28:13Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.462,0.475,2,-11.381,0,0.0366,0.538,0.000103,0.156,0.619,122.005,4
4N6JkrGD78eLooaTDmwo9s,"0fTHKjepK5HWOrb2rkS5Em","Weaver Of Dreams - Remastered 2003/Rudy Van Gelder Edition","Ready For Freddie (Rudy Van Gelder Remaster Edition)","Freddie Hubbard",1961,395560,47,spotify:user:seankmchenry,2023-01-03T14:28:13Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.418,0.227,4,-15.537,0,0.0379,0.912,0.822,0.0956,0.21,103.586,4
213ciBOxkhpZIhSoKmsPhn,"0fTHKjepK5HWOrb2rkS5Em","Marie Antoinette - Remastered 2003/Rudy Van Gelder Edition","Ready For Freddie (Rudy Van Gelder Remaster Edition)","Freddie Hubbard",1961,398773,23,spotify:user:seankmchenry,2023-01-03T14:28:13Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.397,0.456,7,-10.809,1,0.0785,0.641,0.000117,0.372,0.444,184.678,4
4CHHDkxbgYOE0wP71CL0AT,"0fTHKjepK5HWOrb2rkS5Em","Birdlike - Remastered 2004/Rudy Van Gelder Edition","Ready For Freddie (Rudy Van Gelder Remaster Edition)","Freddie Hubbard",1961,615426,26,spotify:user:seankmchenry,2023-01-03T14:28:13Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.451,0.6,5,-9.788,1,0.0561,0.288,0,0.119,0.77,123.708,4
