Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1eDoSWD7lXxrLAGGpLDjx4,"Tracing Nature","An Ever Changing View","Matthew Halsall",2023-09-08,71080,36,seankmchenry,2024-06-26T19:04:36Z,"indie jazz,jazz brass,nu jazz,uk contemporary jazz","Gondwana Records",0.222,0.0595,1,-29.753,1,0.0426,0.951,0.971,0.355,0.0383,129.807,4
7oOdeQyktbC4mCnuSYTFDk,"An Ever Changing View","An Ever Changing View","Matthew Halsall",2023-09-08,392146,46,seankmchenry,2024-06-26T19:04:36Z,"indie jazz,jazz brass,nu jazz,uk contemporary jazz","Gondwana Records",0.705,0.413,0,-12.017,1,0.0311,0.859,0.909,0.0973,0.498,134.981,4
6a7fi7KqcZw6xtwLriecd4,"Cherry Blossom","Fletcher Moss Park","Matthew Halsall",2012-10-15,440519,37,seankmchenry,2024-06-26T19:04:49Z,"indie jazz,jazz brass,nu jazz,uk contemporary jazz","Gondwana Records",0.346,0.251,11,-13.618,0,0.0353,0.89,0.841,0.122,0.147,151.699,3
5njhXZhWNjrSsVAtoV1MHm,"Sailing Out To Sea","Fletcher Moss Park","Matthew Halsall",2012-10-15,91055,29,seankmchenry,2024-06-26T19:04:49Z,"indie jazz,jazz brass,nu jazz,uk contemporary jazz","Gondwana Records",0.179,0.247,5,-13.12,1,0.0341,0.576,0.115,0.172,0.0385,81.03,4
0YeP4gSyzoUA8O09B0MBaF,"The Sun In September","Fletcher Moss Park","Matthew Halsall",2012-10-15,470893,40,seankmchenry,2024-06-26T19:04:49Z,"indie jazz,jazz brass,nu jazz,uk contemporary jazz","Gondwana Records",0.283,0.24,1,-12.917,1,0.0423,0.871,0.97,0.112,0.263,181.88,3
6qGx9ikckPPtDbD9L3gdmq,"Capture This","Tutto Passa","Gianni Brezzo",2022-05-06,225500,29,seankmchenry,2024-06-26T19:01:38Z,"jazztronica","Jakarta",0.563,0.533,4,-10.976,0,0.0325,0.319,0.173,0.117,0.701,82.031,4
0Fd6VzCMBYsNWBsJnF7snn,"Torino","Tutto Passa","Gianni Brezzo",2022-05-06,222937,37,seankmchenry,2024-06-26T19:01:38Z,"jazztronica","Jakarta",0.578,0.513,0,-9.871,0,0.0277,0.351,0.924,0.172,0.729,149.911,4
3Q1tJfIEznF0YT6uvD0A42,"Rising of My Mind","Tutto Passa","Gianni Brezzo",2022-05-06,269124,11,seankmchenry,2024-06-26T19:03:58Z,"jazztronica","Jakarta",0.324,0.438,6,-12.309,0,0.0321,0.225,0.762,0.104,0.182,82.904,4
2vcaJqoI5sjU3vZKoknqop,"Polardrømme","Øjeblikke Vi Husker","Hvalfugl",2020-09-04,214733,0,seankmchenry,2024-06-26T19:03:21Z,"danish jazz,modern jazz trio","Hvalfugl Music",0.508,0.0598,9,-21.943,0,0.0373,0.97,0.886,0.0629,0.0328,104.469,4
0eiYFrDzZOG7HEPQwO1R4j,"Sommereufori","Øjeblikke Vi Husker","Hvalfugl",2020-09-04,261026,0,seankmchenry,2024-06-26T19:03:21Z,"danish jazz,modern jazz trio","Hvalfugl Music",0.506,0.237,7,-15.889,1,0.0363,0.945,0.856,0.0972,0.168,82.335,1
581BZuecQmsi4z6mWjl7RY,"Lysning","Øjeblikke Vi Husker","Hvalfugl",2020-09-04,63240,0,seankmchenry,2024-06-26T19:03:21Z,"danish jazz,modern jazz trio","Hvalfugl Music",0.239,0.0263,3,-15.882,1,0.0366,0.995,0.708,0.14,0.12,84.682,5
7dVFx2ss4Wvp5EMLRmsBWF,"Outta Nowhere","Ford Pliner","Bentley",2020-07-22,248857,3,seankmchenry,2024-06-27T12:19:48Z,"","Foshe Records",0.544,0.433,8,-12.764,1,0.0401,0.269,0.779,0.151,0.406,108.982,4
4JUFAxJtNKfV1eY8lTHvum,"Boogie Board","Ford Pliner","Bentley",2020-07-22,264372,3,seankmchenry,2024-06-27T12:19:48Z,"","Foshe Records",0.588,0.335,0,-10.989,0,0.0337,0.334,0.902,0.114,0.513,101.066,4
4ioLlBwBPMfYt8YWD7XUMp,"Sauce","Ford Pliner","Bentley",2020-07-22,619211,3,seankmchenry,2024-06-27T12:19:48Z,"","Foshe Records",0.476,0.585,5,-10.482,0,0.0444,0.191,0.806,0.323,0.474,113.862,1
6xT4G0CmWSmAlRmtBCep8b,"Holding On","New Magic","Gianni Brezzo",2019-06-28,134634,7,seankmchenry,2024-06-26T19:01:28Z,"jazztronica","TUTTO PASSA Records",0.301,0.319,9,-10.749,0,0.0327,0.791,0.878,0.0736,0.0733,141.599,4
