Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6GAn3ar2CL8wUg0MbICZvp,"67NN7SgdxKesGnxZOB8YeX","Don't Disturb This Groove","Don't Disturb This Groove","The System",1987-01-01,317874,54,spotify:user:seankmchenry,2022-11-06T14:29:53Z,"funk,post-disco,quiet storm,urban contemporary",0.521,0.878,9,-8.597,1,0.0542,0.286,0.0000068,0.136,0.841,159.625,4
3IqSDclRxbmP6gzY9nJeDZ,"70BRQ5tBte6kVqHviL3srE","What Can I Do","'Bout Dat Time","Pieces Of A Dream",1989-08-16,330266,13,spotify:user:seankmchenry,2022-11-06T14:30:16Z,"instrumental funk,smooth jazz",0.743,0.586,6,-13.26,1,0.0448,0.109,0.00236,0.0872,0.882,93.878,4
3r0Rhl5Zdo9YjACZNsaBvN,"1fvz0vd4P0LNMkAysF1ivk","Nite and Day","In Effect Mode","Al B. Sure!",1988-04-26,238013,57,spotify:user:seankmchenry,2022-11-06T14:30:25Z,"contemporary r&b,funk,new jack swing,post-disco,quiet storm,r&b,urban contemporary",0.655,0.477,1,-9.616,0,0.0421,0.029,0.000221,0.0518,0.642,92.097,4
0yfNXxlyXdmP0ue1iJijx1,"0lZoBs4Pzo7R89JM9lxwoT","Come Undone","Duran Duran","Duran Duran",1993-02-15,256519,70,spotify:user:seankmchenry,2022-11-06T14:31:29Z,"dance rock,new romantic,new wave,new wave pop,pop rock,rock,synthpop",0.542,0.793,8,-8.203,1,0.053,0.0423,0.00000395,0.0814,0.708,173.931,4
5QwxrHnpZGLfs0Maeoz8BN,"47zz7sob9NUcODy0BTDvKx","Maureen","Promise","Sade",1985-11-04,260066,49,spotify:user:seankmchenry,2022-11-06T14:37:46Z,"british soul,sophisti-pop",0.666,0.685,1,-9.234,1,0.0318,0.376,0.0532,0.0707,0.933,96.487,4
3MVm36ouM56jbP5rORxbVy,"3DmG65yHQsMms7WAvrZOdt","Sadeness - Pt. 1 / Radio Edit","Sadeness (Part I)","Enigma",1990-01-01,260399,58,spotify:user:seankmchenry,2022-11-06T14:38:47Z,"downtempo,new age",0.607,0.478,7,-13.677,1,0.0354,0.0866,0.106,0.0983,0.51,95.721,4
33I3oS8UkebR3KRvqxD9X0,"3aTuTR5Nf6pVW3837q2ZL7","Close To You","Bonafide","Maxi Priest",1990-01-01,325800,56,spotify:user:seankmchenry,2022-11-06T16:48:57Z,"lovers rock,reggae,reggae fusion,roots reggae",0.781,0.478,6,-15.427,1,0.0561,0.0849,0.00000393,0.0877,0.962,95.992,4
69mFxANpGyq9s69LqH3d9G,"0Ttph0pOZiPNTD3y2wUUb6","I Love Your Smile","Inner Child","Shanice",1991-11-19,257973,62,spotify:user:seankmchenry,2022-11-06T16:49:09Z,"contemporary r&b,hip pop,new jack swing,quiet storm,r&b,urban contemporary",0.722,0.842,5,-8.745,0,0.126,0.00955,0.00000845,0.178,0.751,93.954,4
2vShiMDl3yNcSqPeiNW8rm,"3aAUu37qACrKr6h9eQyNVj","I Don't Love You Anymore","Reel To Reel: 1978 - 1992","The Reels",2007-09-15,245186,0,spotify:user:seankmchenry,2022-11-06T16:50:14Z,"australian alternative rock,australian rock",0.711,0.776,1,-6.712,1,0.0538,0.0794,0.0383,0.0338,0.969,102.092,4
7JmPqImeW3kLoYVNBA9v11,"1mFX1QlezK1lNPKQJkhwWb","If It Isn't Love","Heart Break","New Edition",1988-01-01,309840,59,spotify:user:seankmchenry,2022-11-06T16:53:27Z,"boy band,contemporary r&b,new jack swing,quiet storm,r&b,urban contemporary",0.588,0.856,5,-12.418,0,0.0378,0.0915,0.0000262,0.365,0.781,97.968,4
