Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4ANsDU0Gq9SAdjg7NJmigI,"5AIM76YeoaHOzyUHbg4UKl","If You Don't Know Why","Opening the Door","Jack J",2022-04-05,357036,40,spotify:user:seankmchenry,2022-07-08T12:49:02Z,"canadian house,float house",0.829,0.627,4,-9.832,0,0.0363,0.0889,0.111,0.0704,0.948,131.987,4
4mt18mSjIRBRsItG0spHZD,"5AIM76YeoaHOzyUHbg4UKl","Opening The Door","Opening the Door","Jack J",2022-04-05,232899,28,spotify:user:seankmchenry,2022-07-08T12:49:02Z,"canadian house,float house",0.633,0.496,1,-11.035,0,0.0802,0.0898,0.798,0.488,0.58,77.996,4
4ag2fSsKKuUXtidY5KKLRc,"5AIM76YeoaHOzyUHbg4UKl","The Only Way","Opening the Door","Jack J",2022-04-05,268511,27,spotify:user:seankmchenry,2022-07-08T12:49:02Z,"canadian house,float house",0.933,0.716,5,-9.092,0,0.12,0.0747,0.575,0.153,0.707,116.005,4
06BBBpEtdwJSgPakRdrEzf,"5AIM76YeoaHOzyUHbg4UKl","Only You Know Why","Opening the Door","Jack J",2022-04-05,256821,34,spotify:user:seankmchenry,2022-07-08T12:49:02Z,"canadian house,float house",0.81,0.516,7,-9.835,1,0.0336,0.0661,0.113,0.144,0.712,127.969,4
039Eoh0W7bSuIuesoy0Y2V,"5AIM76YeoaHOzyUHbg4UKl","Clues (Part I)","Opening the Door","Jack J",2022-04-05,259001,25,spotify:user:seankmchenry,2022-07-08T12:49:02Z,"canadian house,float house",0.138,0.16,0,-17.901,0,0.0346,0.981,0.944,0.11,0.059,76.643,5
160vnRhXjEefdlPXo42sx7,"5AIM76YeoaHOzyUHbg4UKl","Clues (Part II)","Opening the Door","Jack J",2022-04-05,303256,29,spotify:user:seankmchenry,2022-07-08T12:49:02Z,"canadian house,float house",0.794,0.437,10,-11.085,0,0.151,0.131,0.875,0.0331,0.91,87.02,4
5MSnIl7bpMLOf3B5viKmCY,"5AIM76YeoaHOzyUHbg4UKl","I Saw Fire","Opening the Door","Jack J",2022-04-05,247988,32,spotify:user:seankmchenry,2022-07-08T12:49:02Z,"canadian house,float house",0.873,0.549,8,-9.76,0,0.0488,0.0379,0.805,0.0948,0.746,130.29,4
5XNKohpFmOkTRd6S5tjJb1,"5AIM76YeoaHOzyUHbg4UKl","Closing The Door","Opening the Door","Jack J",2022-04-05,349840,23,spotify:user:seankmchenry,2022-07-08T12:49:02Z,"canadian house,float house",0.395,0.344,0,-15.543,0,0.0304,0.889,0.878,0.174,0.524,100.018,4
6MswOHE8jaGmtfvafSxIyy,"0gsJgj7k1eMp55jA0Mpyxb","Dancer","Dancer","Local Artist",2019-12-13,386461,13,spotify:user:seankmchenry,2022-07-08T13:01:46Z,"canadian house,float house",0.777,0.786,10,-9.622,0,0.0424,0.0229,0.776,0.0475,0.892,121.001,4
20dm129mpjinJJREOBHxg3,"0gsJgj7k1eMp55jA0Mpyxb","Dreamer","Dancer","Local Artist",2019-12-13,446424,10,spotify:user:seankmchenry,2022-07-08T13:01:46Z,"canadian house,float house",0.79,0.787,5,-7.532,0,0.054,0.311,0.902,0.0855,0.873,125.029,4
753xuswQYAHE4e0ffdGYnR,"0gsJgj7k1eMp55jA0Mpyxb","Touch Tone","Touch Tone","Local Artist",2019-10-11,406240,7,spotify:user:seankmchenry,2022-07-08T12:55:16Z,"canadian house,float house",0.874,0.659,7,-6.259,1,0.0561,0.00447,0.867,0.0511,0.76,122.008,4
0zfEIfI1uIwInvPPfDIrpy,"0gsJgj7k1eMp55jA0Mpyxb","Boys Cry","Touch Tone","Local Artist",2019-10-11,335400,17,spotify:user:seankmchenry,2022-07-08T12:55:16Z,"canadian house,float house",0.807,0.921,6,-6.363,0,0.0445,0.00376,0.822,0.0707,0.941,118.008,4
