Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5mwSeZnl381WJZWJj1Ox7G,"0WmzT6tMLhdST5BfYagbha","Aquarius","Electronic Hair Pieces","Mort Garson",1969-01-01,138453,17,spotify:user:seankmchenry,2023-01-04T18:04:04Z,"canadian psychedelic,moog,space age pop,synthesizer",0.47,0.799,2,-8.345,0,0.0517,0.471,0.877,0.104,0.973,197.203,4
5u2dRpKrQ382AoBHoPtU3Q,"0WmzT6tMLhdST5BfYagbha","Frank Mills","Electronic Hair Pieces","Mort Garson",1969-01-01,112186,16,spotify:user:seankmchenry,2023-01-04T18:04:04Z,"canadian psychedelic,moog,space age pop,synthesizer",0.593,0.434,0,-7.111,1,0.0316,0.363,0.0000306,0.119,0.338,108.966,4
6Wdb9kKcBKdCJjGpLKLPNE,"0WmzT6tMLhdST5BfYagbha","Be In (Hare Krishna)","Electronic Hair Pieces","Mort Garson",1969-01-01,206466,16,spotify:user:seankmchenry,2023-01-04T18:04:04Z,"canadian psychedelic,moog,space age pop,synthesizer",0.623,0.908,10,-8.241,0,0.0377,0.341,0.206,0.168,0.879,99.951,4
7tJZYbWPYe7O2ubMDYawac,"0WmzT6tMLhdST5BfYagbha","Good Morning Starshine","Electronic Hair Pieces","Mort Garson",1969-01-01,165173,17,spotify:user:seankmchenry,2023-01-04T18:04:04Z,"canadian psychedelic,moog,space age pop,synthesizer",0.82,0.425,7,-9.191,1,0.044,0.879,0.838,0.107,0.964,133.307,4
1wKAUtFrv4YQfgdJ8MwQK5,"0WmzT6tMLhdST5BfYagbha","Three-Five-Zero-Zero","Electronic Hair Pieces","Mort Garson",1969-01-01,223826,11,spotify:user:seankmchenry,2023-01-04T18:04:04Z,"canadian psychedelic,moog,space age pop,synthesizer",0.547,0.979,4,-6.257,0,0.0434,0.301,0.862,0.283,0.742,97.234,4
1j8vnSb1pjiDmYmuZXTB6N,"0WmzT6tMLhdST5BfYagbha","Hair","Electronic Hair Pieces","Mort Garson",1969-01-01,140906,15,spotify:user:seankmchenry,2023-01-04T18:04:04Z,"canadian psychedelic,moog,space age pop,synthesizer",0.668,0.912,10,-5.827,1,0.0913,0.931,0.0542,0.0692,0.824,130.408,4
3gARlH61173AhWkwROZ34U,"0WmzT6tMLhdST5BfYagbha","Easy To Be Hard","Electronic Hair Pieces","Mort Garson",1969-01-01,166493,11,spotify:user:seankmchenry,2023-01-04T18:04:04Z,"canadian psychedelic,moog,space age pop,synthesizer",0.626,0.48,7,-11.454,0,0.041,0.768,0.853,0.123,0.527,100.005,3
3pTMkRv2Y74VMf7CGskbDg,"0WmzT6tMLhdST5BfYagbha","Where Do I Go","Electronic Hair Pieces","Mort Garson",1969-01-01,166720,15,spotify:user:seankmchenry,2023-01-04T18:04:04Z,"canadian psychedelic,moog,space age pop,synthesizer",0.753,0.627,0,-11.512,1,0.0525,0.543,0.892,0.115,0.783,105.983,4
5jVpquQzAudkIKHveznVMh,"0WmzT6tMLhdST5BfYagbha","Walking In Space","Electronic Hair Pieces","Mort Garson",1969-01-01,201946,12,spotify:user:seankmchenry,2023-01-04T18:04:04Z,"canadian psychedelic,moog,space age pop,synthesizer",0.377,0.446,8,-8.347,1,0.0421,0.929,0.842,0.218,0.104,121.494,4
5G7eMQn03ikTyrIM7PWL7t,"0WmzT6tMLhdST5BfYagbha","Let The Sunshine In","Electronic Hair Pieces","Mort Garson",1969-01-01,184360,15,spotify:user:seankmchenry,2023-01-04T18:04:04Z,"canadian psychedelic,moog,space age pop,synthesizer",0.57,0.798,10,-10.479,0,0.0666,0.00421,0.932,0.044,0.211,114.316,4
01RQ2smXlNkHMAX5qLAF8M,"5kn8t9YN76msojqGv6hgIz,0WmzT6tMLhdST5BfYagbha","Tarot","The Unexplained","Ataraxia,Mort Garson",1975-10-01,259959,31,spotify:user:seankmchenry,2023-01-04T18:04:06Z,"canadian psychedelic,moog,space age pop,synthesizer",0.327,0.621,0,-15.294,1,0.0937,0.0948,0.182,0.171,0.129,172.43,4
1CDmgM1jMYAWm40ExVjmkJ,"5kn8t9YN76msojqGv6hgIz,0WmzT6tMLhdST5BfYagbha","Sorcerer","The Unexplained","Ataraxia,Mort Garson",1975-10-01,234160,22,spotify:user:seankmchenry,2023-01-04T18:04:06Z,"canadian psychedelic,moog,space age pop,synthesizer",0.204,0.225,6,-18.56,1,0.0421,0.221,0.255,0.102,0.0363,141.905,3
2GSXCJIdyPZJoRynXpwkvn,"5kn8t9YN76msojqGv6hgIz,0WmzT6tMLhdST5BfYagbha","Deja Vu","The Unexplained","Ataraxia,Mort Garson",1975-10-01,199533,38,spotify:user:seankmchenry,2023-01-04T18:04:06Z,"canadian psychedelic,moog,space age pop,synthesizer",0.399,0.497,11,-16.261,0,0.034,0.0511,0.955,0.227,0.201,99.948,4
6u063QrETkyHXb9qWALHZW,"5kn8t9YN76msojqGv6hgIz,0WmzT6tMLhdST5BfYagbha","Astral Projection","The Unexplained","Ataraxia,Mort Garson",1975-10-01,313266,24,spotify:user:seankmchenry,2023-01-04T18:04:06Z,"canadian psychedelic,moog,space age pop,synthesizer",0.243,0.66,5,-12.354,1,0.0589,0.207,0.903,0.252,0.738,171.57,4
7zm9RkBPu2MnS6LCO0aOot,"5kn8t9YN76msojqGv6hgIz,0WmzT6tMLhdST5BfYagbha","Seance","The Unexplained","Ataraxia,Mort Garson",1975-10-01,258693,20,spotify:user:seankmchenry,2023-01-04T18:04:06Z,"canadian psychedelic,moog,space age pop,synthesizer",0.202,0.525,9,-23.033,1,0.214,0.451,0.921,0.0812,0.0258,165.513,4
62VhGJSrpOIbFeStL0FdgL,"5kn8t9YN76msojqGv6hgIz,0WmzT6tMLhdST5BfYagbha","I Ching","The Unexplained","Ataraxia,Mort Garson",1975-10-01,233626,22,spotify:user:seankmchenry,2023-01-04T18:04:06Z,"canadian psychedelic,moog,space age pop,synthesizer",0.557,0.493,9,-16.527,0,0.0387,0.437,0.844,0.153,0.798,121.686,4
5DZ3aI0teklqeHCWz95Ed0,"5kn8t9YN76msojqGv6hgIz,0WmzT6tMLhdST5BfYagbha","Cabala","The Unexplained","Ataraxia,Mort Garson",1975-10-01,208560,21,spotify:user:seankmchenry,2023-01-04T18:04:06Z,"canadian psychedelic,moog,space age pop,synthesizer",0.175,0.378,2,-16.208,1,0.0726,0.363,0.0597,0.0741,0.0775,79.592,3
015Sda0FAkjTY5p9ftx7qo,"5kn8t9YN76msojqGv6hgIz,0WmzT6tMLhdST5BfYagbha","The Unexplained","The Unexplained","Ataraxia,Mort Garson",1975-10-01,188306,32,spotify:user:seankmchenry,2023-01-04T18:04:06Z,"canadian psychedelic,moog,space age pop,synthesizer",0.518,0.786,11,-14.936,0,0.0385,0.000291,0.846,0.354,0.682,132.813,4
64tpO1BndoD8d13b5213X6,"5kn8t9YN76msojqGv6hgIz,0WmzT6tMLhdST5BfYagbha","Wind Dance","The Unexplained","Ataraxia,Mort Garson",1975-10-01,204866,19,spotify:user:seankmchenry,2023-01-04T18:04:06Z,"canadian psychedelic,moog,space age pop,synthesizer",0.349,0.838,8,-15.369,0,0.0891,0.276,0.875,0.188,0.0363,179.875,3
2XV5CUyw7gPVi18d718D4f,"0WmzT6tMLhdST5BfYagbha","Plantasia","Mother Earth's Plantasia","Mort Garson",2019-03-22,201178,54,spotify:user:seankmchenry,2023-01-04T18:04:07Z,"canadian psychedelic,moog,space age pop,synthesizer",0.185,0.243,8,-12.646,1,0.0406,0.472,0.00772,0.0966,0.139,85.342,4
