Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1FJDhcC36CbA16lMIxgT1F,"3xYXYzm9H3RzyQgBrYwIcx","Cowpoke","Western Swing & Waltzes and Other Punchy Songs","Colter Wall",2020-08-28,192626,65,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-10-03T16:22:48Z,"canadian americana,canadian contemporary country,outlaw country,saskatchewan indie",0.478,0.366,0,-12.045,1,0.0376,0.4,0.0066,0.0984,0.291,121.683,3
0113kB5PUEGvDHVBopCuTo,"13ZEDW6vyBF12HYcZRr4EV","Creeker","Country Squire","Tyler Childers",2019-08-02,301746,56,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-20T21:46:31Z,"kentucky indie,kentucky roots,outlaw country",0.374,0.39,4,-7.223,1,0.0283,0.453,0.000518,0.257,0.3,183.219,3
4rdE7Rtddm0BXwj6RBFSxL,"31z9f9AyPawiq0qlBO1M3i","Hallelujah","Junky Star","Ryan Bingham",2010-01-01,300453,59,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-20T21:48:56Z,"new americana,outlaw country,texas country",0.615,0.41,11,-12.057,1,0.0313,0.735,0.0000452,0.103,0.274,128.855,4
0kOG4bwpKgRlcJw1NA6csR,"1YSA4byX5AL1zoTsSTlB03","Long Hot Summer Day","Diamonds & Gasoline","Turnpike Troubadours",2010-08-31,252480,61,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-20T21:49:09Z,"red dirt",0.476,0.652,9,-5.783,1,0.0277,0.0981,0,0.0923,0.557,145.356,4
2c83l39QSd3HxVneaxbPOb,"6VPZjyyur7ltEgkFdMnvz4","Lookin' Over My Shoulder","Faustina","John R. Miller",2021-04-23,217277,7,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2021-09-02T19:02:11Z,"alternative country,new americana,roots americana,west virginia indie",0.621,0.684,5,-7.932,1,0.0589,0.304,0.000637,0.12,0.919,164.087,4
3jpcVaeyNjWgjqIxAiWasz,"2ptmyXoL7poH6Zq62h1QT9","Workin Man Blues","Greatest Hits - Finest Performances","Merle Haggard",1995-01-01,163960,0,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-21T20:58:12Z,"bakersfield sound,country,country rock,nashville sound,outlaw country",0.831,0.522,2,-13.114,1,0.032,0.271,0.0286,0.0283,0.854,105.364,4
59J3FhCGYl18G3ouDReUge,"6kACVPfCOnqzgfEF5ryl0x","I've Been Everywhere","American II: Unchained","Johnny Cash",1996-01-01,196733,59,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-22T15:48:13Z,"arkansas country,outlaw country",0.731,0.779,11,-5.884,0,0.0658,0.6,0.00000174,0.312,0.817,112.2,4
1k691v8ChLgDiuLLKnjyj6,"0nJUwPwC9Ti4vvuJ0q3MfT,3NPZs8XgXtaWslUcnIw6rY","In Spite of Ourselves (feat. Iris DeMent)","In Spite of Ourselves","John Prine,Iris DeMent",1999-09-28,213600,60,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-12-22T13:48:31Z,"country rock,folk,folk rock,indie folk,mellow gold,new americana,roots rock,singer-songwriter,alternative country,arkansas country,lilith",0.547,0.277,0,-11.327,1,0.0429,0.67,0,0.091,0.684,153.974,4
2xYQTU2bbg6WVAmpY1eae4,"5W5bDNCqJ1jbCgTxDD0Cb3","Always on My Mind","Always On My Mind","Willie Nelson",1982-02-01,212666,63,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-22T15:48:43Z,"classic country pop,country,country rock,nashville sound,outlaw country,singer-songwriter,texas country",0.524,0.261,2,-13.868,1,0.0272,0.755,0.00105,0.144,0.201,73.36,4
0kZFFIWfw7uoPNs0KDRqPC,"09yvLritEUxHrzx5TlFvbl","Weekender","Midwest Farmer's Daughter","Margo Price",2016-03-25,280893,21,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-31T23:09:22Z,"alternative country,folk,nashville americana,new americana,outlaw country,roots rock",0.727,0.52,9,-6.462,1,0.0282,0.163,0.0000168,0.0566,0.652,124.908,4
1q0wCfrE9eGFMzS2g8aVnx,"2OpqcUtj10HHvGG6h9VYC5","He Stopped Loving Her Today","I Am What I Am (Expanded Edition)","George Jones",1980,195760,56,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-22T15:49:24Z,"country,country rock,honky tonk",0.351,0.21,8,-14.838,1,0.0334,0.76,0.000138,0.29,0.394,144.25,4
2VV9KHwOfrS7ZOEzPZJFLJ,"2dyeCWctcFRt3Pha76ONgb","If Heaven Ain't A Lot Like Dixie","High Notes","Hank Williams, Jr.",1982,164600,58,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-22T15:51:05Z,"country,country road,country rock,outlaw country",0.729,0.553,5,-8.983,1,0.085,0.266,0,0.0809,0.935,78.085,4
5qW6ZYct54PhKliCntyxRX,"3Q8wgwyVVv0z4UEh1HB0KY","Cover Me Up","Southeastern","Jason Isbell",2013-06-11,293973,59,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-22T15:53:32Z,"alternative country,folk,indie folk,new americana,roots rock,stomp and holler",0.429,0.093,3,-15.944,1,0.0433,0.882,0.00703,0.111,0.208,129.661,3
4CZrDF50zES5KDHmZbX2BG,"0jmPjksXqVrO92Urmx58vg","Seven Nights In Eire","Wicked Twisted Road","Reckless Kelly",2005,197440,52,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-22T15:54:03Z,"texas country",0.446,0.601,9,-7.604,0,0.0276,0.164,0.00000965,0.166,0.735,108.464,4
0J4yorvZG8iF6zlaf1zRhK,"0T7J61YgErxSH8yuyggHJO","Oklahoma Breakdown","Live at Billy Bob's Texas","Stoney LaRue",2007-04-10,285653,51,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-09-03T16:05:43Z,"heartland rock,oklahoma country,outlaw country,red dirt,texas country",0.712,0.568,9,-8.295,1,0.031,0.136,0.000364,0.961,0.522,104.474,4
5E5Ixhxfgqf4Ke0kgwXrhl,"13ZEDW6vyBF12HYcZRr4EV,0uNC9XuH437fKCCMuzvSks,2FTZtjNxkvPnXU0XoMYedM","Highway 40 Blues (feat. Ricky Skaggs & Larry Cordle)","Spotify Singles","Tyler Childers,Ricky Skaggs,Larry Cordle",2020-07-29,196435,53,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-09-05T17:05:45Z,"kentucky indie,kentucky roots,outlaw country,bluegrass,bluegrass gospel,country,country rock,mandolin,old-time,progressive bluegrass",0.644,0.575,4,-7.581,1,0.0313,0.373,0.00494,0.144,0.705,116.173,4
7LNc35QrDpp3tn7bI2e4Qa,"5Vz7hlMWR4OFye64dYoGm0","Constantly","Cross Canadian Ragweed","Cross Canadian Ragweed",2002-01-01,257466,43,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-22T15:54:24Z,"oklahoma country,outlaw country,red dirt",0.747,0.667,9,-6.75,1,0.0304,0.274,0.0000503,0.109,0.405,122.597,4
0GobC9mvXxEPtwXICym5FS,"2ErsJAz6qJ5cqjoVAvfvaC","Coal Country","Seneca","Charles Wesley Godwin",2019-02-15,229120,43,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2021-08-30T16:17:22Z,"roots americana",0.371,0.43,4,-11.783,1,0.0335,0.582,0.179,0.11,0.267,165.565,4
2tZJmRdccR2rIOoRmHTEUF,"5u27YZ9t9VGMtL74l4GeZO","It's a Long Way to Wheelwright","NJ","Nicholas Jamerson",2018-01-19,287346,28,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-12-03T12:55:52Z,"kentucky roots,roots americana",0.575,0.486,2,-5.855,1,0.0338,0.642,0,0.187,0.294,119.269,4
0V25R2BtymvTb5oJCleXqs,"2bGK38Qvf603fcckzUYYui","Waitin' 'Round to Die","Sonic Ranch","Whitey Morgan and the 78's",2015-05-19,271873,43,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-22T15:55:59Z,"modern southern rock,outlaw country,roots americana",0.452,0.588,1,-6.995,0,0.0302,0.0227,0.00835,0.105,0.545,148.746,4
0v1U24PRkaqgPRq96mDE8k,"2v7wIbCkIzxOfT3GnqCexD","Mamma Song","Adobe Sessions","Cody Jinks",2015-01-12,259360,0,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-22T15:56:24Z,"modern southern rock,outlaw country,texas country",0.541,0.752,10,-6.133,1,0.0506,0.000621,0.00131,0.102,0.603,119.93,4
7jWbXvrgdbkajU8L28ahn5,"6e7QpHYqEiyJGiM98IysLa,5W5bDNCqJ1jbCgTxDD0Cb3,6kACVPfCOnqzgfEF5ryl0x,7wCjDgV6nqBsHguQXPAaIM,0vYQRW5LIDeYQOccTviQNX","Highwayman","Highwayman","The Highwaymen,Willie Nelson,Johnny Cash,Waylon Jennings,Kris Kristofferson",1985-05-01,182653,69,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-27T14:33:55Z,"outlaw country,classic country pop,country,country rock,nashville sound,singer-songwriter,texas country,arkansas country,folk,folk rock,mellow gold,roots rock",0.67,0.351,2,-16.842,1,0.0463,0.48,0.0176,0.115,0.45,101.384,4
1FTlLpP6V05yJWmcIg0rlK,"3mSAqBoXQgdlpwzWsIgBzL","Mama Tried - Remastered 2001","Mama Tried","Merle Haggard & The Strangers",2001-01-01,132626,62,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-27T14:35:04Z,"bakersfield sound,country rock",0.725,0.654,2,-6.283,1,0.0609,0.778,0.0000027,0.0769,0.659,97.255,4
4FIIaVhMlCDlIRPUWtd7Ax,"1YSA4byX5AL1zoTsSTlB03","Pay No Rent","A Long Way from Your Heart","Turnpike Troubadours",2017-10-20,241838,59,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-27T14:37:59Z,"red dirt",0.451,0.672,4,-6.006,1,0.0357,0.0597,0.000647,0.13,0.352,75.76,4
3xSdEH8yjB0hiCcj9CG0xR,"5cudslRGWg0GsXaN79Wifs","I'm On Fire","Heroes & Heretics","Town Mountain",2008-10-16,213826,53,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-12-03T16:12:00Z,"bluegrass,neo-traditional bluegrass,new americana,progressive bluegrass,roots americana",0.47,0.391,5,-12.285,1,0.0307,0.394,0.0394,0.105,0.408,169.897,4
4O9SOSOda5jKk7o6syVEab,"0Ekfvspc0hlcxdfJJVjcnq","Ramblin' Jack and Mahan","Boats to Build","Guy Clark",1992-01-01,233400,22,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-28T12:54:51Z,"alternative country,country rock,folk,folk rock,new americana,outlaw country,roots rock,singer-songwriter,texas country",0.674,0.452,11,-13.341,1,0.0306,0.465,0.00000884,0.0929,0.627,96.928,4
2rfJZAEOQ6oEhlNb4LiQys,"7AOnWmJMO4J13SlaNq5Zj9","Carolina Morning","Careless","Micky & The Motorcars",2007-02-06,261226,0,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-28T13:43:45Z,"red dirt,texas country",0.466,0.843,7,-5.023,1,0.0378,0.0359,0.0178,0.258,0.671,129.98,4
4uzYuHscjZbcTgI8gTtyRT,"0Z8XVUAOBPM4x12wKnFHEQ","Happy New Year","The Limestone Kid","Parker McCollum",2015-02-24,239866,49,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-28T14:30:58Z,"contemporary country,texas country",0.499,0.648,7,-5.873,1,0.0268,0.147,0.00000532,0.0659,0.409,142.225,4
0ZXmbQXKbfXO8Cv9qxPdZu,"5W5bDNCqJ1jbCgTxDD0Cb3","Stay All Night (Stay a Little Longer)","Shotgun Willie","Willie Nelson",1973,154160,38,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-28T15:28:02Z,"classic country pop,country,country rock,nashville sound,outlaw country,singer-songwriter,texas country",0.602,0.366,7,-15.895,1,0.0468,0.413,0.00000498,0.192,0.946,180.297,4
0vQqY1wypoNwKmxtCUnLcY,"0nJUwPwC9Ti4vvuJ0q3MfT,01buTDfh4qo8wbcUt9Enly","Saginaw Michigan","Standard Songs for Average People","John Prine,Mac Wiseman",2007-04-24,175280,14,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-28T16:16:56Z,"country rock,folk,folk rock,indie folk,mellow gold,new americana,roots rock,singer-songwriter,bluegrass,traditional bluegrass",0.568,0.445,0,-10.137,1,0.038,0.554,0,0.386,0.81,79.367,4
2SpEHTbUuebeLkgs9QB7Ue,"32vWCbZh0xZ4o9gkz4PsEU","Jolene","Jolene","Dolly Parton",1974-02-04,161533,73,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-29T14:07:13Z,"classic country pop,country,country dawn",0.674,0.537,1,-10.971,0,0.0363,0.566,0,0.131,0.809,110.578,4
7wH7G0g9gxSGq3rLioWc0s,"1sX1MkGoDKuMzzhaALPFyZ","Pearl Snaps","Live and Lit at Billy Bob's Texas","Jason Boland & The Stragglers",2002-10-15,192853,20,spotify:user:4s7b7ws1aobf5n98jmk2vo27x,2020-05-29T14:10:36Z,"outlaw country,red dirt,roots americana,texas country",0.393,0.838,7,-3.894,1,0.0448,0.429,0.000023,0.883,0.766,142.102,4
