Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7vcV9kj21RPBUKHepSCKnu,"0QNniWQaunyNwx2TgIc3LD","Chaga","Together","Angophora",2021-05-04,269931,7,spotify:user:seankmchenry,2022-06-23T19:00:32Z,"australian ambient",0.662,0.476,7,-9.17,1,0.0329,0.599,0.0817,0.241,0.361,99.982,3
13QOgT4vbhgUzBn9HXuoVd,"0QNniWQaunyNwx2TgIc3LD","Oscell","Together","Angophora",2021-05-04,303951,5,spotify:user:seankmchenry,2022-06-23T19:00:32Z,"australian ambient",0.646,0.295,0,-11.182,1,0.026,0.875,0.675,0.0955,0.323,104.955,3
0prCxejstmFHdX8vLoROdi,"0QNniWQaunyNwx2TgIc3LD","Starting","Together","Angophora",2021-05-04,341449,4,spotify:user:seankmchenry,2022-06-23T19:00:32Z,"australian ambient",0.412,0.487,0,-12.551,1,0.0295,0.713,0.917,0.213,0.232,88.584,4
6Hk64kxbx43uLFlUxicat6,"0QNniWQaunyNwx2TgIc3LD","Rain","Together","Angophora",2021-05-04,229824,5,spotify:user:seankmchenry,2022-06-23T19:00:32Z,"australian ambient",0.539,0.295,11,-14.585,1,0.0305,0.656,0.838,0.0728,0.474,151.716,4
1ieg73J4TcZgH4TYon6rl6,"0QNniWQaunyNwx2TgIc3LD","Lagoon","Together","Angophora",2021-05-04,217342,4,spotify:user:seankmchenry,2022-06-23T19:00:32Z,"australian ambient",0.553,0.301,4,-12.766,0,0.0313,0.762,0.839,0.0817,0.0778,121.565,4
4n1bt8zFcJafUDWsisVcoz,"0QNniWQaunyNwx2TgIc3LD","In Lines","Together","Angophora",2021-05-04,210349,3,spotify:user:seankmchenry,2022-06-23T19:00:32Z,"australian ambient",0.508,0.467,4,-11.593,1,0.0304,0.305,0.232,0.107,0.28,170.505,4
1ICRCMpLDgz83GmNjQOYvW,"0QNniWQaunyNwx2TgIc3LD","Curve","Together","Angophora",2021-05-04,319088,2,spotify:user:seankmchenry,2022-06-23T19:00:32Z,"australian ambient",0.487,0.426,11,-9.061,1,0.029,0.404,0.837,0.116,0.0382,134.089,1
03VFwsOjL8iE8NSilInkFH,"0QNniWQaunyNwx2TgIc3LD","Currents","Together","Angophora",2021-05-04,302904,2,spotify:user:seankmchenry,2022-06-23T19:00:32Z,"australian ambient",0.469,0.371,2,-13.307,1,0.0409,0.841,0.931,0.119,0.0715,141.824,3
4zQVXIMECdav2dQaykQW7e,"0QNniWQaunyNwx2TgIc3LD","Breathing Light","Together","Angophora",2021-05-04,222238,2,spotify:user:seankmchenry,2022-06-23T19:00:32Z,"australian ambient",0.517,0.248,2,-16.02,1,0.0382,0.738,0.933,0.117,0.353,178.065,4
3kjH8YRYfuDYocXJShN9Ml,"01ramkYSW4rTNPKnneFa9D","Hini Mi","Kojo i København","Kojo Antwi",2019-03-08,298349,16,spotify:user:seankmchenry,2022-06-23T19:21:20Z,"azonto,ghanaian pop,highlife,hiplife",0.808,0.652,0,-11.695,0,0.0435,0.204,0.000326,0.0534,0.969,116.533,4
