Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5JPlGsRGCUyFvWzAE0n7Ch,"Le château de corail","Comme ça","Domenique Dumont",2015-06-22,245418,30,,2021-10-20T17:59:21Z,"experimental pop,fluxwork,fourth world","Antinote",0.533,0.398,5,-11.354,1,0.0319,0.966,0.881,0.153,0.146,109.95,4
0ZgzWONBEjH6pWQMR3Fkpq,"Europe","Subtle Vertigo","Scott Gilmore",2017-06-16,226965,27,,2022-02-23T21:32:35Z,"experimental electronic,fourth world","International Feel Recordings",0.227,0.397,4,-14.151,0,0.0369,0.969,0.89,0.275,0.326,171.638,5
2kjXaoPGBh9nOIjzaRd2Fv,"Marshmallow","Marshmallow","The Sweet Enoughs",2020-08-05,236253,32,,2021-12-07T05:45:16Z,"","Wondercore Island",0.628,0.406,10,-12.225,0,0.0316,0.81,0.703,0.116,0.266,81.981,4
5oRHGXBUNsioP4HyhJl3hI,"Saku","Sakura","Susumu Yokota",2000-09-11,345840,33,,2021-10-20T17:59:21Z,"abstract,ambient,compositional ambient,drone,fourth world,intelligent dance music,j-ambient,japanese electronic,japanese idm","Lo Recordings",0.395,0.156,2,-17.997,1,0.0337,0.833,0.893,0.117,0.115,118.257,4
3vATOCr2BhLfHN6yn5Y6OP,"Night Bunny (feat. Suzanne Ciani)","Night Bunny (feat. Suzanne Ciani)","AF13,Greg Leisz,Suzanne Ciani",2021-07-28,413993,23,,2021-10-20T17:59:21Z,"pastoral,spectra,steel guitar,modular synth,new age","AKP Recordings",0.172,0.539,2,-16.436,1,0.0713,0.825,0.928,0.254,0.135,99.811,4
0OAXvDMV0rQzSiukKjDwyt,"Forest Bathing","Music for Peace and Harmony","Hiro Ama",2024-10-04,222645,28,,2024-11-12T18:34:49Z,"","PRAH Recordings",0.502,0.36,5,-10.941,1,0.0237,0.92,0.938,0.101,0.159,86.994,4
5fWJfpYyGYD4SzpcD6rZyk,"The Golden Morning Breaks","The Golden Morning Breaks","Colleen",2005-04-23,322506,23,,2021-10-20T17:59:21Z,"art pop,electra,experimental pop,folktronica,spectra","Thrill Jockey",0.371,0.308,5,-14.138,1,0.0439,0.985,0.894,0.081,0.0739,113.12,4
0gitxF5eauet5HwgtSiLjB,"Doff","Doff","Will August Park",2024-10-23,184120,35,,2024-10-23T17:55:37Z,"","UNO NYC",0.434,0.127,10,-25.211,0,0.0321,0.864,0.917,0.0962,0.257,112.314,3
6sK7W3ud44yoIjkyu0SPO0,"PHANTOM BRICKWORKS VI","PHANTOM BRICKWORKS (LP II)","Bibio",2024-11-22,607400,32,,2024-11-22T17:43:36Z,"ambient folk,chillwave,downtempo,electronica,folktronica,indietronica,wonky","Warp Records",0.48,0.0877,2,-18.365,1,0.0402,0.993,0.918,0.0568,0.258,124.477,3
6zh6wcyml9eVcwdHyocRHX,"Vendaval","Vendaval","Ismael Pinkler,Nicolás Bacal",2024-09-13,159428,31,,2024-10-04T18:57:48Z,"argentine ambient,argentine indie","Static Discos",0.593,0.00675,0,-19.59,1,0.155,0.964,0.889,0.107,0.308,135.401,5
