Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7iTr8oo0nWkLMf92NPvenn,"08tfDO4dSrwxax35a3HIMC","Sarah's Crime","Broken Belief","Toshifumi Hinata",2019-09-19,291319,18,spotify:user:seankmchenry,2021-01-22T15:54:17Z,"japanese soundtrack",0.616,0.552,3,-11.692,1,0.0234,0.554,0.8,0.121,0.474,95.462,4
599w57sIc7zTRE2f89TyiZ,"08tfDO4dSrwxax35a3HIMC","Midsummer Night","Broken Belief","Toshifumi Hinata",2019-09-19,436402,37,spotify:user:seankmchenry,2021-01-22T15:54:17Z,"japanese soundtrack",0.181,0.209,9,-20.39,0,0.0417,0.949,0.736,0.304,0.149,67.384,5
2VH9EOrSxnBOtKQqumE2j2,"08tfDO4dSrwxax35a3HIMC","Atarashii Yuhbokumin","Broken Belief","Toshifumi Hinata",2019-09-19,375886,18,spotify:user:seankmchenry,2021-01-22T15:54:17Z,"japanese soundtrack",0.81,0.495,3,-14.786,0,0.0487,0.789,0.891,0.0971,0.973,114.996,4
0IB4GVw3YRHOQMElC99dm2,"08tfDO4dSrwxax35a3HIMC","Ikoku No Onna Tachi","Broken Belief","Toshifumi Hinata",2019-09-19,385614,25,spotify:user:seankmchenry,2021-01-22T15:54:17Z,"japanese soundtrack",0.418,0.196,9,-11.859,0,0.0446,0.692,0.29,0.0723,0.17,128.08,3
0IIG0bz2Nh68jIJ5w4fLXd,"08tfDO4dSrwxax35a3HIMC","Pavement","Broken Belief","Toshifumi Hinata",2019-09-19,247981,21,spotify:user:seankmchenry,2021-01-22T15:54:17Z,"japanese soundtrack",0.305,0.21,3,-16.771,1,0.0373,0.994,0.889,0.105,0.313,138.85,3
1dQ6icXZYtDW9A5EVlb0do,"08tfDO4dSrwxax35a3HIMC","Colored Air","Broken Belief","Toshifumi Hinata",2019-09-19,177592,13,spotify:user:seankmchenry,2021-01-22T15:54:17Z,"japanese soundtrack",0.143,0.113,9,-21.134,0,0.0448,0.994,0.784,0.0646,0.167,88.148,3
5AyQfkapcdfE6nl89mY1cp,"08tfDO4dSrwxax35a3HIMC","Hikari To Mizu","Broken Belief","Toshifumi Hinata",2019-09-19,277214,33,spotify:user:seankmchenry,2021-01-22T15:54:17Z,"japanese soundtrack",0.441,0.269,5,-11.454,1,0.0399,0.839,0.00302,0.0966,0.159,70.347,3
4i4btMs6PnHX38T2oIav3V,"08tfDO4dSrwxax35a3HIMC","Shinkiroh","Broken Belief","Toshifumi Hinata",2019-09-19,107766,13,spotify:user:seankmchenry,2021-01-22T15:54:17Z,"japanese soundtrack",0.194,0.252,9,-17.693,0,0.0416,0.809,0.969,0.0997,0.0388,70.712,4
28yriuWLb90F99NVgTpLEa,"08tfDO4dSrwxax35a3HIMC","Broken Belief","Broken Belief","Toshifumi Hinata",2019-09-19,436604,22,spotify:user:seankmchenry,2021-01-22T15:54:17Z,"japanese soundtrack",0.181,0.269,7,-14.633,0,0.0311,0.914,0.951,0.105,0.0364,130.283,4
6tX4HoJDzwwwNZ9LrfghAn,"08tfDO4dSrwxax35a3HIMC","Sayoka","Broken Belief","Toshifumi Hinata",2019-09-19,318603,19,spotify:user:seankmchenry,2021-01-22T15:54:17Z,"japanese soundtrack",0.718,0.446,1,-14.267,1,0.0358,0.893,0.863,0.0782,0.726,127.446,4
