Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7FJpsVdw3amlpBGhhIaVxx,"Heartbreakin Man","The Tennessee Fire","My Morning Jacket",1999-06-09,191586,21,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.455,0.597,0,-11.434,0,0.0318,0.221,0.0083,0.322,0.556,117.876,4
7bicWEpiBeX3P8rxGah009,"They Ran","The Tennessee Fire","My Morning Jacket",1999-06-09,168306,16,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.381,0.0802,3,-12.763,1,0.0324,0.698,0.584,0.218,0.0779,119.359,3
1yQzC5JRaZrvITCpFWCILF,"The Bear","The Tennessee Fire","My Morning Jacket",1999-06-09,279773,21,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.379,0.358,0,-8.819,0,0.0293,0.0987,0.104,0.12,0.296,87.338,4
1Uj3EelTiIsdGcVWKiZGcX,"Nashville to Kentucky","The Tennessee Fire","My Morning Jacket",1999-06-09,178133,15,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.252,0.142,0,-12.662,1,0.0333,0.83,0.0923,0.12,0.0417,83.372,3
0c4SMPOjJAijObh2Dp4ik5,"Old Sept Blues","The Tennessee Fire","My Morning Jacket",1999-06-09,148453,15,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.63,0.414,9,-9.034,1,0.0277,0.733,0.000184,0.0949,0.445,92.29,4
18obSZWVmEQruTj10wtJHE,"If All Else Fails","The Tennessee Fire","My Morning Jacket",1999-06-09,238066,14,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.477,0.244,11,-13.811,0,0.0338,0.853,0.308,0.0955,0.0409,103.534,4
0C9J9HuYDtd1ao9tsP0MEH,"It's About Twilight Now","The Tennessee Fire","My Morning Jacket",1999-06-09,246120,12,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.471,0.545,5,-9.952,1,0.0272,0.282,0.0148,0.155,0.263,120.925,4
5LuGI1rbfy2tCFtqhtYxji,"Evelyn Is Not Real","The Tennessee Fire","My Morning Jacket",1999-06-09,184306,23,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.633,0.444,4,-8.906,1,0.0309,0.189,0.343,0.104,0.633,113.011,4
3ynxzx0kD3484ZAJjPXqEL,"War Begun","The Tennessee Fire","My Morning Jacket",1999-06-09,186346,15,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.492,0.389,6,-10.964,1,0.0327,0.278,0.00313,0.0863,0.41,151.031,4
49rP6245roWMGpxUzicgpZ,"Picture of You","The Tennessee Fire","My Morning Jacket",1999-06-09,196560,14,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.43,0.449,2,-10.203,1,0.0382,0.363,0,0.456,0.394,95.056,4
71G5faKzELHPEQchxH1eCz,"I Will Be There When You Die","The Tennessee Fire","My Morning Jacket",1999-06-09,282920,18,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.457,0.0541,3,-14.219,0,0.0352,0.881,0,0.291,0.0879,84.063,4
16vPYx8pYzAhcBe5Bvx5zX,"The Dark","The Tennessee Fire","My Morning Jacket",1999-06-09,202693,11,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.453,0.418,2,-10.503,1,0.0284,0.167,0.00000126,0.0442,0.265,120.997,4
6UCnMdgxlPL5gh12FmWzom,"By My Car","The Tennessee Fire","My Morning Jacket",1999-06-09,244773,12,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.428,0.291,10,-12.833,1,0.0309,0.036,0.000461,0.108,0.337,75.183,4
3p9ERBbCoXnoHKZYRfgkkK,"Butch Cassidy","The Tennessee Fire","My Morning Jacket",1999-06-09,235346,10,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.188,0.109,0,-13.404,1,0.0309,0.708,0.105,0.0872,0.0365,74.899,4
2aMfvcrPDdD1J5vs85zuDO,"I Think I'm Going to Hell","The Tennessee Fire","My Morning Jacket",1999-06-09,306746,12,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.297,0.191,10,-11.417,1,0.0481,0.59,0.0000209,0.0962,0.0991,71.679,3
0PDdp7KWRBIJ9cdmzMWtN8,"Instrumental","The Tennessee Fire","My Morning Jacket",1999-06-09,162333,8,seankmchenry,2023-09-25T13:37:59Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.56,0.237,3,-15.11,0,0.0502,0.981,0.821,0.113,0.0356,122.187,4
3THr3AhKxES4VcRNwbPV9M,"Mahgeetah","It Still Moves","My Morning Jacket",2003-09-09,356666,33,seankmchenry,2023-09-25T13:38:02Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.264,0.815,5,-6.33,1,0.0629,0.0896,0.0388,0.803,0.434,118.501,4
4CB7YgUS3x8GwEgiaF0Q4i,"Dancefloors","It Still Moves","My Morning Jacket",2003-09-09,338560,24,seankmchenry,2023-09-25T13:38:02Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.432,0.811,7,-7.073,1,0.0389,0.0608,0.00121,0.21,0.693,142.403,4
3kQDykkw9HVowlm3HxTcuR,"Golden","It Still Moves","My Morning Jacket",2003-09-09,279240,49,seankmchenry,2023-09-25T13:38:02Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.566,0.479,5,-11.128,1,0.0254,0.229,0.00388,0.357,0.28,109.748,4
5H9rs7pZJV89iemGiUspmP,"Masterplan","It Still Moves","My Morning Jacket",2003-09-09,305093,26,seankmchenry,2023-09-25T13:38:02Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.252,0.614,0,-7.51,1,0.03,0.168,0.00000192,0.111,0.384,173.171,4
5boh3WTOJ1aOF6uUEF4HPh,"One Big Holiday","It Still Moves","My Morning Jacket",2003-09-09,321373,45,seankmchenry,2023-09-25T13:38:02Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.412,0.917,9,-7.036,0,0.0525,0.0925,0.0143,0.24,0.313,136.85,4
7xnw1SnZPWrft9I1oTHd91,"I Will Sing You Songs","It Still Moves","My Morning Jacket",2003-09-09,558626,26,seankmchenry,2023-09-25T13:38:02Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.346,0.21,7,-14.132,1,0.0313,0.589,0.0387,0.116,0.183,113.212,4
6SrmqsqFhHcmBxZgJyk2A9,"Easy Morning Rebel","It Still Moves","My Morning Jacket",2003-09-09,309706,21,seankmchenry,2023-09-25T13:38:02Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.292,0.665,1,-7.55,1,0.0352,0.306,0.000266,0.0991,0.552,148.106,4
4W3xjrSfa9tgIg68yF6obP,"Run Thru","It Still Moves","My Morning Jacket",2003-09-09,345626,24,seankmchenry,2023-09-25T13:38:02Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.227,0.584,10,-6.561,0,0.0322,0.1,0.00259,0.48,0.374,89.278,4
4wAzCAmoDwh6iYvPNNHIdO,"Rollin' Back","It Still Moves","My Morning Jacket",2003-09-09,470840,20,seankmchenry,2023-09-25T13:38:02Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.465,0.346,10,-10.381,1,0.0277,0.602,0.000755,0.385,0.278,125.297,3
6Kbgb7GcNdaGLKeSGjUTnI,"Just One Thing","It Still Moves","My Morning Jacket",2003-09-09,193800,25,seankmchenry,2023-09-25T13:38:02Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.321,0.667,10,-8.686,0,0.0327,0.0163,0.0000245,0.115,0.406,147.515,3
5GDWlY3ENoGJesbVxsEyjy,"Steam Engine","It Still Moves","My Morning Jacket",2003-09-09,446226,29,seankmchenry,2023-09-25T13:38:02Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.338,0.566,2,-9.792,1,0.0278,0.168,0.000726,0.313,0.452,145.716,4
0MHyZUyapNeO2qU2xTmdoO,"One In the Same","It Still Moves","My Morning Jacket",2003-09-09,383200,18,seankmchenry,2023-09-25T13:38:02Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.238,0.195,7,-11.906,1,0.0314,0.786,0.0000433,0.0823,0.104,66.591,3
2x2rX58gk1MrJrjStZooju,"At Dawn","At Dawn","My Morning Jacket",2001,229000,20,seankmchenry,2023-09-25T13:38:01Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.39,0.418,1,-10.122,1,0.0388,0.459,0.44,0.0989,0.0683,139.367,5
3WtrzP2ExYOdNpcEPxt6Nn,"Lowdown","At Dawn","My Morning Jacket",2001,233080,28,seankmchenry,2023-09-25T13:38:01Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.473,0.722,2,-5.553,1,0.0302,0.0126,0.264,0.298,0.422,110.575,4
4hInqJexDaX8mnQPvWAClG,"The Way That He Sings","At Dawn","My Morning Jacket",2001,335520,27,seankmchenry,2023-09-25T13:38:01Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.226,0.786,10,-6.023,1,0.0385,0.0000132,0.496,0.114,0.523,114.616,4
0GqiJh3TwkIadBmMkj9Yyf,"Death Is My Sleezy Pay","At Dawn","My Morning Jacket",2001,328000,16,seankmchenry,2023-09-25T13:38:01Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.306,0.327,7,-9.355,1,0.0293,0.0258,0.141,0.0849,0.254,138.735,3
7a9RujPOPueBZejeoQhUxQ,"Hopefully","At Dawn","My Morning Jacket",2001,355626,18,seankmchenry,2023-09-25T13:38:01Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.251,0.238,2,-10.177,1,0.0292,0.582,0.0329,0.105,0.0893,91.596,4
0S9VaY7rUwpk5VVF4vxy3q,"Bermuda Highway","At Dawn","My Morning Jacket",2001,199320,26,seankmchenry,2023-09-25T13:38:01Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.338,0.276,1,-10.241,1,0.0279,0.249,0.000212,0.173,0.0858,148.553,4
0UGNPOdMHitOATjq6k84c9,"Honest Man","At Dawn","My Morning Jacket",2001,466826,14,seankmchenry,2023-09-25T13:38:01Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.265,0.562,0,-5.324,1,0.0312,0.000699,0.00292,0.144,0.601,67.377,4
32le5VSoeqPmuVYZGE6b6a,"Xmas Curtain","At Dawn","My Morning Jacket",2001,288986,24,seankmchenry,2023-09-25T13:38:01Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.437,0.704,4,-6.763,1,0.0261,0.00297,0.134,0.132,0.522,107.381,4
2m8afKige22rOyywNKAbGs,"Just Because I Do","At Dawn","My Morning Jacket",2001,175413,14,seankmchenry,2023-09-25T13:38:01Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.378,0.788,0,-5.587,1,0.0324,0.000258,0.0031,0.132,0.674,110.455,4
6QAXjz02jHL2xQ63QxHaR9,"If It Smashes Down","At Dawn","My Morning Jacket",2001,328173,13,seankmchenry,2023-09-25T13:38:01Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.434,0.272,3,-12.541,0,0.0298,0.89,0.0138,0.453,0.159,84.903,4
4pGOEyu60fm8YHeak5Tq9m,"I Needed It Most","At Dawn","My Morning Jacket",2001,396440,14,seankmchenry,2023-09-25T13:38:01Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.307,0.243,5,-9.126,1,0.0283,0.27,0.0138,0.0864,0.078,101.898,4
2Hyd1zEIJZ1LUXw4M1V8Wh,"Phone Went West","At Dawn","My Morning Jacket",2001,425320,28,seankmchenry,2023-09-25T13:38:01Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.476,0.399,2,-8.096,1,0.0272,0.0254,0.00127,0.128,0.429,108.61,4
1g2BE9Ngblpr0gmADZKNAi,"Strangulation","At Dawn","My Morning Jacket",2001,488173,14,seankmchenry,2023-09-25T13:38:01Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.268,0.402,5,-7.967,0,0.0305,0.0183,0.39,0.352,0.255,85.918,3
2j6rYk1SvLdmJP5g0fLi9B,"Untitled bonus track","At Dawn","My Morning Jacket",2001,188293,10,seankmchenry,2023-09-25T13:38:01Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","Darla",0.219,0.513,5,-11.05,1,0.0302,0.786,0.964,0.61,0.331,181.096,3
6xAa0kGkTLU22ZyoHOCHgi,"Wordless Chorus","Z","My Morning Jacket",2005-10-04,252760,53,seankmchenry,2023-09-25T13:38:03Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.824,0.377,2,-9.222,1,0.0436,0.107,0.604,0.11,0.779,116.342,4
6hPygReEE2VhnMoYNQNxaE,"It Beats For You","Z","My Morning Jacket",2005-10-04,226973,34,seankmchenry,2023-09-25T13:38:03Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.526,0.848,0,-6.192,0,0.0278,0.0633,0.442,0.27,0.772,144.227,4
4gNhWF7BcTzNJwcSTdZ6NI,"Gideon","Z","My Morning Jacket",2005-10-04,219066,43,seankmchenry,2023-09-25T13:38:03Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.396,0.698,3,-7.388,1,0.0339,0.476,0.673,0.0607,0.386,131.191,4
6sICylTFKeiplGHltWnJ1k,"What A Wonderful Man","Z","My Morning Jacket",2005-10-04,145466,26,seankmchenry,2023-09-25T13:38:03Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.422,0.861,9,-4.054,1,0.0485,0.109,0.0000248,0.1,0.596,130.19,4
2LuaCTFQkHilH4a7jGj00J,"Off The Record","Z","My Morning Jacket",2005-10-04,333800,36,seankmchenry,2023-09-25T13:38:03Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.352,0.654,6,-5.868,1,0.0315,0.115,0.000213,0.31,0.509,139.335,4
6ys64H2zwPZ47ZXbI9tFLY,"Into The Woods","Z","My Morning Jacket",2005-10-04,321293,26,seankmchenry,2023-09-25T13:38:03Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.326,0.508,9,-7.559,1,0.0301,0.56,0.682,0.942,0.134,135.395,3
6mHcbczLuUtELuAa6Boxkb,"Anytime","Z","My Morning Jacket",2005-10-04,236000,27,seankmchenry,2023-09-25T13:38:03Z,"chamber pop,indie rock,jam band,louisville indie,melancholia,roots rock,stomp and holler","ATO Records",0.474,0.813,3,-4.566,1,0.076,0.049,0.000232,0.118,0.423,134.847,4
