Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0YLHyxLJViaLW7BKx9yVRl,"did i tell u that i miss u - slowed","did i tell u that i miss u","adore",2024-05-30,137854,64,seankmchenry,2024-11-15T00:20:03Z,"","broke",0.555,0.736,6,-7.909,1,0.0394,0.187,0.137,0.178,0.254,94.025,4
6PiHDK4HXzyZkHDwRLbIHS,"Organ Tutorials","Grids EP","gonima",2016-12-10,283165,18,seankmchenry,2024-11-15T00:12:28Z,"","Slam City Jams",0.161,0.385,8,-9.856,1,0.0318,0.975,0.83,0.213,0.105,100.973,5
1OlQaRTaZw3XBU0qOb9gpt,"Butterfly - Original Mix","Butterfly","Florry",2013-12-18,407163,0,seankmchenry,2024-11-15T00:10:50Z,"","WeRecommendRecords WRR",0.446,0.802,3,-8.722,0,0.0341,0.00311,0.893,0.0684,0.109,128.012,4
1jVueDE7jPRir13ZqO5r3r,"Electric Motion","Automotion, Vol. 3","Jeff Newmann",1988-10-22,231000,1,seankmchenry,2024-11-14T01:57:03Z,"","Sonoton Music",0.653,0.407,10,-16.079,0,0.0356,0.0497,0.0522,0.0665,0.591,98.077,4
7xzLf5MzHbsSV7NFN1D7ag,"Hangin' On A String - Maxi Version","Hangin' On A String","Beau Michael",1988-01-01,348000,1,seankmchenry,2024-11-13T21:00:33Z,"","Aviator-Entertainment",0.723,0.716,2,-11.155,1,0.0445,0.0744,0.0346,0.0459,0.935,109.916,4
2H2riBoltlfKrU7i495hvf,"Mammagamma","Eye In The Sky (Expanded Edition)","The Alan Parsons Project",1982,213893,49,seankmchenry,2024-11-13T20:46:10Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock","Arista/Legacy",0.695,0.477,2,-12.431,1,0.0322,0.394,0.886,0.137,0.834,103.567,4
0GDBdvC0DUoVD3uErrNdZt,"Driftin'","Told U So","Nu Shooz",1988-01-01,282840,11,seankmchenry,2024-11-11T15:28:30Z,"freestyle,post-disco","Rhino Atlantic",0.588,0.785,2,-14.467,1,0.0326,0.0547,0.000336,0.335,0.866,156.419,4
0HpcwvfaH3DfGyWozNT3by,"Always Remember Us This Way","Always Remember Us This Way","Cris Hagman",2022-03-28,232413,37,seankmchenry,2024-11-11T14:46:25Z,"","Cris Hagman [dist. Tratore]",0.779,0.506,0,-8.394,1,0.0566,0.232,0.000446,0.119,0.919,160.012,4
2MQ23MqDI0N9IVy8iaZddc,"Catch Me (I'm Falling)","Catch Me I'm Falling","Pretty Poison",1988-01-01,295226,45,seankmchenry,2024-08-17T00:17:04Z,"freestyle","Virgin Records",0.757,0.727,9,-11.816,1,0.0388,0.00412,0.0628,0.098,0.886,118.609,4
5m32ivAOvdlr33zzRpmZvr,"Promises, Promises","Promises, Promises: The Very Best of Naked Eyes","Naked Eyes",2011-08-12,268266,8,seankmchenry,2024-05-04T00:00:06Z,"new romantic,new wave pop,synthpop","Chrysalis Records",0.805,0.478,9,-13.359,0,0.0608,0.0895,0.00564,0.208,0.9,112.615,4
2feAqOM3Z1OnXn9BgfRNUt,"Feeling Love","Carlo Mollino in the Wild with The House of Gucci, Vol. 3","L.E.B Harmony",2023-02-10,522026,2,seankmchenry,2024-05-03T23:50:51Z,"","Calabasas Films + Media",0.722,0.612,9,-17.918,0,0.0436,0.144,0.884,0.12,0.948,123.179,4
4uk297YVU6ry5rIUp63Wyl,"Robotism","French Love Story: Music from the Imagination of Romantic Interludes","Methusalem",2021-11-05,388864,5,seankmchenry,2024-05-03T23:40:43Z,"","Calabasas Films + Media",0.728,0.743,2,-10.406,1,0.0638,0.0161,0.623,0.122,0.945,117.556,4
0urNM715mo2JLqnfcf1xIG,"Din Don - Instrumental","Din Don","Evo",1983,333955,3,seankmchenry,2024-05-03T18:31:56Z,"","SynthIz",0.814,0.645,0,-8.99,1,0.0411,0.00145,0.339,0.0626,0.861,117.063,4
1QzrC81u8RkGVwVTnbTL4u,"Talking To The Night (7\ Version)","Greatest Hits & Remixes","Brian Ice",2016-06-19,262640,1,seankmchenry,2024-05-03T18:13:10Z,"italo disco,new italo disco","ZYX Music",0.723,0.931,0,-7.413,0,0.0336,0.164,0.00181,0.0478,0.955,108.738,4
667pZ6QTh3Q0EIfINKbLWI,"Lose Myself","Invitations","Shakatak",1982,323306,18,seankmchenry,2024-05-03T16:33:24Z,"brit funk,post-disco,smooth jazz","Shakatak Masters",0.767,0.5,2,-16.399,1,0.0436,0.0851,0.663,0.0716,0.816,100.909,4
5r2OXBrMdXIBk3BQemVUGJ,"Walking Into Sunshine - Edit","Breaking Point","Central Line",1981,228320,36,seankmchenry,2024-03-27T12:47:04Z,"brit funk,post-disco","EMI",0.875,0.396,0,-11.438,1,0.119,0.111,0.166,0.0328,0.865,112.424,4
6lRkdG1HurVS72F9GoBeWJ,"Good Thing","The Raw & The Cooked","Fine Young Cannibals",1988-01-01,201866,60,seankmchenry,2024-01-20T18:57:29Z,"dance rock,new romantic,new wave,new wave pop,synthpop","London Music Stream",0.747,0.586,9,-10.119,0,0.0299,0.0708,0.00008,0.0427,0.893,164.718,4
4Taq4pozw9Fxbx2IBkWbTO,"Please Don't Go","Please Don't Go","WanMor",2023-12-22,276960,30,seankmchenry,2024-01-14T20:06:59Z,"","300 Entertainment",0.656,0.85,6,-4.816,0,0.0318,0.0338,0,0.268,0.65,136.724,4
5tIJuomCUGpyBRokU5onbg,"Let's Groove","Zanzibar","Vibe Killers,Marie Berson",2020-06-12,357120,13,seankmchenry,2023-11-19T16:00:42Z,"uk tech house","Too Many Rules",0.804,0.824,7,-9.233,1,0.0693,0.000249,0.693,0.0468,0.792,124.983,4
1Iv0znwcR1GhANAeIMp8B1,"Nite and Day - Dawn Mix","Nite and Day (Remixes)","Al B. Sure!",2019-06-07,159600,8,seankmchenry,2023-11-19T13:16:40Z,"contemporary r&b,new jack swing,quiet storm,r&b","Warner Music Group - X5 Music Group",0.822,0.329,3,-15.63,0,0.0867,0.0166,0.703,0.0637,0.371,91.596,4
2pMsuXSaPHNnOpD6u8WXWi,"Strange Sequence","Aquarium Nightclub","Space Ghost,Morgan",2019-10-25,373043,12,seankmchenry,2023-11-19T00:21:15Z,"jazz house","Tartelet Records",0.705,0.73,1,-6.43,1,0.0356,0.00437,0.273,0.104,0.629,114.986,4
12bUq9DxrJpY0fmb1DNmCR,"Come 'N Get It - (Nicholas Vocal Remix)","Back On Track: Nicholas presents Nu Groove","Emjay",2011-11-28,477666,0,seankmchenry,2023-11-19T00:17:47Z,"","Needwant",0.806,0.746,2,-9.93,1,0.0528,0.00879,0.336,0.0506,0.802,117.223,4
1JWZzKAfrlL2raM32ysJ4C,"Germaine - Remix","French Disco Boogie Sounds Vol.4","Serge Delisle",2019-11-29,389723,22,seankmchenry,2023-11-19T00:10:16Z,"","Favorite Recordings",0.77,0.742,7,-7.768,1,0.0858,0.173,0.00000895,0.0379,0.813,114.11,4
3EvSuGULuoZjldhMCrlD0X,"Hipnotize - Instrumental Version","Vibes Overflow","Yarin Primak,Curtisay",2023-08-22,152199,3,seankmchenry,2023-10-26T15:55:29Z,"","Artlist Original",0.64,0.325,1,-11.746,0,0.326,0.132,0.7,0.0401,0.449,112.024,4
