Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7tsRp7QKUBp6hc9bth0h7x,"Don't Walk Away","Jade To The Max","Jade",1992-11-13,216373,59,seankmchenry,2024-11-19T20:25:51Z,"contemporary r&b,girl group","Giant",0.831,0.915,10,-7.501,0,0.128,0.147,0.00571,0.196,0.881,102.979,4
0aF9m87P8Tja3NUMv4DfHt,"Head Over Heels / Broken","Songs From The Big Chair","Tears For Fears",1985-02-25,302120,60,seankmchenry,2024-11-19T21:01:43Z,"new romantic,new wave,new wave pop,permanent wave,rock,sophisti-pop,synthpop","UMC (Universal Music Catalogue)",0.298,0.704,7,-9.905,1,0.0366,0.188,0.000488,0.777,0.655,95.023,4
7khzIPpqJO6NY6gxE4unIB,"Like An Eagle","Like An Eagle","Dennis Parker",1979-10-28,393440,26,seankmchenry,2024-11-20T23:44:08Z,"","Scorpio Music",0.517,0.922,7,-4.929,0,0.0354,0.483,0.26,0.651,0.715,104.922,4
4vW2qpYw1lBQs7I82jinhm,"Don't Stop","Do It Again","Asso",2016-11-16,356879,18,seankmchenry,2024-11-21T01:51:41Z,"","ACE Records / Best Record Italy [Powered by Planet Distribution]",0.707,0.577,7,-11.982,1,0.0996,0.0751,0.886,0.0944,0.404,111.753,4
66BasMBGJUMf3AYeUKX9aF,"Love Express","Let's All Chant","The Michael Zager Band",2013-10-21,423520,0,seankmchenry,2024-11-21T03:43:10Z,"deep disco","Cherry Pop",0.923,0.833,2,-9.861,1,0.0493,0.229,0.00707,0.205,0.904,116.766,4
4a0uOr9Z3fI2lZSiYsrAXF,"Each Time You Break My Heart","Nick Kamen","Nick Kamen",1987,273773,44,seankmchenry,2024-11-21T04:40:19Z,"","Rhino",0.745,0.699,1,-10.517,0,0.0328,0.261,0,0.0795,0.881,116.927,4
0rKPoDE9Bm4OcZeyHrHZnV,"Just Once - New Version","Forever More (Love Songs, Hits & Duets)","James Ingram",1999-04-12,269280,66,seankmchenry,2024-11-21T22:40:03Z,"quiet storm","Private Music",0.622,0.49,0,-7.486,1,0.0342,0.688,0,0.103,0.324,143.863,4
5pzmmAL0lQM0601a5AfO9w,"Stay the Night","Nights (Feel Like Getting Down) [Expanded Edition]","Billy Ocean",1981,191080,41,seankmchenry,2024-11-21T22:40:03Z,"disco,mellow gold,new romantic,new wave pop,soft rock,yacht rock","Sony Music UK",0.715,0.855,6,-5.238,0,0.0309,0.209,0.0845,0.129,0.926,115.97,4
3CuKcfH8BJ5The5G3llaKD,"I'll Do Anything for You","I'll Do Anything for You","Denroy Morgan",1982-01-01,305720,37,seankmchenry,2024-11-21T22:40:03Z,"","UNIDISC MUSIC INC.",0.732,0.817,11,-6.571,0,0.286,0.195,0.00000298,0.0824,0.804,115.19,4
5VSxOUW2zqOo77pauTqpFG,"Give Me","I-Level","iLEVEL",1983-01-01,241539,31,seankmchenry,2024-11-21T22:40:03Z,"brit funk","UMC (Universal Music Catalogue)",0.829,0.634,1,-9.59,0,0.0603,0.0291,0.015,0.35,0.893,114.446,4
4rS4K30qVDExdjeU4feF4c,"Keep the Fire Burning","On My Way","Gwen McCrae",1982,344546,51,seankmchenry,2024-11-21T22:40:03Z,"post-disco,southern soul","Rhino Atlantic",0.892,0.433,0,-13.806,0,0.0699,0.0277,0.000892,0.0308,0.924,128.029,4
6jStFORua2KDHDN555yEHX,"Close To You","The Best Of Me","Maxi Priest",1991-01-01,329258,24,seankmchenry,2024-11-21T22:40:03Z,"lovers rock,reggae,reggae fusion","Ten Records",0.762,0.462,10,-14.312,0,0.0962,0.00897,0.00000453,0.0502,0.827,96.013,4
61KFI5mNUAhVecYSajbYnc,"Feel so Real","Dancin' In The Key Of Life","Steve Arrington",1985,306120,37,seankmchenry,2024-11-21T22:40:03Z,"post-disco","Rhino Atlantic",0.661,0.753,0,-11.282,1,0.037,0.0234,0.00156,0.602,0.602,113.867,4
5h6gKjJcNotGhdNwUACtCx,"So Fine","Keepin' Love New","Howard Johnson",1982-01-01,327586,34,seankmchenry,2024-11-21T22:40:03Z,"jazz tuba,post-disco,post-disco soul","A&M",0.913,0.625,5,-9.333,0,0.124,0.0734,0.00000728,0.0961,0.809,113.443,4
16vObRGAKtbmSLybpEbnch,"In the Heat of the Night","In the Heat of the Night","Imagination",1982,315533,34,seankmchenry,2024-11-21T22:40:03Z,"brit funk,disco,post-disco","R&B Division Ltd",0.715,0.491,5,-11.573,0,0.0342,0.513,0.0566,0.0506,0.798,85.575,4
4cVHMHgmWgudD399ZdhQ3L,"Let's Dance - 2002 Remaster","Let's Dance","David Bowie",1983,247600,60,seankmchenry,2024-11-21T22:40:03Z,"art rock,classic rock,glam rock,permanent wave,rock","Parlophone UK",0.654,0.641,8,-9.771,1,0.0482,0.00535,0.00321,0.209,0.794,114.696,4
2hWI9GNr3kBrxZ7Mphho4Q,"Lucky Star","Madonna","Madonna",1983-07-27,337840,52,seankmchenry,2024-11-21T22:40:03Z,"dance pop,pop","Warner Records",0.803,0.814,4,-4.579,0,0.0381,0.198,0.0000115,0.223,0.933,117.08,4
