Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3ViVcddn0319dI9dw17y5n,"4gHcu2JoaXJ0mV4aNPCd7N,1uiEZYehlNivdK3iQyAbye","Nobody's Fault","Music","Benny Sings,Tom Misch",2021-04-09,202537,51,spotify:user:seankmchenry,2023-01-20T14:55:10Z,"dutch pop,indie soul,jazz pop",0.883,0.407,2,-10.356,0,0.0386,0.476,0.268,0.0415,0.836,113.983,4
5Y0kfJdXjZaHUe6W5C1EJ9,"4gHcu2JoaXJ0mV4aNPCd7N","Here It Comes","Music","Benny Sings",2021-04-09,198315,37,spotify:user:seankmchenry,2023-01-20T14:55:10Z,"dutch pop,indie soul",0.822,0.147,9,-11.25,0,0.0499,0.172,0.0906,0.105,0.57,83.991,4
3Acg5sKJcCjUQBHA8KjX5F,"4gHcu2JoaXJ0mV4aNPCd7N","Sunny Afternoon","Music","Benny Sings",2021-04-09,171756,59,spotify:user:seankmchenry,2023-01-20T14:55:10Z,"dutch pop,indie soul",0.838,0.408,8,-11.721,1,0.0727,0.104,0.000593,0.0793,0.485,101.767,4
4DWyAq9ExNPogDaduac3Ym,"4gHcu2JoaXJ0mV4aNPCd7N,3Sz7ZnJQBIHsXLUSo0OQtM","Rolled Up","Music","Benny Sings,Mac DeMarco",2021-04-09,183480,61,spotify:user:seankmchenry,2023-01-20T14:55:10Z,"dutch pop,indie soul,edmonton indie,lo-fi indie",0.792,0.461,10,-11.706,0,0.243,0.729,0.326,0.118,0.409,174.402,3
3zhZfDhyKtAPRtdSMVun3a,"4gHcu2JoaXJ0mV4aNPCd7N","Lost Again","Music","Benny Sings",2021-04-09,171549,32,spotify:user:seankmchenry,2023-01-20T14:55:10Z,"dutch pop,indie soul",0.783,0.433,11,-11.033,0,0.254,0.569,0.00415,0.0786,0.822,201.796,4
1dYKpQ2FDIpGqdNlw2ZjRY,"4gHcu2JoaXJ0mV4aNPCd7N","Break Away","Music","Benny Sings",2021-04-09,207402,33,spotify:user:seankmchenry,2023-01-20T14:55:10Z,"dutch pop,indie soul",0.733,0.213,9,-13.171,1,0.191,0.813,0.00345,0.102,0.567,84.968,4
33FXP31gUYw0llGBOSygTs,"4gHcu2JoaXJ0mV4aNPCd7N,4qBgvVog0wzW75IQ48mU7v","Kids","Music","Benny Sings,KYLE",2021-04-09,197497,38,spotify:user:seankmchenry,2023-01-20T14:55:10Z,"dutch pop,indie soul,pop,pop rap,rap,viral rap",0.966,0.294,8,-11.494,0,0.0592,0.437,0,0.174,0.756,119.991,4
6Q8eZ3v4CzS8X1MjdXzd8M,"4gHcu2JoaXJ0mV4aNPCd7N,6iWuBN32BqCJAeXW6o3nil","Run Right Back","Music","Benny Sings,Cautious Clay",2021-04-09,202205,35,spotify:user:seankmchenry,2023-01-20T14:55:10Z,"dutch pop,indie soul,indie r&b,nyc pop",0.817,0.343,2,-12.031,1,0.0729,0.249,0.0605,0.0752,0.82,172.183,4
10g4esqFA2aVAWAYc0XQ5Z,"4gHcu2JoaXJ0mV4aNPCd7N,6jlWj6y00bMQt8XoKuCjyZ,4mkGZGaUTIpyG1LnZ6nNIi","Miracles","Music","Benny Sings,Emily King,Peter CottonTale",2021-04-09,291715,42,spotify:user:seankmchenry,2023-01-20T14:55:10Z,"dutch pop,indie soul,alternative r&b,funk,neo soul,nyc pop,pop soul,r&b,urban contemporary",0.728,0.52,5,-11.742,1,0.0733,0.387,0.00375,0.0678,0.634,168.052,4
2gHePyrvBvx2uIah5Z7jrZ,"4gHcu2JoaXJ0mV4aNPCd7N","Music","Music","Benny Sings",2021-04-09,197973,36,spotify:user:seankmchenry,2023-01-20T14:55:10Z,"dutch pop,indie soul",0.89,0.398,0,-10.072,1,0.183,0.129,0.00223,0.104,0.717,88.774,4
2H7aPVY4X0S7fyUqfeRcWe,"5EOdFuP5qy3DOB7EQKyo2j","blood moon","casual intimacy","Fantasy Camp",2022-10-28,165802,33,spotify:user:seankmchenry,2023-01-20T15:28:31Z,"emo rap",0.645,0.472,10,-5.334,1,0.0289,0.00362,0.527,0.13,0.66,120.04,4
4SNDMWtJgouW2bNAB4Migp,"5EOdFuP5qy3DOB7EQKyo2j","casual intimacy","casual intimacy","Fantasy Camp",2022-10-28,158378,19,spotify:user:seankmchenry,2023-01-20T15:28:31Z,"emo rap",0.539,0.73,9,-4.944,1,0.0346,0.00113,0.0000572,0.327,0.778,149.741,4
5RlvwQG0ljblIdAXX6dAF8,"5EOdFuP5qy3DOB7EQKyo2j","wakeup!","casual intimacy","Fantasy Camp",2022-10-28,101343,12,spotify:user:seankmchenry,2023-01-20T15:28:31Z,"emo rap",0.538,0.949,8,-4.189,1,0.0315,0.000638,0.783,0.0845,0.763,119.982,4
6MV43Qgl7AOn59sPi8MpWJ,"5EOdFuP5qy3DOB7EQKyo2j","adeline","casual intimacy","Fantasy Camp",2022-10-28,152981,15,spotify:user:seankmchenry,2023-01-20T15:28:31Z,"emo rap",0.562,0.863,0,-5.332,1,0.0284,0.0000698,0.0372,0.454,0.947,90.011,4
7rvzUADJbn5Gfw381cebeJ,"5EOdFuP5qy3DOB7EQKyo2j","hiraeth","casual intimacy","Fantasy Camp",2022-10-28,218965,14,spotify:user:seankmchenry,2023-01-20T15:28:31Z,"emo rap",0.692,0.36,4,-7.331,0,0.0285,0.00634,0.00427,0.097,0.465,134.97,4
4CB24OLWdI7qMV7E0aXF5x,"5EOdFuP5qy3DOB7EQKyo2j","final breath","casual intimacy","Fantasy Camp",2022-10-28,151466,13,spotify:user:seankmchenry,2023-01-20T15:28:31Z,"emo rap",0.597,0.797,0,-6.298,0,0.0281,0.000305,0.188,0.125,0.671,150.058,4
1CNeO37hxhlmWTtismRYhs,"5EOdFuP5qy3DOB7EQKyo2j","the last song","casual intimacy","Fantasy Camp",2022-10-28,149010,12,spotify:user:seankmchenry,2023-01-20T15:28:31Z,"emo rap",0.397,0.734,5,-4.604,1,0.0357,0.0138,0.0236,0.105,0.266,179.981,3
22IvqRSOgHeK3WxhJ6qY0V,"5THdJGUVSrpyW9sDW49Q92","The Ed Mount Show","Close to Your Heart","Ed Mount",2022-03-04,97297,8,spotify:user:seankmchenry,2023-01-20T14:54:49Z,"nantes indie",0.855,0.597,5,-9.855,1,0.0438,0.0695,0.624,0.696,0.751,115.002,4
6Kskc8K5aznQAzkLWfwHej,"5THdJGUVSrpyW9sDW49Q92","It Might Be Something","Close to Your Heart","Ed Mount",2022-03-04,213706,18,spotify:user:seankmchenry,2023-01-20T14:54:49Z,"nantes indie",0.668,0.606,11,-8.859,0,0.0348,0.195,0.027,0.123,0.533,86.006,4
41Yf7b1twbv5gENK1U7ecb,"5THdJGUVSrpyW9sDW49Q92","Close to Your Heart","Close to Your Heart","Ed Mount",2022-03-04,314259,13,spotify:user:seankmchenry,2023-01-20T14:54:49Z,"nantes indie",0.757,0.413,9,-10.042,1,0.032,0.346,0.718,0.109,0.348,134.011,4
7rOcAKZWb2DIrXCrZBoZko,"5THdJGUVSrpyW9sDW49Q92","I Keep Thinking About It","Close to Your Heart","Ed Mount",2022-03-04,231941,8,spotify:user:seankmchenry,2023-01-20T14:54:49Z,"nantes indie",0.878,0.408,7,-11.135,0,0.0412,0.0349,0.00394,0.144,0.596,129.373,4
2QU1bg22cuTuNXUpQl389b,"5THdJGUVSrpyW9sDW49Q92,4taAxKHZ4ODt4MwWVPDmbw","Distant Calls","Close to Your Heart","Ed Mount,Flore Benguigui",2022-03-04,164823,45,spotify:user:seankmchenry,2023-01-20T14:54:49Z,"nantes indie",0.888,0.494,5,-9.868,1,0.0547,0.656,0.409,0.058,0.928,117.058,4
18Ow2DoLyuYSiRy907Lkyw,"5THdJGUVSrpyW9sDW49Q92","We Don't Stand a Chance","Close to Your Heart","Ed Mount",2022-03-04,234172,9,spotify:user:seankmchenry,2023-01-20T14:54:49Z,"nantes indie",0.791,0.319,1,-12.041,1,0.0471,0.433,0.000211,0.0905,0.406,92.006,4
0dhiC0IxMA1p6gU81wCbDb,"5THdJGUVSrpyW9sDW49Q92,2uKChU7eHSda8R79iR9rel","Laurence","Close to Your Heart","Ed Mount,David Numwami",2022-03-04,212413,26,spotify:user:seankmchenry,2023-01-20T14:54:49Z,"nantes indie",0.803,0.408,0,-9.212,1,0.0396,0.454,0.684,0.0996,0.308,94.993,4
0eKGoUjQhFWcLARVpeLDPl,"5THdJGUVSrpyW9sDW49Q92","It May Be the Time","Close to Your Heart","Ed Mount",2022-03-04,235563,14,spotify:user:seankmchenry,2023-01-20T14:54:49Z,"nantes indie",0.847,0.58,7,-9.965,1,0.0342,0.3,0.075,0.113,0.196,110.007,4
2cUDJjDhw13WqwDvgOdXQm,"5THdJGUVSrpyW9sDW49Q92","Keepsakes","Close to Your Heart","Ed Mount",2022-03-04,150200,6,spotify:user:seankmchenry,2023-01-20T14:54:49Z,"nantes indie",0.234,0.189,0,-12.772,1,0.0301,0.936,0.515,0.109,0.0574,130.508,3
6iWiKPRo0zFHU7bCNcljEX,"26nkWfI1zwh7OFESYPRn2w","Maybe","Pass Me By","Niall Mutter",2022-03-11,193941,8,spotify:user:seankmchenry,2023-01-20T14:56:00Z,"",0.595,0.395,3,-8.624,0,0.0275,0.594,0.00342,0.128,0.885,173.976,3
7iRimSVMFRjtdHUUzOkVAX,"26nkWfI1zwh7OFESYPRn2w","A Love That Fits","Pass Me By","Niall Mutter",2022-03-11,223076,17,spotify:user:seankmchenry,2023-01-20T14:56:00Z,"",0.859,0.438,1,-10.265,1,0.0313,0.114,0.0225,0.0917,0.774,98.065,4
3wJMtvrH1k0St2vXG6Rmqq,"26nkWfI1zwh7OFESYPRn2w","I Wonder","Pass Me By","Niall Mutter",2022-03-11,251277,8,spotify:user:seankmchenry,2023-01-20T14:56:00Z,"",0.86,0.56,6,-11.375,1,0.0517,0.382,0.122,0.106,0.88,131.997,4
6n0ec4SrQXiAES8K3JS0hf,"26nkWfI1zwh7OFESYPRn2w","You","Pass Me By","Niall Mutter",2022-03-11,158620,8,spotify:user:seankmchenry,2023-01-20T14:56:00Z,"",0.887,0.339,0,-8.833,1,0.0428,0.0683,0.64,0.0898,0.865,110.044,4
18kek2y5jD5MobOolKSTF1,"26nkWfI1zwh7OFESYPRn2w","Pass Me By","Pass Me By","Niall Mutter",2022-03-11,269006,18,spotify:user:seankmchenry,2023-01-20T14:56:00Z,"",0.467,0.383,4,-9.789,1,0.0333,0.484,0.00000319,0.114,0.354,174.094,3
6THJdDeXFkpNjDUu0aQQ7Q,"1GHJ2yDZhTLodOfqimd6ZK","It Takes A Lot","It Takes A Lot","Hush Moss",2016-09-16,238830,29,spotify:user:seankmchenry,2023-01-20T14:52:23Z,"synth funk",0.678,0.676,5,-10.092,1,0.0365,0.391,0.596,0.354,0.921,106.997,4
4O5m1iDDWhqgmOnqvqh2Ly,"1GHJ2yDZhTLodOfqimd6ZK","Slowly Disappear","It Takes A Lot","Hush Moss",2016-09-16,252750,13,spotify:user:seankmchenry,2023-01-20T14:52:23Z,"synth funk",0.667,0.54,2,-9.305,1,0.0282,0.818,0.615,0.309,0.643,104.99,4
14KEE4PgyYlNkOSQeBrLcD,"1GHJ2yDZhTLodOfqimd6ZK","Always Gonna Give Myself To You","It Takes A Lot","Hush Moss",2016-09-16,225476,11,spotify:user:seankmchenry,2023-01-20T14:52:23Z,"synth funk",0.681,0.57,6,-8.929,0,0.0267,0.651,0.421,0.345,0.688,95.991,4
4A5oIX33g72pIlLXepACbL,"1GHJ2yDZhTLodOfqimd6ZK","Take Me By The Hand","It Takes A Lot","Hush Moss",2016-09-16,256904,10,spotify:user:seankmchenry,2023-01-20T14:52:23Z,"synth funk",0.652,0.484,4,-8.838,0,0.0545,0.921,0.163,0.288,0.398,148.093,4
6TOVNA5yCRwRIkQrr1Bp2f,"1GHJ2yDZhTLodOfqimd6ZK","Perfect Proof","It Takes A Lot","Hush Moss",2016-09-16,199371,7,spotify:user:seankmchenry,2023-01-20T14:52:23Z,"synth funk",0.738,0.423,1,-11.532,0,0.0359,0.894,0.512,0.104,0.467,123.099,4
5LWvOO8TyLPsqZJzMvtIUj,"1GHJ2yDZhTLodOfqimd6ZK","Have To Stay","It Takes A Lot","Hush Moss",2016-09-16,236038,6,spotify:user:seankmchenry,2023-01-20T14:52:23Z,"synth funk",0.657,0.49,8,-8.323,1,0.0305,0.847,0.0263,0.113,0.38,81.006,4
0WJ63GAcuMHQVHe1PhMCdl,"1GHJ2yDZhTLodOfqimd6ZK","Through And Through","It Takes A Lot","Hush Moss",2016-09-16,235280,9,spotify:user:seankmchenry,2023-01-20T14:52:23Z,"synth funk",0.662,0.455,7,-11.874,1,0.0334,0.883,0.633,0.132,0.451,81,4
6m0cUYMVpgA8tckztp7PgW,"1GHJ2yDZhTLodOfqimd6ZK","In Reims","It Takes A Lot","Hush Moss",2016-09-16,259060,6,spotify:user:seankmchenry,2023-01-20T14:52:23Z,"synth funk",0.579,0.441,10,-9.293,0,0.0359,0.871,0.374,0.0863,0.365,144.107,4
47eHGoOWkdfbyMwYqx5Vc3,"1hkRfKGoJisJDbo6eSf1pg","Plaisir","Yo bene","Lewis OfMan",2017-03-17,118043,47,spotify:user:seankmchenry,2023-01-20T14:57:14Z,"french indie pop,french indietronica,new french touch",0.692,0.577,7,-10.251,1,0.0443,0.369,0.871,0.0865,0.142,115.087,4
1KYjLDMkBlfFSAPYL9w6oY,"1hkRfKGoJisJDbo6eSf1pg","Un amour au super u","Yo bene","Lewis OfMan",2017-03-17,197522,35,spotify:user:seankmchenry,2023-01-20T14:57:14Z,"french indie pop,french indietronica,new french touch",0.684,0.535,2,-8.742,0,0.0309,0.41,0.00375,0.156,0.552,112.986,4
3LVm6W8THH0q4919dnfJLN,"1hkRfKGoJisJDbo6eSf1pg","Flash","Yo bene","Lewis OfMan",2017-03-17,179417,29,spotify:user:seankmchenry,2023-01-20T14:57:14Z,"french indie pop,french indietronica,new french touch",0.651,0.739,2,-4.845,0,0.0433,0.186,0.81,0.0384,0.518,103.05,4
2fSMdriCoxD4ABoYqKNcy2,"1hkRfKGoJisJDbo6eSf1pg","Le métro et le bus","Yo bene","Lewis OfMan",2017-03-17,198545,39,spotify:user:seankmchenry,2023-01-20T14:57:14Z,"french indie pop,french indietronica,new french touch",0.592,0.576,5,-8.279,1,0.0433,0.496,0.107,0.0869,0.276,110.045,4
1vYqyXbWSD1okZWIYSRURs,"1hkRfKGoJisJDbo6eSf1pg","Yo bene","Yo bene","Lewis OfMan",2017-03-17,217750,30,spotify:user:seankmchenry,2023-01-20T14:57:14Z,"french indie pop,french indietronica,new french touch",0.527,0.823,0,-6.233,0,0.172,0.157,0.525,0.0762,0.45,120.025,4
7e5pTDUb3aMkgymKztA6Vu,"1hkRfKGoJisJDbo6eSf1pg","Kythira","Yo bene","Lewis OfMan",2017-03-17,185217,22,spotify:user:seankmchenry,2023-01-20T14:57:14Z,"french indie pop,french indietronica,new french touch",0.584,0.429,11,-7.504,0,0.0246,0.554,0.802,0.0841,0.0819,92.005,4
26PeFXw8HM7ThTDEp3AUmG,"3oKRxpszQKUjjaHz388fVA","Myenemy","Hideout","Parcels",2017-01-27,213891,29,spotify:user:seankmchenry,2023-01-20T14:57:30Z,"aussietronica,indie soul",0.927,0.715,9,-4.836,0,0.0682,0.498,0.0952,0.758,0.554,110.025,4
47kgL2HIzq2WDkv72QYlCE,"3oKRxpszQKUjjaHz388fVA","Gamesofluck","Hideout","Parcels",2017-01-27,348093,43,spotify:user:seankmchenry,2023-01-20T14:57:30Z,"aussietronica,indie soul",0.659,0.757,9,-5.275,0,0.038,0.128,0.485,0.0859,0.553,104.997,4
7z5R6cbZpB4njz080aA6u2,"3oKRxpszQKUjjaHz388fVA","Hideout","Hideout","Parcels",2017-01-27,266454,56,spotify:user:seankmchenry,2023-01-20T14:57:30Z,"aussietronica,indie soul",0.784,0.587,9,-6.361,1,0.0422,0.273,0.0107,0.356,0.855,107.999,4
0QNKFMSAvjWSCN6th8vM3U,"3oKRxpszQKUjjaHz388fVA","Older","Hideout","Parcels",2017-01-27,207192,31,spotify:user:seankmchenry,2023-01-20T14:57:30Z,"aussietronica,indie soul",0.746,0.765,3,-5.487,1,0.054,0.366,0.00156,0.0799,0.972,154.971,5
0spju7D9COKViYQAqqGlyM,"3oKRxpszQKUjjaHz388fVA","Allaround","Hideout","Parcels",2017-01-27,296045,45,spotify:user:seankmchenry,2023-01-20T14:57:30Z,"aussietronica,indie soul",0.788,0.692,1,-6.257,0,0.0731,0.491,0.252,0.0779,0.684,107.983,4
16qVOWyR3r6rsZ4SWP1fC3,"2Ks1Z1scmEDZfaYaCS7Osj","A1 Bakery Pledge of Allegiance","Education & Recreation","Surprise Chef",2022-10-14,199217,40,spotify:user:seankmchenry,2023-01-20T14:58:35Z,"indie jazz,indie soul,neo-psychedelic,uk contemporary jazz",0.534,0.683,2,-7.198,1,0.0706,0.0184,0.809,0.113,0.509,176.441,4
48Yhxre7SE1R6j5OIshE2h,"2Ks1Z1scmEDZfaYaCS7Osj","Grinners Circle","Education & Recreation","Surprise Chef",2022-10-14,202717,35,spotify:user:seankmchenry,2023-01-20T14:58:35Z,"indie jazz,indie soul,neo-psychedelic,uk contemporary jazz",0.887,0.29,5,-8.687,0,0.0695,0.0541,0.896,0.108,0.294,127.154,4
3V0z9r3PyuzmHuekdc8Y03,"2Ks1Z1scmEDZfaYaCS7Osj","Velodrome","Education & Recreation","Surprise Chef",2022-10-14,193504,37,spotify:user:seankmchenry,2023-01-20T14:58:35Z,"indie jazz,indie soul,neo-psychedelic,uk contemporary jazz",0.683,0.697,5,-7.063,0,0.116,0.0265,0.0105,0.819,0.825,162.471,4
6xgskwtbWpagoXEIeAHHK3,"2Ks1Z1scmEDZfaYaCS7Osj","Suburban Breeze","Education & Recreation","Surprise Chef",2022-10-14,127545,36,spotify:user:seankmchenry,2023-01-20T14:58:35Z,"indie jazz,indie soul,neo-psychedelic,uk contemporary jazz",0.545,0.503,9,-8.929,0,0.103,0.00208,0.678,0.144,0.181,77.852,4
1IkiJCsgMG47dHjN8kmnsN,"2Ks1Z1scmEDZfaYaCS7Osj","Conversation Piece","Education & Recreation","Surprise Chef",2022-10-14,281399,32,spotify:user:seankmchenry,2023-01-20T14:58:35Z,"indie jazz,indie soul,neo-psychedelic,uk contemporary jazz",0.594,0.636,0,-7.242,0,0.0584,0.00783,0.499,0.0629,0.331,103.473,4
2dRShVpRxGWdFt1icMTYSK,"2Ks1Z1scmEDZfaYaCS7Osj","Iconoclasts","Education & Recreation","Surprise Chef",2022-10-14,218233,41,spotify:user:seankmchenry,2023-01-20T14:58:35Z,"indie jazz,indie soul,neo-psychedelic,uk contemporary jazz",0.634,0.461,9,-11.495,0,0.0871,0.475,0.903,0.098,0.046,81.029,4
5aJaL72YTZmsfEK1xWexyw,"2Ks1Z1scmEDZfaYaCS7Osj","Money Music","Education & Recreation","Surprise Chef",2022-10-14,169319,41,spotify:user:seankmchenry,2023-01-20T14:58:35Z,"indie jazz,indie soul,neo-psychedelic,uk contemporary jazz",0.531,0.551,2,-7.993,1,0.0941,0.103,0.881,0.0705,0.275,88.587,4
6cF8Z623V1z9sovxUEdWYW,"2Ks1Z1scmEDZfaYaCS7Osj","Spring's Theme","Education & Recreation","Surprise Chef",2022-10-14,229623,37,spotify:user:seankmchenry,2023-01-20T14:58:35Z,"indie jazz,indie soul,neo-psychedelic,uk contemporary jazz",0.798,0.474,3,-8.094,0,0.055,0.0722,0.78,0.137,0.408,96.055,4
4bwS3Oi7gycaB8UzyHsOPE,"2Ks1Z1scmEDZfaYaCS7Osj","Together Again","Education & Recreation","Surprise Chef",2022-10-14,226644,34,spotify:user:seankmchenry,2023-01-20T14:58:35Z,"indie jazz,indie soul,neo-psychedelic,uk contemporary jazz",0.607,0.721,2,-6.181,1,0.0722,0.00951,0.785,0.0623,0.414,90.721,4
