Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3oBSNXF0VWl1OYbV5WQw4p,"1MPJdO2NGzHTLnWBNBW3e7,4cuxBUjFBXCnD3RQEl1dyg","Chill - Intro","Self Reflection","Melchior Sultana,Janelle Pulo",2022-04-29,157712,5,spotify:user:seankmchenry,2022-05-02T13:15:03Z,"",0.527,0.594,3,-8.826,0,0.0378,0.668,0.0721,0.104,0.127,91.001,4
0bBf64wlUpLEPr1dHlIBeb,"1MPJdO2NGzHTLnWBNBW3e7","Mirage","Self Reflection","Melchior Sultana",2022-04-29,204246,9,spotify:user:seankmchenry,2022-05-02T13:15:03Z,"",0.616,0.835,5,-6.94,1,0.0365,0.128,0.912,0.0762,0.874,127.954,4
716dqndJnHrlYUiaosvW1T,"1MPJdO2NGzHTLnWBNBW3e7","Switch Up","Self Reflection","Melchior Sultana",2022-04-29,204726,10,spotify:user:seankmchenry,2022-05-02T13:15:03Z,"",0.635,0.725,4,-11.569,0,0.0569,0.045,0.918,0.133,0.823,125.011,4
4WClJlJGDDUYNmGnT4hq5I,"1MPJdO2NGzHTLnWBNBW3e7","You & I","Self Reflection","Melchior Sultana",2022-04-29,381391,10,spotify:user:seankmchenry,2022-05-02T13:15:03Z,"",0.621,0.655,5,-8.882,0,0.0351,0.102,0.565,0.14,0.236,119.99,4
2ajFkLFIayyIyv18WQjfqc,"1MPJdO2NGzHTLnWBNBW3e7","Conclusions","Self Reflection","Melchior Sultana",2022-04-29,399643,12,spotify:user:seankmchenry,2022-05-02T13:15:03Z,"",0.749,0.518,10,-10.078,0,0.134,0.159,0.312,0.0827,0.549,120.001,4
66wqb2pt8tYevgCdPRw5l4,"1MPJdO2NGzHTLnWBNBW3e7","Dogma","Self Reflection","Melchior Sultana",2022-04-29,349831,11,spotify:user:seankmchenry,2022-05-02T13:15:03Z,"",0.665,0.734,7,-9.405,1,0.0447,0.0383,0.753,0.11,0.677,119.99,4
6dzUT9My4orxR8nCpgu7h5,"1MPJdO2NGzHTLnWBNBW3e7","Heads Up","Self Reflection","Melchior Sultana",2022-04-29,341880,5,spotify:user:seankmchenry,2022-05-02T13:15:03Z,"",0.683,0.816,6,-8.499,0,0.0511,0.0326,0.923,0.0925,0.792,120.01,4
5K6ezo5HSlw7CXYts0WG2k,"1MPJdO2NGzHTLnWBNBW3e7","Remember The Floor","Self Reflection","Melchior Sultana",2022-04-29,320008,5,spotify:user:seankmchenry,2022-05-02T13:15:03Z,"",0.762,0.888,0,-8.204,0,0.0651,0.00599,0.933,0.109,0.107,122.039,4
1OJJN5ON9khlfl5QtWKa2b,"1MPJdO2NGzHTLnWBNBW3e7","Don't Look Back","Self Reflection","Melchior Sultana",2022-04-29,390554,8,spotify:user:seankmchenry,2022-05-02T13:15:03Z,"",0.772,0.593,3,-9.555,0,0.0587,0.00264,0.906,0.103,0.423,119.996,4
6U8l95QikfUFhVi79z9eRr,"1MPJdO2NGzHTLnWBNBW3e7","Module","Self Reflection","Melchior Sultana",2022-04-29,466766,5,spotify:user:seankmchenry,2022-05-02T13:15:03Z,"",0.886,0.695,0,-8.18,0,0.287,0.0423,0.874,0.0875,0.614,120.03,4
2RdQDsynRenah8Tp9GBhkL,"0Ach9AicviOrwIPxUPntnA","Irresistable","A Mannequin","Private Agenda",2022-04-29,251906,13,spotify:user:seankmchenry,2022-05-02T13:15:10Z,"",0.552,0.391,6,-14.148,1,0.0377,0.429,0.939,0.152,0.167,109.986,4
4v5zLP9DEmImRijRMjKuBp,"0Ach9AicviOrwIPxUPntnA","Neo-Nostalgia","A Mannequin","Private Agenda",2022-04-29,252813,9,spotify:user:seankmchenry,2022-05-02T13:15:10Z,"",0.642,0.66,1,-11.702,0,0.0367,0.0122,0.524,0.0747,0.446,119.994,4
54YP3opvA9k53E9Gh3jeh7,"0Ach9AicviOrwIPxUPntnA","Gemini","A Mannequin","Private Agenda",2022-04-29,231640,19,spotify:user:seankmchenry,2022-05-02T13:15:10Z,"",0.763,0.383,6,-13.721,0,0.0371,0.368,0.278,0.36,0.317,130.032,4
3ElWwXbcMYOXxD6HNudg1R,"0Ach9AicviOrwIPxUPntnA","Touching","A Mannequin","Private Agenda",2022-04-29,218120,8,spotify:user:seankmchenry,2022-05-02T13:15:10Z,"",0.495,0.304,0,-16.875,0,0.0464,0.875,0.151,0.109,0.073,107.064,4
72FPSYencnx0doDA1AAyUO,"0Ach9AicviOrwIPxUPntnA","Splendour","A Mannequin","Private Agenda",2022-04-29,336906,7,spotify:user:seankmchenry,2022-05-02T13:15:10Z,"",0.588,0.648,0,-9.871,1,0.034,0.0695,0.567,0.229,0.464,90.024,4
44uyhnnSU4rreX4st5M8jG,"0Ach9AicviOrwIPxUPntnA","Dressed in Velvet","A Mannequin","Private Agenda",2022-04-29,215480,10,spotify:user:seankmchenry,2022-05-02T13:15:10Z,"",0.71,0.713,0,-10.59,1,0.0474,0.053,0.57,0.429,0.832,100.022,4
4f9l2hsJghcWoix8rJDyz6,"0Ach9AicviOrwIPxUPntnA","Purity","A Mannequin","Private Agenda",2022-04-29,89786,6,spotify:user:seankmchenry,2022-05-02T13:15:10Z,"",0.434,0.122,4,-23.604,0,0.0332,0.948,0.91,0.202,0.0926,94.798,4
7eOsmIQYO3zDAfAVfdzV6B,"0Ach9AicviOrwIPxUPntnA","Automation","A Mannequin","Private Agenda",2022-04-29,227680,6,spotify:user:seankmchenry,2022-05-02T13:15:10Z,"",0.528,0.51,1,-11.481,1,0.0432,0.366,0.331,0.119,0.315,94.58,4
12pT5obpZPMnNURcI0Fzyn,"0Ach9AicviOrwIPxUPntnA","Alterations","A Mannequin","Private Agenda",2022-04-29,147093,5,spotify:user:seankmchenry,2022-05-02T13:15:10Z,"",0.543,0.252,0,-14.248,0,0.0382,0.522,0.232,0.0729,0.109,84.022,4
2HVJpkaepHmrbPEStIOFtH,"0Ach9AicviOrwIPxUPntnA","Narcotica","A Mannequin","Private Agenda",2022-04-29,202200,5,spotify:user:seankmchenry,2022-05-02T13:15:10Z,"",0.726,0.648,7,-10.202,1,0.0393,0.386,0.752,0.133,0.546,114.987,4
0iyandUSM8RFibtYtKlBoT,"0Ach9AicviOrwIPxUPntnA","The Current","A Mannequin","Private Agenda",2022-04-29,250160,5,spotify:user:seankmchenry,2022-05-02T13:15:10Z,"",0.344,0.434,6,-11.936,0,0.0385,0.00499,0.249,0.106,0.0752,159.993,4
029mzLoYCUBNmR0YlU6cYV,"0Ach9AicviOrwIPxUPntnA","Substance","A Mannequin","Private Agenda",2022-04-29,226240,6,spotify:user:seankmchenry,2022-05-02T13:15:10Z,"",0.49,0.45,2,-12.562,1,0.035,0.067,0.717,0.686,0.0361,129.958,4
75Kdxg0D9y53HuoLm0LnxC,"4CxFlJDif0atTK3gZebcEf","Jouissance","Boy","Harvey Sutherland",2022-04-29,288786,28,spotify:user:seankmchenry,2022-05-02T13:15:04Z,"australian house,deep house,float house,indie soul",0.738,0.687,0,-8.644,0,0.0484,0.131,0.882,0.366,0.755,142.032,4
3WcfcVgaB6oc8pne4RTGgP,"4CxFlJDif0atTK3gZebcEf","Age Of Acceleration","Boy","Harvey Sutherland",2022-04-29,301280,27,spotify:user:seankmchenry,2022-05-02T13:15:04Z,"australian house,deep house,float house,indie soul",0.739,0.871,0,-7.706,0,0.0621,0.00497,0.697,0.0544,0.796,110.996,4
08hiTUdlkeFpCFqdxsnjOh,"4CxFlJDif0atTK3gZebcEf,1AEcpjnSCmm53IBZQo3g9z","Feeling Of Love","Boy","Harvey Sutherland,DāM-FunK",2022-04-29,265280,32,spotify:user:seankmchenry,2022-05-02T13:15:04Z,"australian house,deep house,float house,indie soul,popping,synth funk,wonky",0.778,0.569,10,-7.441,0,0.0719,0.00593,0.0129,0.0742,0.768,119.008,4
2GkP3qhi30r83OjSzvfIlb,"4CxFlJDif0atTK3gZebcEf","Holding Pattern","Boy","Harvey Sutherland",2022-04-29,236293,33,spotify:user:seankmchenry,2022-05-02T13:15:04Z,"australian house,deep house,float house,indie soul",0.74,0.607,0,-7.853,0,0.0717,0.134,0.039,0.0686,0.825,109.965,4
0HDWBFBl3P6iOwc51DNl8S,"4CxFlJDif0atTK3gZebcEf","Michael Was Right About You","Boy","Harvey Sutherland",2022-04-29,306173,26,spotify:user:seankmchenry,2022-05-02T13:15:04Z,"australian house,deep house,float house,indie soul",0.745,0.555,4,-11.961,0,0.0526,0.128,0.9,0.135,0.655,110.084,4
4ptztUaUNHHfqB4ZHSRKcE,"4CxFlJDif0atTK3gZebcEf","Slackers","Boy","Harvey Sutherland",2022-04-29,239960,23,spotify:user:seankmchenry,2022-05-02T13:15:04Z,"australian house,deep house,float house,indie soul",0.565,0.745,5,-8.583,0,0.0365,0.00198,0.579,0.171,0.598,129.993,4
2uOc231AKFEDGu8jrEvpLj,"4CxFlJDif0atTK3gZebcEf,5CcG5sS5nT31RQoI6mJUQH","Type A","Boy","Harvey Sutherland,sos",2022-04-29,183026,25,spotify:user:seankmchenry,2022-05-02T13:15:04Z,"australian house,deep house,float house,indie soul",0.691,0.787,11,-9.426,0,0.0442,0.259,0.747,0.448,0.736,141.01,4
1jeFFVEIETLLwRpTumFNWu,"4CxFlJDif0atTK3gZebcEf","Angry Young Man","Boy","Harvey Sutherland",2022-04-29,284720,24,spotify:user:seankmchenry,2022-05-02T13:15:04Z,"australian house,deep house,float house,indie soul",0.725,0.565,11,-9.175,0,0.102,0.141,0.471,0.0899,0.625,134.019,4
1qGNx6nWjfmZ9CQZ2p5SXq,"4CxFlJDif0atTK3gZebcEf","Boy","Boy","Harvey Sutherland",2022-04-29,204573,22,spotify:user:seankmchenry,2022-05-02T13:15:04Z,"australian house,deep house,float house,indie soul",0.166,0.447,4,-9.578,0,0.0309,0.399,0.891,0.109,0.289,142.173,1
2a05QO0qTiZ13Oene37Mvv,"4CxFlJDif0atTK3gZebcEf","Time On My Side","Boy","Harvey Sutherland",2022-04-29,361453,22,spotify:user:seankmchenry,2022-05-02T13:15:04Z,"australian house,deep house,float house,indie soul",0.694,0.578,8,-11.363,0,0.0499,0.855,0.931,0.277,0.551,108.045,4
6pgBNDPxUShBneQA3R6TyG,"1lsJmnN90u3KBvF3tGEWr3","Rare Air - Live from South Channel Island","Live from South Channel Island","Mildlife",2022-04-29,631460,27,spotify:user:seankmchenry,2022-05-02T13:15:29Z,"indie soul,neo-psychedelic",0.385,0.721,0,-8.172,0,0.0408,0.19,0.86,0.507,0.389,123.627,4
5xXgz2vZDsYQLILFtSQyMI,"1lsJmnN90u3KBvF3tGEWr3","Vapour - Live from South Channel Island","Live from South Channel Island","Mildlife",2022-04-29,274640,29,spotify:user:seankmchenry,2022-05-02T13:15:29Z,"indie soul,neo-psychedelic",0.783,0.762,5,-7.681,1,0.0539,0.331,0.173,0.375,0.75,119.972,4
4CMfWq3TRijUdDscOKxlTz,"1lsJmnN90u3KBvF3tGEWr3","Im Blau - Live from South Channel Island","Live from South Channel Island","Mildlife",2022-04-29,710410,24,spotify:user:seankmchenry,2022-05-02T13:15:29Z,"indie soul,neo-psychedelic",0.431,0.708,11,-10.208,0,0.0534,0.0826,0.772,0.542,0.561,98.338,4
7BjkYGc6FZ3olNh1pk7AbT,"1lsJmnN90u3KBvF3tGEWr3","Citations - Live from South Channel Island","Live from South Channel Island","Mildlife",2022-04-29,529738,22,spotify:user:seankmchenry,2022-05-02T13:15:29Z,"indie soul,neo-psychedelic",0.298,0.583,2,-8.203,1,0.0381,0.0939,0.826,0.605,0.44,84.726,4
7tb9Xa6PhJ1Ew4BcDvvNH9,"1lsJmnN90u3KBvF3tGEWr3","The Magnificent Moon - Live from South Channel Island","Live from South Channel Island","Mildlife",2022-04-29,642484,23,spotify:user:seankmchenry,2022-05-02T13:15:29Z,"indie soul,neo-psychedelic",0.617,0.79,5,-7.973,0,0.0377,0.383,0.869,0.32,0.725,111.981,4
2yVXAWNeHDBYycVgrWF8XQ,"1lsJmnN90u3KBvF3tGEWr3","Zwango Zop - Live from South Channel Island","Live from South Channel Island","Mildlife",2022-04-29,422671,21,spotify:user:seankmchenry,2022-05-02T13:15:29Z,"indie soul,neo-psychedelic",0.603,0.742,5,-7.452,0,0.0413,0.629,0.522,0.719,0.487,112.933,4
3oRZyNHFla5CHxKdcvaznm,"1lsJmnN90u3KBvF3tGEWr3","Automatic - Live from South Channel Island","Live from South Channel Island","Mildlife",2022-04-29,503593,23,spotify:user:seankmchenry,2022-05-02T13:15:29Z,"indie soul,neo-psychedelic",0.837,0.326,10,-9.392,1,0.0416,0.115,0.27,0.102,0.33,99.999,4
1hlZf76VhJc1SaWrWZfkSr,"1lsJmnN90u3KBvF3tGEWr3","Air - Live from South Channel Island","Live from South Channel Island","Mildlife",2022-04-29,723366,20,spotify:user:seankmchenry,2022-05-02T13:15:29Z,"indie soul,neo-psychedelic",0.137,0.938,10,-21.499,1,0.472,0.486,0.785,0.221,0.0561,100.62,3
0UdFXfrpQzEJtqIfgjl3ye,"4XJu172tX3p3XS0jXHMSjT","Bad Detective","Someone","Lovelock",2022-04-29,232071,10,spotify:user:seankmchenry,2022-05-02T13:15:50Z,"",0.599,0.929,7,-5.37,1,0.0393,0.00134,0.0163,0.0524,0.753,104.992,4
781wmrDkqTycAHqVE4wxRr,"4XJu172tX3p3XS0jXHMSjT","Someone","Someone","Lovelock",2022-04-29,236851,14,spotify:user:seankmchenry,2022-05-02T13:15:50Z,"",0.713,0.785,6,-4.393,0,0.0247,0.099,0.00461,0.301,0.962,114.963,4
1S3mrmGlu2u1ko3y7eBrTJ,"4XJu172tX3p3XS0jXHMSjT","Broken Hearts","Someone","Lovelock",2022-04-29,373489,9,spotify:user:seankmchenry,2022-05-02T13:15:50Z,"",0.719,0.795,9,-4.47,0,0.0294,0.0119,0.037,0.183,0.943,118.022,4
3NB89cXXnlJVOGRQ98UUYg,"4XJu172tX3p3XS0jXHMSjT,2jLRxUmPYm907rHGcnFShr","What's On My Mind (Feat. Dan Stevens)","Someone","Lovelock,Dan Stevens",2022-04-29,266730,15,spotify:user:seankmchenry,2022-05-02T13:15:50Z,"",0.606,0.763,1,-5.817,0,0.0347,0.0677,0.0306,0.115,0.554,80.028,4
3oP2IcbSP8pY83DPdtD653,"4XJu172tX3p3XS0jXHMSjT","Babe","Someone","Lovelock",2022-04-29,252740,7,spotify:user:seankmchenry,2022-05-02T13:15:50Z,"",0.721,0.721,2,-6.051,0,0.0276,0.053,0.0246,0.12,0.777,122.99,4
70lr5HTTDVgHLyhE8DbgyF,"4XJu172tX3p3XS0jXHMSjT","Say Goodbye","Someone","Lovelock",2022-04-29,239086,7,spotify:user:seankmchenry,2022-05-02T13:15:50Z,"",0.57,0.819,4,-4.622,0,0.0412,0.0189,0.0000861,0.0606,0.961,169.967,4
