Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5p11e6cesqyqc0wThx7Emr,"1AMRIaUQ6hCjJBiIRaQM5T","Blue","Confidence In The Future","Spinning Motion",1980,138060,2,spotify:user:seankmchenry,2022-12-01T14:55:16Z,"indie jazz",0.42,0.0921,10,-15.656,1,0.0328,0.788,0.826,0.113,0.131,64.424,4
0dGHBktOJzskH6sRmzbjfn,"1AMRIaUQ6hCjJBiIRaQM5T","Devotion To You","Confidence In The Future","Spinning Motion",1980,197114,4,spotify:user:seankmchenry,2022-12-01T14:55:16Z,"indie jazz",0.485,0.419,4,-11.098,0,0.0276,0.831,0.0373,0.0892,0.597,83.096,4
2Nz2gT57USDwgftOh4215Y,"1AMRIaUQ6hCjJBiIRaQM5T","Prisoner Of Life","Confidence In The Future","Spinning Motion",1980,214796,1,spotify:user:seankmchenry,2022-12-01T14:55:16Z,"indie jazz",0.48,0.327,4,-13.554,0,0.0344,0.729,0.76,0.131,0.339,75.85,4
33xveUVqcGlz4bpA6JIC0C,"1AMRIaUQ6hCjJBiIRaQM5T","Confidence In The Future","Confidence In The Future","Spinning Motion",1980,217828,4,spotify:user:seankmchenry,2022-12-01T14:55:16Z,"indie jazz",0.582,0.538,2,-11.344,1,0.0685,0.557,0.469,0.133,0.431,156.388,4
2iM6l3ufwwFrbeHdPzCrrC,"1AMRIaUQ6hCjJBiIRaQM5T","Naze","Confidence In The Future","Spinning Motion",1980,232130,2,spotify:user:seankmchenry,2022-12-01T14:55:16Z,"indie jazz",0.468,0.654,4,-11.534,0,0.056,0.753,0.0702,0.113,0.608,91.405,4
5dikXN81jrtKoUGhD4mZfm,"1AMRIaUQ6hCjJBiIRaQM5T","Answer My Questions","Confidence In The Future","Spinning Motion",1980,223252,1,spotify:user:seankmchenry,2022-12-01T14:55:16Z,"indie jazz",0.647,0.745,6,-11.366,0,0.0634,0.423,0.0829,0.645,0.749,94.709,4
6olnZ1fGywvx4oWGzfuFHm,"1AMRIaUQ6hCjJBiIRaQM5T","Playground Of Burial-Funds","Confidence In The Future","Spinning Motion",1980,303808,0,spotify:user:seankmchenry,2022-12-01T14:55:16Z,"indie jazz",0.405,0.0189,5,-20.166,0,0.0363,0.95,0.15,0.114,0.188,130.873,4
4buzsqpzVMEs7gJltGADS3,"1AMRIaUQ6hCjJBiIRaQM5T","Elegy","Confidence In The Future","Spinning Motion",1980,167776,0,spotify:user:seankmchenry,2022-12-01T14:55:16Z,"indie jazz",0.474,0.497,0,-12.154,0,0.0323,0.825,0.121,0.241,0.76,116.245,3
45X3H28VXI4rvq3T3IpiWB,"5h1nf3fpdT9JyWUw4ooVLA","Bewegliche Ziele","Bewegliche Ziele","Plaza Hotel",2016-07-15,337992,6,spotify:user:seankmchenry,2022-12-01T14:55:25Z,"",0.67,0.723,11,-7.669,0,0.0679,0.178,0.00583,0.114,0.945,64.462,4
2Kcm9K4LElZpRBKpJa7cob,"5h1nf3fpdT9JyWUw4ooVLA","Schön Sein In Uniform","Bewegliche Ziele","Plaza Hotel",2016-07-15,262983,2,spotify:user:seankmchenry,2022-12-01T14:55:25Z,"",0.358,0.614,2,-10.438,1,0.296,0.76,0.0000508,0.151,0.55,169.915,5
47aG0qA2bPkdjBAvHx2Jf0,"39uizxoApgygEbDdJ9GEBA","El Tren De Tom","Sambaiana","Candeias",2017-07-28,277942,9,spotify:user:seankmchenry,2022-12-01T14:55:40Z,"",0.54,0.591,11,-13.247,0,0.0645,0.711,0.864,0.352,0.731,95.779,4
0OqyDw4w53S8OiSdQ5R6pN,"39uizxoApgygEbDdJ9GEBA","Paolinho","Sambaiana","Candeias",2017-07-28,228479,9,spotify:user:seankmchenry,2022-12-01T14:55:40Z,"",0.611,0.491,2,-10.955,1,0.0364,0.11,0.0000252,0.138,0.344,94.504,4
