Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0EV7lkaGPP5G93JiHHgyyZ,"77J3V0V7sEOf5ifCDBSNaJ,6JpZEemWmunccsrHXFUOgi","Prelude","Afrobeat Makers, Vol. 3 (The Tony Allen Experiments)","Nu Genea,Tony Allen",2016-02-15,173757,39,spotify:user:seankmchenry,2023-01-09T15:58:45Z,"indie napoletano,neapolitan funk,afrobeat,afropop,funk,indie jazz,world",0.761,0.554,1,-9.912,1,0.0618,0.589,0.818,0.0918,0.979,104.999,4
0h51tz4qtVPvygXm291ceN,"77J3V0V7sEOf5ifCDBSNaJ,6JpZEemWmunccsrHXFUOgi","Howls","Afrobeat Makers, Vol. 3 (The Tony Allen Experiments)","Nu Genea,Tony Allen",2016-02-15,241318,42,spotify:user:seankmchenry,2023-01-09T15:58:45Z,"indie napoletano,neapolitan funk,afrobeat,afropop,funk,indie jazz,world",0.843,0.66,2,-13.961,1,0.0898,0.162,0.796,0.0357,0.97,110.102,4
2l7yQNAiyr8esSkMewS392,"77J3V0V7sEOf5ifCDBSNaJ,6JpZEemWmunccsrHXFUOgi","Open Paths","Afrobeat Makers, Vol. 3 (The Tony Allen Experiments)","Nu Genea,Tony Allen",2016-02-15,276914,29,spotify:user:seankmchenry,2023-01-09T15:58:45Z,"indie napoletano,neapolitan funk,afrobeat,afropop,funk,indie jazz,world",0.483,0.954,5,-8.292,1,0.0783,0.329,0.915,0.0678,0.967,159.985,5
0SQTuOiJk8RLAQZ92pXRpk,"77J3V0V7sEOf5ifCDBSNaJ,6JpZEemWmunccsrHXFUOgi","Ng Theme","Afrobeat Makers, Vol. 3 (The Tony Allen Experiments)","Nu Genea,Tony Allen",2016-02-15,208005,35,spotify:user:seankmchenry,2023-01-09T15:58:45Z,"indie napoletano,neapolitan funk,afrobeat,afropop,funk,indie jazz,world",0.787,0.549,9,-11.729,0,0.233,0.106,0.538,0.0721,0.962,99.984,4
5mSzc74KFbLGrd00d9RtcG,"77J3V0V7sEOf5ifCDBSNaJ,6JpZEemWmunccsrHXFUOgi","Stasis - Calm Before the Storm","Afrobeat Makers, Vol. 3 (The Tony Allen Experiments)","Nu Genea,Tony Allen",2016-02-15,194729,25,spotify:user:seankmchenry,2023-01-09T15:58:45Z,"indie napoletano,neapolitan funk,afrobeat,afropop,funk,indie jazz,world",0.815,0.956,5,-10.723,0,0.0582,0.0545,0.879,0.104,0.973,109.992,4
4JUo7SkmCutWU128VanfGS,"77J3V0V7sEOf5ifCDBSNaJ,6JpZEemWmunccsrHXFUOgi","Ta Storm","Afrobeat Makers, Vol. 3 (The Tony Allen Experiments)","Nu Genea,Tony Allen",2016-02-15,297011,22,spotify:user:seankmchenry,2023-01-09T15:58:45Z,"indie napoletano,neapolitan funk,afrobeat,afropop,funk,indie jazz,world",0.778,0.93,1,-9.785,1,0.0674,0.118,0.844,0.0757,0.972,130.002,4
2JPRMaLspae16F3a42LpOp,"77J3V0V7sEOf5ifCDBSNaJ,6JpZEemWmunccsrHXFUOgi","The Birds Rejoice","Afrobeat Makers, Vol. 3 (The Tony Allen Experiments)","Nu Genea,Tony Allen",2016-02-15,242353,37,spotify:user:seankmchenry,2023-01-09T15:58:45Z,"indie napoletano,neapolitan funk,afrobeat,afropop,funk,indie jazz,world",0.731,0.877,10,-10.457,0,0.0442,0.162,0.925,0.0649,0.968,104.99,4
7GvevrbzcrtKLpREUk5ZiI,"77J3V0V7sEOf5ifCDBSNaJ,6JpZEemWmunccsrHXFUOgi","Phunkhysteria","Afrobeat Makers, Vol. 3 (The Tony Allen Experiments)","Nu Genea,Tony Allen",2016-02-15,147576,32,spotify:user:seankmchenry,2023-01-09T15:58:45Z,"indie napoletano,neapolitan funk,afrobeat,afropop,funk,indie jazz,world",0.781,0.867,11,-8.439,1,0.0703,0.283,0.62,0.213,0.921,140.999,4
4YIKxSg2fvYBobuAfTnnxV,"77J3V0V7sEOf5ifCDBSNaJ,6JpZEemWmunccsrHXFUOgi","The Sun Returns","Afrobeat Makers, Vol. 3 (The Tony Allen Experiments)","Nu Genea,Tony Allen",2016-02-15,238465,33,spotify:user:seankmchenry,2023-01-09T15:58:45Z,"indie napoletano,neapolitan funk,afrobeat,afropop,funk,indie jazz,world",0.856,0.853,10,-10.999,0,0.0621,0.17,0.108,0.0779,0.791,99.966,4
0uRqRurUALc3zMnQbFokpe,"77J3V0V7sEOf5ifCDBSNaJ","Nuova Napoli","Nuova Napoli","Nu Genea",2018-05-01,218322,44,spotify:user:seankmchenry,2023-01-09T15:58:47Z,"indie napoletano,neapolitan funk",0.688,0.731,2,-8.083,1,0.0513,0.378,0.374,0.091,0.968,159.621,4
7FPtdpiBHIFyiUoFTEDfRd,"77J3V0V7sEOf5ifCDBSNaJ","Je Vulesse","Nuova Napoli","Nu Genea",2018-05-01,288280,47,spotify:user:seankmchenry,2023-01-09T15:58:47Z,"indie napoletano,neapolitan funk",0.756,0.829,11,-6.088,0,0.0491,0.269,0.0352,0.383,0.88,117.626,4
2eugKq2QsQ3TRJ4JgbdpzC,"77J3V0V7sEOf5ifCDBSNaJ","Ddoje Facce","Nuova Napoli","Nu Genea",2018-05-01,261926,54,spotify:user:seankmchenry,2023-01-09T15:58:47Z,"indie napoletano,neapolitan funk",0.9,0.455,3,-8.395,0,0.0877,0.231,0.264,0.0538,0.927,104.631,4
4shVjgoOMa73JgBtZIDDz4,"77J3V0V7sEOf5ifCDBSNaJ","Disco Sole","Nuova Napoli","Nu Genea",2018-05-01,263508,51,spotify:user:seankmchenry,2023-01-09T15:58:47Z,"indie napoletano,neapolitan funk",0.725,0.905,0,-7.875,0,0.0381,0.441,0.926,0.102,0.79,111.137,4
62Z79vgS2Ik8H7PHFIAeSz,"77J3V0V7sEOf5ifCDBSNaJ","Stann Fore","Nuova Napoli","Nu Genea",2018-05-01,249473,34,spotify:user:seankmchenry,2023-01-09T15:58:47Z,"indie napoletano,neapolitan funk",0.743,0.896,7,-7.84,1,0.0743,0.04,0.301,0.0537,0.962,108.143,4
0L45w4UAtYe5Saypc1TQ9H,"77J3V0V7sEOf5ifCDBSNaJ","'A Voce 'E Napule","Nuova Napoli","Nu Genea",2018-05-01,210241,39,spotify:user:seankmchenry,2023-01-09T15:58:47Z,"indie napoletano,neapolitan funk",0.847,0.59,5,-8.421,0,0.0679,0.806,0.279,0.11,0.787,148.868,4
