Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1n6JtJZ8teM0OCJkOUBCil,"The Great Divide","Beauty Point","The Ocean Party",2017-08-14,169718,0,seankmchenry,2023-09-21T13:06:06Z,"australian garage punk,australian indie","Emotional Response",0.499,0.256,9,-17.077,1,0.034,0.466,0.377,0.12,0.164,124.96,4
7u0YjTIyiULvrG0U1kaX5E,"Dust Clears","Beauty Point","The Ocean Party",2017-08-14,122784,0,seankmchenry,2023-09-21T13:06:06Z,"australian garage punk,australian indie","Emotional Response",0.509,0.793,9,-4.345,0,0.0536,0.149,0.336,0.359,0.862,134.229,4
7jVxGbKcsYbJRLWNtT0KC4,"Crisis","Beauty Point","The Ocean Party",2017-08-14,106231,0,seankmchenry,2023-09-21T13:06:06Z,"australian garage punk,australian indie","Emotional Response",0.54,0.783,11,-7.038,0,0.0616,0.0108,0.909,0.133,0.666,75.845,4
28HiNJwLAHtkQTkcb8lGV8,"Memorial Flame Trees","Beauty Point","The Ocean Party",2017-08-14,164003,0,seankmchenry,2023-09-21T13:06:06Z,"australian garage punk,australian indie","Emotional Response",0.648,0.739,5,-8.21,1,0.0394,0.196,0.109,0.116,0.74,135.842,4
1NRt9cF3dicvpKWwhFmbrL,"More To Run","Beauty Point","The Ocean Party",2017-08-14,198278,2,seankmchenry,2023-09-21T13:06:06Z,"australian garage punk,australian indie","Emotional Response",0.59,0.621,8,-8.002,1,0.0318,0.138,0.911,0.111,0.446,118.202,4
4NbA67AOZcYO7gGLjlP8RX,"Quiet Life","Beauty Point","The Ocean Party",2017-08-14,170479,0,seankmchenry,2023-09-21T13:06:06Z,"australian garage punk,australian indie","Emotional Response",0.471,0.842,5,-6.287,1,0.0392,0.000439,0.227,0.184,0.802,142.728,4
6drKR45BVLOPoyVHAV7Tr1,"Quality Control","Beauty Point","The Ocean Party",2017-08-14,176652,0,seankmchenry,2023-09-21T13:06:06Z,"australian garage punk,australian indie","Emotional Response",0.537,0.757,2,-6.747,1,0.041,0.0363,0.511,0.147,0.457,118.444,4
4oMV7KiWreTwWiJCKBjQTH,"Runaway","Beauty Point","The Ocean Party",2017-08-14,238548,0,seankmchenry,2023-09-21T13:06:06Z,"australian garage punk,australian indie","Emotional Response",0.519,0.693,4,-7.897,1,0.0344,0.0451,0.627,0.108,0.479,59.976,3
2EFcIcDXfh1ScNCuQrnKT8,"Concrete View","Beauty Point","The Ocean Party",2017-08-14,186988,0,seankmchenry,2023-09-21T13:06:06Z,"australian garage punk,australian indie","Emotional Response",0.483,0.719,7,-6.806,1,0.0268,0.000694,0.826,0.105,0.68,84.381,4
5n0aD7usvlg57VylDVNm5z,"Strike","Beauty Point","The Ocean Party",2017-08-14,191233,0,seankmchenry,2023-09-21T13:06:06Z,"australian garage punk,australian indie","Emotional Response",0.565,0.708,3,-7.496,0,0.0286,0.0996,0.145,0.0945,0.773,84.039,4
