Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4AWo1MuDaBGRiIqpjFzVfW,"7rDHusYGKfhI7ZNIGeUibU","Day One","So Many Colours","José Padilla",2015-06-01,382883,22,spotify:user:seankmchenry,2022-05-25T17:10:44Z,"chill lounge",0.648,0.865,9,-8.825,0,0.0449,0.0209,0.945,0.3,0.488,119.002,4
7yUMfeiE0XqHvQ7dNOoi6u,"7rDHusYGKfhI7ZNIGeUibU","On The Road","So Many Colours","José Padilla",2015-06-01,319872,16,spotify:user:seankmchenry,2022-05-25T17:10:44Z,"chill lounge",0.778,0.853,11,-12.685,1,0.0428,0.324,0.923,0.0744,0.326,102.99,4
7oHKwHzJZdkSp3Nt0CbclQ,"7rDHusYGKfhI7ZNIGeUibU","Lollipop","So Many Colours","José Padilla",2015-06-01,274606,8,spotify:user:seankmchenry,2022-05-25T17:10:44Z,"chill lounge",0.803,0.665,9,-10.851,0,0.0332,0.0538,0.678,0.136,0.961,119.015,4
7xv6De0XBeku5H7JR4YRSz,"5MKqWyqq5CStK7AhkTvzQF","New Wave","Insides","Fort Romeau",2015-03-31,389997,0,spotify:user:seankmchenry,2022-05-25T17:11:53Z,"deep house,electronica,float house,microhouse,minimal techno,tech house",0.744,0.482,7,-11.295,0,0.0424,0.165,0.928,0.234,0.377,112.981,4
34KD9rEJujgvmNLQblQAjw,"5MKqWyqq5CStK7AhkTvzQF","Insides","Insides","Fort Romeau",2015-03-31,379266,0,spotify:user:seankmchenry,2022-05-25T17:11:53Z,"deep house,electronica,float house,microhouse,minimal techno,tech house",0.86,0.536,6,-9.576,1,0.202,0.0869,0.931,0.101,0.469,116.968,4
658lejQ8rSG1OaRyhm13no,"5MKqWyqq5CStK7AhkTvzQF,6zShblBoSrGrKtcv3OGOif","Not A Word","Insides","Fort Romeau,New Jackson",2015-03-31,363124,0,spotify:user:seankmchenry,2022-05-25T17:11:53Z,"deep house,electronica,float house,microhouse,minimal techno,tech house,irish electronic,irish experimental electronic,irish pop",0.749,0.529,5,-9.257,0,0.0564,0.00135,0.823,0.125,0.517,124.974,4
5Dra6dW1mc7BOh833TDowz,"5qm3bAgsYq5aBOymqkM4gG","First Light - 2018 Remaster","FIRST LIGHT (2018 Remaster)","Makoto Matsushita",1982-04-21,273220,44,spotify:user:seankmchenry,2022-05-25T17:12:53Z,"classic city pop",0.68,0.8,1,-6.942,1,0.0377,0.196,0.00207,0.4,0.645,128.999,4
25z4QmWYR2stp1xbVcG51J,"5qm3bAgsYq5aBOymqkM4gG","September Rain - 2018 Remaster","FIRST LIGHT (2018 Remaster)","Makoto Matsushita",1982-04-21,269260,45,spotify:user:seankmchenry,2022-05-25T17:12:53Z,"classic city pop",0.649,0.339,0,-11.357,1,0.0276,0.69,0.0152,0.137,0.317,124.019,4
2aaOJJd2fBkd4es7vI2h2a,"5qm3bAgsYq5aBOymqkM4gG","Love Was Really Gone - 2018 Remaster","FIRST LIGHT (2018 Remaster)","Makoto Matsushita",1982-04-21,347366,53,spotify:user:seankmchenry,2022-05-25T17:12:53Z,"classic city pop",0.619,0.653,4,-8.477,0,0.043,0.594,0.00201,0.215,0.408,86.962,4
4pbdkztnwgsrPbBBkft1QS,"7pQYUlV0pHGolqqTepsuxu","Magnetic Storm","Special Treatment","Jakob Magnusson",1979,248253,0,spotify:user:seankmchenry,2022-05-25T17:22:24Z,"deep soft rock",0.437,0.879,5,-6.141,1,0.0424,0.382,0.365,0.305,0.74,125.075,4
