Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1qHqAHEiX1QjiunncclP4I,"Forever Summer","AOD","Tiger & Woods",2019-04-12,225044,6,seankmchenry,2019-05-13T18:59:26Z,"balearic,filter house,italian electronica,nu disco","Running Back",0.562,0.673,10,-8.903,0,0.0328,0.0211,0.496,0.192,0.963,87.995,4
2rG8QY6nlkTpkX8TVqEuM5,"Far Away","Invisible Escape","Fuga Ronto",2017-02-03,121386,23,seankmchenry,2019-05-13T19:00:10Z,"neapolitan funk","Phantom Island",0.667,0.723,2,-7.856,0,0.0304,0.818,0.818,0.127,0.31,93.003,4
0VCfjcHCbo5IlAF2vZuH75,"The Blue","On An Island","David Gilmour",2006-03-06,326280,36,seankmchenry,2019-05-13T19:00:52Z,"album rock,art rock,classic rock,progressive rock,symphonic rock","Columbia",0.429,0.365,4,-11.625,1,0.0254,0.712,0.0384,0.142,0.105,85.072,4
3VEdzfUk5q70JDmBH0F0Wa,"Juicy","Midnight","Emmett Kai",2017-10-24,202758,29,seankmchenry,2019-05-13T19:02:18Z,"brooklyn indie,chill dream pop","Wolf + Lamb Records",0.809,0.391,6,-6.727,0,0.0413,0.18,0.00172,0.235,0.688,86.957,4
0D2UIFvpE0xb5wEgWrpps2,"Sweetheart","Franke & The Knockouts (Original Recording Remastered)","Franke & The Knockouts",1981,251293,34,seankmchenry,2019-05-22T20:42:23Z,"yacht rock","Friday Music Two",0.598,0.848,9,-6.934,1,0.042,0.0151,0.00545,0.0748,0.714,144.562,3
0ZgzWONBEjH6pWQMR3Fkpq,"Europe","Subtle Vertigo","Scott Gilmore",2017-06-16,226965,27,seankmchenry,2019-05-13T19:02:50Z,"experimental electronic,fourth world","International Feel Recordings",0.227,0.397,4,-14.151,0,0.0369,0.969,0.89,0.275,0.326,171.638,5
3Z2xBGul0ipLSm9UEAhOCa,"Love On the Line","The Other Fantasy","Ed Longo,The Applied Arts Ensemble",2019-01-28,381380,28,seankmchenry,2019-05-13T19:12:14Z,"neapolitan funk","Early Sounds Recordings",0.776,0.613,2,-12.308,0,0.0684,0.249,0.217,0.107,0.793,112.001,4
4p7HtFKoCYUlUhYdfC9JvZ,"New Life","The Other Fantasy","Ed Longo,The Applied Arts Ensemble",2019-01-28,353822,20,seankmchenry,2019-05-13T19:12:14Z,"neapolitan funk","Early Sounds Recordings",0.626,0.551,2,-11.35,0,0.0385,0.537,0.782,0.102,0.871,170.008,4
1UugrF8Mq74QIaU9q36dAh,"Cosmic Lines","Cassette for You","BOY DUDE",2017-11-03,247827,19,seankmchenry,2019-05-13T19:13:10Z,"bedroom pop","Hobo Camp",0.641,0.383,5,-11.733,0,0.0612,0.494,0.371,0.223,0.527,166.411,4
4Yi9wIyPFlqueovQFJ4eYf,"More Than Love","Cassette for You","BOY DUDE",2017-11-03,227906,10,seankmchenry,2019-05-13T19:13:10Z,"bedroom pop","Hobo Camp",0.808,0.672,0,-10.485,0,0.0461,0.718,0.671,0.0768,0.961,130.083,4
4shVjgoOMa73JgBtZIDDz4,"Disco Sole","Nuova Napoli","Nu Genea",2018-05-01,263508,47,seankmchenry,2019-05-13T19:14:52Z,"indie napoletano,neapolitan funk","NG Records",0.725,0.905,0,-7.875,0,0.0381,0.441,0.926,0.102,0.79,111.137,4
2JPRMaLspae16F3a42LpOp,"The Birds Rejoice","Afrobeat Makers, Vol. 3 (The Tony Allen Experiments)","Nu Genea,Tony Allen",2016-02-15,242353,28,seankmchenry,2019-05-13T19:15:22Z,"indie napoletano,neapolitan funk,afrobeat,afropop,world","Comet Records",0.731,0.877,10,-10.457,0,0.0442,0.162,0.925,0.0649,0.968,104.99,4
4grQbGwc2eSJi7Pk8t0FrI,"Ocean View Drive","A Weekend Far Out","S&W",2019-02-18,228396,1,seankmchenry,2019-05-13T19:16:09Z,"","Dub Disco",0.811,0.343,9,-15.047,0,0.0694,0.459,0.95,0.123,0.721,104.016,4
72XIc5ehDkqSPxNVpN9X6N,"Mondello","A Weekend Far Out","S&W,Crocodile Funk",2019-02-18,335919,1,seankmchenry,2019-05-13T19:16:09Z,"","Dub Disco",0.78,0.689,5,-11.437,0,0.0633,0.515,0.889,0.0655,0.873,103.002,4
3ltFpiA0TZsAdaTMBBCTo4,"Astri & Riflessi","Zodyaco","Pellegrino",2018-10-15,228061,20,seankmchenry,2019-05-13T19:16:49Z,"neapolitan funk","Early Sounds Recordings",0.482,0.777,4,-10.804,1,0.0982,0.849,0.132,0.799,0.425,98.018,4
4Knh0H8i7nsW2C3HtdsweG,"Bumpin' On Sunset - Original","Liquid Diamonds","Leon Lowman",2013,433073,18,seankmchenry,2019-05-13T19:21:59Z,"synth funk","Music From Memory",0.575,0.515,6,-10.189,0,0.0476,0.902,0.92,0.169,0.199,90.457,4
0hy0lNPbBOJMWJoY0eXjer,"Morning Song - Original","Liquid Diamonds","Leon Lowman",2013,189960,31,seankmchenry,2019-05-13T19:21:59Z,"synth funk","Music From Memory",0.546,0.554,1,-6.125,1,0.0229,0.771,0.0137,0.122,0.597,97.043,4
6Ashh7KWWDvvEzE0ad58dA,"The Want - Original","Liquid Diamonds","Leon Lowman",2013,176593,8,seankmchenry,2019-05-13T19:21:59Z,"synth funk","Music From Memory",0.625,0.579,10,-7.748,0,0.149,0.611,0.359,0.0964,0.513,88.209,4
1Sp3UWnnGAo926Hp7Co18H,"Blue Atmosfear","The House Of The Rising Synth","Heinrich Dressel",2013-12-10,411228,0,seankmchenry,2019-05-13T19:25:21Z,"synthesizer","Bordello A Parigi",0.692,0.378,2,-15.123,0,0.101,0.000231,0.91,0.133,0.182,179.842,4
0s4vE966muxYTw4GXX9ADF,"A Little Spice","A Little Spice","Loose Ends",1984-01-01,310320,30,seankmchenry,2019-05-13T19:32:20Z,"brit funk,contemporary r&b,funk,new jack swing,post-disco,quiet storm,urban contemporary","EMI Catalogue",0.678,0.626,0,-12.149,1,0.0398,0.506,0.0172,0.0365,0.885,90.315,4
3DVLljt5FEJKTXeQQW8A3C,"Aquarius","Arbete/Fritid","Prins Emanuel",2016-09-02,270278,32,seankmchenry,2019-05-13T19:33:45Z,"balearic,malmo indie","Music For Dreams",0.792,0.668,0,-10.606,1,0.0813,0.0953,0.923,0.205,0.617,95.983,4
0xU60Cg8NO67sfg2QRNI2n,"Seaside View","Arbete/Fritid","Prins Emanuel",2016-09-02,223000,20,seankmchenry,2019-05-13T19:33:45Z,"balearic,malmo indie","Music For Dreams",0.84,0.689,4,-10.916,0,0.0548,0.147,0.843,0.12,0.716,120.006,4
32azKGnvgBj2VOjjciog5B,"Hypnodance","Palace Palace","Who's Who",2011-07-25,285512,19,seankmchenry,2019-05-13T19:41:04Z,"","Zagora",0.685,0.499,8,-15.067,1,0.035,0.0308,0.0102,0.0661,0.963,113.57,4
6Cnq3giYBnvFrhl2DG8p8J,"San Lorenzo","Pat Metheny Group","Pat Metheny Group",1978-03-01,613026,32,seankmchenry,2019-05-13T19:41:58Z,"contemporary post-bop,ecm-style jazz,jazz,jazz fusion","ECM Records",0.37,0.336,8,-19.623,1,0.0342,0.586,0.898,0.184,0.225,87.849,4
58JFnAlFLK48X34hvNQspC,"Big Hills","Lagoon Fool","Cale Parks",2015-05-18,242927,0,seankmchenry,2019-05-13T19:52:16Z,"ambient pop","HAKT Recordings",0.574,0.813,0,-10.155,0,0.0326,0.000332,0.799,0.135,0.806,92.003,4
4iVVkr41k15XyuWLCQ1mad,"Promises","Time And Tide","Basia",1987-10-20,243466,31,seankmchenry,2019-05-13T20:00:46Z,"smooth jazz,sophisti-pop","Epic/Legacy",0.685,0.574,6,-12.878,1,0.0492,0.0189,0.00929,0.147,0.444,112.992,4
1ueQYwSG8hJ7nhualEI68m,"Tango","Smoochy","Ryuichi Sakamoto",1997-02-25,280240,0,seankmchenry,2019-05-14T16:19:19Z,"compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack","KAB America",0.593,0.417,10,-12.325,1,0.0281,0.801,0.305,0.0985,0.382,101.025,4
6grdmn5qEwcCDR47domLoy,"Silk - 7 Version","Silk (Expanded)","Fuse One",1981-03-01,250733,1,seankmchenry,2019-05-15T14:34:04Z,"","Epic/Legacy",0.621,0.559,8,-12.716,1,0.0472,0.365,0.0276,0.182,0.669,96.161,4
6yOcaiqZraTNJNtkiuM76i,"Lonely Love","Piece By Piece","John Martyn",1986-01-01,199053,2,seankmchenry,2019-05-15T14:36:11Z,"british folk,psychedelic folk,singer-songwriter","UMC (Universal Music Catalogue)",0.812,0.489,9,-12.304,0,0.0343,0.465,0.00295,0.0945,0.665,108.935,4
