Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7eUts5d8cvVdceIC3xOndi,"I Taught Her Everting She Knows","I Taught Her Everything She Knows","Billy Walker",1968-01-01,120466,3,seankmchenry,2021-02-10T21:15:36Z,"traditional country,western swing","Legacy Recordings",0.718,0.289,3,-13.009,1,0.0285,0.707,0,0.199,0.706,110.097,4
1rO4VQMzZYyhBhOZ9lr8IO,"Drinking Champagne","I Taught Her Everything She Knows","Billy Walker",1968-01-01,142466,1,seankmchenry,2021-02-10T21:15:36Z,"traditional country,western swing","Legacy Recordings",0.488,0.295,9,-17.189,1,0.0426,0.898,0.000907,0.287,0.67,49.092,4
3JDbuHpALlhRelVTPDdcf8,"Del Rio","I Taught Her Everything She Knows","Billy Walker",1968-01-01,158213,5,seankmchenry,2021-02-10T21:15:36Z,"traditional country,western swing","Legacy Recordings",0.667,0.328,3,-13.731,1,0.0344,0.836,0,0.357,0.504,99.909,3
1OwTEqhuB1hKTwEnkUqYm1,"Talk Me Some Sense","Talk Me Some Sense","Bobby Bare",1966-02-21,142706,2,seankmchenry,2021-03-16T03:40:26Z,"classic country pop,outlaw country","Legacy Recordings",0.372,0.578,2,-9.495,1,0.0338,0.409,0,0.22,0.804,134.116,4
6XdXXGVnhoebKFxDf2LBeK,"Buck's Polka","I Don't Care","Buck Owens",1995-05-17,116066,0,seankmchenry,2021-02-10T21:15:36Z,"bakersfield sound,classic country pop,country,country rock,cowboy western,western swing","Sundazed Music / Modern Harmonic",0.476,0.904,3,-6.846,1,0.0317,0.213,0.842,0.122,0.974,133.138,4
5yZVRUTcg0ku8ofm8zJeFV,"Bud's Bounce","I Don't Care","Buck Owens",1995-05-17,109306,0,seankmchenry,2021-02-10T21:15:36Z,"bakersfield sound,classic country pop,country,country rock,cowboy western,western swing","Sundazed Music / Modern Harmonic",0.673,0.573,4,-9.44,1,0.0281,0.126,0.935,0.142,0.963,96.758,4
3buUkk765hH4RQsJeKgTLB,"Buckaroo","Instrumental Hits","Buck Owens",1995-09-12,122373,0,seankmchenry,2021-02-10T21:15:36Z,"bakersfield sound,classic country pop,country,country rock,cowboy western,western swing","Sundazed Music / Modern Harmonic",0.559,0.636,1,-11.117,1,0.0245,0.00278,0.844,0.0701,0.966,94.902,4
0E0rPki6qGhWXdZv618Q2L,"I've Got a Tiger By the Tail","I've Got a Tiger By the Tail","Buck Owens",1995-05-17,133120,0,seankmchenry,2021-02-10T21:15:36Z,"bakersfield sound,classic country pop,country,country rock,cowboy western,western swing","Sundazed Music / Modern Harmonic",0.639,0.575,4,-7.122,1,0.0321,0.521,0.000384,0.0678,0.962,96.87,4
7pGgGqwcdGYlROGM3gTBxU,"Gonna Roll Out the Red Carpet","Roll Out the Red Carpet","Buck Owens",1995-09-12,134600,0,seankmchenry,2021-02-10T21:15:36Z,"bakersfield sound,classic country pop,country,country rock,cowboy western,western swing","Sundazed Music / Modern Harmonic",0.59,0.617,8,-8.24,1,0.0473,0.682,0,0.112,0.966,186.627,4
1SrDaQPxudvyEtsLCvwFrr,"I'm Layin' It On the Line","Roll Out the Red Carpet","Buck Owens",1995-09-12,148160,0,seankmchenry,2021-02-10T21:15:36Z,"bakersfield sound,classic country pop,country,country rock,cowboy western,western swing","Sundazed Music / Modern Harmonic",0.633,0.734,8,-6.813,1,0.0299,0.654,0.0000631,0.29,0.94,78.511,1
