Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3aUBRodr5jhISMEZfF7t1h,"3YfpfN9dOwJUoeqXoWazgi","Virtual Age","Private Paradise","Space Ghost",2022-03-31,288442,20,spotify:user:seankmchenry,2022-07-08T12:41:20Z,"float house,jazz house",0.383,0.425,4,-14.034,0,0.0388,0.938,0.919,0.148,0.409,73.936,3
5Yz5tscFufDijUEbLdywlZ,"3YfpfN9dOwJUoeqXoWazgi","Inner Focus","Private Paradise","Space Ghost",2022-03-31,384000,30,spotify:user:seankmchenry,2022-07-08T12:41:20Z,"float house,jazz house",0.702,0.729,0,-10.224,0,0.0482,0.019,0.926,0.0804,0.333,115.019,4
3PRiyHwaFQBRqGTdAuaZWU,"3YfpfN9dOwJUoeqXoWazgi","Save Point","Private Paradise","Space Ghost",2022-03-31,301371,19,spotify:user:seankmchenry,2022-07-08T12:41:20Z,"float house,jazz house",0.661,0.274,9,-15.606,0,0.0622,0.993,0.902,0.0541,0.721,161.97,4
0u6OX6XqPbdelUOPRSJf9u,"3YfpfN9dOwJUoeqXoWazgi","Sounds Of Peace","Private Paradise","Space Ghost",2022-03-31,269217,21,spotify:user:seankmchenry,2022-07-08T12:41:20Z,"float house,jazz house",0.784,0.364,0,-13.762,0,0.0548,0.841,0.899,0.339,0.786,115.002,4
1EUQnRlA9jYpUhVjudWxlh,"3YfpfN9dOwJUoeqXoWazgi","Time Station","Private Paradise","Space Ghost",2022-03-31,314198,19,spotify:user:seankmchenry,2022-07-08T12:41:20Z,"float house,jazz house",0.539,0.708,5,-10.398,0,0.0392,0.00298,0.922,0.488,0.523,116.979,4
0OXlvEm84YfDByYknVpJau,"3YfpfN9dOwJUoeqXoWazgi","Heal","Private Paradise","Space Ghost",2022-03-31,410635,18,spotify:user:seankmchenry,2022-07-08T12:41:20Z,"float house,jazz house",0.454,0.24,7,-18.319,0,0.0405,0.986,0.936,0.078,0.37,150.095,3
6VjWSXdt1eH65XqGz3YC0T,"3YfpfN9dOwJUoeqXoWazgi","Private Paradise","Private Paradise","Space Ghost",2022-03-31,451200,24,spotify:user:seankmchenry,2022-07-08T12:41:20Z,"float house,jazz house",0.65,0.462,10,-13.565,0,0.0349,0.397,0.853,0.178,0.179,100.01,4
1XUv9gkoLmI7fhbDDxqYFA,"3YfpfN9dOwJUoeqXoWazgi","New Day","Private Paradise","Space Ghost",2022-03-31,156000,19,spotify:user:seankmchenry,2022-07-08T12:41:20Z,"float house,jazz house",0.257,0.0731,1,-21.86,1,0.0439,0.995,0.948,0.172,0.0743,99.557,4
54pYir5OH4itTUHsvI6Ug1,"4Ho22fa1FLgbvO8f3WaMbT","Star Mappers","Wave Science","Emissive",2021-06-02,353408,2,spotify:user:seankmchenry,2022-07-08T12:41:59Z,"",0.691,0.916,4,-8.23,0,0.0502,0.157,0.456,0.144,0.383,122.016,4
5InxzS6sUzhlFHKZSSFBpx,"4Ho22fa1FLgbvO8f3WaMbT","Simple Harmonic Motion","Wave Science","Emissive",2021-06-02,326169,1,spotify:user:seankmchenry,2022-07-08T12:41:59Z,"",0.751,0.953,0,-9.572,1,0.0564,0.0221,0.152,0.102,0.67,121.009,3
4yKmkx0nLYz53C2wkNj4X6,"4Ho22fa1FLgbvO8f3WaMbT","Love Perception","Wave Science","Emissive",2021-06-02,355413,5,spotify:user:seankmchenry,2022-07-08T12:41:59Z,"",0.527,0.483,9,-9.011,0,0.189,0.581,0.46,0.0915,0.478,116.917,4
3O5GK9atx98YZWXQLeG4S0,"4Ho22fa1FLgbvO8f3WaMbT","Sidewalk Jam","Wave Science","Emissive",2021-06-02,330091,1,spotify:user:seankmchenry,2022-07-08T12:41:59Z,"",0.765,0.902,4,-8.426,0,0.0913,0.888,0.84,0.115,0.597,107.993,4
5bJbQ197asQRYMDsCrkpw4,"1hj7xHjPCYRujYz7lHeyW8","An Eye, For I","Programmer","Corben",2020-09-04,469837,6,spotify:user:seankmchenry,2022-07-08T12:41:35Z,"",0.441,0.215,5,-14.513,1,0.0405,0.599,0.919,0.66,0.274,138,4
5PBbmE0XswCj3UW6nUO2qZ,"1hj7xHjPCYRujYz7lHeyW8","Go On","Programmer","Corben",2020-09-04,372587,4,spotify:user:seankmchenry,2022-07-08T12:41:35Z,"",0.403,0.322,2,-15.74,1,0.0359,0.712,0.535,0.109,0.111,169.883,4
7cv4Ta7LTWVLeHL4VYv3u8,"1hj7xHjPCYRujYz7lHeyW8","VC/DC","Programmer","Corben",2020-09-04,314878,13,spotify:user:seankmchenry,2022-07-08T12:41:35Z,"",0.831,0.412,1,-9.72,1,0.0755,0.0452,0.888,0.106,0.213,105.002,4
1pyRn1jrTcEgKKqcynw6cZ,"1hj7xHjPCYRujYz7lHeyW8","In Dreams","Programmer","Corben",2020-09-04,547437,11,spotify:user:seankmchenry,2022-07-08T12:41:35Z,"",0.748,0.296,9,-13.295,0,0.0363,0.445,0.946,0.0753,0.119,119.989,4
