Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
26PeFXw8HM7ThTDEp3AUmG,"3oKRxpszQKUjjaHz388fVA","Myenemy","Hideout","Parcels",2017-01-27,213891,29,spotify:user:seankmchenry,2023-01-20T15:13:19Z,"aussietronica,indie soul",0.927,0.715,9,-4.836,0,0.0682,0.498,0.0952,0.758,0.554,110.025,4
47kgL2HIzq2WDkv72QYlCE,"3oKRxpszQKUjjaHz388fVA","Gamesofluck","Hideout","Parcels",2017-01-27,348093,43,spotify:user:seankmchenry,2023-01-20T15:13:19Z,"aussietronica,indie soul",0.659,0.757,9,-5.275,0,0.038,0.128,0.485,0.0859,0.553,104.997,4
7z5R6cbZpB4njz080aA6u2,"3oKRxpszQKUjjaHz388fVA","Hideout","Hideout","Parcels",2017-01-27,266454,56,spotify:user:seankmchenry,2023-01-20T15:13:19Z,"aussietronica,indie soul",0.784,0.587,9,-6.361,1,0.0422,0.273,0.0107,0.356,0.855,107.999,4
0QNKFMSAvjWSCN6th8vM3U,"3oKRxpszQKUjjaHz388fVA","Older","Hideout","Parcels",2017-01-27,207192,31,spotify:user:seankmchenry,2023-01-20T15:13:19Z,"aussietronica,indie soul",0.746,0.765,3,-5.487,1,0.054,0.366,0.00156,0.0799,0.972,154.971,5
0spju7D9COKViYQAqqGlyM,"3oKRxpszQKUjjaHz388fVA","Allaround","Hideout","Parcels",2017-01-27,296045,45,spotify:user:seankmchenry,2023-01-20T15:13:19Z,"aussietronica,indie soul",0.788,0.692,1,-6.257,0,0.0731,0.491,0.252,0.0779,0.684,107.983,4
4H78HR8fBjJRWRueFVKo79,"3oKRxpszQKUjjaHz388fVA","Comedown","Parcels","Parcels",2018-10-12,188724,50,spotify:user:seankmchenry,2023-01-20T15:13:23Z,"aussietronica,indie soul",0.893,0.44,0,-8.373,1,0.0436,0.596,0.126,0.322,0.347,122.991,4
1qtiESAzfGMw3YqJvI97ki,"3oKRxpszQKUjjaHz388fVA","Lightenup","Parcels","Parcels",2018-10-12,237227,61,spotify:user:seankmchenry,2023-01-20T15:13:23Z,"aussietronica,indie soul",0.857,0.658,0,-9.8,1,0.0388,0.015,0.266,0.105,0.703,122.969,4
1Avnd5xLg7HmaNofmYk7RQ,"3oKRxpszQKUjjaHz388fVA","Withorwithout","Parcels","Parcels",2018-10-12,205048,54,spotify:user:seankmchenry,2023-01-20T15:13:23Z,"aussietronica,indie soul",0.803,0.662,0,-8.073,1,0.0308,0.642,0.901,0.151,0.814,105.012,4
1hRQ0Kzy8gZXEikgrsOT9O,"3oKRxpszQKUjjaHz388fVA","Tape","Parcels","Parcels",2018-10-12,223552,46,spotify:user:seankmchenry,2023-01-20T15:13:23Z,"aussietronica,indie soul",0.831,0.504,8,-9.183,1,0.0509,0.231,0.0719,0.116,0.973,136.962,4
5233fZGEk0FY0AzdgLaWch,"3oKRxpszQKUjjaHz388fVA","Everyroad","Parcels","Parcels",2018-10-12,515886,44,spotify:user:seankmchenry,2023-01-20T15:13:23Z,"aussietronica,indie soul",0.488,0.417,2,-12.078,1,0.0419,0.621,0.662,0.131,0.254,111.257,4
