Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6UwTR0kjCtlT4FMNtIvLac,"3t58jfUhoMLYVO14XaUFLA","Bright Size Life","Bright Size Life","Pat Metheny",1976-03-01,285600,46,spotify:user:seankmchenry,2022-07-27T03:17:13Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.405,0.342,7,-16.968,1,0.0278,0.58,0.656,0.1,0.556,82.139,4
5xv5oiWRCgMUcd6dycpT7j,"3t58jfUhoMLYVO14XaUFLA","Sirabhorn","Bright Size Life","Pat Metheny",1976-03-01,327173,37,spotify:user:seankmchenry,2022-07-27T03:17:13Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.411,0.194,6,-18.697,0,0.031,0.945,0.888,0.151,0.0937,128.11,3
7o56T3Ib6ZjVT6qFTCQFqP,"3t58jfUhoMLYVO14XaUFLA","Unity Village","Bright Size Life","Pat Metheny",1976-03-01,222733,39,spotify:user:seankmchenry,2022-07-27T03:17:13Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.4,0.0688,5,-19.572,1,0.0391,0.992,0.875,0.105,0.101,72.861,4
40m00PHKCDfc73TQboFWFP,"3t58jfUhoMLYVO14XaUFLA","Missouri Uncompromised","Bright Size Life","Pat Metheny",1976-03-01,255800,31,spotify:user:seankmchenry,2022-07-27T03:17:13Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.396,0.504,9,-14.481,1,0.0299,0.852,0.593,0.0745,0.426,111.009,4
4x0V8GpAlt5x6DyYYSog0A,"3t58jfUhoMLYVO14XaUFLA","Midwestern Nights Dream","Bright Size Life","Pat Metheny",1976-03-01,366133,37,spotify:user:seankmchenry,2022-07-27T03:17:13Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.406,0.105,2,-23.288,1,0.0336,0.864,0.828,0.152,0.11,106.013,4
7jKeslkYYcER0xVjFtirpC,"3t58jfUhoMLYVO14XaUFLA","Unquity Road","Bright Size Life","Pat Metheny",1976-03-01,216000,32,spotify:user:seankmchenry,2022-07-27T03:17:13Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.441,0.467,4,-14.521,1,0.0293,0.915,0.842,0.118,0.368,102.923,4
337Brv18iAflSpzXOD60DY,"3t58jfUhoMLYVO14XaUFLA","Omaha Celebration","Bright Size Life","Pat Metheny",1976-03-01,258160,32,spotify:user:seankmchenry,2022-07-27T03:17:13Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.328,0.366,4,-17.457,1,0.0309,0.909,0.771,0.0999,0.456,170.37,4
5JCswZ3F7peTV9jMmHTRHy,"3t58jfUhoMLYVO14XaUFLA","Round Trip / Broadway Blues","Bright Size Life","Pat Metheny",1976-03-01,300666,27,spotify:user:seankmchenry,2022-07-27T03:17:13Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.415,0.449,1,-16.179,1,0.0349,0.486,0.205,0.147,0.616,117.77,4
2tN3XpXseATqWyiEGIcA6U,"3t58jfUhoMLYVO14XaUFLA","Watercolors","Watercolors","Pat Metheny",1977-05-01,389266,29,spotify:user:seankmchenry,2022-07-27T03:17:22Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.302,0.338,8,-17.849,1,0.0286,0.897,0.891,0.184,0.38,165.825,4
25dlUOlafrlX0oIp7TJU8C,"3t58jfUhoMLYVO14XaUFLA","Icefire","Watercolors","Pat Metheny",1977-05-01,366360,24,spotify:user:seankmchenry,2022-07-27T03:17:22Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.387,0.0809,2,-19.371,0,0.0401,0.989,0.915,0.141,0.0356,126.731,4
5id8E9yAsSjcuSyCqTQEXp,"3t58jfUhoMLYVO14XaUFLA","Oasis","Watercolors","Pat Metheny",1977-05-01,242493,34,spotify:user:seankmchenry,2022-07-27T03:17:22Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.242,0.0946,3,-23.422,0,0.0331,0.967,0.954,0.116,0.0527,94.848,4
4HuFHXMOUV8aMnNgqZAyxH,"3t58jfUhoMLYVO14XaUFLA","Lakes","Watercolors","Pat Metheny",1977-05-01,283533,25,spotify:user:seankmchenry,2022-07-27T03:17:22Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.453,0.421,2,-16.749,1,0.0263,0.923,0.938,0.0946,0.393,90.762,4
2fFdR7CBfFISohCpPD1QGt,"3t58jfUhoMLYVO14XaUFLA","River Quay","Watercolors","Pat Metheny",1977-05-01,297733,26,spotify:user:seankmchenry,2022-07-27T03:17:22Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.565,0.299,0,-18.054,0,0.0247,0.789,0.905,0.115,0.507,96.834,4
3wNaqwfWpiNsXZ86OZCVsS,"3t58jfUhoMLYVO14XaUFLA","Suite: I. Florida Greeting Song","Watercolors","Pat Metheny",1977-05-01,151000,20,spotify:user:seankmchenry,2022-07-27T03:17:22Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.381,0.269,7,-19.285,1,0.0371,0.856,0.58,0.0963,0.438,158.479,4
4x7vpkSeJx89hvYdja6zPl,"3t58jfUhoMLYVO14XaUFLA","Suite: II. Legend Of The Fountain","Watercolors","Pat Metheny",1977-05-01,149640,28,spotify:user:seankmchenry,2022-07-27T03:17:22Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.49,0.0242,3,-21.309,0,0.0589,0.977,0.923,0.106,0.0922,78.212,4
2quCdj1XhIiikH6Q6PzcDo,"3t58jfUhoMLYVO14XaUFLA","Sea Song","Watercolors","Pat Metheny",1977-05-01,617600,22,spotify:user:seankmchenry,2022-07-27T03:17:22Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.156,0.144,2,-21.603,0,0.0357,0.975,0.931,0.0903,0.039,73.888,4
2kl7spTQl3sUygDYR7R6s1,"3t58jfUhoMLYVO14XaUFLA","New Chautauqua","New Chautauqua","Pat Metheny",1979-03-01,316373,27,spotify:user:seankmchenry,2022-07-27T03:18:06Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.547,0.15,9,-19.622,1,0.0321,0.937,0.951,0.0848,0.224,137.692,4
6pvcDEFLLoCJbdYCbr9wNr,"3t58jfUhoMLYVO14XaUFLA","Country Poem","New Chautauqua","Pat Metheny",1979-03-01,151933,29,spotify:user:seankmchenry,2022-07-27T03:18:06Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.394,0.0347,6,-24.717,1,0.0367,0.898,0.95,0.111,0.141,109.483,4
6NVTG2OkLAd7tBktHo9Zwq,"3t58jfUhoMLYVO14XaUFLA","Long Ago Child / Fallen Star","New Chautauqua","Pat Metheny",1979-03-01,615640,20,spotify:user:seankmchenry,2022-07-27T03:18:06Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.285,0.0279,5,-24.224,0,0.0428,0.981,0.751,0.125,0.0364,87.531,3
0DhNOb7mEcMwlJdlSc17SD,"3t58jfUhoMLYVO14XaUFLA","Hermitage","New Chautauqua","Pat Metheny",1979-03-01,336573,23,spotify:user:seankmchenry,2022-07-27T03:18:06Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.35,0.0111,9,-24.571,0,0.0473,0.989,0.897,0.0898,0.053,207.502,4
4ZHDO39CCIe7hjmrZmD1zh,"3t58jfUhoMLYVO14XaUFLA","Sueño Con Mexico","New Chautauqua","Pat Metheny",1979-03-01,356040,38,spotify:user:seankmchenry,2022-07-27T03:18:06Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.388,0.073,7,-25.524,1,0.0325,0.748,0.95,0.166,0.136,107.657,3
6bRVBElkdBN0m50pcJRlqu,"3t58jfUhoMLYVO14XaUFLA","Daybreak","New Chautauqua","Pat Metheny",1979-03-01,518866,21,spotify:user:seankmchenry,2022-07-27T03:18:06Z,"avant-garde jazz,contemporary post-bop,jazz,jazz fusion,jazz guitar",0.458,0.034,10,-21.861,1,0.0413,0.969,0.913,0.0848,0.112,136.122,4
