Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
19bb9E728mmpEunAItE1K6,"School's Rules","United","Phoenix",2000-03-06,92333,23,seankmchenry,2024-02-08T14:10:25Z,"alternative dance,indie rock,modern rock,new rave,rock independant francais,shimmer pop","Parlophone (France)",0.525,0.379,0,-9.119,1,0.0512,0.00474,0.928,0.226,0.21,120.404,4
2THkQauDWMvJgXFGPY4iKB,"Too Young","United","Phoenix",2000-03-06,197973,58,seankmchenry,2024-02-08T14:10:25Z,"alternative dance,indie rock,modern rock,new rave,rock independant francais,shimmer pop","Parlophone (France)",0.622,0.75,9,-6.367,0,0.0445,0.0625,0.000133,0.127,0.905,141.324,4
5dtTD2LIqWk1GsB8y0zDur,"Honeymoon","United","Phoenix",2000-03-06,300533,33,seankmchenry,2024-02-08T14:10:25Z,"alternative dance,indie rock,modern rock,new rave,rock independant francais,shimmer pop","Parlophone (France)",0.56,0.528,5,-9.323,1,0.0304,0.049,0.417,0.0869,0.224,148.444,4
3AA8xNhDC0MpqwkGX3EP5V,"If I Ever Feel Better","United","Phoenix",2000-03-06,266600,64,seankmchenry,2024-02-08T14:10:25Z,"alternative dance,indie rock,modern rock,new rave,rock independant francais,shimmer pop","Parlophone (France)",0.755,0.553,6,-9.449,0,0.107,0.0492,0.00607,0.0646,0.836,119.7,4
39B5BzcJcPMGP3JuKg7g58,"Party Time","United","Phoenix",2000-03-06,133933,23,seankmchenry,2024-02-08T14:10:25Z,"alternative dance,indie rock,modern rock,new rave,rock independant francais,shimmer pop","Parlophone (France)",0.19,0.762,0,-8.157,1,0.039,0.000128,0.834,0.163,0.49,161.327,4
6ayQqGsXx1jxDiEku4V9Gg,"On Fire","United","Phoenix",2000-03-06,169800,32,seankmchenry,2024-02-08T14:10:25Z,"alternative dance,indie rock,modern rock,new rave,rock independant francais,shimmer pop","Parlophone (France)",0.459,0.749,5,-7.439,1,0.0781,0.0212,0.00172,0.263,0.57,175.766,4
4ryuJlslXmRBn2csXJ5kfk,"Embuscade","United","Phoenix",2000-03-06,236666,26,seankmchenry,2024-02-08T14:10:25Z,"alternative dance,indie rock,modern rock,new rave,rock independant francais,shimmer pop","Parlophone (France)",0.436,0.573,2,-7.52,0,0.0279,0.0252,0.84,0.0635,0.388,135.645,4
1g50RH5iSvlFwhHsRRNP9D,"Summer Days","United","Phoenix",2000-03-06,195866,32,seankmchenry,2024-02-08T14:10:25Z,"alternative dance,indie rock,modern rock,new rave,rock independant francais,shimmer pop","Parlophone (France)",0.367,0.447,0,-7.622,1,0.0283,0.0588,0.0000118,0.106,0.554,143.343,3
2MPaII39Ze6Fyj3q5LyfSX,"Funky Squaredance, Pt. 1/2/3 (Medley)","United","Phoenix",2000-03-06,579066,25,seankmchenry,2024-02-08T14:10:25Z,"alternative dance,indie rock,modern rock,new rave,rock independant francais,shimmer pop","Parlophone (France)",0.643,0.55,5,-8.284,0,0.0532,0.0158,0.00378,0.169,0.66,113.941,4
1BfKwzPvTyt45fXq7zUQPZ,"Definitive Breaks","United","Phoenix",2000-03-06,100466,28,seankmchenry,2024-02-08T14:10:25Z,"alternative dance,indie rock,modern rock,new rave,rock independant francais,shimmer pop","Parlophone (France)",0.696,0.466,0,-9.928,1,0.0356,0.4,0.707,0.113,0.409,98.004,4
