Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4YlUVxSBA5RFC8SvNyYCHW,"The Breeze And I","Hoala","The Brothers Cazimero",1978-11-05,153733,10,seankmchenry,2023-07-20T17:44:26Z,"hawaiian,slack-key guitar","The Mountain Apple Company",0.444,0.0315,2,-26.734,1,0.0356,0.912,0.00002,0.152,0.368,75.084,4
6SoY3GYxJDyFbYJQ1Wmt7b,"Love You out of Your Mind","An Eye for an Eye","Byrne & Barnes",1981,195789,37,seankmchenry,2023-07-20T17:45:27Z,"deep soft rock,yacht rock","Favorite",0.691,0.439,10,-11.379,0,0.0786,0.826,0.0039,0.174,0.835,83.007,4
5KKNRpg4v56xapa4RHERHx,"Port O Call","Just Another Day in Paradise","Bertie Higgins",1982-01-01,206533,10,seankmchenry,2023-07-20T17:49:58Z,"","Key Largo Records",0.683,0.651,11,-11.886,0,0.0328,0.113,0,0.536,0.805,119.146,4
3PHwwKvUEydDG6mGKVFncM,"Island Smile","From the Heart","Mackey Feary",1979,304493,5,seankmchenry,2023-07-20T17:47:49Z,"","Kahuku Publishing",0.548,0.524,2,-12.921,1,0.0329,0.577,0.943,0.0805,0.259,128.91,4
5JR8HTsLChLCRKfOm9lY2D,"Apartment #703","Mackey Feary & Nite Life","Mackey Feary",1983,240093,0,seankmchenry,2023-07-20T17:48:08Z,"","Kahuku Publishing",0.506,0.809,11,-8.834,0,0.0794,0.08,0.821,0.115,0.743,135.003,4
7lX2zznCc07XDOe9Kt9st7,"Eastside Story","Archives Vol. 9","Trevor Duncan",1999-06-24,87400,34,seankmchenry,2023-07-20T17:52:13Z,"","KPM Main Series",0.164,0.355,6,-8.874,1,0.033,0.801,0.736,0.142,0.0787,133.377,4
7Km25EvhrKtt6Wy2AmJGCh,"Sumahama - Remastered 2000","L.A. (Light Album) [Remastered]","The Beach Boys",1979-03-19,272106,13,seankmchenry,2023-07-20T17:56:50Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop","Capitol Records",0.587,0.313,1,-11.382,1,0.0263,0.8,0.0000187,0.0745,0.425,101.128,4
7HSPN1cuHat5IYkSldSuyq,"Breakfast At Benny's","Fruitcake 2","Fruitcake",1984-04-06,185960,2,seankmchenry,2023-07-20T18:04:46Z,"","High Fashion Music",0.702,0.526,2,-11.477,0,0.0388,0.624,0.936,0.0823,0.933,113.09,4
51ns8zyfI5gdD8mJv6wIme,"Call Me","Wolf","Bill Wolfer",1984-01-01,240066,0,seankmchenry,2023-07-20T18:04:55Z,"","UNIDISC MUSIC INC.",0.755,0.691,6,-9.364,0,0.0546,0.154,0,0.322,0.771,103.789,4
0IhNlGeqGszzsukVYAFPEk,"Woman In You","Intentions","Maxi Priest",1986-01-01,253400,9,seankmchenry,2023-07-20T18:12:25Z,"lovers rock,reggae,reggae fusion","Virgin Catalogue",0.737,0.391,7,-15.384,1,0.0598,0.1,0.000119,0.0807,0.779,88.502,4
5I1j0vcUC17krA5XGbIXHx,"Bidi Bidi Bom Bom","Dreaming Of You","Selena",1995,222266,41,seankmchenry,2023-07-20T18:12:41Z,"mexican pop,tejano","EMI Latin (LAT)",0.653,0.798,10,-7.573,1,0.0905,0.134,0.00000972,0.303,0.909,180.169,4
0pDCVNozy0RLEfQpJ6bPYJ,"Boys of Autumn","All Dressed Up","David Roberts",1982-06-29,254457,39,seankmchenry,2023-07-20T18:16:02Z,"deep soft rock,yacht rock","Warner Music Canada",0.73,0.637,1,-9.189,1,0.0452,0.122,0.000132,0.106,0.451,120.134,4
3gO8aGVFCpPqJOPOMMAhs0,"Cruel","Cruel","Germans",2013-05-28,207315,21,seankmchenry,2023-07-20T18:16:05Z,"","Self Released",0.608,0.761,0,-7.226,1,0.0327,0.144,0.0247,0.105,0.941,84.008,4
5VYB1J9aXyYxjE5Z8kXRgK,"Hey, Little Girl","Primitive Man (Bonus Track Edition)","ICEHOUSE",1982-09-06,264666,51,seankmchenry,2023-07-20T18:16:08Z,"australian rock,new romantic,sophisti-pop,synthpop","Diva",0.736,0.891,9,-5.828,0,0.0328,0.151,0.516,0.0871,0.868,135.532,4
2mFC1DGwLeHRO1Ai5h35jA,"Dune Tune","Level 42","Level 42",1981-01-01,290040,10,seankmchenry,2023-07-20T18:16:10Z,"brit funk,dance rock,new romantic,new wave pop,post-disco,sophisti-pop,synthpop","Polydor Records",0.575,0.325,9,-15.315,1,0.0462,0.387,0.904,0.0426,0.511,81.096,4
4B7GNbgrDKD64kEiiuYQj8,"Polo In The Palisades","Nocturnal Playground","Russ Freeman",1985,329626,25,seankmchenry,2023-07-20T18:16:15Z,"smooth jazz","Brainchild Records",0.624,0.502,11,-16.863,1,0.0403,0.629,0.835,0.068,0.618,94.978,4
1ZnQFc3ifkHA1sdBGFO2EL,"Melodies of Love","Melodies of Love","Pink Rhythm",2017-03-03,321773,32,seankmchenry,2023-07-20T18:16:17Z,"synth funk","Beggars Banquet",0.646,0.77,7,-6.243,1,0.0325,0.0668,0.112,0.403,0.869,100.334,4
22QiTJqDn1BIRSh4mkNJ5w,"Cherish the Day","Love Deluxe","Sade",1992-10-26,332133,60,seankmchenry,2023-07-20T18:16:19Z,"british soul,sophisti-pop","Epic",0.68,0.389,8,-13.239,1,0.0545,0.0121,0.0834,0.105,0.68,80.145,4
5PR3Kyki1FuPUtuY86e7eB,"Garden Of Love","Don Ray - Garden of Love","Cerrone",2014-10-27,280000,17,seankmchenry,2023-07-20T18:17:44Z,"hi-nrg,vintage french electronic","Malligator Préférence",0.78,0.861,9,-6.059,0,0.0516,0.0351,0.000205,0.11,0.859,107.365,4
5q6LixvVOrfFpxM2Zsx5EK,"Nite Crawler","Larry Carlton","Larry Carlton",1978,323533,21,seankmchenry,2023-07-20T18:22:27Z,"jazz fusion,jazz guitar,smooth jazz","Rhino/Warner Records",0.626,0.546,9,-13.348,1,0.0292,0.0537,0.849,0.0869,0.656,101.311,4
