Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6gXwTClXHfdHZ1niyKwiEy,"2r2vazPWwll5lAiKrxwcgC","One of a Kind","Urgent Matter","Pink $ock",2017-02-14,252784,4,spotify:user:seankmchenry,2022-04-29T19:29:12Z,"bedroom soul",0.682,0.539,0,-13.353,1,0.0364,0.533,0.555,0.0907,0.282,139.971,4
3IqvLi8u7zI0s3pCOPwWYr,"2r2vazPWwll5lAiKrxwcgC","Vodka Cranberry","Urgent Matter","Pink $ock",2017-02-14,179126,3,spotify:user:seankmchenry,2022-04-29T19:29:12Z,"bedroom soul",0.783,0.371,2,-8.622,0,0.0416,0.839,0.00214,0.101,0.158,119.982,4
3BiGG3QeBBUCDCRX0OOIVU,"2r2vazPWwll5lAiKrxwcgC","Anything For You","Urgent Matter","Pink $ock",2017-02-14,180409,2,spotify:user:seankmchenry,2022-04-29T19:29:12Z,"bedroom soul",0.35,0.429,2,-10.384,1,0.0405,0.595,0,0.0942,0.264,139.724,5
5QY08YJRKERNHxAxNf86Yl,"2r2vazPWwll5lAiKrxwcgC","Futon Baby","Urgent Matter","Pink $ock",2017-02-14,153343,3,spotify:user:seankmchenry,2022-04-29T19:29:12Z,"bedroom soul",0.666,0.291,1,-9.552,1,0.0402,0.0325,0.00906,0.282,0.239,80.048,4
46lZGIybg7WJ4jGBMB0G3D,"2r2vazPWwll5lAiKrxwcgC","Eat You Alive","Urgent Matter","Pink $ock",2017-02-14,162191,2,spotify:user:seankmchenry,2022-04-29T19:29:12Z,"bedroom soul",0.527,0.735,6,-8.242,0,0.0398,0.573,0.255,0.112,0.411,180.047,4
5QmjbZtmDxIIjsd8WvWYLR,"2r2vazPWwll5lAiKrxwcgC","She's just a friend of mine","Urgent Matter","Pink $ock",2017-02-14,160339,2,spotify:user:seankmchenry,2022-04-29T19:29:12Z,"bedroom soul",0.399,0.648,4,-9.263,0,0.0558,0.476,0.0108,0.307,0.0494,80.323,3
2FbXTYZp1AIMV7oe4eaCMk,"2r2vazPWwll5lAiKrxwcgC","War Crime","Urgent Matter","Pink $ock",2017-02-14,180511,2,spotify:user:seankmchenry,2022-04-29T19:29:12Z,"bedroom soul",0.589,0.437,4,-12.24,0,0.0382,0.0119,0.585,0.076,0.506,89.991,4
6QWR698a0pfDdWUFGXZL1O,"2r2vazPWwll5lAiKrxwcgC","Pink Sock","Urgent Matter","Pink $ock",2017-02-14,240267,3,spotify:user:seankmchenry,2022-04-29T19:29:12Z,"bedroom soul",0.557,0.248,6,-11.796,0,0.0297,0.474,0.00928,0.0772,0.129,137.831,4
6GL0UPwZK7h8RvaPERgiZk,"2r2vazPWwll5lAiKrxwcgC","Drunk Sex","14th and Pico","Pink $ock",2017-10-12,173487,17,spotify:user:seankmchenry,2022-04-29T19:29:13Z,"bedroom soul",0.697,0.444,0,-10.224,1,0.0367,0.284,0.0000183,0.248,0.27,99.961,4
4rNZdU6Hl0sLGuWi0sxV8e,"2r2vazPWwll5lAiKrxwcgC","Westside Girl","14th and Pico","Pink $ock",2017-10-12,186441,18,spotify:user:seankmchenry,2022-04-29T19:29:13Z,"bedroom soul",0.737,0.501,9,-9.196,0,0.0301,0.437,0.0417,0.131,0.568,115.942,4
106Act4baT8i0UGuO1WBbn,"2r2vazPWwll5lAiKrxwcgC","Feminist Cowboy","14th and Pico","Pink $ock",2017-10-12,153652,19,spotify:user:seankmchenry,2022-04-29T19:29:13Z,"bedroom soul",0.679,0.459,0,-9.096,1,0.0387,0.0964,0.00108,0.0649,0.535,75.017,4
3x7ER83Qt0WPM2CAJkY6mY,"2r2vazPWwll5lAiKrxwcgC","Saturday Night","14th and Pico","Pink $ock",2017-10-12,208505,12,spotify:user:seankmchenry,2022-04-29T19:29:13Z,"bedroom soul",0.627,0.511,2,-9.037,0,0.028,0.0234,0.00636,0.0817,0.29,119.996,4
6IlhcstyoFhVxypmSnYuCm,"2r2vazPWwll5lAiKrxwcgC","Be My Sugar (Be My Cream)","14th and Pico","Pink $ock",2017-10-12,219277,9,spotify:user:seankmchenry,2022-04-29T19:29:13Z,"bedroom soul",0.427,0.546,0,-11.493,1,0.049,0.283,0.00238,0.133,0.505,100.017,4
5vZqpdSK4fTesYCNfgj2f5,"2r2vazPWwll5lAiKrxwcgC","Drugs","14th and Pico","Pink $ock",2017-10-12,180742,8,spotify:user:seankmchenry,2022-04-29T19:29:13Z,"bedroom soul",0.604,0.763,0,-11.767,1,0.0334,0.0394,0.157,0.132,0.361,120.006,4
7aY5ynjYjotDDZnzXBu9Xf,"2r2vazPWwll5lAiKrxwcgC","Do You Believe in Destiny?","14th and Pico","Pink $ock",2017-10-12,206470,7,spotify:user:seankmchenry,2022-04-29T19:29:13Z,"bedroom soul",0.543,0.581,7,-10.543,1,0.0373,0.225,0.532,0.113,0.396,90.006,4
3jQtT5lnMVy8lLlYnMMZLW,"2r2vazPWwll5lAiKrxwcgC","Hey","14th and Pico","Pink $ock",2017-10-12,245499,22,spotify:user:seankmchenry,2022-04-29T19:29:13Z,"bedroom soul",0.759,0.555,0,-9.144,1,0.0278,0.679,0.039,0.0974,0.193,119.977,4
7bzvT1SarSriL5nzsTyMk3,"2r2vazPWwll5lAiKrxwcgC","Extra","Single","Pink $ock",2018-02-14,146308,7,spotify:user:seankmchenry,2022-04-29T19:29:14Z,"bedroom soul",0.684,0.643,7,-9.731,1,0.039,0.00119,0.0229,0.211,0.38,130.076,4
7j7TtpMHRAWplhzMEHAcQx,"2r2vazPWwll5lAiKrxwcgC","Sex Ed","Single","Pink $ock",2018-02-14,161332,5,spotify:user:seankmchenry,2022-04-29T19:29:14Z,"bedroom soul",0.738,0.745,0,-10.018,1,0.11,0.0118,0.27,0.0875,0.301,119.886,4
1mnZMlZiQ9hxMJevfo0Hyo,"2r2vazPWwll5lAiKrxwcgC","Brandy","Single","Pink $ock",2018-02-14,200492,4,spotify:user:seankmchenry,2022-04-29T19:29:14Z,"bedroom soul",0.47,0.754,5,-8.067,0,0.0347,0.0954,0.0000465,0.0974,0.369,99.887,4
5IaEX5W4lbj0VgnhxiOYX5,"2r2vazPWwll5lAiKrxwcgC","Who Is She?","Single","Pink $ock",2018-02-14,239084,10,spotify:user:seankmchenry,2022-04-29T19:29:14Z,"bedroom soul",0.761,0.646,0,-10.633,1,0.047,0.0166,0.0777,0.0933,0.677,129.988,4
08hiLTiD4ub7HErr77bDj9,"2r2vazPWwll5lAiKrxwcgC","I Wish I Had Her Number","Single","Pink $ock",2018-02-14,250938,12,spotify:user:seankmchenry,2022-04-29T19:29:14Z,"bedroom soul",0.678,0.6,0,-9.338,1,0.0426,0.0186,0.585,0.13,0.61,84.019,4
6rQq43bqYAzTx6A5lBcQGw,"2r2vazPWwll5lAiKrxwcgC","Tokyo Pink","Single","Pink $ock",2018-02-14,203139,3,spotify:user:seankmchenry,2022-04-29T19:29:14Z,"bedroom soul",0.536,0.908,11,-9.338,0,0.0412,0.00149,0.0451,0.246,0.805,111.999,4
2yHe4YG4TuXgDnEE4rB89C,"2r2vazPWwll5lAiKrxwcgC","Got It Going On","Single","Pink $ock",2018-02-14,178155,5,spotify:user:seankmchenry,2022-04-29T19:29:14Z,"bedroom soul",0.874,0.486,6,-8.557,0,0.0573,0.0306,0.299,0.097,0.676,120.002,4
36W8uLd3PQQMeRHIWjHGKb,"2r2vazPWwll5lAiKrxwcgC","Only One","Single","Pink $ock",2018-02-14,220078,6,spotify:user:seankmchenry,2022-04-29T19:29:14Z,"bedroom soul",0.7,0.778,0,-9.341,1,0.0627,0.0672,0.327,0.132,0.491,149.974,4
6Is1BKxyuXhyNRsDUKB6HS,"2r2vazPWwll5lAiKrxwcgC","Hello Darling","Coastin'","Pink $ock",2020-12-04,47258,5,spotify:user:seankmchenry,2022-04-29T19:29:15Z,"bedroom soul",0.431,0.656,1,-21.39,1,0.694,0.278,0,0.466,0.0546,92.047,3
7CADQG2uly9KdXcNzQzj8W,"2r2vazPWwll5lAiKrxwcgC","Stay In Tonight","Coastin'","Pink $ock",2020-12-04,252508,10,spotify:user:seankmchenry,2022-04-29T19:29:15Z,"bedroom soul",0.617,0.784,9,-10.106,1,0.0314,0.333,0.0117,0.0562,0.681,89.987,4
4XT4mmd2p5PenQ4uYVp2zS,"2r2vazPWwll5lAiKrxwcgC","Feels So Good","Coastin'","Pink $ock",2020-12-04,221802,16,spotify:user:seankmchenry,2022-04-29T19:29:15Z,"bedroom soul",0.722,0.399,6,-12.18,0,0.0513,0.198,0.178,0.094,0.395,115.995,4
7lyL6q3UaZT66fm0nguo8p,"2r2vazPWwll5lAiKrxwcgC","h. t. c. y. g.","Coastin'","Pink $ock",2020-12-04,226937,9,spotify:user:seankmchenry,2022-04-29T19:29:15Z,"bedroom soul",0.703,0.425,8,-12.358,1,0.0406,0.406,0.139,0.197,0.369,137.982,4
45KFCl21ziUU9po0wLIZqV,"2r2vazPWwll5lAiKrxwcgC","Circular Motion","Coastin'","Pink $ock",2020-12-04,176727,9,spotify:user:seankmchenry,2022-04-29T19:29:15Z,"bedroom soul",0.735,0.446,4,-12.508,0,0.0733,0.656,0.0464,0.114,0.254,110.036,4
5DVSWTyaOnUO1OS7bT2SDI,"2r2vazPWwll5lAiKrxwcgC","Making Love to Me","Coastin'","Pink $ock",2020-12-04,191431,29,spotify:user:seankmchenry,2022-04-29T19:29:15Z,"bedroom soul",0.6,0.449,7,-13.152,0,0.0295,0.923,0.458,0.239,0.492,125.037,4
4oX5HIC9xkpN0jNu15pKwj,"2r2vazPWwll5lAiKrxwcgC","NITE $WIM","Coastin'","Pink $ock",2020-12-04,189149,11,spotify:user:seankmchenry,2022-04-29T19:29:15Z,"bedroom soul",0.73,0.654,10,-12.425,0,0.0586,0.261,0.553,0.0911,0.694,107.966,4
1UYdaP5UAiOwO5jIeKexZ1,"2r2vazPWwll5lAiKrxwcgC","Pink Rock","Coastin'","Pink $ock",2020-12-04,255732,8,spotify:user:seankmchenry,2022-04-29T19:29:15Z,"bedroom soul",0.532,0.808,11,-10.917,0,0.0317,0.00295,0.824,0.326,0.771,95.983,4
1yWCcrdaQXuT9JbOPO4Bqx,"2r2vazPWwll5lAiKrxwcgC","Long Distance","Coastin'","Pink $ock",2020-12-04,193544,18,spotify:user:seankmchenry,2022-04-29T19:29:15Z,"bedroom soul",0.563,0.504,1,-12.721,0,0.04,0.263,0.725,0.0996,0.403,164.046,4
4CO9PYMM48oTTIWmTYWTRd,"2r2vazPWwll5lAiKrxwcgC","Love at First Sight","Coastin'","Pink $ock",2020-12-04,195904,9,spotify:user:seankmchenry,2022-04-29T19:29:15Z,"bedroom soul",0.318,0.407,1,-11.371,1,0.0344,0.209,0.0571,0.0661,0.26,120.047,4
