Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3KnfhPnQ4TyPU7RlptcSj5,"6X37xogAN3Y8pl562CQjG3","Bright Waves","On One of These Bends","Philip Sanderson",2019-01-15,288423,1,spotify:user:gh_cl,2019-03-08T18:59:19Z,"uk experimental electronic",0.121,0.274,4,-15.221,1,0.0384,0.971,0.168,0.0781,0.0364,84.768,4
2dEMWmGx9Q3J6opmm2G7Rc,"5LKN6gBUM2YLnjzXaoGbhL","Moody","Escape from Synth City","Aril Laury",2018-12-07,192680,0,spotify:user:gh_cl,2019-03-08T18:59:49Z,"",0.482,0.574,9,-7.115,0,0.0284,0.134,0.711,0.13,0.636,136.476,4
4IAn25PDa9ADq9ZwFRgP80,"1Oi99c5Uoxbg8nJT8WprBw","Some Things Never Change","The Early Years","Fra Lippo Lippi",2003,289546,3,spotify:user:gh_cl,2019-03-08T19:01:59Z,"opm,pop rock,soft rock",0.723,0.687,0,-9.322,1,0.03,0.00129,0.232,0.111,0.553,136.87,4
7wLIwYuZJyibd8Jl9QZRwg,"71iCBi0SYjvG5P1nUc748L","The Words","Plus or Minus Two","Short Term Memory",2019-02-15,308338,3,spotify:user:gh_cl,2019-03-08T19:02:10Z,"proto-techno",0.717,0.297,5,-12.037,0,0.0337,0.024,0.00174,0.0963,0.333,145.454,4
4dZQKNZjq0FBzpEFsPdc2u,"5MS1W3dYe51MSv2tKSwnyt,4lXabRiLxbtbCCIRFTJ4Gi","Das Buch der Klange: Part I","Otte: The Book of Sounds","Hans Otte,Ralph van Raat",2010-11-16,393213,23,spotify:user:gh_cl,2019-03-08T19:03:23Z,"german contemporary classical,minimalism,classical piano,contemporary classical piano,dutch classical piano",0.122,0.0434,0,-30.591,1,0.0527,0.995,0.956,0.0672,0.033,162.949,4
4XoW1kAQwKWqWuHiyxeIod,"7KuwV2EmdnmeUtSd7TRsPN","From the Mystery","Creatures of the Deep","Robert Haigh",2017-10-27,212773,0,spotify:user:gh_cl,2019-03-08T19:06:16Z,"",0.521,0.0779,7,-21.191,1,0.04,0.993,0.938,0.091,0.0677,112.867,4
7AziN2x4Fe6XcCUfQJGLaW,"5KqOWuKJPySBjp3mGVBWFR","Orbit Unknown - Original Mix","A La Luna","Woo",2017-11-24,136725,0,spotify:user:gh_cl,2019-03-08T19:06:27Z,"british experimental",0.419,0.236,7,-17.591,0,0.0339,0.984,0.972,0.0787,0.226,170.692,3
5fyNdM03ifmf6IXJFbxzT1,"6tElujnqj1XntPgsnfPx7K","פזמון חוזר","שירים באמצע הלילה - בשירים ופזמונים של נתן זך","Nurit Galron",1981-01-01,257000,0,spotify:user:gh_cl,2019-03-08T19:06:37Z,"classic israeli pop,israeli rock",0.55,0.398,4,-8.551,0,0.0333,0.468,0.000192,0.0851,0.162,125.841,4
4kBKWje9jBKOkZxiNlhYic,"5eLn247ytsIzYKq7lnKaVB","New Found World","New Found World","Vernal Equinox",2019-01-11,435067,0,spotify:user:gh_cl,2019-03-09T23:00:40Z,"berlin school",0.526,0.929,7,-5.114,1,0.0435,0.839,0.872,0.0998,0.806,116.219,4
2AG5mJJyR3CoW5WF4qXi4u,"4gWUf7OLr4ccpNEzXVAJeX","Buddha's Second Coming","Take Me with You","MJ Lallo",2018-11-23,328472,1,spotify:user:gh_cl,2019-03-09T23:01:26Z,"",0.517,0.125,0,-27.889,1,0.0398,0.891,0.924,0.119,0.115,120.932,4
3o8SjRwvfr3U5dWXFDNyAl,"7mfhUSTqEhYmWgeKnmJUwz,4C1yxNvg1sJ7kwi5Glyfta,5v0bfmoIUnhkILV8gHlTE9","Song for gustave","Voyage","Jean-François Vrod,Chris Joris,Christophe Declercq",1994-01-01,257306,0,spotify:user:gh_cl,2019-03-09T23:01:38Z,"",0.598,0.695,0,-8.238,1,0.0696,0.733,0.319,0.0668,0.663,157.39,3
13CJ8GjMNUuC5llgZFX2Z0,"1wSiwCT35lsFN33eg4P6pX,7a2ZWlXXc4f27qkHXWBQD3,17TVAYfHfvWm0JO1oOfO8r,6hiZKmTGqVbBNSXgk3pqs5","A piac közepén (In the Middle of the Market)","Jeles napok, Karácsonyi magyar népdalok","Levente Szörényi,Márta Sebestyén,Károly Cserepes,Tibor Donászy",1996-09-01,304106,13,spotify:user:gh_cl,2019-03-09T23:01:51Z,"classic hungarian rock,hungarian folk",0.484,0.242,7,-19.984,1,0.0369,0.716,0.24,0.0931,0.0857,63.33,4
66RgQvClU7RHrD5wpHTcUQ,"1aEXvBo9XF1pXQJwKbg0aX","Djonol","en Hollande","Sourakata Koité",2019-01-18,246021,0,spotify:user:gh_cl,2019-03-09T23:02:16Z,"kora",0.493,0.793,5,-10.612,0,0.0651,0.826,0.0000363,0.135,0.962,97.421,3
6jdJGeOcAV3b9BuQCo3nfh,"08t8fsEfRI7HSt2MlW2OTX","Travelin’ Man","Beach Diggin’, Vol. 1","Stanley Cowell",2013-06-28,175500,0,spotify:user:gh_cl,2019-03-09T23:02:28Z,"spiritual jazz",0.585,0.329,9,-15.156,0,0.0653,0.988,0.968,0.105,0.472,115.398,3
1pAtKpSy7PTj6tRglLvEZa,"1S8bX9opXYLkPIp7WPhySa","O, Caroline","El Primitivisme","Pascal Comelade",2015-11-17,100013,1,spotify:user:gh_cl,2019-03-09T23:02:40Z,"vintage french electronic",0.346,0.368,0,-9.59,1,0.0804,0.727,0.009,0.362,0.475,94.537,3
