Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6BAmKdWVBKo8H1jkBq0A0C,"5szdY7KaSi7epwyffrbV8c","Tulsa","Pacific Standard Time","Poolside",2012-07-09,105452,31,spotify:user:seankmchenry,2022-08-24T18:39:08Z,"alternative dance,indie soul,nu disco",0.419,0.305,2,-17.555,1,0.0411,0.908,0.941,0.354,0.177,139.708,4
2M7fA5L6zH9oxq53WsaYB4,"5szdY7KaSi7epwyffrbV8c","Next To You","Pacific Standard Time","Poolside",2012-07-09,262990,46,spotify:user:seankmchenry,2022-08-24T18:39:08Z,"alternative dance,indie soul,nu disco",0.785,0.764,4,-5.279,0,0.04,0.149,0.813,0.204,0.96,93.987,4
6wOF7GrOE8A8nJCfNVcTL5,"5szdY7KaSi7epwyffrbV8c","Why You Wanna","Pacific Standard Time","Poolside",2012-07-09,298833,33,spotify:user:seankmchenry,2022-08-24T18:39:08Z,"alternative dance,indie soul,nu disco",0.819,0.864,0,-3.263,0,0.0592,0.355,0.714,0.0643,0.796,102.016,4
35U4PXL3W3XIkAjEUdhr36,"5szdY7KaSi7epwyffrbV8c","Harvest Moon","Pacific Standard Time","Poolside",2012-07-09,368783,63,spotify:user:seankmchenry,2022-08-24T18:39:08Z,"alternative dance,indie soul,nu disco",0.782,0.622,2,-5.832,1,0.0411,0.288,0.53,0.58,0.921,106.022,4
4so9pCPmLszduIuvfYTaBU,"5szdY7KaSi7epwyffrbV8c","Slow Down","Pacific Standard Time","Poolside",2012-07-09,285221,34,spotify:user:seankmchenry,2022-08-24T18:39:08Z,"alternative dance,indie soul,nu disco",0.7,0.718,2,-5.897,1,0.0535,0.0989,0.0609,0.226,0.341,81.997,4
45qZbgUBqtbjVyrT4DK8Z2,"5szdY7KaSi7epwyffrbV8c","Take Me There","Pacific Standard Time","Poolside",2012-07-09,266364,28,spotify:user:seankmchenry,2022-08-24T18:39:08Z,"alternative dance,indie soul,nu disco",0.724,0.916,5,-4.664,0,0.0519,0.0117,0.73,0.166,0.963,99.143,4
39LqN754wuVEI5NmRtUS8i,"5szdY7KaSi7epwyffrbV8c","Kiss You Forever","Pacific Standard Time","Poolside",2012-07-09,332520,46,spotify:user:seankmchenry,2022-08-24T18:39:08Z,"alternative dance,indie soul,nu disco",0.662,0.889,7,-4.417,1,0.0401,0.133,0.00566,0.044,0.966,96.012,4
7nRoG2oWTZzUDTUyuYOWMY,"5szdY7KaSi7epwyffrbV8c","Do You Believe","Pacific Standard Time","Poolside",2012-07-09,254726,48,spotify:user:seankmchenry,2022-08-24T18:39:08Z,"alternative dance,indie soul,nu disco",0.756,0.855,9,-5.057,0,0.0441,0.00537,0.749,0.0698,0.872,103.996,4
6AcjzrSvAJTJ2RnvvLHfaO,"5szdY7KaSi7epwyffrbV8c","Give It A Rest","Pacific Standard Time","Poolside",2012-07-09,214010,27,spotify:user:seankmchenry,2022-08-24T18:39:08Z,"alternative dance,indie soul,nu disco",0.691,0.723,9,-5.942,1,0.0269,0.05,0.000211,0.0736,0.758,119.965,4
5Hs0Cq743ubGyoPZYPTwDL,"5szdY7KaSi7epwyffrbV8c","Can't Get You Off My Mind","Pacific Standard Time","Poolside",2012-07-09,299466,24,spotify:user:seankmchenry,2022-08-24T18:39:08Z,"alternative dance,indie soul,nu disco",0.376,0.334,7,-11.215,1,0.0408,0.921,0.734,0.0955,0.409,208.031,4
5qllKxZ95q0xFN3Jcr8IhU,"5szdY7KaSi7epwyffrbV8c","Just Fall In Love","Pacific Standard Time","Poolside",2012-07-09,207232,36,spotify:user:seankmchenry,2022-08-24T18:39:08Z,"alternative dance,indie soul,nu disco",0.716,0.78,2,-4.643,1,0.0372,0.00654,0.0185,0.3,0.877,108.029,4
3fheW9aT6Az5c878ublYbH,"5szdY7KaSi7epwyffrbV8c","California Sunset","Pacific Standard Time","Poolside",2012-07-09,306933,37,spotify:user:seankmchenry,2022-08-24T18:39:08Z,"alternative dance,indie soul,nu disco",0.673,0.64,9,-7.558,1,0.0295,0.00936,0.723,0.107,0.844,104.024,4
