Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2KWX50SqhAQrVjEQWaApVb,"Pulling Our Weight","I Don't Need Love, I've Got My Band","The Radio Dept.",2019-08-23,200441,19,seankmchenry,2024-01-15T14:13:53Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.531,0.831,11,-7.43,0,0.027,0.0108,0.871,0.0646,0.962,143.98,4
1Qh9DAv1ZvjmYT0FqAQDq4,"We Climb the Wired Fences","I Don't Need Love, I've Got My Band","The Radio Dept.",2019-08-23,252345,23,seankmchenry,2024-01-15T14:13:53Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.0902,0.445,6,-10.227,1,0.0389,0.349,0.712,0.0995,0.33,187.46,3
0LyZnEqqPwQvvNjCYOV6p7,"I Don't Need Love, I've Got My Band","I Don't Need Love, I've Got My Band","The Radio Dept.",2019-08-23,194688,27,seankmchenry,2024-01-15T14:13:53Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.349,0.955,1,-5.52,1,0.0697,0.014,0.704,0.11,0.481,160.028,4
740iMeqJIz0zgIIzepoVwa,"Someone Else","I Don't Need Love, I've Got My Band","The Radio Dept.",2019-08-23,138608,45,seankmchenry,2024-01-15T14:13:53Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.633,0.589,2,-8.017,1,0.0296,0.652,0.182,0.12,0.574,117.455,4
3UvcXU3N4x9EJq4a4rwKMN,"The City Limit","I Don't Need Love, I've Got My Band","The Radio Dept.",2019-08-23,353333,24,seankmchenry,2024-01-15T14:13:53Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.146,0.789,7,-6.697,1,0.0493,0.227,0.813,0.32,0.133,139.967,5
6n8aFnZnHFl62ryumz2USy,"This Past Week","I Don't Need Love, I've Got My Band","The Radio Dept.",2019-08-23,316815,18,seankmchenry,2024-01-15T14:13:53Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.519,0.825,11,-8.834,1,0.0331,0.0388,0.262,0.165,0.419,114.983,4
20wW4oVYEb1CIGKaRK1ZBT,"Deliverance","I Don't Need Love, I've Got My Band","The Radio Dept.",2019-08-23,215012,23,seankmchenry,2024-01-15T14:13:53Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.452,0.669,1,-9.727,0,0.0346,0.00305,0.00631,0.0709,0.396,133.993,4
7GieS7EBKbqcbuV64bR0Rl,"I Don't Like It Like This","I Don't Need Love, I've Got My Band","The Radio Dept.",2019-08-23,252893,37,seankmchenry,2024-01-15T14:13:53Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.38,0.789,7,-8.491,1,0.0314,0.025,0.588,0.933,0.42,142.988,4
6V8NV59bjSzz7oBtimZmt5,"Värmhem","I Don't Need Love, I've Got My Band","The Radio Dept.",2019-08-23,53093,20,seankmchenry,2024-01-15T14:13:53Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.492,0.403,2,-13.109,1,0.0417,0.649,0.895,0.476,0.209,100.328,3
5RlVCZaTVgA8Gnq38COJa7,"Let Me Have This","I Don't Need Love, I've Got My Band","The Radio Dept.",2019-08-23,219000,22,seankmchenry,2024-01-15T14:13:53Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.291,0.41,2,-10.379,1,0.0267,0.0827,0.157,0.0669,0.292,100.142,3
3K1R7HPW1NplfVCpWhFMJW,"It's Personal","Pet Grief","The Radio Dept.",2006-04-12,218320,38,seankmchenry,2024-01-15T14:13:57Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.349,0.536,9,-10.531,1,0.0349,0.00624,0.96,0.109,0.0361,179.956,4
2eZeB5f2Ln5Qo1ghuk2293,"Pet Grief","Pet Grief","The Radio Dept.",2006-04-12,190386,37,seankmchenry,2024-01-15T14:13:57Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.502,0.895,4,-8.225,1,0.0386,0.0092,0.39,0.659,0.682,103.005,4
0rChtQ1msGMCaILr6F1szt,"A Window","Pet Grief","The Radio Dept.",2006-04-12,207866,28,seankmchenry,2024-01-15T14:13:57Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.403,0.841,2,-8.718,1,0.0481,0.00198,0.628,0.719,0.294,129.99,4
1BdovansNUKOu0ZrmZAqGj,"I Wanted You to Feel the Same","Pet Grief","The Radio Dept.",2006-04-12,151040,45,seankmchenry,2024-01-15T14:13:57Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.627,0.435,0,-12.462,1,0.0317,0.5,0.312,0.289,0.28,114.993,4
63y9zft6pDkPHiffHxgWmB,"South Side","Pet Grief","The Radio Dept.",2006-04-12,76866,30,seankmchenry,2024-01-15T14:13:57Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.265,0.00121,0,-29.891,1,0.0495,0.994,0.912,0.102,0.325,72.464,3
2mR4DClpVgWIpPwh6br9CV,"The Worst Taste in Music","Pet Grief","The Radio Dept.",2006-04-12,201386,37,seankmchenry,2024-01-15T14:13:57Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.441,0.776,4,-8.136,1,0.0447,0.0389,0.858,0.118,0.117,100.047,4
6NiUKGQf5ry3zltKRaWLq5,"Every Time","Pet Grief","The Radio Dept.",2006-04-12,224266,34,seankmchenry,2024-01-15T14:13:57Z,"dream pop,lund indie,metropopolis,modern dream pop,nordic shoegaze,nu gaze,shoegaze,swedish indie pop","Just So!",0.258,0.676,7,-7.683,1,0.032,0.115,0.528,0.101,0.518,147.388,4
