Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
46dGFTD918NMz1IP1rPJXO,"Radio Free Europe","Murmur","R.E.M.",1983-01-01,245200,44,seankmchenry,2024-03-10T14:58:49Z,"alternative rock,athens indie,permanent wave,rock","A&M",0.367,0.685,4,-14.831,1,0.0464,0.00304,0.0478,0.109,0.854,154.953,4
5a1vzByRctmMAJIU1g33vq,"Pilgrimage","Murmur","R.E.M.",1983-01-01,270466,29,seankmchenry,2024-03-10T14:58:49Z,"alternative rock,athens indie,permanent wave,rock","A&M",0.621,0.535,5,-16.267,0,0.106,0.0868,0.00177,0.138,0.58,125.713,4
5aqCLd1cxzKrgFdkLDOR6s,"Laughing","Murmur","R.E.M.",1983-01-01,238733,29,seankmchenry,2024-03-10T14:58:49Z,"alternative rock,athens indie,permanent wave,rock","A&M",0.498,0.586,1,-16.081,0,0.0375,0.00874,0.0809,0.135,0.823,148.933,4
3TwnJaaOD5g33YHH8dufSM,"Talk About The Passion","Murmur","R.E.M.",1983-01-01,204000,36,seankmchenry,2024-03-10T14:58:49Z,"alternative rock,athens indie,permanent wave,rock","A&M",0.604,0.612,2,-15.369,1,0.0367,0.0693,0.115,0.246,0.632,132.374,4
5tJiLwAC9qvX92nPjUFW0s,"Moral Kiosk","Murmur","R.E.M.",1983-01-01,212466,27,seankmchenry,2024-03-10T14:58:49Z,"alternative rock,athens indie,permanent wave,rock","A&M",0.516,0.794,9,-13.504,1,0.126,0.0268,0.157,0.111,0.589,155.15,4
0yTQNPMITssH9JFyFroMV7,"Perfect Circle","Murmur","R.E.M.",1983-01-01,210466,31,seankmchenry,2024-03-10T14:58:49Z,"alternative rock,athens indie,permanent wave,rock","A&M",0.613,0.31,0,-20.732,1,0.0305,0.561,0.0000314,0.25,0.707,116.933,4
41G4mG7cRaCirgQ5PhsGh7,"Catapult","Murmur","R.E.M.",1983-01-01,235800,27,seankmchenry,2024-03-10T14:58:49Z,"alternative rock,athens indie,permanent wave,rock","A&M",0.505,0.696,2,-14.62,1,0.077,0.159,0.517,0.0941,0.758,145.887,4
2PwXk4HTk63MaP8oaAUt7F,"Sitting Still","Murmur","R.E.M.",1983-01-01,198626,31,seankmchenry,2024-03-10T14:58:49Z,"alternative rock,athens indie,permanent wave,rock","A&M",0.479,0.746,4,-13.295,1,0.0613,0.00103,0.00302,0.0821,0.962,154.243,4
0QJsNy58IM4VgEmD3sTaLc,"9-9","Murmur","R.E.M.",1983-01-01,185066,24,seankmchenry,2024-03-10T14:58:49Z,"alternative rock,athens indie,permanent wave,rock","A&M",0.45,0.795,11,-12.879,0,0.0658,0.0235,0.0349,0.101,0.853,80.164,4
7fUVyqEPpOWPZPRRIgYNV1,"Shaking Through","Murmur","R.E.M.",1983-01-01,270266,25,seankmchenry,2024-03-10T14:58:49Z,"alternative rock,athens indie,permanent wave,rock","A&M",0.4,0.777,2,-14.662,1,0.0512,0.0109,0.578,0.321,0.499,157.53,4
