Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0MrRkKxJfssAeCHEiZjpTO,"4CLh84k1pT9WmMC3hkJCiS","Guía para Descubrir los 4 Cielos","Al Tiempo Real","Boundary",2020-04-15,418560,2,spotify:user:seankmchenry,2022-05-24T17:22:09Z,"dominican indie",0.743,0.842,11,-12.359,1,0.0588,0.00161,0.856,0.108,0.0961,125,4
4Cge8IqlnInmPZlaxvwPmd,"4CLh84k1pT9WmMC3hkJCiS","Multiple Alineamiento de Comparaciones","Al Tiempo Real","Boundary",2020-04-15,428000,2,spotify:user:seankmchenry,2022-05-24T17:22:09Z,"dominican indie",0.526,0.633,3,-14.54,1,0.0535,0.074,0.752,0.129,0.142,141.03,4
4PdjpracUrYPlNAEzuN2Rk,"4CLh84k1pT9WmMC3hkJCiS","No Te Pierdas en la Pista","Al Tiempo Real","Boundary",2020-04-15,462794,3,spotify:user:seankmchenry,2022-05-24T17:22:09Z,"dominican indie",0.69,0.539,11,-13.36,0,0.0384,0.011,0.88,0.17,0.56,136.007,4
0hOkYvZ2MWcER6BeajQ25u,"4CLh84k1pT9WmMC3hkJCiS","Global Transpose","Al Tiempo Real","Boundary",2020-04-15,451948,2,spotify:user:seankmchenry,2022-05-24T17:22:09Z,"dominican indie",0.656,0.904,1,-7.389,1,0.0962,0.000242,0.931,0.109,0.305,154.02,4
2kkxpVbkaERAQUh5B75upX,"7euJs0n0pMrtLIGR1rUHAp","Ieji","Aragon","ARAGON",1985-02-05,263333,6,spotify:user:seankmchenry,2022-05-24T17:22:09Z,"",0.662,0.263,8,-13.375,0,0.0291,0.0169,0.847,0.0664,0.145,99.739,3
7bkk52D15svWcdW85lelA3,"7euJs0n0pMrtLIGR1rUHAp","horridula","Aragon","ARAGON",1985-02-05,302693,9,spotify:user:seankmchenry,2022-05-24T17:22:09Z,"",0.564,0.653,9,-10.698,0,0.0349,0.0236,0.565,0.268,0.361,81.603,4
1cjeUutg4usSKKu9YpOW1d,"7euJs0n0pMrtLIGR1rUHAp","Ayatori","Aragon","ARAGON",1985-02-05,290333,5,spotify:user:seankmchenry,2022-05-24T17:22:09Z,"",0.536,0.387,2,-13.506,1,0.0442,0.689,0.482,0.096,0.046,175.051,3
7ccsMOJxGUh0Ct2wRJJyem,"7euJs0n0pMrtLIGR1rUHAp","Atatabitata","Aragon","ARAGON",1985-02-05,321773,4,spotify:user:seankmchenry,2022-05-24T17:22:09Z,"",0.685,0.477,4,-14.664,0,0.0393,0.014,0.611,0.233,0.19,115.368,4
5i8LpTkS7Pnjz4W2A90una,"7euJs0n0pMrtLIGR1rUHAp","Teami no Onpu","Aragon","ARAGON",1985-02-05,289000,3,spotify:user:seankmchenry,2022-05-24T17:22:09Z,"",0.409,0.253,2,-13.486,1,0.0301,0.417,0.1,0.116,0.115,116.358,3
4gGOzaYvii33FFAJBJkuh8,"7euJs0n0pMrtLIGR1rUHAp","Rikisha","Aragon","ARAGON",1985-02-05,238066,2,spotify:user:seankmchenry,2022-05-24T17:22:09Z,"",0.445,0.872,9,-8.633,0,0.0717,0.000454,0.867,0.303,0.537,94.063,4
