Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2mQf0zmvqzLTGY16Zcljfg,"1nyzNfEQXlOHGEGTvrm1iD","Don't Leave Me in the Rain","Don't Leave Me in the Rain","Small",1991-10-18,391878,5,spotify:user:seankmchenry,2022-12-01T14:11:07Z,"",0.737,0.72,11,-17.751,0,0.0439,0.0617,0.631,0.306,0.802,118.708,4
5gVff5DoVm5WKRJVZV2qZs,"1nyzNfEQXlOHGEGTvrm1iD","Make My Life","Don't Leave Me in the Rain","Small",1991-10-18,326664,3,spotify:user:seankmchenry,2022-12-01T14:11:07Z,"",0.744,0.466,7,-16.342,0,0.0349,0.0217,0.00102,0.163,0.915,116.947,4
3X9e3pNqtoYPTr1gXCGxNV,"1nyzNfEQXlOHGEGTvrm1iD","Takes Two to Tango","Don't Leave Me in the Rain","Small",1991-10-18,342622,1,spotify:user:seankmchenry,2022-12-01T14:11:07Z,"",0.778,0.512,10,-17.615,1,0.0557,0.0558,0.358,0.115,0.882,104.952,4
1o0D5Q5MPVrSw8bNAte7xn,"1nyzNfEQXlOHGEGTvrm1iD","Happy Song","Don't Leave Me in the Rain","Small",1991-10-18,269488,1,spotify:user:seankmchenry,2022-12-01T14:11:07Z,"",0.702,0.48,5,-17.943,1,0.0329,0.117,0.00783,0.063,0.822,99.495,4
4uQsZ6KyqVLWMO524zj2eC,"1nyzNfEQXlOHGEGTvrm1iD","Let's Stop the Fire","Don't Leave Me in the Rain","Small",1991-10-18,278686,0,spotify:user:seankmchenry,2022-12-01T14:11:07Z,"",0.74,0.458,2,-20.269,1,0.041,0.0207,0.0564,0.074,0.883,110.865,4
0Z7Abh6A2Z3EyTwpt20tmm,"1nyzNfEQXlOHGEGTvrm1iD","Melody of Love","Don't Leave Me in the Rain","Small",1991-10-18,340866,1,spotify:user:seankmchenry,2022-12-01T14:11:07Z,"",0.68,0.391,7,-20.401,1,0.036,0.0894,0.00501,0.216,0.699,117.082,4
0Ju2msVuzAPuch02Wyc9Jg,"1nyzNfEQXlOHGEGTvrm1iD","Keep On Trying","Don't Leave Me in the Rain","Small",1991-10-18,305532,1,spotify:user:seankmchenry,2022-12-01T14:11:07Z,"",0.714,0.363,11,-18.307,1,0.0321,0.0207,0.000489,0.0689,0.495,110.991,4
4cFTurfGuhzOyhIVjiAWAX,"1nyzNfEQXlOHGEGTvrm1iD","Without You","Don't Leave Me in the Rain","Small",1991-10-18,371161,2,spotify:user:seankmchenry,2022-12-01T14:11:07Z,"",0.758,0.513,2,-17.557,0,0.0345,0.0651,0.00471,0.051,0.843,113.003,4
1cjaKLCZDVuEXZMDgA4RaO,"55yvLxTI8ACTvHBHSGTXOf,4vBOddO7S9tDMUOZyGeUj2,6pIo4itrK3gpO5F62xsJzy","City Heat - London Kick Mix","City Heat","City Heat,Joanna Law,Simon Law",1989,337998,0,spotify:user:seankmchenry,2022-12-01T14:11:11Z,"",0.717,0.57,7,-10.688,1,0.0695,0.201,0.00553,0.55,0.582,90.37,4
3p7F7YpilYOdVy9OAPJbsR,"55yvLxTI8ACTvHBHSGTXOf,4vBOddO7S9tDMUOZyGeUj2,6pIo4itrK3gpO5F62xsJzy","Rock Me - In the Cradle Of Jazz","City Heat","City Heat,Joanna Law,Simon Law",1989,341589,0,spotify:user:seankmchenry,2022-12-01T14:11:11Z,"",0.557,0.363,0,-14.635,1,0.0544,0.129,0.00000353,0.0392,0.524,82.369,4
2fBAQrwst6dFdxsymOPfrg,"55yvLxTI8ACTvHBHSGTXOf,4vBOddO7S9tDMUOZyGeUj2,6pIo4itrK3gpO5F62xsJzy","City Heat - Love Baby Love Mix","City Heat","City Heat,Joanna Law,Simon Law",1989,310002,1,spotify:user:seankmchenry,2022-12-01T14:11:11Z,"",0.735,0.472,4,-8.624,0,0.101,0.0182,0.883,0.0652,0.808,90.239,4
5kCw6YoFmMWUt2MaoMiRDt,"55yvLxTI8ACTvHBHSGTXOf,4vBOddO7S9tDMUOZyGeUj2,6pIo4itrK3gpO5F62xsJzy","Strange How It Goes","City Heat","City Heat,Joanna Law,Simon Law",1989,252160,6,spotify:user:seankmchenry,2022-12-01T14:11:11Z,"",0.806,0.308,2,-13.323,1,0.0706,0.594,0.00525,0.189,0.528,79.565,4
6riJ830yXpHCkhsvBsfUQQ,"55yvLxTI8ACTvHBHSGTXOf,4vBOddO7S9tDMUOZyGeUj2,6pIo4itrK3gpO5F62xsJzy","What Must I Do","City Heat","City Heat,Joanna Law,Simon Law",1989,278986,0,spotify:user:seankmchenry,2022-12-01T14:11:11Z,"",0.741,0.572,7,-11.045,0,0.0405,0.25,0.0154,0.0775,0.852,101.134,4
6tppJl0t0aGIHLIspzRsSE,"55yvLxTI8ACTvHBHSGTXOf,4vBOddO7S9tDMUOZyGeUj2,6pIo4itrK3gpO5F62xsJzy","London Child","City Heat","City Heat,Joanna Law,Simon Law",1989,293767,2,spotify:user:seankmchenry,2022-12-01T14:11:11Z,"",0.749,0.52,7,-12.302,0,0.0331,0.304,0.0938,0.155,0.511,119.115,4
7970AD1v4AvsRBclEAKLpv,"6lwMcc2ZM8xX2VPycFN3Rt,03LG65zDSFkYir7UNZzS6H","I Don't Mind","You Don't Mind","Bibbi,SUN",1992,313071,2,spotify:user:seankmchenry,2022-12-01T14:11:19Z,"",0.709,0.824,5,-8.124,0,0.0383,0.0831,0.0398,0.0527,0.641,97.724,4
01mIGVvVrlqcV3LsaA4KdM,"6lwMcc2ZM8xX2VPycFN3Rt","I Don't Want Nobody","You Don't Mind","Bibbi",1992,289503,2,spotify:user:seankmchenry,2022-12-01T14:11:19Z,"",0.795,0.782,8,-10.58,1,0.0429,0.0214,0.571,0.12,0.914,119.525,4
3s5O8zZykczBjA0BZJjK1e,"6lwMcc2ZM8xX2VPycFN3Rt","Get Into My Life","You Don't Mind","Bibbi",1992,305023,0,spotify:user:seankmchenry,2022-12-01T14:11:19Z,"",0.737,0.796,1,-9.853,1,0.0359,0.00628,0.528,0.133,0.756,118.625,4
1iUJ1489Imn46MRGoc9DHA,"6lwMcc2ZM8xX2VPycFN3Rt","Guns On Fire - Flame Remix","You Don't Mind","Bibbi",1992,282015,0,spotify:user:seankmchenry,2022-12-01T14:11:19Z,"",0.749,0.674,10,-11.757,0,0.0448,0.0131,0.503,0.109,0.5,118.358,4
3jd6HyHpANw7nk1HhVMf2l,"6NWT13ZJZc3gZynUkGIA0Y","You Got Me Dancing","You Got Me Dancing","Lucky Mereki",2021-10-08,281471,3,spotify:user:seankmchenry,2022-12-01T14:11:27Z,"",0.703,0.815,7,-10.796,1,0.0328,0.00462,0.527,0.0829,0.968,119.789,4
1bqkODwOLvv1Mk1mU4ZdqF,"6NWT13ZJZc3gZynUkGIA0Y","You and I","You Got Me Dancing","Lucky Mereki",2021-10-08,268944,1,spotify:user:seankmchenry,2022-12-01T14:11:27Z,"",0.758,0.623,9,-11.677,1,0.0515,0.115,0.0571,0.152,0.787,119.591,4
5E0WjFAQFo8MiU72ooMbZl,"6NWT13ZJZc3gZynUkGIA0Y","Your Lips","You Got Me Dancing","Lucky Mereki",2021-10-08,255109,13,spotify:user:seankmchenry,2022-12-01T14:11:27Z,"",0.825,0.784,4,-12.066,1,0.0413,0.0034,0.00426,0.0556,0.973,119.527,4
75Ky0uqAhewrSVBnPkwbPP,"6NWT13ZJZc3gZynUkGIA0Y","Lovely Sight","You Got Me Dancing","Lucky Mereki",2021-10-08,369018,5,spotify:user:seankmchenry,2022-12-01T14:11:27Z,"",0.646,0.437,5,-13.46,1,0.0281,0.0377,0.0915,0.426,0.658,140.153,4
