Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5rTuKRkuXhPv0PahItY0zN,"5CjlZu8c45u0rRvyONtxsn","Spanish Flight","In the Center","Rodney Franklin",1978-09-01,237773,2,spotify:user:seankmchenry,2022-05-20T17:42:46Z,"jazz funk",0.454,0.626,8,-13.127,0,0.0322,0.204,0.0488,0.12,0.532,132.111,4
3qfAW9igR8eTSTCy3S7439,"5CjlZu8c45u0rRvyONtxsn","Yours","In the Center","Rodney Franklin",1978-09-01,213253,1,spotify:user:seankmchenry,2022-05-20T17:42:46Z,"jazz funk",0.309,0.188,1,-22.411,1,0.0394,0.973,0.923,0.0967,0.0392,75.306,3
0prZLC1njRSozT4mZTsK9f,"5CjlZu8c45u0rRvyONtxsn","I Like the Music Make It Hot","In the Center","Rodney Franklin",1978-09-01,323960,2,spotify:user:seankmchenry,2022-05-20T17:42:46Z,"jazz funk",0.643,0.743,5,-11.321,0,0.0725,0.468,0.000747,0.106,0.776,113.942,4
6dZWTuAL4oaHltypNezTyM,"5CjlZu8c45u0rRvyONtxsn","On the Path","In the Center","Rodney Franklin",1978-09-01,267213,1,spotify:user:seankmchenry,2022-05-20T17:42:46Z,"jazz funk",0.557,0.862,7,-11.437,0,0.0376,0.49,0.958,0.139,0.812,120.407,4
7eL8OlVxtxmy4pQP9d4p1g,"5CjlZu8c45u0rRvyONtxsn","Festival - 1st Movement","In the Center","Rodney Franklin",1978-09-01,238413,1,spotify:user:seankmchenry,2022-05-20T17:42:46Z,"jazz funk",0.57,0.697,1,-10.971,0,0.0424,0.788,0.825,0.179,0.381,106.685,5
6Bu3utA64hMYnIvHpvi4b7,"5CjlZu8c45u0rRvyONtxsn","Sunrise - 2nd Movement","In the Center","Rodney Franklin",1978-09-01,143213,1,spotify:user:seankmchenry,2022-05-20T17:42:46Z,"jazz funk",0.328,0.195,2,-16.202,1,0.0317,0.746,0.785,0.108,0.0908,111.42,4
3W2JgtdPGCYSY6xsYHdHTy,"5CjlZu8c45u0rRvyONtxsn","May Lady - 3rd Movement","In the Center","Rodney Franklin",1978-09-01,246853,0,spotify:user:seankmchenry,2022-05-20T17:42:46Z,"jazz funk",0.241,0.12,8,-21.127,0,0.0349,0.962,0.174,0.0544,0.136,147.97,3
7qNmaEoMo9TyrDtXNFn6Af,"5CjlZu8c45u0rRvyONtxsn","Life Moves on","In the Center","Rodney Franklin",1978-09-01,408906,2,spotify:user:seankmchenry,2022-05-20T17:42:46Z,"jazz funk",0.594,0.295,0,-16.737,1,0.0271,0.647,0.877,0.0779,0.399,109.129,4
4pRqp2OOPYcS4G0EHotKVC,"5CjlZu8c45u0rRvyONtxsn","Windy City","Rodney Franklin","Rodney Franklin",1980-01-01,403386,23,spotify:user:seankmchenry,2022-05-20T17:42:49Z,"jazz funk",0.499,0.624,5,-10.191,0,0.0271,0.333,0.0867,0.0509,0.964,98.193,4
2SnTtRao9caw1T8wR01HnV,"5CjlZu8c45u0rRvyONtxsn","Life Moves On","Rodney Franklin","Rodney Franklin",1980-01-01,294826,19,spotify:user:seankmchenry,2022-05-20T17:42:49Z,"jazz funk",0.544,0.402,9,-14.684,0,0.0234,0.184,0.797,0.0754,0.606,108.198,4
533E0xtzoRtoW2UDFyS5Pn,"5CjlZu8c45u0rRvyONtxsn","In the Center","Rodney Franklin","Rodney Franklin",1980-01-01,267533,7,spotify:user:seankmchenry,2022-05-20T17:42:49Z,"jazz funk",0.58,0.954,5,-9.487,0,0.0356,0.507,0.944,0.653,0.824,109.669,4
7iQYrle508F6QCcNIsVHxN,"5CjlZu8c45u0rRvyONtxsn","Awakening","Rodney Franklin","Rodney Franklin",1980-01-01,218680,2,spotify:user:seankmchenry,2022-05-20T17:42:49Z,"jazz funk",0.177,0.317,11,-12.477,1,0.0324,0.763,0.157,0.336,0.0976,82.774,3
3KBEvmkH9yZBrTYz3KULLO,"5CjlZu8c45u0rRvyONtxsn","I Like the Music Make It Hot","Rodney Franklin","Rodney Franklin",1980-01-01,323213,9,spotify:user:seankmchenry,2022-05-20T17:42:49Z,"jazz funk",0.597,0.789,10,-10.552,0,0.0416,0.112,0.00555,0.0587,0.765,113.926,4
69NBzsIneXkikVCjVOYEkW,"5CjlZu8c45u0rRvyONtxsn","Theme for Jackie","Rodney Franklin","Rodney Franklin",1980-01-01,240946,14,spotify:user:seankmchenry,2022-05-20T17:42:49Z,"jazz funk",0.56,0.629,7,-11.321,1,0.0291,0.108,0.066,0.249,0.685,82.111,4
6YThskk0S9wCtF8j1NuCr8,"5CjlZu8c45u0rRvyONtxsn","On the Path","Rodney Franklin","Rodney Franklin",1980-01-01,195960,14,spotify:user:seankmchenry,2022-05-20T17:42:49Z,"jazz funk",0.529,0.854,7,-11.325,0,0.0364,0.206,0.83,0.159,0.584,120.522,4
1ZFo91MUvdGs8APeAt5Xsx,"5CjlZu8c45u0rRvyONtxsn","Creation","Rodney Franklin","Rodney Franklin",1980-01-01,351120,1,spotify:user:seankmchenry,2022-05-20T17:42:49Z,"jazz funk",0.159,0.355,5,-16.816,0,0.0382,0.924,0.923,0.147,0.0793,62.518,3
