Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4EbIIWf305n1WOJAWEb8cc,"6R9Mv0bgGE4Tqxna1q5Mrj","You Send Me","You Send Me","Roy Ayers",1978,508186,35,spotify:user:seankmchenry,2022-11-15T14:25:50Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.493,0.513,0,-10.48,1,0.0457,0.478,0.0196,0.159,0.547,75.008,4
4MZswvF39rnyQyM1NBdz3U,"6R9Mv0bgGE4Tqxna1q5Mrj","I Wanna Touch You Baby","You Send Me","Roy Ayers",1978,263000,18,spotify:user:seankmchenry,2022-11-15T14:25:50Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.655,0.421,10,-13.607,0,0.0283,0.179,0.00736,0.427,0.659,105.993,4
5WvuwQ9U5qh0enH4NxnkYr,"6R9Mv0bgGE4Tqxna1q5Mrj","Can't You See Me","You Send Me","Roy Ayers",1978,418173,28,spotify:user:seankmchenry,2022-11-15T14:25:50Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.733,0.824,7,-8.9,1,0.0466,0.292,0.026,0.0552,0.777,115.128,4
2vgWFBrdSXKQ8Cc0Toz9sy,"6R9Mv0bgGE4Tqxna1q5Mrj","Get On Up Get On Down","You Send Me","Roy Ayers",1978,263893,20,spotify:user:seankmchenry,2022-11-15T14:25:50Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.667,0.878,5,-9.02,1,0.0969,0.108,0,0.172,0.656,125.813,4
3Ravb8XPBKL6sE2jqStRJf,"6R9Mv0bgGE4Tqxna1q5Mrj","Everytime I See You","You Send Me","Roy Ayers",1978,217866,22,spotify:user:seankmchenry,2022-11-15T14:25:50Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.59,0.456,5,-12.52,1,0.0537,0.372,0.0107,0.0802,0.274,88.449,4
7MEdPSawKwl4JxN0E0W6FX,"6R9Mv0bgGE4Tqxna1q5Mrj","Rhythm","You Send Me","Roy Ayers",1978,289693,12,spotify:user:seankmchenry,2022-11-15T14:25:50Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.601,0.816,5,-9.084,1,0.0366,0.295,0.00787,0.155,0.906,83.064,4
5CMjTh5RhPt5WkvcDvCaqw,"6R9Mv0bgGE4Tqxna1q5Mrj","And Don't You Say No","You Send Me","Roy Ayers",1978,203760,29,spotify:user:seankmchenry,2022-11-15T14:25:50Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.743,0.475,0,-10.506,0,0.0343,0.576,0.0000801,0.149,0.832,141.254,4
7sgG7b5bd55jT0f216AUoQ,"6R9Mv0bgGE4Tqxna1q5Mrj","It Ain't Your Sign It's Your Mind","You Send Me","Roy Ayers",1978,187253,10,spotify:user:seankmchenry,2022-11-15T14:25:50Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.628,0.823,4,-8.584,0,0.0695,0.204,0.000408,0.317,0.872,121.519,4
3BxveSAiqrdGIVa1Tz877K,"6R9Mv0bgGE4Tqxna1q5Mrj","Domelo (Give It To Me)","Vibrations","Roy Ayers",1976,240960,20,spotify:user:seankmchenry,2022-11-15T14:25:49Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.678,0.931,10,-6.561,1,0.0602,0.0835,0.00243,0.305,0.772,136.173,4
5uehqVdx90DER2Al0fbhnV,"6R9Mv0bgGE4Tqxna1q5Mrj","Baby I Need Your Love","Vibrations","Roy Ayers",1976,151866,25,spotify:user:seankmchenry,2022-11-15T14:25:49Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.586,0.63,9,-8.827,1,0.0942,0.159,0,0.161,0.798,75.483,4
2Ia0bilQNuXVqwvCO17bOs,"6R9Mv0bgGE4Tqxna1q5Mrj","Higher","Vibrations","Roy Ayers",1976,242960,19,spotify:user:seankmchenry,2022-11-15T14:25:49Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.632,0.731,5,-7.694,0,0.0469,0.0805,0.555,0.21,0.624,120.111,4
38ygVW7oemQ0vmcpjxYFDH,"6R9Mv0bgGE4Tqxna1q5Mrj","The Memory","Vibrations","Roy Ayers",1976,272093,42,spotify:user:seankmchenry,2022-11-15T14:25:49Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.443,0.731,8,-7.575,0,0.0335,0.171,0.0000176,0.138,0.585,154.309,4
7aUPQ3EDrMMMx06TdsPTvT,"6R9Mv0bgGE4Tqxna1q5Mrj","Come Out And Play","Vibrations","Roy Ayers",1976,226080,18,spotify:user:seankmchenry,2022-11-15T14:25:49Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.801,0.884,11,-6.812,0,0.0869,0.15,0,0.0549,0.832,117.521,4
3AL4tN9vA9ziXyKV1G6Lgd,"6R9Mv0bgGE4Tqxna1q5Mrj","Better Days","Vibrations","Roy Ayers",1976,199240,19,spotify:user:seankmchenry,2022-11-15T14:25:49Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.388,0.501,4,-7.75,0,0.0272,0.66,0.0000953,0.0674,0.151,75.99,4
45muf22QzSyKwsF4l3IcwJ,"6R9Mv0bgGE4Tqxna1q5Mrj","Searching","Vibrations","Roy Ayers",1976,240920,51,spotify:user:seankmchenry,2022-11-15T14:25:49Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.468,0.76,4,-7.304,0,0.0529,0.535,0.0000081,0.0912,0.472,168.963,4
34Junfd9A67CX4Qr4MuN6w,"6R9Mv0bgGE4Tqxna1q5Mrj","One Sweet Love To Remember","Vibrations","Roy Ayers",1976,238306,20,spotify:user:seankmchenry,2022-11-15T14:25:49Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.609,0.71,10,-7.069,0,0.217,0.0907,0.000467,0.0882,0.904,106.373,4
7bwsqDTrvpqO4spefohQu3,"3WbeZvDk1COiO2dEokZqn7","Vibrations","Vibrations","Roy Ayers Ubiquity",1976,182026,39,spotify:user:seankmchenry,2022-11-15T14:25:49Z,"funk,jazz funk,soul",0.43,0.649,5,-9.521,1,0.0293,0.483,0.0185,0.0368,0.308,138.461,4
1gP8bBkyWat1ZLFqjk2HPy,"6R9Mv0bgGE4Tqxna1q5Mrj","Moving, Grooving","Vibrations","Roy Ayers",1976,270880,18,spotify:user:seankmchenry,2022-11-15T14:25:49Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.665,0.987,1,-6.831,1,0.0677,0.17,0.0257,0.0494,0.844,129.054,4
3Yc7hGHQdOrppoYAAkVbEC,"6R9Mv0bgGE4Tqxna1q5Mrj","Baby You Give Me A Feeling","Vibrations","Roy Ayers",1976,182346,19,spotify:user:seankmchenry,2022-11-15T14:25:49Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.623,0.713,6,-8.619,1,0.0462,0.0648,0.00359,0.0561,0.928,87.462,4
6eVBJaLyotPhM4T3FayGID,"6R9Mv0bgGE4Tqxna1q5Mrj","Hot","You Might Be Surprised (Expanded Edition)","Roy Ayers",1985-08-27,283186,9,spotify:user:seankmchenry,2022-11-15T14:25:51Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.85,0.41,9,-12.606,0,0.062,0.0215,0.693,0.0819,0.937,115.006,4
4hh98lPI8eofSZwtD1RRR7,"6R9Mv0bgGE4Tqxna1q5Mrj,2WhBMr0aFMTJVXc5TYvu27","Programmed for Love","You Might Be Surprised (Expanded Edition)","Roy Ayers,Andy Wallace",1985-08-27,340213,31,spotify:user:seankmchenry,2022-11-15T14:25:51Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.794,0.221,6,-13.763,0,0.107,0.221,0.622,0.0528,0.868,83.201,4
5grGDLlciIGjSrSYleXqhP,"6R9Mv0bgGE4Tqxna1q5Mrj","Virgo","You Might Be Surprised (Expanded Edition)","Roy Ayers",1985-08-27,269160,6,spotify:user:seankmchenry,2022-11-15T14:25:51Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.79,0.706,11,-11.862,0,0.0644,0.0263,0.898,0.0374,0.62,115.198,4
2kJ85O9lMP0E3qmku04VIh,"6R9Mv0bgGE4Tqxna1q5Mrj,5swBKHtsRDaCBmdpYRYOg1","You Might Be Surprised (feat. Jean Carn)","You Might Be Surprised (Expanded Edition)","Roy Ayers,Jean Carn",1985-08-27,235666,6,spotify:user:seankmchenry,2022-11-15T14:25:51Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul,classic soul,post-disco,urban contemporary",0.634,0.458,11,-14.193,0,0.114,0.195,0.00059,0.106,0.76,79.968,4
1ZsPQ8TqTeyLH7u6Xa6Af0,"6R9Mv0bgGE4Tqxna1q5Mrj","Night Flyte","You Might Be Surprised (Expanded Edition)","Roy Ayers",1985-08-27,273226,6,spotify:user:seankmchenry,2022-11-15T14:25:51Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.808,0.519,0,-16.274,1,0.0503,0.0572,0.586,0.0405,0.964,115.56,4
3BJyvHTOan4VyWiQUQofiT,"6R9Mv0bgGE4Tqxna1q5Mrj","Can I See You","You Might Be Surprised (Expanded Edition)","Roy Ayers",1985-08-27,326946,3,spotify:user:seankmchenry,2022-11-15T14:25:51Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.805,0.678,1,-12.88,1,0.087,0.00249,0.32,0.0317,0.815,101.667,4
1HR6HqfHc8mcPykx4jqbtg,"6R9Mv0bgGE4Tqxna1q5Mrj,2WhBMr0aFMTJVXc5TYvu27","For You","You Might Be Surprised (Expanded Edition)","Roy Ayers,Andy Wallace",1985-08-27,244586,4,spotify:user:seankmchenry,2022-11-15T14:25:51Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.815,0.304,0,-14.882,0,0.0424,0.253,0.372,0.0663,0.353,119.661,4
2sHB1OW8jMGQm6dwCa7OvL,"6R9Mv0bgGE4Tqxna1q5Mrj","Slip n' Slide","You Might Be Surprised (Expanded Edition)","Roy Ayers",1985-08-27,269973,21,spotify:user:seankmchenry,2022-11-15T14:25:51Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.881,0.38,0,-11.766,0,0.0879,0.0547,0.124,0.389,0.945,113.6,4
7icmgDdfU4SnmuqtcQ1UeK,"6R9Mv0bgGE4Tqxna1q5Mrj","I'm the One","I'm The One (For Your Love Tonight) [Expanded Edition]","Roy Ayers",1987,336693,2,spotify:user:seankmchenry,2022-11-15T14:25:52Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.785,0.845,6,-11.833,0,0.0442,0.0626,0.245,0.0863,0.929,119.232,4
13WoX0O9KyQGJdtSwkz0e3,"6R9Mv0bgGE4Tqxna1q5Mrj","Don't You Ever Turn Away","I'm The One (For Your Love Tonight) [Expanded Edition]","Roy Ayers",1987,286320,5,spotify:user:seankmchenry,2022-11-15T14:25:52Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.734,0.509,5,-14.24,1,0.0549,0.139,0.00334,0.0636,0.957,97.292,4
7zmEtLazoSa42CtX9ZQZjP,"6R9Mv0bgGE4Tqxna1q5Mrj","Blue Summer","I'm The One (For Your Love Tonight) [Expanded Edition]","Roy Ayers",1987,298680,6,spotify:user:seankmchenry,2022-11-15T14:25:52Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.707,0.706,0,-12.244,0,0.0484,0.281,0.459,0.0779,0.934,97.35,4
6TvwWNX3MeiGw6LhCKqhNM,"6R9Mv0bgGE4Tqxna1q5Mrj","I Once Had Your Love","I'm The One (For Your Love Tonight) [Expanded Edition]","Roy Ayers",1987,243320,2,spotify:user:seankmchenry,2022-11-15T14:25:52Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.691,0.538,5,-13.603,0,0.0444,0.188,0.00333,0.317,0.884,81.307,4
3muDYKWJ42Hna7AWQpBVal,"6R9Mv0bgGE4Tqxna1q5Mrj","I Really Wanna Be with You","I'm The One (For Your Love Tonight) [Expanded Edition]","Roy Ayers",1987,314040,2,spotify:user:seankmchenry,2022-11-15T14:25:52Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.815,0.636,10,-12.125,0,0.119,0.202,0.0322,0.635,0.884,97.158,4
0giSfPcIPGVrCE7hJAKFfm,"6R9Mv0bgGE4Tqxna1q5Mrj","Let Me Love You","I'm The One (For Your Love Tonight) [Expanded Edition]","Roy Ayers",1987,347226,6,spotify:user:seankmchenry,2022-11-15T14:25:52Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.688,0.369,5,-12.936,1,0.0483,0.419,0.0000124,0.0919,0.774,71.789,4
0JCfX155yhkluIbhvbTB9J,"6R9Mv0bgGE4Tqxna1q5Mrj","Marlon","I'm The One (For Your Love Tonight) [Expanded Edition]","Roy Ayers",1987,210080,4,spotify:user:seankmchenry,2022-11-15T14:25:52Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.745,0.588,5,-15.323,0,0.048,0.16,0.733,0.0791,0.934,110.258,4
43ZC8NPt48FUkHJVnLNtEe,"6R9Mv0bgGE4Tqxna1q5Mrj","Word","I'm The One (For Your Love Tonight) [Expanded Edition]","Roy Ayers",1987,217586,2,spotify:user:seankmchenry,2022-11-15T14:25:52Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.767,0.494,9,-13.141,0,0.0644,0.0803,0.625,0.138,0.708,113.86,4
4Qb6MrzicIYNXjJsRZO2UF,"6R9Mv0bgGE4Tqxna1q5Mrj","Crack Attack","I'm The One (For Your Love Tonight) [Expanded Edition]","Roy Ayers",1987,253973,1,spotify:user:seankmchenry,2022-11-15T14:25:52Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.864,0.486,9,-12.041,0,0.131,0.0701,0.000552,0.209,0.736,114.365,4
3VnL3Eh8cPBU6lkGZfDlSm,"6R9Mv0bgGE4Tqxna1q5Mrj,1MlshOgVI8AYawF9DPEA4I","Boogie Down","Virgin Ubiquity: Unreleased Recordings 1976 - 1981","Roy Ayers,Carla Vaughn",2018-12-01,366693,9,spotify:user:seankmchenry,2022-11-15T14:26:01Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.609,0.786,5,-9.013,0,0.0298,0.15,0.000107,0.205,0.655,100,4
2iBcdSDXK82u0sm5rO6U03,"6R9Mv0bgGE4Tqxna1q5Mrj,71cyZ6pH0KrM2MdtO8RGmy","What's the T?","Virgin Ubiquity: Unreleased Recordings 1976 - 1981","Roy Ayers,Merry Clayton",2018-12-01,250706,8,spotify:user:seankmchenry,2022-11-15T14:26:01Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul,classic soul",0.81,0.791,5,-10.189,0,0.0484,0.00246,0.312,0.153,0.631,111.152,4
2vUGqIAYMeODGUssGYKg9x,"6R9Mv0bgGE4Tqxna1q5Mrj,71cyZ6pH0KrM2MdtO8RGmy","I Really Love You","Virgin Ubiquity: Unreleased Recordings 1976 - 1981","Roy Ayers,Merry Clayton",2018-12-01,238960,9,spotify:user:seankmchenry,2022-11-15T14:26:01Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul,classic soul",0.545,0.583,10,-8.314,0,0.0484,0.135,0.0000625,0.241,0.434,87.028,4
49D1qpVBbiWEFh39mk5nqe,"6R9Mv0bgGE4Tqxna1q5Mrj,71cyZ6pH0KrM2MdtO8RGmy","Oh What a Lonely Feeling","Virgin Ubiquity: Unreleased Recordings 1976 - 1981","Roy Ayers,Merry Clayton",2018-12-01,251946,10,spotify:user:seankmchenry,2022-11-15T14:26:01Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul,classic soul",0.586,0.733,1,-8.812,0,0.12,0.151,0.0000444,0.166,0.212,108.325,4
67OYjANxdP2N5im7mwjI6m,"6R9Mv0bgGE4Tqxna1q5Mrj,1MlshOgVI8AYawF9DPEA4I","Sugar","Virgin Ubiquity: Unreleased Recordings 1976 - 1981","Roy Ayers,Carla Vaughn",2018-12-01,434720,10,spotify:user:seankmchenry,2022-11-15T14:26:01Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.659,0.81,10,-7.886,0,0.05,0.021,0.00489,0.0813,0.916,126.111,4
30SaZGpgPzSPrOvXb5ygYw,"6R9Mv0bgGE4Tqxna1q5Mrj,71cyZ6pH0KrM2MdtO8RGmy","Mystery of Love","Virgin Ubiquity: Unreleased Recordings 1976 - 1981","Roy Ayers,Merry Clayton",2018-12-01,231813,14,spotify:user:seankmchenry,2022-11-15T14:26:01Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul,classic soul",0.564,0.716,11,-9.369,1,0.0812,0.0939,0.0249,0.0962,0.628,80.414,4
4Y2c8eFEjpo5Su3PYFSZaQ,"6R9Mv0bgGE4Tqxna1q5Mrj","Green and Gold","Virgin Ubiquity: Unreleased Recordings 1976 - 1981","Roy Ayers",2018-12-01,292413,18,spotify:user:seankmchenry,2022-11-15T14:26:01Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.61,0.618,9,-8.342,1,0.0335,0.416,0.65,0.105,0.626,97.997,4
1lYui55cAauF3CRgS2TnxX,"6R9Mv0bgGE4Tqxna1q5Mrj,71cyZ6pH0KrM2MdtO8RGmy,1oEFoNbrqTYuHrmBVaKSSl","Brand New Feeling","Virgin Ubiquity: Unreleased Recordings 1976 - 1981","Roy Ayers,Merry Clayton,Sylvia Cox",2018-12-01,589893,10,spotify:user:seankmchenry,2022-11-15T14:26:01Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul,classic soul",0.534,0.511,8,-8.675,1,0.0347,0.022,0.0135,0.16,0.347,138.424,4
0IUe23AMO6qdyesWNy0ePH,"6R9Mv0bgGE4Tqxna1q5Mrj","I Did It in Seattle","Virgin Ubiquity: Unreleased Recordings 1976 - 1981","Roy Ayers",2018-12-01,291786,9,spotify:user:seankmchenry,2022-11-15T14:26:01Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.606,0.881,10,-9.502,0,0.0344,0.0107,0.151,0.144,0.644,96.825,4
4HyISlLbx1ZJJPDWw9X2dC,"6R9Mv0bgGE4Tqxna1q5Mrj,1MlshOgVI8AYawF9DPEA4I","Mystic Voyage","Virgin Ubiquity: Unreleased Recordings 1976 - 1981","Roy Ayers,Carla Vaughn",2018-12-01,261680,14,spotify:user:seankmchenry,2022-11-15T14:26:01Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.607,0.599,9,-8.009,0,0.0349,0.0385,0.000283,0.121,0.41,76.742,4
578BHLMvpkll0Wp9Wuz149,"6R9Mv0bgGE4Tqxna1q5Mrj,71cyZ6pH0KrM2MdtO8RGmy","I Just Wanna Give It Up","Virgin Ubiquity: Unreleased Recordings 1976 - 1981","Roy Ayers,Merry Clayton",2018-12-01,287080,9,spotify:user:seankmchenry,2022-11-15T14:26:01Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul,classic soul",0.631,0.503,0,-10.052,0,0.0719,0.405,0.00228,0.0916,0.549,81.999,4
4Cp4o0gacHfDpxq61li8ug,"6R9Mv0bgGE4Tqxna1q5Mrj,1MlshOgVI8AYawF9DPEA4I","Together Forever","Virgin Ubiquity: Unreleased Recordings 1976 - 1981","Roy Ayers,Carla Vaughn",2018-12-01,280866,8,spotify:user:seankmchenry,2022-11-15T14:26:01Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.33,0.548,7,-10.49,1,0.0313,0.641,0.0000595,0.088,0.215,137.04,4
6n5zZlfiNRT9CMLnqRYdtL,"6R9Mv0bgGE4Tqxna1q5Mrj","I Am Your Mind","Virgin Ubiquity: Unreleased Recordings 1976 - 1981","Roy Ayers",2018-12-01,403053,7,spotify:user:seankmchenry,2022-11-15T14:26:01Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.826,0.787,0,-9.666,1,0.0512,0.297,0.624,0.0818,0.908,121.433,4
3u8ykV0rczcfG93y0Evcl7,"6R9Mv0bgGE4Tqxna1q5Mrj,6YBiK4t0ZuN8ACjIfByjqJ","Holiday","Virgin Ubiquity II","Roy Ayers,Terri Wells",2018-12-01,427906,28,spotify:user:seankmchenry,2022-11-15T14:26:03Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul,post-disco,post-disco soul",0.633,0.719,5,-6.098,0,0.0717,0.31,0.000729,0.0862,0.551,75.744,4
5BeYu3uJAMVZ5oyReLFupf,"6R9Mv0bgGE4Tqxna1q5Mrj","I Am Your Mind (Part 2)","Virgin Ubiquity II","Roy Ayers",2018-12-01,515840,38,spotify:user:seankmchenry,2022-11-15T14:26:03Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.694,0.598,2,-8.177,0,0.04,0.138,0.00269,0.345,0.962,108.633,4
3olJm5hPTWRM89ZNuPbNMg,"6R9Mv0bgGE4Tqxna1q5Mrj","Funk in the Hole","Virgin Ubiquity II","Roy Ayers",2018-12-01,336546,39,spotify:user:seankmchenry,2022-11-15T14:26:03Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.494,0.98,5,-4.795,1,0.0565,0.0233,0.479,0.225,0.955,181.689,4
1uOgZkPPwGgya04nRoM1wy,"6R9Mv0bgGE4Tqxna1q5Mrj,1oEFoNbrqTYuHrmBVaKSSl","Liquid Love","Virgin Ubiquity II","Roy Ayers,Sylvia Cox",2018-12-01,286533,45,spotify:user:seankmchenry,2022-11-15T14:26:03Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.463,0.6,10,-6.968,0,0.0259,0.0812,0.0437,0.036,0.652,82.623,4
6jE0hejOoU03P1crFrSR08,"6R9Mv0bgGE4Tqxna1q5Mrj,1MlshOgVI8AYawF9DPEA4I","Third Time","Virgin Ubiquity II","Roy Ayers,Carla Vaughn",2018-12-01,432080,16,spotify:user:seankmchenry,2022-11-15T14:26:03Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.394,0.921,0,-5.003,0,0.163,0.169,0.00000367,0.172,0.572,106.096,4
18mjZDGGZmUvEcdVqW6Ynm,"6R9Mv0bgGE4Tqxna1q5Mrj","Tarzan","Virgin Ubiquity II","Roy Ayers",2018-12-01,252973,17,spotify:user:seankmchenry,2022-11-15T14:26:03Z,"disco,funk,jazz funk,jazz vibraphone,quiet storm,soul",0.567,0.954,10,-4.168,1,0.0569,0.0642,0.0248,0.168,0.928,120.243,4
