Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2vShiMDl3yNcSqPeiNW8rm,"I Don't Love You Anymore","Reel To Reel: 1978 - 1992","The Reels",2007-09-15,245186,0,seankmchenry,2020-04-08T20:53:27Z,"australian rock","Bloodlines",0.711,0.776,1,-6.712,1,0.0538,0.0794,0.0383,0.0338,0.969,102.092,4
30hKzveKyWKlyHZZhVGOhi,"The Highest High","Flaunt The Imperfection","China Crisis",1985-01-01,255266,28,seankmchenry,2020-04-08T20:53:27Z,"new romantic,new wave pop,sophisti-pop,synthpop","Virgin Records",0.742,0.509,7,-13.93,1,0.0327,0.203,0.502,0.291,0.741,134.923,4
1RJkO4wNDYEuniXzg6WzA1,"The Old Man's Back Again (Dedicated To The Neo-Stalinist Regime)","Scott 4","Scott Walker",1969-11-01,220573,39,seankmchenry,2020-04-08T20:53:27Z,"baroque pop,chamber pop,experimental,experimental rock,melancholia,singer-songwriter","UMC (Universal Music Catalogue)",0.419,0.454,8,-16.458,0,0.0413,0.58,0.0000438,0.161,0.783,90.99,4
61l1IZVCE3gk6RHFRtH01c,"Rotation","Rise","Herb Alpert",1979-09-01,311413,0,seankmchenry,2020-04-08T20:53:27Z,"jazz trumpet","Herb Alpert Presents",0.826,0.469,8,-13.957,1,0.0709,0.237,0.944,0.0429,0.475,104.923,4
2bTe1fvWK8mfjSP6NqXDzU,"Don't Stop The Dance","Boys And Girls","Bryan Ferry",1985,259360,60,seankmchenry,2020-04-08T20:53:27Z,"glam rock,melancholia,new romantic,new wave,new wave pop,solo wave,sophisti-pop","Virgin Records",0.716,0.769,9,-5.931,0,0.0328,0.00707,0.78,0.165,0.975,127.32,4
0mUqeUzqBJaee4dxvjxtrK,"Say Somethin' Love","Kashif","Kashif",1983,314373,0,seankmchenry,2020-04-08T20:53:27Z,"contemporary r&b,disco,funk,new jack swing,post-disco,quiet storm,urban contemporary","Arista",0.805,0.4,2,-11.701,1,0.0295,0.11,0.00000761,0.0652,0.629,110.956,4
7cVtaXFyypejVazNHrbiLP,"The Hurt - Remastered","Kalapana I","Kalapana",1975-06-08,216856,38,seankmchenry,2020-04-08T20:53:27Z,"","Manifesto Records",0.484,0.694,9,-11.387,1,0.0488,0.0692,0.0000264,0.0484,0.847,99.877,4
1o5xIHl9rXB1RXHec8WihZ,"Nightbird - Remastered","Kalapana I","Kalapana",1975-06-08,159239,36,seankmchenry,2020-04-08T20:53:27Z,"","Manifesto Records",0.62,0.363,6,-13.275,1,0.0323,0.568,0.00000183,0.118,0.533,117.247,4
6N7gPTru90HYLRUIVDQ185,"More Than This","Avalon","Roxy Music",1982-05-01,270651,67,seankmchenry,2020-04-08T20:53:27Z,"art rock,glam rock,melancholia,new romantic,new wave,new wave pop,sophisti-pop","EG Records",0.653,0.665,6,-7.806,1,0.025,0.0507,0.0461,0.139,0.755,128.503,4
5cQWHcmSDZvMQYGucTv2cK,"California 1","The Best Of Con Funk Shun","Con Funk Shun",1993,277733,12,seankmchenry,2020-04-08T20:53:27Z,"classic soul,disco,funk,new jack swing,p funk,post-disco,quiet storm,soul,urban contemporary","Island Mercury",0.807,0.673,7,-12.182,0,0.0347,0.264,0.00012,0.0355,0.97,118.706,4
6yOcaiqZraTNJNtkiuM76i,"Lonely Love","Piece By Piece","John Martyn",1986-01-01,199053,2,seankmchenry,2020-04-08T20:53:27Z,"british folk,psychedelic folk,singer-songwriter","UMC (Universal Music Catalogue)",0.812,0.489,9,-12.304,0,0.0343,0.465,0.00295,0.0945,0.665,108.935,4
5bgYTzUDzerRFN7fp86MkQ,"Night by Night","Business Casual","Chromeo",2010-09-13,225400,38,seankmchenry,2020-04-08T20:53:27Z,"alternative dance,dance rock,filter house,indietronica,neo-synthpop,new rave,nu disco","Big Beat Records/Atlantic",0.684,0.896,8,-4.16,1,0.0349,0.00646,0.0129,0.0924,0.573,125.981,4
25ULv167uEe78vlVdFIA3m,"You Did Cut Me","Flaunt The Imperfection","China Crisis",1985-01-01,257706,28,seankmchenry,2020-04-08T20:53:27Z,"new romantic,new wave pop,sophisti-pop,synthpop","Virgin Records",0.784,0.469,11,-15.849,0,0.0355,0.586,0.128,0.0897,0.845,119.847,4
69W6NTkk0aEf5GtQOZjicl,"Science Is Golden","Beautiful","The Reels",1982,161693,0,seankmchenry,2020-04-08T20:53:27Z,"australian rock","Bloodlines",0.804,0.869,2,-4.824,1,0.0287,0.105,0.905,0.197,0.904,110.183,4
0qnfAVtzFPY0pOGYpTkZeY,"I Gotta Try","If That's What It Takes","Michael McDonald",1982-08-03,235333,49,seankmchenry,2020-04-08T20:53:27Z,"mellow gold,soft rock,yacht rock","Reprise",0.808,0.417,9,-15.226,0,0.0316,0.103,0,0.0609,0.887,114.558,4
3R3UF0fn9DzRV7yPMs96GT,"Oh Yeah!","Watching You Watching Me","Bill Withers",1985-05-25,244200,31,seankmchenry,2020-04-08T20:53:27Z,"classic soul,funk,quiet storm,soul","Columbia",0.79,0.434,5,-14.864,0,0.0297,0.118,0,0.0839,0.868,105.915,4
7tBlvnHLTox3S0yB6nIV2Q,"Lazy Nina","Pulse (Expanded Edition)","Greg Phillinganes",1984,326613,43,seankmchenry,2020-04-08T20:53:27Z,"yacht rock","RCA/Legacy",0.625,0.5,7,-9.104,1,0.0873,0.183,0.00000337,0.0378,0.777,202.318,4
3eNtTPVceQrNfJnz4c8DGz,"Der Erdbeermund","Horizon","Culture Beat",1991-01-01,243933,21,seankmchenry,2020-04-08T20:53:27Z,"eurodance,europop,german techno,hip house","Abfahrt Media",0.692,0.703,2,-12.233,1,0.0435,0.0257,0.00308,0.0911,0.581,118.01,4
6znmMGPBooi9PLRDFDv6BX,"Help Yourself to My Love","Kashif","Kashif",1983,245973,0,seankmchenry,2020-04-08T20:53:27Z,"contemporary r&b,disco,funk,new jack swing,post-disco,quiet storm,urban contemporary","Arista",0.803,0.352,6,-13.288,0,0.0726,0.0408,0.00000305,0.184,0.608,105.103,4
4iS6ObZODsFviYS1Pwl9V9,"Red Night","Red Night","Blue Knights",1994,263612,3,seankmchenry,2020-04-08T20:53:27Z,"","1201 MUSIC",0.654,0.439,7,-13.342,1,0.0332,0.87,0.716,0.0886,0.584,94.509,4
0mJQlCl9YgxW7kyeltNiVk,"Touch of Grey - 2013 Remaster","In the Dark","Grateful Dead",1987,350862,55,seankmchenry,2020-04-08T20:53:27Z,"cosmic american,jam band,psychedelic rock","Grateful Dead/Rhino",0.612,0.696,11,-11.34,1,0.0353,0.0785,0.0000094,0.14,0.849,159.829,4
5mpzCj9l1pYsL4XOXiea84,"So Into You","20th Century Masters: The Millennium Collection: Best Of Atlanta Rhythm Section","Atlanta Rhythm Section",2000-01-01,263800,33,seankmchenry,2020-04-08T20:53:27Z,"album rock,classic rock,country rock,mellow gold,soft rock,southern rock,yacht rock","Polydor",0.606,0.501,5,-10.964,0,0.0335,0.405,0.0539,0.0945,0.82,86.057,4
1dKo7nf3mdurZX7hNOHn4X,"This Place","This Place","Retiree",2015-06-22,390000,0,seankmchenry,2020-04-08T20:53:27Z,"","Rhythm Section International",0.768,0.717,4,-8.899,0,0.0441,0.184,0.519,0.205,0.899,117.998,4
3sT6P3Yf6rjDaH1nPtYdf8,"Your Light","Lead Me to the Garden","ʻĀina",2018-11-21,190053,0,seankmchenry,2020-04-08T20:53:27Z,"","Aloha Got Soul",0.649,0.552,9,-9.559,1,0.0477,0.709,0.0000935,0.126,0.642,119.767,4
2kK3xEoDD70VFdsbPaFL4g,"So Many Ways","Respect","Billy Griffin",2014-12-19,359000,5,seankmchenry,2020-04-08T20:53:27Z,"post-disco,post-disco soul,yacht rock","SMCMG",0.442,0.573,8,-8.682,0,0.0316,0.624,0.001,0.271,0.532,79.234,4
5VYB1J9aXyYxjE5Z8kXRgK,"Hey, Little Girl","Primitive Man (Bonus Track Edition)","ICEHOUSE",1982-09-06,264666,51,seankmchenry,2020-04-08T20:53:27Z,"australian rock,new romantic,sophisti-pop,synthpop","Diva",0.736,0.891,9,-5.828,0,0.0328,0.151,0.516,0.0871,0.868,135.532,4
