Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7LFer4drCtWSyD8oxORZtC,"Dirty Laundry","I Can't Stand Still","Don Henley",1982-08-13,336800,2,seankmchenry,2021-02-26T13:32:54Z,"album rock,classic rock,mellow gold,singer-songwriter,soft rock,yacht rock","Don Henley Catalog PS",0.756,0.772,5,-6.65,0,0.0306,0.0848,0.0026,0.0792,0.954,98.382,4
4d6eqRtpDX7tydHJGDZUBQ,"She Drives Me Crazy","The Raw & The Cooked","Fine Young Cannibals",1988-01-01,215773,73,seankmchenry,2021-02-26T13:32:54Z,"dance rock,new romantic,new wave,new wave pop,synthpop","London Music Stream",0.799,0.687,2,-5.682,1,0.0431,0.193,0.000188,0.0307,0.965,108.804,4
7rwPVahewLXhDGKUjfbzU3,"17 Days","The Hits / The B-Sides","Prince",1993-09-13,240066,23,seankmchenry,2021-02-26T13:32:54Z,"funk,funk rock,minneapolis sound,rock,synth funk","Warner Records",0.851,0.703,5,-9.566,1,0.0637,0.0993,0.00472,0.0644,0.724,114.553,4
0o7tBKZHvWPJB17wQx1Q8w,"Rat In Mi Kitchen","The Very Best Of","UB40",2000,185960,42,seankmchenry,2021-02-26T13:32:54Z,"reggae fusion,uk reggae","Virgin Records",0.734,0.652,9,-6.554,1,0.0586,0.0825,0.00215,0.0651,0.705,90.722,4
6qBSGvyUzqNQv8XtnzCr9n,"Everybody Have Fun Tonight","Mosaic","Wang Chung",1986-10-14,287360,53,seankmchenry,2021-02-26T13:32:54Z,"new romantic,new wave pop,synthpop","Geffen",0.728,0.619,9,-12.265,1,0.0379,0.0884,0.0000844,0.039,0.747,128.845,4
2EoIt9vdgFRNW03u5IvFsQ,"Achy Breaky Heart","Some Gave All","Billy Ray Cyrus",1992,203373,65,seankmchenry,2021-03-13T22:27:14Z,"country rock","Mercury Nashville",0.8,0.563,9,-10.209,1,0.0303,0.051,0,0.0797,0.961,121.808,4
6iKWr2XH1DyT7TQzDZlvzd,"Boot Scootin' Boogie","Brand New Man","Brooks & Dunn",1991-08-13,197640,51,seankmchenry,2021-03-16T12:31:03Z,"contemporary country,country,country road","Arista Nashville",0.667,0.776,11,-7.292,0,0.0356,0.272,0.00000359,0.355,0.899,130.669,4
3Is0Nnz59rzbNZE491URlY,"(Shake, Shake, Shake) Shake Your Booty","KC & the Sunshine Band, Pt. 3... and More","KC & The Sunshine Band",2004-10-26,186906,51,seankmchenry,2021-03-24T13:49:57Z,"disco,mellow gold,new wave pop,soft rock,soul","Rhino",0.649,0.825,10,-12.243,0,0.0335,0.00606,0.154,0.104,0.961,112.124,4
30qVCFYKBtAENjTIBA8FPZ,"The River of Dreams","River Of Dreams","Billy Joel",1993-08-10,247626,63,seankmchenry,2021-03-24T13:57:50Z,"album rock,classic rock,mellow gold,piano rock,rock,singer-songwriter,soft rock","Columbia",0.631,0.749,7,-8.15,1,0.0576,0.205,0.00000521,0.0667,0.437,89.646,4
1MI8aQJAoaYhIaVNz5giKB,"Hey There Lonely Girl","I Love You","Eddie Holman",1969-01-01,216760,49,seankmchenry,2021-05-01T14:15:07Z,"classic soul,northern soul,philly soul,southern soul","Geffen",0.389,0.322,9,-10.923,1,0.0282,0.693,0.00000208,0.0814,0.343,94.007,3
1G4nLpVEDl53nhqXckaDuY,"Christmas in Killarney","A Very Merry Christmas","Bobby Vinton",1964-07-22,144093,9,seankmchenry,2021-05-06T12:57:57Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic",0.547,0.528,2,-10.934,1,0.0448,0.793,0,0.29,0.833,114.756,4
252BHYUYVNpJLYqIjQ75zY,"For You","Rick Nelson Sings For You","Ricky Nelson",1963-01-01,138266,19,seankmchenry,2021-05-09T13:56:04Z,"adult standards,doo-wop,rock-and-roll,rockabilly","Geffen*",0.729,0.673,7,-11.078,1,0.0527,0.124,0.0000136,0.312,0.546,127.36,4
5ciXaUHz9sF44sXI91u3Qg,"Tobing","Unser","Hausmeister",2001-03-05,275320,1,seankmchenry,2021-06-12T13:58:19Z,"german electronica","Karaoke Kalk",0.43,0.278,9,-14.72,1,0.0533,0.493,0.885,0.106,0.242,157.178,4
5dXED6MP1v1qghkaniirb1,"You Can Do Magic","View From The Ground","America",1982-01-01,237466,63,seankmchenry,2022-01-09T00:01:02Z,"album rock,classic rock,folk rock,mellow gold,soft rock","Capitol Records",0.859,0.568,4,-12.516,0,0.0387,0.29,0,0.31,0.936,129.72,4
3nxJtipvvHVU71WItmgCVj,"Tahitti Hut","Love Island","Deodato",1978,267826,28,seankmchenry,2022-01-09T00:04:33Z,"bossa nova jazz,brazilian jazz,jazz funk","Rhino/Warner Records",0.704,0.461,7,-15.512,1,0.0379,0.604,0.872,0.0813,0.856,140.895,4
2Pq73UpYMOqPrYDLjgXWZ4,"(Put The Lime In The)coconut","Tropical Hawaiian Party","The Hit Crew",2007-07-10,228093,37,seankmchenry,2022-01-11T23:20:29Z,"","Turn Up The Music",0.585,0.806,0,-5.638,1,0.0411,0.0531,0.0000142,0.12,0.85,137.952,4
6m6SKi1RvngMoQeyC2fLRU,"Leroy the Redneck Reindeer","Mr. Christmas","Joe Diffie",1995-09-19,197240,44,seankmchenry,2022-01-15T13:51:50Z,"classic oklahoma country,contemporary country,country,country road","Epic/Nashville",0.619,0.489,4,-11.582,1,0.0623,0.621,0,0.357,0.641,146.411,4
6K8EySFp9WNmqm1paTflzx,"Slip Away","Letter From Home","Pat Metheny Group",1989,323840,0,seankmchenry,2022-01-19T13:51:02Z,"contemporary post-bop,ecm-style jazz,jazz,jazz fusion","Nonesuch",0.51,0.744,7,-9.024,0,0.0284,0.658,0.326,0.356,0.631,118.314,4
1NB7MDFLVTrDeG8uHkb5Q4,"Hou-DI-Ni","The Thistle","Jesse Rae",1984-06-08,264438,0,seankmchenry,2022-01-22T16:56:03Z,"","Jesse Rae",0.797,0.491,5,-11.875,0,0.0608,0.0446,0.0000025,0.0677,0.799,127.606,4
4hGOhC87bn7JBdYykOJJvJ,"I'd Rather Dance With You","Riot On An Empty Street","Kings of Convenience",2004-01-01,209026,0,seankmchenry,2022-03-19T16:21:57Z,"bergen indie,melancholia,norwegian indie","Source UK",0.843,0.833,0,-6.156,0,0.0341,0.329,0.0567,0.126,0.972,141.99,4
0wi8l8td4g1AqsiLGvMzbi,"Mrs. Cold","Declaration Of Dependence","Kings of Convenience",2009-01-01,186466,0,seankmchenry,2022-03-19T16:22:43Z,"bergen indie,melancholia,norwegian indie","Virgin Records",0.755,0.366,3,-13.459,1,0.0548,0.86,0.0655,0.111,0.674,96.317,4
52xJxFP6TqMuO4Yt0eOkMz,"We Don't Talk About Bruno","Encanto (Original Motion Picture Soundtrack)","Carolina Gaitán,Mauro Castillo,Adassa,Rhenzy Feliz,Diane Guerrero,Stephanie Beatriz,Encanto - Cast",2021-11-19,216120,71,seankmchenry,2022-05-24T14:14:28Z,"modern salsa,movie tunes,salsa colombiana,hollywood","Walt Disney Records",0.577,0.45,0,-8.516,0,0.0834,0.357,0,0.111,0.83,205.863,4
760jhRscwGbIIe1m1IIQpU,"Surface Pressure","Encanto (Original Motion Picture Soundtrack)","Jessica Darrow",2021-11-19,202226,68,seankmchenry,2022-05-24T14:14:28Z,"movie tunes","Walt Disney Records",0.65,0.584,2,-8.286,1,0.307,0.0174,0.00000154,0.042,0.37,180.088,4
7Km25EvhrKtt6Wy2AmJGCh,"Sumahama - Remastered 2000","L.A. (Light Album) [Remastered]","The Beach Boys",1979-03-19,272106,13,seankmchenry,2022-05-29T14:03:16Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop","Capitol Records",0.587,0.313,1,-11.382,1,0.0263,0.8,0.0000187,0.0745,0.425,101.128,4
4Zutf1o7cmxAcimakg0AVD,"The Siamese Cat Song/What's Going on Down There - From Lady and the Tramp/Soundtrack Version","Lady and the Tramp","Peggy Lee,Oliver Wallace",1997-01-01,155866,34,seankmchenry,2023-05-01T00:20:37Z,"adult standards,torch song,vocal jazz,classic soundtrack,movie tunes","Walt Disney Records",0.549,0.226,10,-16.432,1,0.0342,0.854,0.00648,0.0837,0.52,88.266,4
5mg3VB3Qh7jcR5kAAC4DSV,"Cupid","The Beginning: Cupid","FIFTY FIFTY",2023-02-24,174253,12,seankmchenry,2023-08-14T01:01:09Z,"k-pop girl group","WM Korea",0.774,0.66,2,-8.2,1,0.0328,0.662,0,0.4,0.961,120.023,4
2Bxt2qamL6iu0XN0Td484J,"Virtual Insanity - Remastered 2013","Travelling Without Moving (Remastered)","Jamiroquai",1996-09-09,340906,55,seankmchenry,2024-02-11T18:55:32Z,"dance pop","Sony Music CG",0.618,0.893,6,-6.475,1,0.109,0.171,0.0000317,0.285,0.515,91.972,4
