Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3grjwsZ7iYmtABKbVCFROm,"1CPwHx5lgVxv0rfcp7UXLx","Alimony","Ry Cooder","Ry Cooder",1970-01-01,175560,25,spotify:user:seankmchenry,2022-07-14T13:17:08Z,"blues,blues rock,country blues,country rock,folk,folk rock,pastoral,piedmont blues,roots rock,singer-songwriter",0.661,0.504,4,-13.224,1,0.0256,0.552,0.0117,0.12,0.843,88.272,4
5pFX29dH5qfD0VHHQFXEdY,"1CPwHx5lgVxv0rfcp7UXLx","France Chance","Ry Cooder","Ry Cooder",1970-01-01,168440,17,spotify:user:seankmchenry,2022-07-14T13:17:08Z,"blues,blues rock,country blues,country rock,folk,folk rock,pastoral,piedmont blues,roots rock,singer-songwriter",0.468,0.485,5,-11.782,1,0.0366,0.251,0.0000448,0.0677,0.844,181.357,4
2Q0Uxyag2Y0pd5OTukJswf,"1CPwHx5lgVxv0rfcp7UXLx","One Meat Ball","Ry Cooder","Ry Cooder",1970-01-01,149200,18,spotify:user:seankmchenry,2022-07-14T13:17:08Z,"blues,blues rock,country blues,country rock,folk,folk rock,pastoral,piedmont blues,roots rock,singer-songwriter",0.433,0.534,2,-11.246,1,0.0418,0.606,0,0.324,0.654,117.695,4
4l7riyMsj4wDFtaHzuyTgA,"1CPwHx5lgVxv0rfcp7UXLx","Do Re Mi","Ry Cooder","Ry Cooder",1970-01-01,183733,17,spotify:user:seankmchenry,2022-07-14T13:17:08Z,"blues,blues rock,country blues,country rock,folk,folk rock,pastoral,piedmont blues,roots rock,singer-songwriter",0.618,0.599,8,-10.73,1,0.0302,0.48,0.00000766,0.104,0.932,89.402,4
5PRauc1yLklTS0ywQJA0ud,"1CPwHx5lgVxv0rfcp7UXLx","My Old Kentucky Home","Ry Cooder","Ry Cooder",1970-01-01,108133,22,spotify:user:seankmchenry,2022-07-14T13:17:08Z,"blues,blues rock,country blues,country rock,folk,folk rock,pastoral,piedmont blues,roots rock,singer-songwriter",0.605,0.598,2,-12.666,1,0.0334,0.662,0.143,0.0978,0.941,80.182,4
6hHpuL1U1F5VlScTmp8mVK,"1CPwHx5lgVxv0rfcp7UXLx","How Can a Poor Man Stand Such Times and Live?","Ry Cooder","Ry Cooder",1970-01-01,166800,21,spotify:user:seankmchenry,2022-07-14T13:17:08Z,"blues,blues rock,country blues,country rock,folk,folk rock,pastoral,piedmont blues,roots rock,singer-songwriter",0.51,0.705,10,-10.835,1,0.0448,0.418,0,0.12,0.854,122.582,4
439kdOcVhEp5gQ67eYNkKG,"1CPwHx5lgVxv0rfcp7UXLx","Available Space","Ry Cooder","Ry Cooder",1970-01-01,134066,39,spotify:user:seankmchenry,2022-07-14T13:17:08Z,"blues,blues rock,country blues,country rock,folk,folk rock,pastoral,piedmont blues,roots rock,singer-songwriter",0.568,0.434,7,-14.17,1,0.0379,0.639,0.626,0.229,0.694,147.388,4
0QlcASQzDByIVIyijnL3I2,"1CPwHx5lgVxv0rfcp7UXLx","Pigmeat","Ry Cooder","Ry Cooder",1970-01-01,188733,13,spotify:user:seankmchenry,2022-07-14T13:17:08Z,"blues,blues rock,country blues,country rock,folk,folk rock,pastoral,piedmont blues,roots rock,singer-songwriter",0.622,0.249,0,-15.112,1,0.0271,0.832,0.000669,0.155,0.814,86.852,4
3izTOK2WEW0rtUpl3ziJUg,"1CPwHx5lgVxv0rfcp7UXLx","Police Dog Blues","Ry Cooder","Ry Cooder",1970-01-01,166466,21,spotify:user:seankmchenry,2022-07-14T13:17:08Z,"blues,blues rock,country blues,country rock,folk,folk rock,pastoral,piedmont blues,roots rock,singer-songwriter",0.455,0.177,4,-17.497,1,0.0362,0.77,0.000481,0.209,0.662,171.694,4
1kiaptfXmqAxgu50UG8kuA,"1CPwHx5lgVxv0rfcp7UXLx","Goin' to Brownsville","Ry Cooder","Ry Cooder",1970-01-01,204000,17,spotify:user:seankmchenry,2022-07-14T13:17:08Z,"blues,blues rock,country blues,country rock,folk,folk rock,pastoral,piedmont blues,roots rock,singer-songwriter",0.613,0.323,0,-14.521,1,0.0304,0.753,0.0000512,0.104,0.895,157.426,4
