Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4fO0v9eIraqBQchS0AYr21,"1tcgfoMTT1szjUeaikxRjA","Boku no Kakera","Hidariude no Yume","Ryuichi Sakamoto",2015-01-21,243429,11,spotify:user:seankmchenry,2022-09-30T16:55:07Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.787,0.304,9,-18.771,0,0.118,0.656,0.643,0.0672,0.936,195.029,3
5H9E8hwLdWGhWBKs2T2yYR,"1tcgfoMTT1szjUeaikxRjA","Saru to yuki to gomi no kodomo","Hidariude no Yume","Ryuichi Sakamoto",2015-01-21,309660,9,spotify:user:seankmchenry,2022-09-30T16:55:07Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.792,0.422,9,-19.099,1,0.0432,0.281,0.867,0.0627,0.944,133.407,4
79mbvkumhRcoV2b8Cexasa,"1tcgfoMTT1szjUeaikxRjA","Kachakucha nee","Hidariude no Yume","Ryuichi Sakamoto",2015-01-21,259399,10,spotify:user:seankmchenry,2022-09-30T16:55:07Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.843,0.417,7,-17.155,1,0.118,0.0319,0.834,0.556,0.523,119.666,4
1PqMwZaj7hcOiEUCCCX9Yo,"1tcgfoMTT1szjUeaikxRjA","The Garden Of Poppies","Hidariude no Yume","Ryuichi Sakamoto",2015-01-21,340084,10,spotify:user:seankmchenry,2022-09-30T16:55:07Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.557,0.583,6,-16.159,0,0.0346,0.246,0.71,0.109,0.798,107.086,4
6KAeShrkSmPLfmbUg8U83q,"1tcgfoMTT1szjUeaikxRjA","Relâché","Hidariude no Yume","Ryuichi Sakamoto",2015-01-21,237057,8,spotify:user:seankmchenry,2022-09-30T16:55:07Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.853,0.637,0,-15.332,1,0.0659,0.0786,0.511,0.219,0.811,117.962,4
11WHkgcAEzvrBf2wppD7Rz,"1tcgfoMTT1szjUeaikxRjA","Tell'em To Me","Hidariude no Yume","Ryuichi Sakamoto",2015-01-21,270794,8,spotify:user:seankmchenry,2022-09-30T16:55:07Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.723,0.398,5,-16.892,0,0.0497,0.0454,0.75,0.132,0.79,105.239,3
4EsnWQ2mefWWzBtMamYJs7,"1tcgfoMTT1szjUeaikxRjA","Living In The Dark","Hidariude no Yume","Ryuichi Sakamoto",2015-01-21,317506,7,spotify:user:seankmchenry,2022-09-30T16:55:07Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.701,0.319,4,-15.461,0,0.0379,0.194,0.252,0.0516,0.72,136.651,4
58elCkik7MT4vMcEpLdiwk,"1tcgfoMTT1szjUeaikxRjA","Slat Dance","Hidariude no Yume","Ryuichi Sakamoto",2015-01-21,174499,6,spotify:user:seankmchenry,2022-09-30T16:55:07Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.761,0.111,9,-25.965,0,0.121,0.15,0.537,0.341,0.598,152.601,3
5SWEVXx78GAjwMK1MImds4,"1tcgfoMTT1szjUeaikxRjA","Venezia","Hidariude no Yume","Ryuichi Sakamoto",2015-01-21,284000,13,spotify:user:seankmchenry,2022-09-30T16:55:07Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.711,0.564,7,-14.8,1,0.0323,0.14,0.201,0.164,0.831,117.628,4
0o76MHA3dKbIjhJj35Akxv,"1tcgfoMTT1szjUeaikxRjA","Saru no ie","Hidariude no Yume","Ryuichi Sakamoto",2015-01-21,146196,5,spotify:user:seankmchenry,2022-09-30T16:55:07Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.735,0.411,7,-21.773,1,0.174,0.685,0.576,0.283,0.756,140.2,4
44cO7NLBFvQJ7ltmvwiuKQ,"1tcgfoMTT1szjUeaikxRjA,5QdS83aNvQzKgj43VTdY8d,3uirG8XMhBhvbdb9adqYMf","A Day a Gorilla Gives a Banana","1996","Ryuichi Sakamoto,Jaques Morelenbaum,Everton Nelson",1996-06-04,100960,31,spotify:user:seankmchenry,2022-09-30T16:55:31Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.319,0.0961,7,-16.849,0,0.0416,0.973,0.198,0.161,0.115,99.843,4
3mlqYwpqk8g5CFxmaJjAKv,"1tcgfoMTT1szjUeaikxRjA,5QdS83aNvQzKgj43VTdY8d,2DJqfDZuuxw73GMy6ognYM","Rain","1996","Ryuichi Sakamoto,Jaques Morelenbaum,David Nadien",1996-06-04,218440,38,spotify:user:seankmchenry,2022-09-30T16:55:31Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.543,0.234,11,-13.875,1,0.0321,0.946,0.312,0.107,0.411,127.496,4
448TDbd8RNN1tn8zGPNutD,"1tcgfoMTT1szjUeaikxRjA,5QdS83aNvQzKgj43VTdY8d,3uirG8XMhBhvbdb9adqYMf","Bibo No Aozora","1996","Ryuichi Sakamoto,Jaques Morelenbaum,Everton Nelson",1996-06-04,396933,34,spotify:user:seankmchenry,2022-09-30T16:55:31Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.412,0.0554,0,-20.244,1,0.0412,0.984,0.782,0.135,0.111,74.912,4
