Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5N5MXpZqjUz52bIdOyVIjx,"0ZfeJXXkQPkG21bGk3NTLt","Love Theme","Sasac","Sasac",2012-12-11,165746,3,spotify:user:seankmchenry,2023-01-15T21:11:42Z,"synth funk",0.526,0.367,1,-16.243,0,0.0373,0.897,0.882,0.0921,0.919,169.993,4
2XAFsRBBwfQRipfO7Uyq4d,"0ZfeJXXkQPkG21bGk3NTLt","All Pleasures","Sasac","Sasac",2012-12-11,234306,13,spotify:user:seankmchenry,2023-01-15T21:11:42Z,"synth funk",0.748,0.455,0,-9.589,1,0.0426,0.493,0.599,0.131,0.682,96.016,4
0SX2c4wY0ibrkeF98oZeFt,"0ZfeJXXkQPkG21bGk3NTLt","Crystal Flags","Sasac","Sasac",2012-12-11,136546,4,spotify:user:seankmchenry,2023-01-15T21:11:42Z,"synth funk",0.707,0.337,0,-13.963,1,0.0741,0.414,0.939,0.321,0.759,82.095,4
5fNPfm4VgAf294YfCNXHtP,"0ZfeJXXkQPkG21bGk3NTLt","DMX","Sasac","Sasac",2012-12-11,229773,8,spotify:user:seankmchenry,2023-01-15T21:11:42Z,"synth funk",0.798,0.241,10,-8.103,1,0.0428,0.228,0.872,0.119,0.173,93.999,4
4WOOZQddQav1z5ma7yOHYP,"0ZfeJXXkQPkG21bGk3NTLt","Du Jour","Sasac","Sasac",2012-12-11,224026,4,spotify:user:seankmchenry,2023-01-15T21:11:42Z,"synth funk",0.72,0.669,0,-10.254,1,0.091,0.102,0.85,0.0993,0.608,90.051,4
2YKW2yR23LNgTIFgp4l4qF,"0ZfeJXXkQPkG21bGk3NTLt","Les Sorcieres","Sasac","Sasac",2012-12-11,237133,5,spotify:user:seankmchenry,2023-01-15T21:11:42Z,"synth funk",0.735,0.628,0,-7.066,1,0.211,0.246,0.862,0.0758,0.813,83.022,4
0SnlaFFSUr2JRWeLCkXTY1,"0ZfeJXXkQPkG21bGk3NTLt","Off-World Leisure Gardens","Sasac","Sasac",2012-12-11,141800,2,spotify:user:seankmchenry,2023-01-15T21:11:42Z,"synth funk",0.703,0.637,2,-8.566,1,0.116,0.109,0.93,0.0835,0.816,127.406,3
7rL1UoYQ9Y6NMdmXC6uMRx,"0ZfeJXXkQPkG21bGk3NTLt","Birds of America","Sasac","Sasac",2012-12-11,321906,3,spotify:user:seankmchenry,2023-01-15T21:11:42Z,"synth funk",0.731,0.638,10,-10.961,1,0.0629,0.226,0.774,0.119,0.591,169.974,4
2NF2P2zB7bAeoXSa2eSa7l,"0ZfeJXXkQPkG21bGk3NTLt","Garden Sounds","Sasac","Sasac",2012-12-11,290026,2,spotify:user:seankmchenry,2023-01-15T21:11:42Z,"synth funk",0.714,0.663,10,-9.152,0,0.112,0.276,0.905,0.124,0.893,89.98,4
2qA17RVnYO60zC9oKqwtgi,"0ZfeJXXkQPkG21bGk3NTLt","Atrium","Sasac","Sasac",2012-12-11,86146,2,spotify:user:seankmchenry,2023-01-15T21:11:42Z,"synth funk",0.878,0.106,7,-13.039,0,0.224,0.614,0.908,0.0935,0.783,85.136,4
63r9g4NAtffdnUs1hinDj8,"0ZfeJXXkQPkG21bGk3NTLt","Libra","Sasac","Sasac",2012-12-11,260560,3,spotify:user:seankmchenry,2023-01-15T21:11:42Z,"synth funk",0.788,0.491,7,-13.868,1,0.047,0.117,0.67,0.0905,0.918,85.057,4
231PNSuLHlZWiNdpoF8SDb,"0ZfeJXXkQPkG21bGk3NTLt","The Dome","Sasac","Sasac",2012-12-11,156546,15,spotify:user:seankmchenry,2023-01-15T21:11:42Z,"synth funk",0.733,0.242,7,-12.997,1,0.393,0.0378,0.886,0.0736,0.716,92.101,4
5fw6U3mI6ymMuXkpmOW3XL,"0ZfeJXXkQPkG21bGk3NTLt","Untitled #1","Sasac","Sasac",2012-12-11,332720,2,spotify:user:seankmchenry,2023-01-15T21:11:42Z,"synth funk",0.762,0.431,1,-9.41,1,0.252,0.586,0.875,0.0866,0.562,175.969,4
0YgeXNehpK96CGe6NFpvmR,"0ZfeJXXkQPkG21bGk3NTLt","Tropic Strike","Sasac","Sasac",2012-12-11,294026,3,spotify:user:seankmchenry,2023-01-15T21:11:42Z,"synth funk",0.649,0.343,0,-10.602,1,0.0927,0.817,0.891,0.0966,0.581,80.075,4
5I0OtKu7VzAfnpR5kLvw78,"0ZfeJXXkQPkG21bGk3NTLt","Boot Man","Hyperion","Sasac",2014-06-24,227862,22,spotify:user:seankmchenry,2023-01-15T21:11:43Z,"synth funk",0.615,0.616,6,-8.275,0,0.0367,0.166,0.507,0.09,0.541,182.024,4
2pfZW9jK9QIfAeFvbIqD0r,"0ZfeJXXkQPkG21bGk3NTLt","Jaco Kelly","Hyperion","Sasac",2014-06-24,243989,14,spotify:user:seankmchenry,2023-01-15T21:11:43Z,"synth funk",0.931,0.531,7,-8.825,1,0.0576,0.32,0.657,0.133,0.924,128.008,4
1axda7xYl2WFzTueUoPG4Q,"0ZfeJXXkQPkG21bGk3NTLt","Doris","Hyperion","Sasac",2014-06-24,225165,10,spotify:user:seankmchenry,2023-01-15T21:11:43Z,"synth funk",0.735,0.59,2,-8.475,1,0.0499,0.183,0.73,0.282,0.327,173.951,4
2GC3kiUmJDgNko7onyVc7n,"0ZfeJXXkQPkG21bGk3NTLt","Crash Site","Hyperion","Sasac",2014-06-24,190285,11,spotify:user:seankmchenry,2023-01-15T21:11:43Z,"synth funk",0.702,0.561,2,-10.597,1,0.0357,0.062,0.488,0.368,0.757,89.979,4
3gVieK1b6uyfW82icj9u6g,"0ZfeJXXkQPkG21bGk3NTLt","Hyperion","Hyperion","Sasac",2014-06-24,255197,12,spotify:user:seankmchenry,2023-01-15T21:11:43Z,"synth funk",0.716,0.551,6,-6.185,1,0.0371,0.213,0.718,0.0833,0.771,88.934,4
09zSG5cYDObRCPHoLephHS,"0ZfeJXXkQPkG21bGk3NTLt,2UL3HjII0VJvoA1Y1bq5Ny","Dream After (feat. Tairiq & Garfield)","Hyperion","Sasac,Tairiq & Garfield",2014-06-24,224834,9,spotify:user:seankmchenry,2023-01-15T21:11:43Z,"synth funk",0.45,0.481,4,-6.387,0,0.047,0.0749,0.896,0.113,0.38,82.673,1
7naQ4ZwTZDULZlgGqDfnXi,"0ZfeJXXkQPkG21bGk3NTLt","Cloud Ascension","Hyperion","Sasac",2014-06-24,138718,11,spotify:user:seankmchenry,2023-01-15T21:11:43Z,"synth funk",0.509,0.524,11,-8.537,1,0.0915,0.0371,0.603,0.0777,0.677,153.184,5
270yzrEE95SuTpRHR0oIAF,"0ZfeJXXkQPkG21bGk3NTLt","Dim City","Hyperion","Sasac",2014-06-24,231798,7,spotify:user:seankmchenry,2023-01-15T21:11:43Z,"synth funk",0.646,0.552,6,-11.31,1,0.0326,0.458,0.0000169,0.341,0.354,93.034,4
46kj9o2LRZBjY9MLYgzECp,"0ZfeJXXkQPkG21bGk3NTLt","From Telemark to the Alhambra","Ultra","Sasac",2013-08-08,232363,17,spotify:user:seankmchenry,2023-01-15T21:11:44Z,"synth funk",0.736,0.616,10,-7.554,0,0.0575,0.0977,0.783,0.0881,0.703,87.015,4
3oHow2ZRxbfY9KgDQaMnHh,"0ZfeJXXkQPkG21bGk3NTLt","All Pleasures","Ultra","Sasac",2013-08-08,234306,12,spotify:user:seankmchenry,2023-01-15T21:11:44Z,"synth funk",0.498,0.479,0,-9.545,1,0.0773,0.439,0.751,0.145,0.666,95.979,4
5jMoAr1wr4Mssnxn2xZRCo,"0ZfeJXXkQPkG21bGk3NTLt","Dmx!","Ultra","Sasac",2013-08-08,229793,6,spotify:user:seankmchenry,2023-01-15T21:11:44Z,"synth funk",0.801,0.264,10,-7.986,1,0.0418,0.342,0.87,0.11,0.203,94.025,4
0QSjHNBzR5ckmKhR7DPvxP,"0ZfeJXXkQPkG21bGk3NTLt","Retail Atmospherics #1 Service Encounter","Ultra","Sasac",2013-08-08,240007,7,spotify:user:seankmchenry,2023-01-15T21:11:44Z,"synth funk",0.693,0.565,11,-9.811,1,0.0773,0.824,0.906,0.165,0.727,168.064,4
3RVmTtCNIPCbkHJVEvgV8P,"0ZfeJXXkQPkG21bGk3NTLt","Tennis Courts","Ultra","Sasac",2013-08-08,212260,3,spotify:user:seankmchenry,2023-01-15T21:11:44Z,"synth funk",0.843,0.465,1,-13.847,0,0.259,0.763,0.869,0.0666,0.643,84.98,4
6MtQDLEdAZqf7lObgJXm4O,"0ZfeJXXkQPkG21bGk3NTLt","The Dome","Ultra","Sasac",2013-08-08,156546,4,spotify:user:seankmchenry,2023-01-15T21:11:44Z,"synth funk",0.726,0.235,7,-13,1,0.417,0.033,0.86,0.0758,0.749,92.154,4
4Xq1lEOeBmkkJ69Mtb6v7l,"0ZfeJXXkQPkG21bGk3NTLt,17nUaECbXbilOT7ABHgate","Theme from the Hit Supply","Ultra","Sasac,Anton Augustinsson",2013-08-08,188841,4,spotify:user:seankmchenry,2023-01-15T21:11:44Z,"synth funk",0.636,0.726,1,-9.638,0,0.0351,0.00225,0.916,0.0577,0.889,87.975,4
