Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3iHLGLZEI8CSgVBB1ZI63l,"15hKwqh8jb8LmyPIUt85od","Good Feelings - Instrumental","Good Feelings","A.C. Band",2020-06-29,230825,0,spotify:user:seankmchenry,2023-01-09T15:51:31Z,"",0.793,0.465,10,-10.908,0,0.0563,0.0123,0.802,0.0962,0.934,111.998,4
3AhIxYPaKmwwvTCNbVx9V1,"3rg8DJeWlvVJOPxoOD8A2W","Give Me All Your Love","Virtual Love","Adam Chini",2017-11-13,250318,4,spotify:user:seankmchenry,2023-01-09T15:51:31Z,"boogie",0.869,0.431,0,-7.206,1,0.0359,0.118,0.841,0.0505,0.967,105.6,4
2jGbeJyGWvRhM7krDRseHL,"3rg8DJeWlvVJOPxoOD8A2W","Looking For A Lover","Virtual Love","Adam Chini",2017-11-13,279900,5,spotify:user:seankmchenry,2023-01-09T15:51:31Z,"boogie",0.852,0.512,6,-5.795,1,0.0326,0.222,0.00258,0.0637,0.877,117.94,4
0pRMtIwr7Yp1Kc3EzmFBB0,"047D9GgqEzyMoULd2oKr7G","(What Can I Say) To Make You Love Me","Hearsay","Alexander O'Neal",1987-07-29,264933,39,spotify:user:seankmchenry,2023-01-09T15:51:31Z,"contemporary r&b,disco,funk,minneapolis sound,post-disco,quiet storm,soul,urban contemporary",0.661,0.828,11,-12.673,0,0.039,0.276,0.0000014,0.287,0.902,115.078,4
4NPF7gsBYqvCegq7ncbPEt,"6C3Q1d8QOpgYuRdsTmSoVm","Hard Working Man - Original Mix","House of Dad","Andras",2016-07-22,359994,11,spotify:user:seankmchenry,2023-01-09T15:51:31Z,"float house",0.704,0.54,7,-11.251,1,0.063,0.0973,0.809,0.308,0.0731,123.962,4
1MlNThhCbzquM4poYc0U09,"6C3Q1d8QOpgYuRdsTmSoVm","Stereo Dunnies - Original Mix","House of Dad","Andras",2016-07-22,411388,8,spotify:user:seankmchenry,2023-01-09T15:51:31Z,"float house",0.679,0.126,8,-18.299,1,0.0498,0.628,0.893,0.117,0.309,95.004,4
05DXHbuGdRhzQQcGHfHSQg,"2cT80XDBKzJ18HgxPRKSjp","Aquaplane","Le deltaplane","Andre Solomko",2018-05-11,371163,1,spotify:user:seankmchenry,2023-01-09T15:51:31Z,"",0.659,0.738,9,-7.839,0,0.0281,0.00244,0.000564,0.109,0.545,103.665,4
4w4VTLACEFBlvv5f1M94Gm,"2cT80XDBKzJ18HgxPRKSjp","Summer 79","Le deltaplane","Andre Solomko",2018-05-11,368545,3,spotify:user:seankmchenry,2023-01-09T15:51:31Z,"",0.379,0.684,9,-6.983,1,0.0466,0.197,0.000506,0.169,0.249,83.662,4
7FfNKKXwcSpvUWjTsl5Y6R,"1UhZGGHbPPHAHt2cev27Ta","Sentimental View 2","Emotionally","Andre Tschaskowski",1986-01-01,108283,8,spotify:user:seankmchenry,2023-01-09T15:51:31Z,"",0.334,0.0287,2,-24.142,0,0.0339,0.801,0.863,0.111,0.188,79.258,4
0DXWMiQ63QfXD81TvWsOgA,"1UhZGGHbPPHAHt2cev27Ta","Moonset 2","Emotionally","Andre Tschaskowski",1986-01-01,103333,24,spotify:user:seankmchenry,2023-01-09T15:51:31Z,"",0.264,0.0954,9,-20.589,0,0.0376,0.718,0.187,0.112,0.239,93.136,1
