Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
609zDjuJc2khT26MeH1SDr,"Fight","Fight","Murcof",2024-10-01,322020,38,,2024-10-16T01:39:39Z,"drone,glitch,mexican experimental,tijuana electronic","InFiné",0.0793,0.168,7,-10.444,0,0.0494,0.38,0.844,0.104,0.0338,65.632,4
3FN3frDWGsI88XBPqS1c8E,"So weit, so gut","Synthesist","Harald Grosskopf",1980,328426,22,,2021-10-20T18:44:35Z,"berlin school,krautrock","Bureau B",0.354,0.8,6,-8.065,1,0.0371,0.000179,0.918,0.399,0.648,180.531,4
5EfkwvbIj8lGTUCppaKcL1,"Interstellar","Under the Sun","Maya Shenfeld",2024-02-23,277042,32,,2024-08-29T04:10:58Z,"spectra","Thrill Jockey",0.206,0.525,1,-13.617,0,0.0406,0.409,0.911,0.0847,0.0781,112.526,5
04uauFxLrz9VTsqQpsGKMa,"Le bracelet","La Planète Sauvage (Original Motion Picture Soundtrack)","Alain Goraguer",2005,87626,37,,2021-10-20T18:44:35Z,"french soundtrack,laboratorio,moog,vintage french electronic","Universal Music Division Decca Records France",0.609,0.426,1,-12.681,0,0.0391,0.0566,0.956,0.11,0.35,96.336,4
413Iz32UCzyMh7AAPdUtLB,"Survivor","Time Signals","Klaus Weiss",1978-01-01,163905,26,,2021-10-20T18:44:35Z,"library music,spytrack","Selected Sound Vinyl Series",0.446,0.24,9,-17.72,1,0.0325,0.00763,0.854,0.189,0.203,121.407,4
0d2HX14emol25j4C8yL7SP,"The Belldog","After the Heat","Brian Eno,Moebius,Roedelius",2009,379066,26,,2021-10-20T18:44:35Z,"abstract,ambient,art pop,art rock,compositional ambient,experimental,experimental ambient,fourth world,glam rock,minimalism,singer-songwriter,krautrock,berlin school","Bureau B",0.408,0.43,11,-12.83,1,0.0324,0.877,0.922,0.0997,0.14,110.922,4
3kx6fN7xLXe8vjbqQg9l9M,"Lueena Coast","Soul Jazz Records Presents Space, Energy & Light: Experimental Electronic and Acoustic Soundscapes 1961-88","Iasos",2017-07-14,249853,10,,2021-10-20T18:44:35Z,"","Soul Jazz Records",0.0956,0.647,10,-7.835,1,0.0423,0.815,0.938,0.352,0.102,71.175,4
2SVKNL8UJ0s5r2VwTc81E2,"Flatworm Meets Sea Slug","Worm","Ozoyo",2024-10-25,198000,33,,2024-10-25T06:00:00Z,"turkish electronic","Threefinger",0.357,0.942,5,-10.03,0,0.122,0.559,0.769,0.12,0.262,159.822,4
0DYCw5AZIX3S11QQUiPiqN,"Love On A Real Train - From 'Risky Business' Original Motion Picture Soundtrack","Hyperborea (Deluxe Version / Remastered 2020)","Tangerine Dream",1983-11-01,239238,45,,2021-10-20T18:44:35Z,"berlin school,german prog,krautrock,synthesizer","UMC (Universal Music Catalogue)",0.579,0.342,5,-20.507,0,0.0439,0.978,0.949,0.0713,0.814,111.34,4
48cyBWVdq8n5sZ6G8qghOJ,"Moonlight Rendez-vous","Hyperdrama","Justice",2024-04-26,120453,43,,2024-08-21T01:25:56Z,"alternative dance,dance-punk,electronica,filter house,indietronica,new rave","Genesis",0.271,0.263,9,-15.314,0,0.0323,0.256,0.584,0.111,0.0398,67.202,4
1LUCSMbcv43ZhcCz9LwVHz,"Beyond the Clouds","Space Oddities: Studio Ganaro (1972-1982)","Nino Nardini,Eddie Warner,Roger Roger",2016-05-27,123973,22,,2021-10-20T18:44:35Z,"exotica,library music,moog,vintage french electronic","Born Bad Records",0.581,0.821,0,-6.147,1,0.0332,0.474,0.922,0.291,0.97,139.382,4
0hfdtb8oN7bWS0P5aqRbyZ,"The Eighth Wave","The Velocity Of Love","Suzanne Ciani",1986,307573,23,,2021-10-20T18:44:35Z,"modular synth,new age,spectra","Seventh Wave",0.425,0.182,0,-19.075,1,0.0333,0.765,0.913,0.337,0.036,130.722,4
48Q7pVDuBivnR5rdf6RGYT,"Spacelab - 2009 Remaster","The Man-Machine (2009 Remaster)","Kraftwerk",1978,357106,38,,2021-10-20T18:44:35Z,"dusseldorf electronic,early synthpop,electro,proto-techno,synthpop","Parlophone UK",0.527,0.751,8,-8.764,1,0.0361,0.0412,0.798,0.644,0.135,123.491,4
0EIklXw7C6tK1wUzHf9IIS,"Chasing The Clouds Away","Private Life III","Garrett,DāM-FunK",2021-01-22,252041,15,,2021-10-20T18:44:35Z,"experimental ambient,synth funk,popping,wonky","Glydezone Recordings",0.546,0.474,1,-10.706,1,0.0447,0.0531,0.95,0.0948,0.346,84.97,4
4VWqW5L7atG0psu8TtCVyN,"Voyager","In Free Fall","Maya Shenfeld",2022-01-28,244693,23,,2024-10-23T05:30:04Z,"spectra","Thrill Jockey",0.0681,0.0441,2,-16.507,0,0.0425,0.581,0.946,0.111,0.0675,69.763,3
29839YUB0VApXoRhyGw4X0,"灯","YMO","YELLOW MAGIC ORCHESTRA",1979,219093,18,,2021-10-20T18:44:35Z,"classic j-rock,electro,proto-techno,synthesizer,techno kayo,zolo","Sony Music Direct (Japan) Inc.",0.615,0.936,5,-8.513,1,0.036,0.0992,0.695,0.0828,0.725,125.562,4
0OtJvZta0bIdyokEByYLL5,"Oh Odessa","Curiosum","Cluster",1981,184000,17,,2021-10-20T18:44:35Z,"berlin school,krautrock","Bureau B",0.757,0.297,10,-19.025,1,0.0315,0.91,0.954,0.089,0.925,97.176,4
2cRQA17KKBy0pklGxGZ699,"Deep Distance","New Age Of Earth","Ashra",1977-01-01,349666,33,,2021-10-20T18:44:35Z,"berlin school,krautrock","Virgin Records",0.122,0.238,11,-18.753,1,0.0435,0.0471,0.923,0.122,0.218,86.55,4
6CHo2rZCwJ5v6JKLzdc8Fe,"Wind On Water","Evening Star","Robert Fripp,Brian Eno",2019-09-20,329468,30,,2021-10-20T18:44:35Z,"ambient guitar,art rock,experimental,experimental ambient,experimental guitar,experimental rock,jazz fusion,progressive rock,symphonic rock,abstract,ambient,art pop,compositional ambient,fourth world,glam rock,minimalism,singer-songwriter","Discipline Global Mobile",0.0983,0.211,7,-18.331,1,0.0422,0.015,0.941,0.106,0.0383,159.563,5
6wG4izwDQdTxkpBEB6CRlk,"The First Wave - Birth Of Venus","Seven Waves","Suzanne Ciani",1982,304026,29,,2021-10-20T18:44:35Z,"modular synth,new age,spectra","Seventh Wave",0.402,0.306,8,-19.818,1,0.0343,0.427,0.837,0.96,0.0432,144.944,4
1pCOM5VEp8DKmg8OYJYhHv,"Oxygène, Pt. 1","Oxygène","Jean-Michel Jarre",1976-12-05,459000,46,,2021-10-20T18:44:35Z,"laboratorio,synthesizer,vintage french electronic","Disques Dreyfus",0.0904,0.349,7,-13.147,0,0.0348,0.842,0.0037,0.165,0.0337,172.691,4
16zrPTCH7MuDST1aIwk3gI,"Main Title","Escape from New York (Original Motion Picture Soundtrack)","Alan Howarth,John Carpenter",2005-01-01,233973,33,,2021-10-20T18:44:35Z,"horror synth","Silva Screen Records Ltd",0.583,0.36,9,-12.413,1,0.0477,0.585,0.257,0.105,0.105,157.836,4
34Tsmlc1lm6hcFXtQXVdCo,"Sonnengeflecht","Wenn der Südwind weht","Roedelius",1981,209840,19,,2021-10-20T18:44:35Z,"berlin school,fourth world,krautrock","Bureau B",0.363,0.485,11,-17.806,1,0.0513,0.771,0.961,0.159,0.2,101.055,4
3hH4PPHWAtkbzD9UKpkQl0,"To the Other Side of the Sky","Soul Jazz Records Presents Space, Energy & Light: Experimental Electronic and Acoustic Soundscapes 1961-88","Michael Garrison",2017-07-14,274733,15,,2021-10-20T18:44:35Z,"synthesizer","Soul Jazz Records",0.165,0.212,9,-16.199,0,0.0362,0.198,0.778,0.356,0.0246,106.049,4
3pBroo2NiSl79qYpKWsKfC,"Body, Electric","In Free Fall","Maya Shenfeld",2022-01-28,327679,19,,2024-10-23T05:30:04Z,"spectra","Thrill Jockey",0.588,0.398,5,-14.267,0,0.0444,0.0203,0.869,0.0953,0.165,105.034,3
