Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4cG5DeaRXetY0Lru1kUYMg,"04tBaW21jyUfeP5iqiKBVq","Mathilde","Scott","Scott Walker",1967,156653,35,spotify:user:seankmchenry,2022-01-26T03:32:23Z,"art pop,art rock,baroque pop,british folk,chamber pop,experimental,folk,folk rock,melancholia,post-punk,singer-songwriter",0.43,0.671,1,-14.775,0,0.0708,0.684,0.00000114,0.447,0.714,115.765,4
0X7N5udP0MTvfsikLHfHrR,"04tBaW21jyUfeP5iqiKBVq","Montague Terrace (In Blue)","Scott","Scott Walker",1967,207293,34,spotify:user:seankmchenry,2022-01-26T03:32:23Z,"art pop,art rock,baroque pop,british folk,chamber pop,experimental,folk,folk rock,melancholia,post-punk,singer-songwriter",0.427,0.14,9,-19.857,0,0.034,0.549,0.00000103,0.0443,0.293,137.787,4
2u8lxnnsaMVhHScNWKC1MT,"04tBaW21jyUfeP5iqiKBVq","Angelica","Scott","Scott Walker",1967,239413,24,spotify:user:seankmchenry,2022-01-26T03:32:23Z,"art pop,art rock,baroque pop,british folk,chamber pop,experimental,folk,folk rock,melancholia,post-punk,singer-songwriter",0.277,0.36,9,-16.67,1,0.0333,0.574,0,0.569,0.351,109.777,4
3mGxRlpp7724U9rC503KZc,"04tBaW21jyUfeP5iqiKBVq","The Lady Came From Baltimore","Scott","Scott Walker",1967,117080,41,spotify:user:seankmchenry,2022-01-26T03:32:23Z,"art pop,art rock,baroque pop,british folk,chamber pop,experimental,folk,folk rock,melancholia,post-punk,singer-songwriter",0.397,0.39,11,-17.695,1,0.0324,0.394,0.0000213,0.239,0.887,150.599,4
2ieltgxwiR7h8IouOeO9z4,"04tBaW21jyUfeP5iqiKBVq","When Joanna Loved Me","Scott","Scott Walker",1967,186440,23,spotify:user:seankmchenry,2022-01-26T03:32:23Z,"art pop,art rock,baroque pop,british folk,chamber pop,experimental,folk,folk rock,melancholia,post-punk,singer-songwriter",0.203,0.15,8,-19.6,1,0.0343,0.843,0.0000198,0.234,0.122,135.441,4
0AyAhgf2sihNnGt1ymLhg2,"04tBaW21jyUfeP5iqiKBVq","My Death","Scott","Scott Walker",1967,297480,23,spotify:user:seankmchenry,2022-01-26T03:32:23Z,"art pop,art rock,baroque pop,british folk,chamber pop,experimental,folk,folk rock,melancholia,post-punk,singer-songwriter",0.369,0.371,4,-16.434,0,0.0393,0.301,0,0.206,0.392,83.742,4
0W9gy0PgEqBrK2EpNkRaBX,"04tBaW21jyUfeP5iqiKBVq","The Big Hurt","Scott","Scott Walker",1967,144520,23,spotify:user:seankmchenry,2022-01-26T03:32:23Z,"art pop,art rock,baroque pop,british folk,chamber pop,experimental,folk,folk rock,melancholia,post-punk,singer-songwriter",0.221,0.4,5,-15.768,1,0.0379,0.8,0.0000184,0.133,0.392,113.831,4
79yWlMXjmmSGJbpZa23loo,"04tBaW21jyUfeP5iqiKBVq","Such A Small Love","Scott","Scott Walker",1967,292853,22,spotify:user:seankmchenry,2022-01-26T03:32:23Z,"art pop,art rock,baroque pop,british folk,chamber pop,experimental,folk,folk rock,melancholia,post-punk,singer-songwriter",0.108,0.207,0,-17.604,1,0.035,0.836,0.00716,0.129,0.149,64.549,3
2FqKRwjSWMAQNhpCW9Csn1,"04tBaW21jyUfeP5iqiKBVq","You're Gonna Hear From Me","Scott","Scott Walker",1967,172306,19,spotify:user:seankmchenry,2022-01-26T03:32:23Z,"art pop,art rock,baroque pop,british folk,chamber pop,experimental,folk,folk rock,melancholia,post-punk,singer-songwriter",0.221,0.18,2,-19.122,1,0.0304,0.844,0.00000531,0.318,0.157,82.469,4
0Zhhj4h7uemULNdRC1hUL7,"04tBaW21jyUfeP5iqiKBVq","Through A Long And Sleepless Night","Scott","Scott Walker",1967,250440,18,spotify:user:seankmchenry,2022-01-26T03:32:23Z,"art pop,art rock,baroque pop,british folk,chamber pop,experimental,folk,folk rock,melancholia,post-punk,singer-songwriter",0.21,0.13,0,-19.688,0,0.0359,0.842,0.00554,0.293,0.0548,112.35,3
3mKSG0qFog3ksawdmrK8aE,"04tBaW21jyUfeP5iqiKBVq","Always Coming Back To You","Scott","Scott Walker",1967,159866,21,spotify:user:seankmchenry,2022-01-26T03:32:23Z,"art pop,art rock,baroque pop,british folk,chamber pop,experimental,folk,folk rock,melancholia,post-punk,singer-songwriter",0.312,0.225,9,-18.304,0,0.0427,0.578,0,0.139,0.467,85.552,3
6NMzs0QDoYEfSGWGJFwV5p,"04tBaW21jyUfeP5iqiKBVq","Amsterdam","Scott","Scott Walker",1967,186160,37,spotify:user:seankmchenry,2022-01-26T03:32:23Z,"art pop,art rock,baroque pop,british folk,chamber pop,experimental,folk,folk rock,melancholia,post-punk,singer-songwriter",0.275,0.36,5,-15.961,0,0.0422,0.752,0.000272,0.0955,0.495,128.962,4
13GgSNZhnaeOux6Jtgch4s,"04tBaW21jyUfeP5iqiKBVq","Jackie","Scott 2","Scott Walker",1968,201306,40,spotify:user:seankmchenry,2022-01-26T03:32:31Z,"art pop,art rock,baroque pop,british folk,chamber pop,experimental,folk,folk rock,melancholia,post-punk,singer-songwriter",0.443,0.577,7,-15.158,1,0.049,0.675,0,0.364,0.909,133.586,5
4MVIMlw8jn9G998UWLjqqS,"04tBaW21jyUfeP5iqiKBVq","Best Of Both Worlds","Scott 2","Scott Walker",1968,192586,22,spotify:user:seankmchenry,2022-01-26T03:32:31Z,"art pop,art rock,baroque pop,british folk,chamber pop,experimental,folk,folk rock,melancholia,post-punk,singer-songwriter",0.132,0.412,8,-16.204,1,0.0391,0.827,0.00796,0.376,0.355,69.757,4
