Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4cPgzpdeKtOkgBYqHNLe9P,"3VqsPf2lM6ulJ5fjCJquyP","That's Your Secret","Cats On The Coast","Sea Level",1977-01-01,316600,36,spotify:user:seankmchenry,2022-06-02T20:12:09Z,"country rock,southern rock,yacht rock",0.631,0.833,9,-8.695,0,0.0286,0.169,0.0222,0.0745,0.901,126.041,4
7HdVnKXXDuFz003iLaky53,"3VqsPf2lM6ulJ5fjCJquyP","It Hurts To Want It So Bad","Cats On The Coast","Sea Level",1977-01-01,219933,31,spotify:user:seankmchenry,2022-06-02T20:12:09Z,"country rock,southern rock,yacht rock",0.591,0.614,9,-9.735,1,0.0392,0.575,0.0000468,0.35,0.847,84.396,4
5KnEqfCAbWhDE80BbJCocz,"3VqsPf2lM6ulJ5fjCJquyP","Storm Warning","Cats On The Coast","Sea Level",1977-01-01,326800,18,spotify:user:seankmchenry,2022-06-02T20:12:09Z,"country rock,southern rock,yacht rock",0.386,0.62,7,-11.614,1,0.0317,0.22,0.153,0.0425,0.678,108.103,4
0Bs4vkIWROa9bJWBhPWR1Q,"3VqsPf2lM6ulJ5fjCJquyP","Had To Fall","Cats On The Coast","Sea Level",1977-01-01,254200,17,spotify:user:seankmchenry,2022-06-02T20:12:09Z,"country rock,southern rock,yacht rock",0.578,0.655,2,-11.32,0,0.0352,0.401,0.00015,0.655,0.759,79.432,4
3AOKsH3iHeCnV967cETl5i,"3VqsPf2lM6ulJ5fjCJquyP","Midnight Pass","Cats On The Coast","Sea Level",1977-01-01,399066,14,spotify:user:seankmchenry,2022-06-02T20:12:09Z,"country rock,southern rock,yacht rock",0.386,0.764,2,-10.457,0,0.0343,0.464,0.495,0.487,0.659,103.287,4
0qzB4QpjCamYANRi6pUR0E,"3VqsPf2lM6ulJ5fjCJquyP","Every Little Thing","Cats On The Coast","Sea Level",1977-01-01,290400,10,spotify:user:seankmchenry,2022-06-02T20:12:09Z,"country rock,southern rock,yacht rock",0.646,0.601,4,-8.931,0,0.0265,0.324,0.00000385,0.572,0.88,127.187,4
2BUYsw6mv75Apt4XbEwmgd,"3VqsPf2lM6ulJ5fjCJquyP","Cats On The Coast","Cats On The Coast","Sea Level",1977-01-01,344066,10,spotify:user:seankmchenry,2022-06-02T20:12:09Z,"country rock,southern rock,yacht rock",0.429,0.635,4,-11.496,0,0.0431,0.163,0.458,0.142,0.333,99.036,4
07KWTlJbGdErm7eLBsvGFJ,"3VqsPf2lM6ulJ5fjCJquyP","Song For Amy","Cats On The Coast","Sea Level",1977-01-01,107333,10,spotify:user:seankmchenry,2022-06-02T20:12:09Z,"country rock,southern rock,yacht rock",0.479,0.199,5,-15.307,1,0.0287,0.93,0.785,0.129,0.467,91.629,4
733EU6v3WTL1T4kLEn5FBr,"3VqsPf2lM6ulJ5fjCJquyP","Sneakers (Fifty-Four)","On The Edge","Sea Level",1978-01-01,255266,18,spotify:user:seankmchenry,2022-06-02T20:12:15Z,"country rock,southern rock,yacht rock",0.727,0.796,2,-8.943,1,0.0358,0.0499,0.853,0.096,0.812,110.762,4
43k6b9MeJ2evMHs3Gc9VEb,"3VqsPf2lM6ulJ5fjCJquyP","King Grand","On The Edge","Sea Level",1978-01-01,260093,16,spotify:user:seankmchenry,2022-06-02T20:12:15Z,"country rock,southern rock,yacht rock",0.704,0.676,8,-7.798,0,0.0472,0.184,0.000581,0.132,0.865,93.536,4
2fLs31SM9glgTkmJH3WR4W,"3VqsPf2lM6ulJ5fjCJquyP","Living In A Dream","On The Edge","Sea Level",1978-01-01,274040,27,spotify:user:seankmchenry,2022-06-02T20:12:15Z,"country rock,southern rock,yacht rock",0.675,0.813,2,-8.172,0,0.035,0.467,0.0593,0.115,0.693,90.187,4
