Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4fecXI8FXIC77R2sh9gDz9,"I Miss U","I Miss U","Metamorphosis",1995-01-01,300409,6,aucf8tdp078rmin4qy2kn1jio,2023-07-21T12:49:27Z,"","Paradise Is A Frequency",0.55,0.377,0,-8.666,0,0.0281,0.0396,0.184,0.0973,0.436,150.035,4
6xyVkx9DXrboHWrynCjQmc,"Following A Rainbow","Following A Rainbow","Ski Johnson",2024-11-15,223741,23,aucf8tdp078rmin4qy2kn1jio,2024-11-15T05:24:21Z,"","Paradise Is A Frequency",0.589,0.485,10,-9.718,0,0.0331,0.567,0.104,0.435,0.24,167.445,3
5dZvskKvLvvNRWU1pvcbYM,"Move","At First Light","Lynda Dawn",2019-08-30,217089,0,aucf8tdp078rmin4qy2kn1jio,2023-03-07T04:06:42Z,"british soul","Akashik Records",0.776,0.48,8,-10.934,0,0.0454,0.476,0.00161,0.134,0.9,86.458,4
3tOVvOLCCgdJdOEcmMGUSX,"Where Ever You Are","Songs, Vol. 1","Dwight Sykes",2014-09-24,278491,14,aucf8tdp078rmin4qy2kn1jio,2022-05-18T17:09:19Z,"synth funk","Peoples Potential Unlimited",0.634,0.538,4,-15.204,1,0.0444,0.513,0.00488,0.0491,0.986,155.007,4
0WbYs5xQ3ZqtO8N7RYjgGy,"Can I Come Over","Underworld","Marcell McCoy",2013-01-19,249560,0,aucf8tdp078rmin4qy2kn1jio,2024-07-01T16:29:41Z,"","McCoy Dynasty Records",0.598,0.953,0,-4.964,1,0.0884,0.0354,0.208,0.324,0.578,159.906,4
5nmVGEyaD4FUN8aOpSNzka,"Turn Over","Searching For Love","S. Work",2023-10-13,309937,0,aucf8tdp078rmin4qy2kn1jio,2023-10-13T11:56:25Z,"","Paradise Is A Frequency",0.908,0.308,7,-8.124,1,0.0574,0.426,0.835,0.0967,0.355,117.92,4
1dpl3NaVC3OUJRl2Lw41WM,"True Feelings","Where Are You Now","George Scott",2005-01-01,326933,1,aucf8tdp078rmin4qy2kn1jio,2022-06-01T03:30:48Z,"","JRS Records",0.438,0.632,5,-12.372,1,0.0438,0.121,0.603,0.169,0.791,96.444,4
5bD1obwxfr3MXYsGNUxYF8,"Baby Please","2DaMax","Bart Fiorito & Sam Rice",2002-01-01,233666,0,aucf8tdp078rmin4qy2kn1jio,2024-07-06T00:29:25Z,"","Bart Fiorito & Sam Rice",0.456,0.506,8,-7.041,1,0.0802,0.00951,0.0255,0.0564,0.663,84.244,4
0xqi6aEOHXRIfhG3Z1Sh2W,"Everytime Lover","It's The Way They Are","Donald Wright",2004-01-01,213200,0,aucf8tdp078rmin4qy2kn1jio,2024-07-11T04:16:06Z,"","Afganic Records",0.524,0.203,7,-17.638,1,0.05,0.641,0.00371,0.112,0.305,142.476,4
2JBo98Vj5xcJlaSipbKpn6,"So Smooth","So Smooth b/w You And Me","Pete & Cheez,Shoestring",2023-02-13,307287,3,aucf8tdp078rmin4qy2kn1jio,2024-01-29T21:00:04Z,"","Numero Group",0.659,0.505,0,-10.165,1,0.0482,0.0902,0.000133,0.103,0.775,146.13,4
3UDQlcveEE67fjHGOCjmVp,"U No Dat","Geek Or Genius","Chevalier",2008-03-17,225973,0,aucf8tdp078rmin4qy2kn1jio,2024-09-18T23:09:26Z,"","KniteMuzik/Lightsout Entertainment",0.852,0.839,8,-4.283,0,0.0838,0.0153,0.161,0.0608,0.924,127.979,4
5TDKJi4aRXL0541IPbbKE1,"Amalgamated Love","Pleze Jaz-spel, Vol. II: Amalgamated Love","Pleze Raybon",2001-01-01,261866,0,aucf8tdp078rmin4qy2kn1jio,2024-07-11T15:41:27Z,"","My Heart Records",0.463,0.448,0,-10.218,1,0.0446,0.0971,0,0.387,0.338,96.839,4
4zDZMvH5hpG2EMqxxdPczW,"U-Tapao!","Sonder","Cruel Buddhist",2022-10-25,162632,0,aucf8tdp078rmin4qy2kn1jio,2023-11-14T17:27:09Z,"","Eating Music",0.901,0.484,7,-7.583,0,0.0366,0.000877,0.883,0.134,0.398,97.99,4
4fFgBn2LAKZ3Mw914INmKJ,"Questionable","Searching For Love","S. Work",2023-10-13,273517,2,aucf8tdp078rmin4qy2kn1jio,2023-10-13T11:58:31Z,"","Paradise Is A Frequency",0.593,0.0351,2,-16.845,1,0.0648,0.788,0.831,0.0882,0.088,125.509,4
3VRiK7aMKiOQ0AHsqVsznq,"Balearic G Shit","Chrome Springs Eternal","XL Middleton",2022-07-29,65000,2,aucf8tdp078rmin4qy2kn1jio,2022-12-03T02:01:31Z,"popping,synth funk","MoFunk Records",0.716,0.917,2,-5.232,0,0.0602,0.00236,0.682,0.0501,0.397,94.03,4
0oKcZPyqpxGjWFhyIxnqyS,"Treat You Right","One","Ian Martin,Jill Zadeh",2015-08-21,287880,0,aucf8tdp078rmin4qy2kn1jio,2023-09-10T00:50:02Z,"smooth soul","Expansion Records",0.619,0.555,2,-10.777,0,0.0414,0.122,0.0242,0.0813,0.799,174.421,4
7hXCLtSmBINYw1s0EW7Jqz,"6 A.M. - We Be Rollin'","Worldwide","Nadanuf",1997,244640,14,aucf8tdp078rmin4qy2kn1jio,2023-03-13T00:19:22Z,"","Rhino/Warner Records",0.838,0.692,11,-7.354,1,0.128,0.0746,0,0.0477,0.825,139.389,4
5lTS7UE7BZHNshqE6S9Eta,"Crazy","Make It Good For Ya","Wendell Brown",1998,228866,2,aucf8tdp078rmin4qy2kn1jio,2023-03-12T14:08:30Z,"","Raw Deal Records",0.556,0.563,5,-7.587,0,0.116,0.148,0.0000024,0.104,0.51,79.701,4
5YbgdpHVYV5cHMJ5XBiv43,"True Love","Synthetic Pleasure","Vincent",2020-11-20,133375,0,aucf8tdp078rmin4qy2kn1jio,2022-04-25T21:04:53Z,"","Paradise Is A Frequency",0.818,0.606,1,-16.676,1,0.0422,0.153,0.747,0.109,0.571,96.867,4
7I4V3dv2kaJd4vDb08y5f6,"Tell Me The Reasons Why","Tell Me The Reasons Why","Max Leake",1984-01-01,285442,4,aucf8tdp078rmin4qy2kn1jio,2023-03-12T10:47:26Z,"","Numero Group",0.533,0.724,5,-7.343,0,0.0444,0.0201,0.349,0.0959,0.645,82.124,4
0ssZvMMepcIeTEg7YRNPrA,"Love from an Earthquake","16 Greatest Hits: The Best of the Best (Never Settle for Less)","Tony Sharper LPH",2021-12-16,339932,0,aucf8tdp078rmin4qy2kn1jio,2024-11-12T02:56:15Z,"","Sharp Records Inc.",0.692,0.534,9,-7.276,1,0.0305,0.585,0.00000142,0.0286,0.585,88.549,4
48kNB1FuTgvfnU5BGG4r2S,"Wef (to heal)","Chromantic","fivetwofive.",2023-05-19,122666,9,aucf8tdp078rmin4qy2kn1jio,2023-11-15T18:51:01Z,"","FivetwofiveRecords",0.517,0.643,4,-8.955,0,0.0409,0.614,0.73,0.193,0.264,89.696,4
0ytf7g7vZvzfENMZlZp4yP,"Vista Way","Dream Lobby Vol. II","Devin Morrison",2022-09-20,260989,10,aucf8tdp078rmin4qy2kn1jio,2023-11-14T17:33:48Z,"indie r&b,neo r&b","Dreamsoul",0.687,0.937,2,-8.609,1,0.0708,0.00354,0.869,0.105,0.885,168.037,4
2p7Isx9rLBwwlnxmAnkijs,"Twice Free","Friday Night on the Moon","Friday Night on The Moon,Shaune Ann Fuez",1997-04-19,240653,0,aucf8tdp078rmin4qy2kn1jio,2023-03-12T10:39:49Z,"","Indie Pool",0.672,0.72,3,-9.371,1,0.0284,0.455,0.000225,0.173,0.895,105.973,4
4MNP4bkQfXZfMYYO3ynd6D,"Take Your Clothes Off","Searching For Love","S. Work",2023-10-13,338906,0,aucf8tdp078rmin4qy2kn1jio,2023-10-13T11:53:02Z,"","Paradise Is A Frequency",0.719,0.545,0,-8.527,1,0.0325,0.0315,0.792,0.166,0.767,121.683,4
47Yzqf0L2dEupD1gNDuAib,"Tonight","Garden of Life","Special Touch",2020-10-16,232347,1,aucf8tdp078rmin4qy2kn1jio,2022-11-02T16:43:19Z,"","Heels & Souls Recordings",0.595,0.626,9,-9.616,0,0.0403,0.037,0,0.0799,0.71,187.604,4
1cY3dyZpFbd8FrDbzASiYP,"Sacramento Swing","A Musical Spice Of Life","Eugene W. Hairston",2001-01-01,181626,0,aucf8tdp078rmin4qy2kn1jio,2023-04-12T13:00:02Z,"","Rainbow Records",0.665,0.56,10,-15.059,0,0.0395,0.00156,0.0633,0.0757,0.86,89.995,4
6dLEjTPO2EIIb2sTCPOQ0E,"TT (Turmeric Touch)","Soul Juice","Terrace Martin",2020-03-27,124160,32,aucf8tdp078rmin4qy2kn1jio,2023-11-15T18:51:38Z,"alternative r&b,indie soul","Sounds of Crenshaw / EMPIRE",0.74,0.338,5,-8.442,1,0.176,0.628,0.948,0.1,0.75,150.058,4
0a3VKpc6UvAfYbafDmuh2w,"Don't Worry 'bout Me","Titus Vol.1","Marshall Titus",2003-01-01,327333,1,aucf8tdp078rmin4qy2kn1jio,2024-05-11T02:58:11Z,"","Doc O Soc Entertainment Group",0.664,0.774,0,-8.628,0,0.0371,0.0245,0.00402,0.0669,0.7,91.936,4
2CG9mGkKC6IQE5lEjDioEi,"Just Kickin' It","Hummin' Comin' At 'Cha","Xscape",1993-10-12,204173,51,aucf8tdp078rmin4qy2kn1jio,2022-04-29T14:51:05Z,"atl hip hop,contemporary r&b,girl group,hip pop,r&b,urban contemporary","So So Def/Columbia",0.692,0.353,1,-12.872,0,0.0613,0.0571,0.0000226,0.579,0.73,80.902,4
0qmCwl6hqlLXmirWkUZQly,"Familiar Spirit","Call It A Day","Familiar Spirit",1995-01-01,181133,0,aucf8tdp078rmin4qy2kn1jio,2023-03-12T10:15:02Z,"","ODI",0.426,0.435,9,-11.333,0,0.0269,0.259,0.00000455,0.141,0.244,76.527,4
