Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3iHLGLZEI8CSgVBB1ZI63l,"15hKwqh8jb8LmyPIUt85od","Good Feelings - Instrumental","Good Feelings","A.C. Band",2020-06-29,230825,0,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"",0.793,0.465,10,-10.908,0,0.0563,0.0123,0.802,0.0962,0.934,111.998,4
3AhIxYPaKmwwvTCNbVx9V1,"3rg8DJeWlvVJOPxoOD8A2W","Give Me All Your Love","Virtual Love","Adam Chini",2017-11-13,250318,4,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"boogie",0.869,0.431,0,-7.206,1,0.0359,0.118,0.841,0.0505,0.967,105.6,4
2jGbeJyGWvRhM7krDRseHL,"3rg8DJeWlvVJOPxoOD8A2W","Looking For A Lover","Virtual Love","Adam Chini",2017-11-13,279900,5,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"boogie",0.852,0.512,6,-5.795,1,0.0326,0.222,0.00258,0.0637,0.877,117.94,4
0pRMtIwr7Yp1Kc3EzmFBB0,"047D9GgqEzyMoULd2oKr7G","(What Can I Say) To Make You Love Me","Hearsay","Alexander O'Neal",1987-07-29,264933,39,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"contemporary r&b,disco,funk,minneapolis sound,post-disco,quiet storm,soul,urban contemporary",0.661,0.828,11,-12.673,0,0.039,0.276,0.0000014,0.287,0.902,115.078,4
1GzBTeJLSh6frMPWxvNygc,"2i1CPudyCUjL50Wqjv8AMI","Keep On","Antiphon","Alfa Mist",2017-03-03,647000,50,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"british jazz,indie jazz,indie soul,uk contemporary jazz",0.611,0.328,1,-13.392,0,0.047,0.119,0.786,0.104,0.471,103.343,4
3ejqlgVNAYr7PWuBSXl4K2,"2i1CPudyCUjL50Wqjv8AMI","Brian","Antiphon","Alfa Mist",2017-03-03,154866,53,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"british jazz,indie jazz,indie soul,uk contemporary jazz",0.721,0.385,4,-13.616,0,0.0405,0.611,0.675,0.101,0.203,87.181,4
5eTvrED91AN0WORZDslNEr,"2i1CPudyCUjL50Wqjv8AMI","Run Outs","Bring Backs","Alfa Mist",2021-04-23,292200,41,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"british jazz,indie jazz,indie soul,uk contemporary jazz",0.42,0.616,11,-8.788,0,0.0364,0.395,0.914,0.1,0.41,105.309,3
4HtCMJaTUdrtgBtVEL2W42,"2i1CPudyCUjL50Wqjv8AMI","Organic Rust","Bring Backs","Alfa Mist",2021-04-23,276252,46,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"british jazz,indie jazz,indie soul,uk contemporary jazz",0.696,0.332,1,-9.487,0,0.053,0.178,0.0425,0.0643,0.426,89.938,4
5UszIP6JwzcE2XsuPyFcGI,"3qwP6OInspBER5hmBbnNEr","Hasrat","Hasrat","Andi Meriem Mattalatta",1984-03-29,237506,15,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"classic indo pop,indonesian city pop",0.372,0.453,10,-8.783,1,0.0392,0.302,0.000213,0.0734,0.114,81.468,4
4bRY7COQN9OPe747ZxkIJZ,"3qwP6OInspBER5hmBbnNEr","Sejuta Rindu","Hasrat","Andi Meriem Mattalatta",1984-03-29,286560,31,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"classic indo pop,indonesian city pop",0.65,0.717,6,-8.179,1,0.105,0.0864,0,0.181,0.857,83.336,4
4NPF7gsBYqvCegq7ncbPEt,"6C3Q1d8QOpgYuRdsTmSoVm","Hard Working Man - Original Mix","House of Dad","Andras",2016-07-22,359994,10,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"float house",0.704,0.54,7,-11.251,1,0.063,0.0973,0.809,0.308,0.0731,123.962,4
1MlNThhCbzquM4poYc0U09,"6C3Q1d8QOpgYuRdsTmSoVm","Stereo Dunnies - Original Mix","House of Dad","Andras",2016-07-22,411388,8,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"float house",0.679,0.126,8,-18.299,1,0.0498,0.628,0.893,0.117,0.309,95.004,4
05DXHbuGdRhzQQcGHfHSQg,"2cT80XDBKzJ18HgxPRKSjp","Aquaplane","Le deltaplane","Andre Solomko",2018-05-11,371163,1,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"",0.659,0.738,9,-7.839,0,0.0281,0.00244,0.000564,0.109,0.545,103.665,4
4w4VTLACEFBlvv5f1M94Gm,"2cT80XDBKzJ18HgxPRKSjp","Summer 79","Le deltaplane","Andre Solomko",2018-05-11,368545,4,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"",0.379,0.684,9,-6.983,1,0.0466,0.197,0.000506,0.169,0.249,83.662,4
7FfNKKXwcSpvUWjTsl5Y6R,"1UhZGGHbPPHAHt2cev27Ta","Sentimental View 2","Emotionally","Andre Tschaskowski",1986-01-01,108283,8,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"",0.334,0.0287,2,-24.142,0,0.0339,0.801,0.863,0.111,0.188,79.258,4
0DXWMiQ63QfXD81TvWsOgA,"1UhZGGHbPPHAHt2cev27Ta","Moonset 2","Emotionally","Andre Tschaskowski",1986-01-01,103333,24,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"",0.264,0.0954,9,-20.589,0,0.0376,0.718,0.187,0.112,0.239,93.136,1
3SHd3uktISTq5Hs6wPmeNh,"6eWBxi3noFhe59k8qdPbzG","Drift","Themes for Buildings and Spaces","Andrew Wasylyk",2017-04-28,181941,9,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"chamber psych",0.366,0.0981,10,-20.266,1,0.0304,0.961,0.916,0.209,0.0612,142.439,3
3Sdgm6qTelJB1ODUO46Iyu,"6eWBxi3noFhe59k8qdPbzG","Under High Blue Skies","Themes for Buildings and Spaces","Andrew Wasylyk",2017-04-28,139744,11,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"chamber psych",0.395,0.398,5,-13.897,1,0.03,0.856,0.831,0.157,0.52,200.033,4
1q5kzaK3tviSLst2ydtFdM,"48BPwCMBASOwyaLkrgkBSG","Blossom","Cordillera","Ann Annie",2018-02-26,425984,11,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"ambient,fourth world,j-ambient,modular synth,spectra",0.262,0.175,4,-18.243,1,0.037,0.332,0.698,0.0952,0.0593,64.555,4
5pNAPzKF2BcDDBlXiqLuhI,"48BPwCMBASOwyaLkrgkBSG","Deciduous Tides","Cordillera","Ann Annie",2018-02-26,291967,11,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"ambient,fourth world,j-ambient,modular synth,spectra",0.435,0.147,6,-15.271,1,0.0408,0.948,0.904,0.0786,0.0702,135.472,4
1AY0kHhA71NktzzyAdhXJn,"5F8sQ7Df9IDM7uR0xKtmfm","Sentimental Journey (Space Dance)","Dance Anthology","Anthony Nicholson",1999-01-01,562933,2,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"soulful house",0.676,0.882,1,-11.08,1,0.0463,0.000638,0.91,0.079,0.496,117.942,4
2SRcL44AMvdYDpsZryreUj,"5F8sQ7Df9IDM7uR0xKtmfm","Tribes Of Chant (Wolrd Dance)","Dance Anthology","Anthony Nicholson",1999-01-01,557733,11,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"soulful house",0.754,0.974,1,-7.688,1,0.037,0.0104,0.912,0.0599,0.848,119.913,4
7EtnNxSrdz1illcNfhwLEK,"3bcYSJSQYuSKp5LoYD4VkM","E' Prumesse","Napoli Segreta","Antonio Sorrentino",2018-07-02,232497,34,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"canzone napoletana,neapolitan funk",0.782,0.775,10,-9.769,1,0.0573,0.245,0.0000265,0.0558,0.888,122.366,4
0vOSUXD0HooDmX1lZdc4xL,"3bcYSJSQYuSKp5LoYD4VkM","Luna Lù","Napoli Segreta Vol.2","Antonio Sorrentino",2020-02-21,273577,31,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"canzone napoletana,neapolitan funk",0.626,0.721,0,-9.034,1,0.0412,0.174,0.0000167,0.356,0.487,111.506,4
4hiNXRP0MUIl6wdEMAnazO,"3pSfwb3p6BVPTYDkNdgxS2","Magic--Pearl","Sights & Sounds","Arbour",2018-02-23,200856,16,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"chillhop,lo-fi beats",0.335,0.275,0,-12.984,1,0.0403,0.812,0.766,0.103,0.0634,152.609,4
4grVBrnJO9x7rzFnPmJk79,"3pSfwb3p6BVPTYDkNdgxS2","Red","Sights & Sounds","Arbour",2018-02-23,137227,18,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"chillhop,lo-fi beats",0.596,0.202,3,-14.018,0,0.0709,0.875,0.913,0.0974,0.43,77.086,4
1HR8ZmNAvhSNVMFgkrLrL4,"3pSfwb3p6BVPTYDkNdgxS2","You Might Feel This, Too","Sights & Sounds","Arbour",2018-02-23,142614,5,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"chillhop,lo-fi beats",0.394,0.366,6,-13.829,1,0.0375,0.92,0.938,0.113,0.241,82.367,4
2EeYGb7ASDtwIBIAEQixId,"4m71L9kgUSq9Ev56hyOdRm","Phantom","A Band Called Flash","A Band Called Flash",2016-10-07,355000,11,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"",0.641,0.877,1,-10.643,1,0.0578,0.125,0.307,0.0878,0.941,119.985,4
1vfMzfcboKNrKaM2lhaqF1,"4m71L9kgUSq9Ev56hyOdRm","The Gift","Mother Confessor EP","A Band Called Flash",2018-02-14,290877,4,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"",0.794,0.664,10,-8.298,1,0.0541,0.0275,0.872,0.133,0.666,123.004,4
25XPmac0GJY5VYOCJLz2kn,"5h43kj4YYsby9SDCSsPwFu","Gwadloup","Mémoires","Béliz",2019-12-05,295272,5,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"",0.572,0.62,5,-10.383,0,0.0425,0.547,0.708,0.0542,0.687,125.749,3
7lwcGUW5Qj6ynHLwBxNhfn,"5h43kj4YYsby9SDCSsPwFu","Mémoires","Mémoires","Béliz",2019-12-05,196043,2,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"",0.364,0.65,7,-9.973,0,0.0633,0.887,0.434,0.0812,0.385,176.117,4
2HgoLEZyGx7OjhpSxcGnTK,"5h43kj4YYsby9SDCSsPwFu","Inyanga","Mémoires","Béliz",2019-12-05,156966,2,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"",0.801,0.485,10,-7.52,0,0.0479,0.639,0.402,0.0843,0.833,137.095,5
1pjD3F3L2ox3WQjxKTRk9U,"4Q9cCxYDsJQc4MhC2pQZhm","Monsieur Dutour","La formule du baron","Bernard Estardy",1969-01-01,189040,39,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"hammond organ,moog,rock progressif francais,spytrack,vintage french electronic",0.508,0.501,6,-11.57,1,0.0411,0.515,0.927,0.0431,0.698,84.684,4
6DGAPpaH9L7nWWlxVWpMcu,"4Q9cCxYDsJQc4MhC2pQZhm","Cha tatch ka","La formule du baron","Bernard Estardy",1969-01-01,147226,33,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"hammond organ,moog,rock progressif francais,spytrack,vintage french electronic",0.611,0.945,7,-9.11,1,0.0639,0.741,0.837,0.0753,0.22,110.857,4
6cwUKWiotJgLjglgGKJHpv,"5IDs1CK15HegSAhGEbSYXo","Whatever Turns You On","Nights (Feel Like Getting Down) [Expanded Edition]","Billy Ocean",1981,375813,21,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"disco,mellow gold,new romantic,new wave pop,soft rock,yacht rock",0.74,0.621,2,-7.42,1,0.0501,0.081,0.0000133,0.121,0.465,106.968,4
5IoMsXpuiIUXWgBFLOhsHw,"0grPfzk6cTnzfQpxjLDPs0","Nearer - solo piano","Species (solo piano)","Bing & Ruth",2022-07-15,253026,12,spotify:user:seankmchenry,2023-01-09T15:35:23Z,"ambient,compositional ambient,drone,fourth world,neo-classical,pastoral",0.548,0.00027,4,-30.115,1,0.479,0.993,0.958,0.105,0.59,128.561,3
