Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3OrFwjnQy3oDxX8gqC2jRA,"645CsTlysr5sGvj28Yi6Wk","Space movement","Moving Rhythm","Eduard Starink",1986-01-01,253823,4,spotify:user:seankmchenry,2023-01-09T15:35:34Z,"",0.485,0.499,3,-16.082,0,0.0312,0.902,0.937,0.629,0.243,89.19,4
7JVkOa4YqVK5G3E6EQ44Ne,"645CsTlysr5sGvj28Yi6Wk","Toys","Moving Rhythm","Eduard Starink",1986-01-01,223357,3,spotify:user:seankmchenry,2023-01-09T15:35:34Z,"",0.369,0.478,1,-18.046,1,0.0685,0.749,0.925,0.191,0.526,120.119,4
7yyYiteBbt6bgKQ45bHeKs,"3zunDAtRDg7kflREzWAhxl","3 Speed","Electro-Shock Blues","Eels",1998-10-10,165293,33,spotify:user:seankmchenry,2023-01-09T15:35:34Z,"alternative rock,melancholia,pop rock",0.556,0.179,7,-15.709,1,0.0344,0.974,0.0827,0.101,0.252,134.189,4
5LoI4n2LjE5QzE4k7Akmh2,"3zunDAtRDg7kflREzWAhxl","Electro-Shock Blues","Electro-Shock Blues","Eels",1998-10-10,149933,39,spotify:user:seankmchenry,2023-01-09T15:35:34Z,"alternative rock,melancholia,pop rock",0.558,0.106,4,-20.038,1,0.0659,0.905,0.0027,0.107,0.357,73.3,3
51uvjrXiwILWg0GgoS43yI,"405bltx0jrFHfKWtT4MDLs","Silicon Valley","Elektroworld","Elecktroids",2018-12-10,249447,15,spotify:user:seankmchenry,2023-01-09T15:35:34Z,"electro",0.775,0.689,2,-10.282,1,0.0556,0.0803,0.921,0.132,0.621,124.52,4
3QkAjxj60ETob3NxKIcs30,"405bltx0jrFHfKWtT4MDLs","Midnight Drive","Elektroworld","Elecktroids",2018-12-10,352960,13,spotify:user:seankmchenry,2023-01-09T15:35:34Z,"electro",0.709,0.613,0,-8.686,0,0.0854,0.00308,0.214,0.095,0.555,130.99,4
0vNKuD2WdRqoOmpn3Ho4i1,"2YIZRDs9tFMMSDvFutC4ZK","Nicole","Momento Intra","Enrico Intra",1978,259506,36,spotify:user:seankmchenry,2023-01-09T15:35:34Z,"italian jazz",0.406,0.25,0,-17.845,0,0.0282,0.744,0.94,0.104,0.33,75.483,4
29FJTVFWwdcwHy56qNteYg,"2YIZRDs9tFMMSDvFutC4ZK","Birimbao","Momento Intra","Enrico Intra",1978,148000,11,spotify:user:seankmchenry,2023-01-09T15:35:34Z,"italian jazz",0.552,0.512,2,-14.325,0,0.0366,0.211,0.897,0.125,0.745,115.162,4
1uaNUjjK34gwMwU2iAopm5,"0NOdYxMmwVSeIshVxo6eVE","The Hostess","Who Are You","E Ruscha V",2017-11-03,124265,0,spotify:user:seankmchenry,2023-01-09T15:35:34Z,"organic electronic",0.507,0.257,5,-14.298,1,0.0349,0.982,0.97,0.497,0.0772,111.753,4
7f70RCHW4XAC2hQ2QgYcJs,"0NOdYxMmwVSeIshVxo6eVE","Who Are You","Who Are You","E Ruscha V",2017-11-03,320319,0,spotify:user:seankmchenry,2023-01-09T15:35:34Z,"organic electronic",0.645,0.484,0,-12.435,1,0.0618,0.881,0.838,0.0919,0.684,89.99,4
