Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
59mMt9Z2FWd4PZMEa0zOZe,"1UgBSTwtftXc2rTD5ls0WK","Between Two Deserts","Invisible Cities","Les Halles",2014-04-01,161179,7,spotify:user:seankmchenry,2023-01-09T15:35:45Z,"",0.389,0.152,1,-16.281,0,0.0442,0.996,0.903,0.138,0.283,130.924,5
0mrBkxwCXEqwxzhJAvX7TM,"1UgBSTwtftXc2rTD5ls0WK","The Inside from the Outside","Invisible Cities","Les Halles",2014-04-01,124693,9,spotify:user:seankmchenry,2023-01-09T15:35:45Z,"",0.237,0.299,5,-13.616,1,0.0454,0.995,0.837,0.109,0.0457,134.274,4
70DXzqrFdSGnucRedhmxZd,"1UgBSTwtftXc2rTD5ls0WK","Contemplating My Own Absence","Invisible Cities","Les Halles",2014-04-01,308555,7,spotify:user:seankmchenry,2023-01-09T15:35:45Z,"",0.194,0.139,8,-15.462,0,0.0345,0.993,0.921,0.0995,0.0648,92.109,3
41X2ELxrN147b3DzP5Ljw7,"7DslfczzwUOIbfmCiGmIgW","T.V. Scene","Balearic Beat","Linda Di Franco",2021-01-02,229693,1,spotify:user:seankmchenry,2023-01-09T15:35:45Z,"",0.59,0.747,0,-7.805,0,0.0298,0.487,0.289,0.164,0.907,95.587,4
2Ggw1FF8eDfk7uKSvP3pva,"3m7LsF42x5apS0i5eHn7hQ","Frostie","Oto No Wa: Selected Sounds of Japan 1988-2018","LITTLE TEMPO",2017,345342,0,spotify:user:seankmchenry,2023-01-09T15:35:45Z,"j-reggae,japanese dub",0.777,0.412,11,-7.889,0,0.0405,0.0348,0.599,0.041,0.719,134.071,4
32JpQhOHwAiY0Qn8tNQ3b1,"2JA4BF3ki1wW8bcYUG5Iq3","Land, Repair, Refuel","Much Less Normal","LNRDCROY",2014-05-20,210808,29,spotify:user:seankmchenry,2023-01-09T15:35:45Z,"canadian house,vancouver indie",0.79,0.559,0,-11.277,1,0.0426,0.0572,0.839,0.141,0.101,132.106,4
2rCCeyLjDIlJ11FVLrWXTJ,"2JA4BF3ki1wW8bcYUG5Iq3","I Met You On BC Ferries","Much Less Normal","LNRDCROY",2014-05-20,483484,15,spotify:user:seankmchenry,2023-01-09T15:35:45Z,"canadian house,vancouver indie",0.61,0.474,11,-14.183,1,0.046,0.545,0.896,0.0793,0.301,117.26,4
0g1MRhpcgINEnsN9K9abEM,"7FRTM6sphATqwmzvNrGezw","Downtone","Outside the Circle","Low Flung",2020-07-31,378720,4,spotify:user:seankmchenry,2023-01-09T15:35:45Z,"australian ambient",0.847,0.647,7,-12.699,1,0.118,0.0164,0.91,0.112,0.439,125.016,4
6V1ScEFPkjHz9dangqSUEf,"7FRTM6sphATqwmzvNrGezw","Song for Plain Remains","Outside the Circle","Low Flung",2020-07-31,364010,1,spotify:user:seankmchenry,2023-01-09T15:35:45Z,"australian ambient",0.743,0.699,9,-8.899,0,0.0489,0.00951,0.625,0.0528,0.582,125.005,4
6anvFvhxndmE8Ja4q05AZW,"0JttrTRwrzj8udpkzr8asp,05GSCSTkwnHANf3ykSvMgt","House of the Purple Mist","Magician","Magician,Barbara Thompson",2021-03-24,478373,16,spotify:user:seankmchenry,2023-01-09T15:35:45Z,"",0.611,0.265,10,-15.473,1,0.0435,0.671,0.838,0.0656,0.384,84.41,4
4SSUj17CepR1nj96g9iYVL,"0JttrTRwrzj8udpkzr8asp,05GSCSTkwnHANf3ykSvMgt","Drowned Village","Magician","Magician,Barbara Thompson",2021-03-24,232880,14,spotify:user:seankmchenry,2023-01-09T15:35:45Z,"",0.579,0.0668,4,-25.389,0,0.0392,0.936,0.921,0.161,0.286,116.724,4
4xGVuuNh4TLrRWyeDy036v,"05YIKoK2iHC1VW8XWUZL1P","Bon Voyage","Une Cartographie Idéale","Magnétophonique",2018-08-31,371200,5,spotify:user:seankmchenry,2023-01-09T15:35:45Z,"",0.223,0.954,1,-9.53,1,0.465,0.899,0.871,0.826,0.0391,95.387,4
0qQeDcmu2JYAP8FTNyKzXT,"05YIKoK2iHC1VW8XWUZL1P","Lush Islands","Une Cartographie Idéale","Magnétophonique",2018-08-31,249531,4,spotify:user:seankmchenry,2023-01-09T15:35:45Z,"",0.284,0.479,11,-10.271,1,0.0368,0.99,0.93,0.402,0.0905,100.484,4
