Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1Gjs79e2KZKfTI5WPL46Tj,"13SGNovllSFp33AuFx69mI,6t6xNnF7XUwekwigQ3hGHl,6OPn8oXZi8vhiYziRUAQRW","Strahlenspur","Continuum","Rainer Brüninghaus,Markus Stockhausen,Fredy Studer",1984-03-01,292440,13,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"ecm-style jazz,german jazz,classical trumpet,contemporary jazz,dark jazz,jazz trumpet,norwegian contemporary jazz,norwegian jazz,swedish jazz,jazz drums,swiss jazz",0.317,0.478,7,-15.766,1,0.0447,0.465,0.394,0.206,0.436,80.848,4
5UXuhp9W09n1psp0arvX2X,"13SGNovllSFp33AuFx69mI,6t6xNnF7XUwekwigQ3hGHl,6OPn8oXZi8vhiYziRUAQRW","Continuum","Continuum","Rainer Brüninghaus,Markus Stockhausen,Fredy Studer",1984-03-01,239600,12,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"ecm-style jazz,german jazz,classical trumpet,contemporary jazz,dark jazz,jazz trumpet,norwegian contemporary jazz,norwegian jazz,swedish jazz,jazz drums,swiss jazz",0.325,0.275,2,-19.405,1,0.0331,0.685,0.882,0.289,0.35,121.513,3
7FbKFGyAOqU0oB7KwXreFv,"4TvQ6wnXv3aDNv29JH6App","Enjoy (Solid Gold Easy Amex)","Balearic Beat","Red Box",2021-01-02,272875,0,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"sophisti-pop",0.689,0.699,9,-12.366,1,0.0422,0.00015,0.456,0.3,0.953,104.354,4
35MJxwLSvYUxLow4Kmmztx,"4Sl3fpSDeo9cMb3ouKm0rV,1DT11FntvMnaU47ZZWlTpB","Taking Flight (feat. Brandee Younger)","Resavoir","Resavoir,Brandee Younger",2019-06-28,217546,40,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"experimental jazz,indie soul,jazz harp",0.267,0.468,11,-11.879,1,0.0366,0.792,0.85,0.0927,0.428,78.59,4
4Fscv91xBl24LBihtEG1J1,"4Sl3fpSDeo9cMb3ouKm0rV","Plantasy","Resavoir","Resavoir",2019-06-28,260026,43,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"experimental jazz,indie soul",0.178,0.35,6,-14.386,1,0.044,0.85,0.898,0.0994,0.216,74.987,4
5cGFA2qoHKddYmfGYudAkz,"4Sl3fpSDeo9cMb3ouKm0rV,3zlWvRPwLwGSi2v6ltrhOl","Escalator (feat. Sen Morimoto)","Resavoir","Resavoir,Sen Morimoto",2019-06-28,245373,36,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"experimental jazz,indie soul,jazz rap",0.249,0.656,9,-12.46,0,0.0647,0.714,0.0854,0.145,0.6,189.674,3
5MJCf9wldah78xZqRfGx3T,"3mlK6zWLTyOBlgmbxNAyd5","Deliver Me","Windmills","Rick Roberts",1972,295520,5,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"",0.419,0.662,4,-11.53,1,0.0854,0.393,0.0000654,0.222,0.553,155.622,4
2c4nxLKby6FqYtXGfgy5eF,"3mlK6zWLTyOBlgmbxNAyd5","In My Own Small Way","Windmills","Rick Roberts",1972,180280,4,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"",0.299,0.648,7,-10.084,1,0.0374,0.0768,0,0.207,0.787,184.847,4
3wIY0Bhn9GGV9zTGjbo2Ub,"3mlK6zWLTyOBlgmbxNAyd5","Sail Away","Windmills","Rick Roberts",1972,440093,3,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"",0.589,0.434,0,-14.117,0,0.0285,0.576,0.199,0.16,0.198,101.037,4
56BeLx8BnNsorUC3LkP40V,"5HZomesfKTKFGg1rIzIit6","Feeling of the Sun","Feeling of the Sun EP","Roberto Lodola",2014-09-09,367870,7,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"",0.714,0.783,4,-8.318,0,0.0476,0.00451,0.818,0.0781,0.503,100.244,4
061p2ZMjkvKtbuc5swDz5t,"7v5E9zviGMsOGHRdMVmhDc","Wenn der Südwind weht","Wenn der Südwind weht","Roedelius",1981,253506,36,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"ambient,art pop,art rock,berlin school,compositional ambient,drone,experimental,fourth world,krautrock,neo-classical",0.449,0.185,2,-15.931,1,0.0317,0.748,0.86,0.1,0.231,114.579,1
34Tsmlc1lm6hcFXtQXVdCo,"7v5E9zviGMsOGHRdMVmhDc","Sonnengeflecht","Wenn der Südwind weht","Roedelius",1981,209840,31,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"ambient,art pop,art rock,berlin school,compositional ambient,drone,experimental,fourth world,krautrock,neo-classical",0.363,0.485,11,-17.806,1,0.0513,0.771,0.961,0.159,0.2,101.055,4
6GyFdjCFZvhm1KMWcV754g,"0yXsd7dPJaFWBKdCFDg84p","Planted","Fear Ritual","Rollmottle",2015-09-17,316078,0,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"",0.668,0.53,10,-12.789,0,0.0409,0.149,0.809,0.0836,0.595,107.998,3
02lWvvpZeShhBCwP3ScOlu,"2GvwZbDjH1DbQpodGKENDw","Garden Party","Garden Party","Roman Flügel",2020-02-28,232000,31,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"float house,frankfurt electronic,melodic techno,microhouse,minimal techno,tech house",0.718,0.812,10,-7.876,1,0.0336,0.0123,0.907,0.107,0.888,120.008,4
66PCrDlu6eD8isiBgD7Z1Z,"2GvwZbDjH1DbQpodGKENDw","Parade D'Amour","Garden Party","Roman Flügel",2020-02-28,211875,39,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"float house,frankfurt electronic,melodic techno,microhouse,minimal techno,tech house",0.744,0.833,7,-8.193,0,0.0549,0.000376,0.895,0.0874,0.617,123.007,4
5ETwY0pdJMweJZ8n2RQOZW,"4nJzdeK4uBO4DFrZP57tH2","You Woke It Up","Dynamite","Ronay",2019-03-29,270825,1,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"",0.898,0.5,0,-7.233,1,0.0369,0.314,0.57,0.0521,0.904,125.875,4
1PqkFWrC8rDQevztrtqHes,"0ghBnsUuqJ3V137aYxotPF,7r9aXxxYBqZTK3PD3DPN32","Up On The Roof","The Great Lawn","Ross Traut,Steve Rodby",1989-01-01,329466,2,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"",0.331,0.0114,0,-27.301,1,0.0433,0.982,0.915,0.1,0.363,171.035,4
4WzLBROXTrrgcYZ6ZAETKS,"0ghBnsUuqJ3V137aYxotPF,7r9aXxxYBqZTK3PD3DPN32","All I Want","The Great Lawn","Ross Traut,Steve Rodby",1989-01-01,294533,2,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"",0.412,0.0376,7,-23.326,1,0.039,0.964,0.911,0.11,0.27,150.943,4
3XzOaBQ5ReR2WZx2zUHS2F,"7BQ2463qbepxrho9mDT728","Camera Dans La Nuit","La Cadenza","Rudy's Midnight Machine",2019-03-08,289900,8,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"neapolitan funk",0.711,0.887,2,-6.979,0,0.0337,0.0251,0.739,0.161,0.573,108.004,4
42JyWXzXmQNf14sMwWhRJ4,"7BQ2463qbepxrho9mDT728","La Cadenza","La Cadenza","Rudy's Midnight Machine",2019-03-08,257821,12,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"neapolitan funk",0.58,0.901,4,-9.614,0,0.045,0.0137,0.826,0.114,0.166,193.988,4
7HK7D5Zfj5JqgPX0umVM8m,"3te5GB721HYvdKNWUyU536,7iFBCM9EuHMsWytEVnplIP","Weekend Billionaires","The Sound Of Mercury Rising Vol. II","Rune Lindbæk,Chris Coco",2019-09-27,432885,9,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"balearic,norwegian space disco,chill lounge",0.621,0.654,5,-12.715,1,0.0472,0.0171,0.892,0.117,0.688,107.015,4
4iW5hgtues4PjTsq4RgxQW,"5symvdJeus2C6uIMGtvDdr","Javanese","Wetlands","Sam Mallet",2019-10-18,116733,0,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"australian ambient",0.548,0.434,1,-13.16,1,0.0678,0.84,0,0.0774,0.848,151.75,4
4lQP7iaUyuyxGWHWpuXJSw,"5symvdJeus2C6uIMGtvDdr","Tropics","Wetlands","Sam Mallet",2019-10-18,469493,1,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"australian ambient",0.36,0.697,9,-10.957,0,0.0535,0.92,0.859,0.104,0.408,178.159,4
23cRw4Pyt2rJQznlFEnPGs,"4Hl6TEQAFgH0XrZq4f8okX","Bad Weather Mates","Needledrop","Session Victim",2020-03-06,167055,48,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"deep house,deep soul house,electronica,float house,indie jazz,indie soul,microhouse,nu disco",0.641,0.572,11,-12.994,0,0.0369,0.0502,0.933,0.103,0.444,100.005,4
0zGp72hLEgodw2SRA1Xh5F,"4Hl6TEQAFgH0XrZq4f8okX,7a1nGgiWVcRP4PV6xkXQ96","Made Me Fly","Needledrop","Session Victim,Beth Hirsch",2020-03-06,196142,25,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"deep house,deep soul house,electronica,float house,indie jazz,indie soul,microhouse,nu disco",0.648,0.57,10,-13.885,0,0.0459,0.135,0.799,0.174,0.463,104.004,4
2veEIrSGcCszmVKyEuiIVd,"3k2mZ2vmhiARdgLHAuCkGT","Senhor Zalla","Zon Zon Zon","Shelter",2017-03-24,308614,20,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"mallsoft",0.645,0.556,1,-10.661,1,0.0528,0.037,0.701,0.377,0.895,171.999,4
45H8wetzByln0ySPFgAZIt,"3k2mZ2vmhiARdgLHAuCkGT","Bucolica","Zon Zon Zon","Shelter",2017-03-24,104565,6,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"mallsoft",0.675,0.538,2,-12.082,1,0.0681,0.902,0.962,0.0783,0.844,162.189,4
6VML2DVmlaNFLcwoxvWQe3,"3k2mZ2vmhiARdgLHAuCkGT","Courant Bleu","Zon Zon Zon","Shelter",2017-03-24,243611,3,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"mallsoft",0.286,0.61,11,-10.612,0,0.033,0.947,0.886,0.114,0.334,103.631,4
2cZc4KICb5rzaPD0fM1SOo,"72kYzyvgJS9izgSp2ttqdm","Abisme","Homes","Shida Shahabi",2018-10-19,303026,0,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"neo-classical",0.231,0.152,7,-29.242,0,0.0371,0.947,0.933,0.149,0.469,136.132,4
1tNKz3822AcxUAec9ot9nL,"72kYzyvgJS9izgSp2ttqdm","Pretty in Plums","Homes","Shida Shahabi",2018-10-19,280116,0,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"neo-classical",0.501,0.263,3,-25.334,0,0.0383,0.925,0.861,0.113,0.512,155.268,4
78uVc8UbEdR8eroIviqzwX,"72kYzyvgJS9izgSp2ttqdm","Afterword","Homes","Shida Shahabi",2018-10-19,91036,0,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"neo-classical",0.352,0.105,10,-30.046,0,0.0427,0.982,0.903,0.11,0.0986,130.34,1
6pL9XBpYH2EqM6vN1I2smj,"04azg2bFlSz46nOe03VY2w","Tíbiri Tábara","Tibiri Tabara","Sierra Maestra",1997-11-03,217360,38,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"latin jazz,musica tradicional cubana",0.604,0.653,5,-7.338,1,0.0353,0.719,0.0000906,0.0891,0.824,90.018,4
7xpJQcmsnGG9ojztoCNe54,"04azg2bFlSz46nOe03VY2w","Dónde Va Chichi?","Tibiri Tabara","Sierra Maestra",1997-11-03,313133,41,spotify:user:seankmchenry,2023-01-09T15:35:53Z,"latin jazz,musica tradicional cubana",0.536,0.72,9,-9.258,1,0.0386,0.0996,0.00023,0.0502,0.838,116.183,4
