Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3TiCuJiisBOB9HzKAM6FDG,"1zKp43H1kLHOTkJAeyTIkf","Oh Honey","Oh Honey","Delegation",1978-07-17,356200,64,spotify:user:awilderink,2020-04-20T16:37:32Z,"disco,funk,post-disco,quiet storm",0.734,0.42,2,-12.036,1,0.028,0.188,0.242,0.0826,0.462,94.161,4
5i6CpkeePD4aKacf0cmZqg,"6vuD08WKtmp1yc7kQx1rBm","Summer Breeze","Euphrates River (Bonus Track Version)","The Main Ingredient",2015-11-13,256240,47,spotify:user:awilderink,2020-09-15T10:17:42Z,"classic soul,disco,funk,quiet storm,soul,southern soul",0.409,0.693,5,-8.344,0,0.0368,0.424,0.0000299,0.268,0.696,162.631,4
0MCEM7WuIw4tS9ih4HGE1S,"0kEfub5RzlZOB2zGomqVSU","Gun","Reflections","Gil Scott-Heron",1981-03-01,239906,52,spotify:user:awilderink,2020-09-15T10:34:17Z,"conscious hip hop,funk,jazz funk,political hip hop,slam poetry,soul",0.821,0.49,3,-10.909,1,0.0962,0.497,0.00775,0.294,0.96,105.022,4
64rUFahjPCas3JIx5OE27K,"0yq7sI87s5V3Z461Npd652","Nisyan","Awedny","Ahmed Fakroun",2000-06-29,268866,0,spotify:user:awilderink,2019-08-02T22:13:00Z,"arab groove,libyan pop",0.805,0.481,4,-10.611,1,0.0561,0.217,0.00768,0.0733,0.929,98.136,4
6n44rF2nl6rF0q5DYgezS1,"2OHzpRiwkpxGE7IA0hnSko,0dns940bo2pILe1Flk0WH3","Closer","Beaubien Dream","Project Pablo,Patrick Holland",2016-06-03,417738,49,spotify:user:awilderink,2020-04-06T13:12:15Z,"canadian electronic,canadian house,deep house,float house,lo-fi house",0.731,0.945,5,-7.84,0,0.0566,0.171,0.916,0.135,0.223,122.02,4
23R8dxYIOLn4eGPOekhx93,"0ymdoOsfzRbCoAMfJPpsEx","Ode To Eddy","Ode To Eddy","Cody Currie",2018-11-30,204332,18,spotify:user:awilderink,2018-12-08T22:06:10Z,"disco house",0.924,0.423,6,-11.179,0,0.165,0.0483,0.618,0.427,0.484,121.006,4
7jJy7mYWWz2DKSNSaAnkRc,"6Yae9Ia1nq6JLLojBzwN1r","Oma Doris","Future Disco, Vol. 9 - A Disco Love Affair","HNNY",2016-02-12,333352,42,spotify:user:awilderink,2018-05-30T11:55:34Z,"deep house,electronica,indie jazz,indie soul,swedish electronic,swedish house,swedish synthpop",0.801,0.387,7,-10.198,1,0.0578,0.0000333,0.832,0.0559,0.486,118.362,4
2djnfnOnKGRAXKc35QmyaA,"4udfBn2nJQ6bHoMrr2lKpz","Long Gone","Limb Valley EP","Al Zanders",2015,400020,25,spotify:user:awilderink,2018-05-28T15:52:14Z,"uk house",0.768,0.569,11,-7.495,1,0.0618,0.446,0.624,0.0521,0.476,128.991,4
4LlguRMdpREQ5sCGfxZggN,"5c7Rh2pmeaqzw3mL56yuqr","Brandschatzer","We Can See That","Paso",2016-01-15,259607,0,spotify:user:awilderink,2018-06-24T13:21:01Z,"",0.868,0.422,0,-9.965,0,0.0655,0.278,0.753,0.127,0.181,120.003,4
4atf6fgBMa9fplUajApH53,"3YoOCNIgj8b0TKPQhRTXQJ","Swoonwalk","Swoonwalk","A Band Called Success",2016-12-15,240000,36,spotify:user:awilderink,2018-04-18T11:51:27Z,"",0.801,0.522,0,-9.546,0,0.0516,0.0767,0.897,0.193,0.805,108.023,4
5Ml003Ymb2JnhRR9tGA5Bf,"6Yae9Ia1nq6JLLojBzwN1r","Sunday","Sunday","HNNY",2015-07-03,180601,0,spotify:user:awilderink,2018-05-17T21:56:21Z,"deep house,electronica,indie jazz,indie soul,swedish electronic,swedish house,swedish synthpop",0.585,0.415,7,-12.278,0,0.0253,0.381,0.837,0.192,0.717,100.136,3
2dgrYdgguVZKeCsrVb9XEs,"4LLpKhyESsyAXpc4laK94U","What's the Use?","Swimming","Mac Miller",2018-08-03,288640,72,spotify:user:awilderink,2018-10-01T09:13:58Z,"hip hop,pittsburgh rap,rap",0.759,0.492,1,-10.338,0,0.12,0.736,0.00989,0.107,0.561,104.974,4
2DZwiKNA2gzhSDO6dVcxuY,"0NzYo2g86D4MRi45U9zeli","Visions of You - Original Mix","Hot & Bothered EP","Junktion",2016-04-11,191931,34,spotify:user:awilderink,2018-06-06T09:56:49Z,"funky house,jazz house",0.821,0.611,9,-6.51,0,0.0367,0.0297,0.186,0.0895,0.909,100.004,4
3zh3Kd7QjzHJ1KXMhpJ2ya,"69QvnqfXPkPGcJiZrv0VkV","Goody Goody","Neon Disco","Deelicious",2015-07-04,399000,0,spotify:user:awilderink,2018-04-18T11:49:19Z,"",0.83,0.49,11,-10.53,0,0.0741,0.0254,0.644,0.229,0.705,108.399,4
6DpvLrih9iAOV4DxPCKd1j,"3Hks3b12jXcfuN2Gg68so4","Rub a Dub Dub - Instrumental","Don't Stop: Recording Tap","Fabulous 3 Mc's",2008-03-04,551720,0,spotify:user:awilderink,2018-05-25T15:16:28Z,"traditional soul",0.744,0.632,5,-7.349,1,0.0901,0.0145,0.0137,0.0675,0.69,105.156,4
6lx5aHjUesS2XEyLxXknLQ,"2gR0iQTVBPHDKiNn1Kq8HI","Heaven","Life Stories","Ebo Taylor",1977,365693,0,spotify:user:awilderink,2018-05-30T12:03:14Z,"afro-funk,afrobeat,afropop,funk,highlife,old school highlife,world",0.655,0.771,9,-7.321,0,0.0517,0.124,0.509,0.0811,0.398,99.567,4
511InmWye3UrDWkcE4SmT4,"6jOz2B9qeID4dLP1o8bFGf","Like A Fool","Walk Dance Talk Sing","Crazy P",2015-05-11,305649,0,spotify:user:awilderink,2018-04-18T12:11:39Z,"deep disco house,deep house,disco house,electronica,filter house,indie soul,nu disco,vocal house",0.772,0.65,2,-7.449,0,0.0341,0.00474,0.73,0.146,0.196,120.015,4
4Lv1bzAvoAeroCGiUUGZ9w,"7GaxyUddsPok8BuhxN6OUW,4lJHGi5dlJmWwFH0JKF6di","The Boss","Black Caesar (Soundtrack)","James Brown,The J.B.'s",1973-01-01,194866,0,spotify:user:awilderink,2018-04-18T12:11:47Z,"funk,soul,jazz funk",0.736,0.354,1,-14.709,1,0.0475,0.579,0.0103,0.0757,0.62,97.924,4
4u4Kb4W5mWtn9oz4A7SKK6,"7GaxyUddsPok8BuhxN6OUW","The Payback","The Payback","James Brown",1973-01-01,459533,0,spotify:user:awilderink,2018-04-18T12:21:12Z,"funk,soul",0.866,0.639,6,-10.97,1,0.188,0.147,0.000177,0.793,0.792,97.901,4
