Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6fbcVGWO3EQPxsDcdtKD02,"Sugarcane","Sugarcane","Ana Olgica",2017-01-01,144500,38,figgebass,2022-08-02T20:00:24Z,"focus","ANONYMOUS NEPHEW",0.359,0.0166,0,-27.863,1,0.0601,0.995,0.968,0.0833,0.46,114.186,3
2Wq70oxNy3i4KOW175fUs2,"Reveries","Reveries","Ava Cerasoli",2020-09-28,215703,32,figgebass,2023-04-25T12:33:10Z,"","Catfish Records / Montagne Flum",0.379,0.059,8,-29.377,1,0.0338,0.988,0.937,0.12,0.258,71.417,4
3J8dqKlO2trb3uRGhcx3ok,"Le Bonheur","Le Bonheur","Mauvais Roger",2021-03-30,179950,33,figgebass,2021-06-09T13:38:34Z,"background piano","Poreniac Disqs",0.232,0.0612,7,-29.921,1,0.0395,0.985,0.944,0.11,0.13,135.159,4
5FRKQvwwsBVwHKfG5QuL4h,"reflect","reflect","Anna Goya",2020-11-20,146000,28,figgebass,2022-04-06T12:26:17Z,"","Neu'tru Records",0.367,0.0679,5,-26.149,0,0.0315,0.975,0.873,0.105,0.245,67.841,4
0VKlO1auhUiwQwBJWitn1e,"In The Dark Hours","In The Dark Hours","Anon Berg",2020-08-24,175416,9,figgebass,2021-06-09T13:38:34Z,"","Montagne Flum",0.414,0.027,5,-28.287,0,0.0433,0.99,0.939,0.124,0.101,58.737,4
4hz580n2LyxCOWdWFVJJEA,"Feuilles Tombantes","Feuilles Tombantes","Mauvais Roger",2020-11-19,127962,12,figgebass,2021-06-09T13:38:34Z,"background piano","Poreniac Disqs",0.489,0.0222,4,-26.236,1,0.0573,0.992,0.941,0.164,0.105,65.442,4
4vLkjOq0df258sEL7zrtE0,"Chronostasis","Chronostasis","Abel Laloux",2020-10-19,154624,28,figgebass,2021-06-09T13:38:34Z,"background piano","Catfish Records / Montagne Flum",0.379,0.0591,3,-27.298,1,0.0339,0.988,0.932,0.137,0.428,109.679,4
4wHEpdelJmuSIUOdOCLJ0Q,"Lava - Orchestral Cinematic Version","Lava (Orchestral Version)","Tomasz Kraal",2019-03-19,213333,23,figgebass,2021-06-09T13:38:34Z,"focus","Catfish Records / Poreniac Disqs",0.209,0.091,6,-16.825,0,0.0444,0.973,0.877,0.101,0.0417,113.629,4
4Xy7g0dikhYyNhdHyzBBr6,"Aurskog","Aurskog","Ricard Paul",2022-02-25,125816,36,figgebass,2022-04-06T12:11:10Z,"background piano","Fergus & Fish",0.289,0.0939,5,-23.562,0,0.0327,0.961,0.916,0.111,0.311,82.669,4
0c3pAQGKjwHKo9ilC8i8c5,"Solace","Solace","Armando Bauer",2022-04-29,117271,38,figgebass,2022-08-02T20:01:35Z,"","Montagne Flum",0.361,0.0291,10,-26.634,1,0.0386,0.994,0.975,0.106,0.127,76.975,1
