Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3ZI49HJE66dhI3EvYHDqSz,"Quiet Village - Original Mono Version","Exotica","Martin Denny",1957-05-01,220240,25,seankmchenry,2024-04-29T20:22:30Z,"easy listening,exotica,lounge","Caroline Records",0.818,0.482,2,-8.915,0,0.0538,0.685,0.119,0.228,0.299,114.324,4
1DvtuBRmG0itk0i7moSRPE,"Return To Paradise - Original Mono Version","Exotica","Martin Denny",1957-05-01,141640,14,seankmchenry,2024-04-29T20:22:30Z,"easy listening,exotica,lounge","Caroline Records",0.463,0.33,10,-10.986,1,0.0275,0.541,0.000437,0.0842,0.185,78.175,4
5yHSqWWUpU27n9s8kbZ94g,"Breakin' Away","Breakin' Away","Al Jarreau",1981,253933,36,seankmchenry,2024-04-29T20:23:00Z,"smooth jazz,yacht rock","Rhino/Warner Records",0.678,0.345,1,-17.268,0,0.0338,0.434,0.0000381,0.254,0.564,71.69,4
7fQue2Up5Mqt6AYZAEUHWe,"Silk","Silk (Expanded)","Fuse One",1981-03-01,472600,6,seankmchenry,2024-04-29T20:25:15Z,"","Epic/Legacy",0.733,0.538,10,-7.766,0,0.0349,0.418,0.08,0.0782,0.616,96.073,4
7MOXV5r5Ywcefn0Yp9RxIh,"Smilin' On Ya","Light Up The Night","The Brothers Johnson",1980-04-04,222573,22,seankmchenry,2024-04-29T20:57:08Z,"classic soul,disco,funk,jazz funk,p funk,post-disco,quiet storm,soul","A&M",0.721,0.508,1,-12.952,0,0.0351,0.0461,0.857,0.0479,0.811,114.763,4
4RnMqqugu4OJFLc5FwzNCS,"Do You","Out Of Control","The Brothers Johnson",1984-01-01,207026,8,seankmchenry,2024-04-29T20:57:14Z,"classic soul,disco,funk,jazz funk,p funk,post-disco,quiet storm,soul","A&M",0.848,0.677,9,-7.273,1,0.0433,0.102,0.000948,0.178,0.933,123.02,4
15SKmrKL8uwAEI8xSjR7cA,"Tokyo","Out Of Control","The Brothers Johnson",1984-01-01,284693,10,seankmchenry,2024-04-29T20:57:14Z,"classic soul,disco,funk,jazz funk,p funk,post-disco,quiet storm,soul","A&M",0.616,0.715,4,-7.554,0,0.0413,0.172,0.513,0.0896,0.877,95.591,4
46EYL9pQysbES3ZjfkBTQ3,"Spring High","Love Notes","Ramsey Lewis",1977,257800,25,seankmchenry,2024-04-30T12:13:48Z,"instrumental soul,jazz funk,jazz piano,smooth jazz,soul jazz","SBCMG",0.721,0.748,1,-8.401,1,0.0326,0.109,0.795,0.102,0.925,114.912,4
26KRulO1X9YeFpOFskWar0,"Vanonyana Lava","Tshigubu Tshanga","Volcano",1999-01-18,269693,0,seankmchenry,2024-07-29T18:15:35Z,"psychedelic trance","WFN Distribution (Pty) Ltd",0.709,0.982,4,-8.129,0,0.0517,0.219,0.0015,0.789,0.906,104.509,4
2U4kiDoSsCKBXHIWTZ8ugu,"Batonga","Logozo","Angelique Kidjo",1991-01-01,276840,27,seankmchenry,2024-07-29T18:15:35Z,"afropop,beninese pop,world","Universal-Island Records Ltd.",0.682,0.804,8,-11.932,1,0.0538,0.0396,0.602,0.1,0.872,109.271,4
