Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4LnrlzPrn3HV38ONs6g59U,"3Rc2dxaKUjFJT3t60KsrzG","Side of Life","Michael the Lion","Michael The Lion",2017-07-14,306809,1,spotify:user:seankmchenry,2022-06-23T19:10:58Z,"",0.768,0.801,9,-8.513,0,0.0398,0.023,0.774,0.376,0.753,121.038,4
3hHQXMlFT1lK5mSW8rcVDC,"3Rc2dxaKUjFJT3t60KsrzG","The Changer","Michael the Lion","Michael The Lion",2017-07-14,442300,0,spotify:user:seankmchenry,2022-06-23T19:10:58Z,"",0.803,0.872,6,-10.292,0,0.0587,0.000333,0.858,0.0743,0.755,113.019,4
2JHQfbJR0F2xYjt72jJa68,"3Rc2dxaKUjFJT3t60KsrzG,6lm52aALA9NKQv1ChQmSBr,2tpbLTmBZZcGvcCHX6uw1U","Get It On (Bosq Remix)","Michael the Lion","Michael The Lion,Amy Douglas,Bosq",2017-07-14,485430,2,spotify:user:seankmchenry,2022-06-23T19:10:58Z,"",0.86,0.524,7,-9.832,1,0.0565,0.00496,0.397,0.0721,0.683,119.004,4
2ONAe8MaToKRmAJcjmnVoS,"3Rc2dxaKUjFJT3t60KsrzG,6lm52aALA9NKQv1ChQmSBr,3WqcJ1mpndDphKnQXlqOf0","Get It On (DJ Bruce's Feeling Mix)","Michael the Lion","Michael The Lion,Amy Douglas,DJ Bruce",2017-07-14,177225,0,spotify:user:seankmchenry,2022-06-23T19:10:58Z,"",0.759,0.428,2,-10.651,0,0.0963,0.874,0.00132,0.251,0.529,116.702,4
349vm6M3Teg5Wbr54ASgSU,"3Rc2dxaKUjFJT3t60KsrzG,6lm52aALA9NKQv1ChQmSBr,3WqcJ1mpndDphKnQXlqOf0","Get It On (DJ Bruce's On & On Mix)","Michael the Lion","Michael The Lion,Amy Douglas,DJ Bruce",2017-07-14,546666,0,spotify:user:seankmchenry,2022-06-23T19:10:58Z,"",0.76,0.564,2,-9.74,0,0.072,0.071,0.00622,0.0591,0.529,117.044,4
5qQNRTo3VS9f1DYbydQGGf,"5aQJfpswjW3M2Fx3oPOsnP","Citlalmina","Citlalmina","Pontchartrain",2018-03-27,320487,0,spotify:user:seankmchenry,2022-06-23T19:10:32Z,"detroit house",0.777,0.898,0,-7.324,1,0.0348,0.000141,0.936,0.104,0.697,123.009,4
03wD6u98ZMDGBWGX0Iz1nH,"5aQJfpswjW3M2Fx3oPOsnP","Where Do We Go Now","Citlalmina","Pontchartrain",2018-03-27,272307,0,spotify:user:seankmchenry,2022-06-23T19:10:32Z,"detroit house",0.6,0.756,1,-8.299,1,0.0374,0.00422,0.872,0.14,0.571,103.993,4
5LrJ3HR7E4cIf5h44T3eBz,"5aQJfpswjW3M2Fx3oPOsnP,0d5WiDKShxxXxQSVdHN9GC","Rio Magdalena (HazMat Remix)","Citlalmina","Pontchartrain,HazMat",2018-03-27,286953,0,spotify:user:seankmchenry,2022-06-23T19:10:32Z,"detroit house,australian thrash metal,neo-industrial rock",0.646,0.762,9,-8.494,0,0.0444,0.121,0.429,0.0794,0.361,115.006,4
1aANrDaEMjacP6wY4CAwWp,"5aQJfpswjW3M2Fx3oPOsnP","Rio Magdalena","Citlalmina","Pontchartrain",2018-03-27,287155,0,spotify:user:seankmchenry,2022-06-23T19:10:32Z,"detroit house",0.783,0.707,4,-9.916,0,0.0393,0.141,0.883,0.0722,0.0532,114.992,4
6xTcH212eGgLNSZVrevp0u,"3r4s2LNC0447RF4m953o95,4pvP1lgFGxqJfIJU28bPPA","Riviera","Melodj Mecca","Stump Valley,Diviniti",2021-04-09,463448,16,spotify:user:seankmchenry,2022-06-23T19:09:00Z,"",0.633,0.484,7,-13.96,1,0.0394,0.0846,0.517,0.402,0.218,115.981,4
