Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
624y5YgJmDpH1fS39LWzaZ,"3YfpfN9dOwJUoeqXoWazgi","Cosmic Cave","Endless Light","Space Ghost",2018-03-16,123578,20,spotify:user:seankmchenry,2022-11-13T00:40:11Z,"float house,jazz house",0.208,0.211,8,-20.92,1,0.0316,0.942,0.882,0.169,0.384,137.335,5
7iZPnJ5VyJUTWQVkRPERxz,"3YfpfN9dOwJUoeqXoWazgi","Color Waves","Endless Light","Space Ghost",2018-03-16,224182,8,spotify:user:seankmchenry,2022-11-13T00:40:11Z,"float house,jazz house",0.604,0.605,10,-11.503,0,0.0309,0.17,0.348,0.119,0.311,115.017,4
0wj9SxdYIENL0hrRyMY0S3,"3YfpfN9dOwJUoeqXoWazgi","Following a Vision","Endless Light","Space Ghost",2018-03-16,274480,7,spotify:user:seankmchenry,2022-11-13T00:40:11Z,"float house,jazz house",0.513,0.505,5,-12.706,0,0.0999,0.413,0.691,0.0692,0.226,121.996,4
3w4l3IRZ5Z1cLjUp6AIb5X,"3YfpfN9dOwJUoeqXoWazgi","Endless Light","Endless Light","Space Ghost",2018-03-16,214899,8,spotify:user:seankmchenry,2022-11-13T00:40:11Z,"float house,jazz house",0.632,0.739,1,-9.192,1,0.0423,0.0455,0.902,0.119,0.122,115.011,4
3jaFa1snkLbRecEuYwR1GG,"3YfpfN9dOwJUoeqXoWazgi","Tropical Pavilion","Endless Light","Space Ghost",2018-03-16,155863,8,spotify:user:seankmchenry,2022-11-13T00:40:11Z,"float house,jazz house",0.7,0.496,8,-11.036,0,0.0332,0.576,0.712,0.212,0.229,109.957,3
0K1keHqKwVLyVdU7xgCXn2,"3YfpfN9dOwJUoeqXoWazgi","After Hours While it Rains Outside","Endless Light","Space Ghost",2018-03-16,152119,6,spotify:user:seankmchenry,2022-11-13T00:40:11Z,"float house,jazz house",0.199,0.38,9,-19.534,0,0.0458,0.876,0.832,0.928,0.133,78.274,4
6AMHguG9OGv9bviTpviu2J,"3YfpfN9dOwJUoeqXoWazgi","Strong Heart","Endless Light","Space Ghost",2018-03-16,253487,5,spotify:user:seankmchenry,2022-11-13T00:40:11Z,"float house,jazz house",0.746,0.572,5,-8.971,0,0.0331,0.175,0.42,0.0869,0.416,125.029,4
5ju0deTlfLuYZ3wcxws8G0,"3YfpfN9dOwJUoeqXoWazgi","Eyes Closed","Endless Light","Space Ghost",2018-03-16,247349,4,spotify:user:seankmchenry,2022-11-13T00:40:11Z,"float house,jazz house",0.657,0.616,1,-10.227,1,0.0895,0.49,0.811,0.343,0.301,109.962,4
0PAQv3ZEMmA1ceWBr0wmAZ,"3YfpfN9dOwJUoeqXoWazgi","Peace Lily Garden (Pt. 2)","Endless Light","Space Ghost",2018-03-16,104394,4,spotify:user:seankmchenry,2022-11-13T00:40:11Z,"float house,jazz house",0.679,0.527,1,-9.837,0,0.0531,0.2,0.138,0.0713,0.354,110.004,4
62voZj432c42vlTpZmjejC,"3YfpfN9dOwJUoeqXoWazgi","Aquatic Speedway","Endless Light","Space Ghost",2018-03-16,229349,4,spotify:user:seankmchenry,2022-11-13T00:40:11Z,"float house,jazz house",0.666,0.767,2,-9.475,1,0.235,0.283,0.00218,0.96,0.111,119.997,4
