Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5iqsjLpxqS7syLntg9IP3f,"5xUKGtiP4KvMEJWSQ72SyZ","Fountain Of You","Modern Manners","Special EFX",1985-01-01,233533,10,spotify:user:seankmchenry,2022-11-15T14:24:25Z,"progressive jazz fusion",0.58,0.304,7,-17.882,1,0.035,0.231,0.0055,0.0659,0.474,113.188,4
5Oy6w4cgx7OWPsblkuuryf,"5xUKGtiP4KvMEJWSQ72SyZ","Fun In The Sun","Modern Manners","Special EFX",1985-01-01,337800,4,spotify:user:seankmchenry,2022-11-15T14:24:25Z,"progressive jazz fusion",0.687,0.441,0,-16.586,1,0.0428,0.14,0.205,0.0437,0.955,92.11,4
3XKTlf4IzGtYFv9orR2U1b,"5xUKGtiP4KvMEJWSQ72SyZ","Modern Manners","Modern Manners","Special EFX",1985-01-01,249093,4,spotify:user:seankmchenry,2022-11-15T14:24:25Z,"progressive jazz fusion",0.653,0.685,9,-16.236,1,0.0351,0.374,0.887,0.0773,0.968,100.239,4
42EDFLXX9Gah4aYntHHwqN,"5xUKGtiP4KvMEJWSQ72SyZ","After One Empty Step","Modern Manners","Special EFX",1985-01-01,380773,3,spotify:user:seankmchenry,2022-11-15T14:24:25Z,"progressive jazz fusion",0.452,0.191,3,-20.854,0,0.0348,0.428,0.821,0.0411,0.162,140.638,4
6qnlcCtBZPkain691U2FfQ,"5xUKGtiP4KvMEJWSQ72SyZ","The Toy Shop","Modern Manners","Special EFX",1985-01-01,169333,2,spotify:user:seankmchenry,2022-11-15T14:24:25Z,"progressive jazz fusion",0.679,0.386,4,-22.274,1,0.0435,0.0258,0.0143,0.0869,0.885,130.223,4
5Dwm86XWSYWBXKLXCNRp0u,"5xUKGtiP4KvMEJWSQ72SyZ","Mystical Remedies","Modern Manners","Special EFX",1985-01-01,313733,14,spotify:user:seankmchenry,2022-11-15T14:24:25Z,"progressive jazz fusion",0.683,0.502,7,-17.896,1,0.0494,0.104,0.693,0.0639,0.718,107.642,4
6t0z1pLQDVae0gwweQ1m9k,"5xUKGtiP4KvMEJWSQ72SyZ","Buttermilk Falls","Modern Manners","Special EFX",1985-01-01,398000,6,spotify:user:seankmchenry,2022-11-15T14:24:25Z,"progressive jazz fusion",0.615,0.458,7,-17.389,1,0.0271,0.208,0.743,0.083,0.572,132.75,4
4NIDwTmdyqvYOVvRfDjSnG,"5xUKGtiP4KvMEJWSQ72SyZ","Valentine","Modern Manners","Special EFX",1985-01-01,228533,2,spotify:user:seankmchenry,2022-11-15T14:24:25Z,"progressive jazz fusion",0.432,0.148,4,-18.266,1,0.0377,0.811,0.612,0.13,0.085,115.191,4
4U6j5WLXCMz1JBZdHY7gml,"5xUKGtiP4KvMEJWSQ72SyZ","Greenway North","Modern Manners","Special EFX",1985-01-01,372093,3,spotify:user:seankmchenry,2022-11-15T14:24:25Z,"progressive jazz fusion",0.425,0.304,2,-19.036,1,0.0318,0.435,0.0541,0.218,0.295,155.942,3
0dzEsIpdf4DF0ei2WmeQYZ,"5xUKGtiP4KvMEJWSQ72SyZ","High Society","Modern Manners","Special EFX",1985-01-01,368373,5,spotify:user:seankmchenry,2022-11-15T14:24:25Z,"progressive jazz fusion",0.56,0.313,4,-17.631,0,0.0319,0.0459,0.716,0.0872,0.173,109.207,4
6Eiu6pnEeOp8zpgAFkwos5,"5xUKGtiP4KvMEJWSQ72SyZ","The Toy Shop - Reprise","Modern Manners","Special EFX",1985-01-01,83426,1,spotify:user:seankmchenry,2022-11-15T14:24:25Z,"progressive jazz fusion",0.778,0.409,11,-23.056,1,0.0404,0.669,0.0705,0.0983,0.978,130.304,4
53Vd3DSJiTn3LdyE2v7Ds1,"5xUKGtiP4KvMEJWSQ72SyZ","Uptown East","Slice Of Life","Special EFX",1986-01-01,237626,18,spotify:user:seankmchenry,2022-11-15T14:24:29Z,"progressive jazz fusion",0.684,0.465,9,-15.838,1,0.0468,0.29,0.467,0.0636,0.85,81.112,4
4XG9iH7sMkVanVh4QLewKs,"5xUKGtiP4KvMEJWSQ72SyZ","The Flow","Slice Of Life","Special EFX",1986-01-01,254840,9,spotify:user:seankmchenry,2022-11-15T14:24:29Z,"progressive jazz fusion",0.787,0.522,2,-16.478,1,0.0362,0.0733,0.638,0.0947,0.964,142.049,4
6XbSQffNKlTdKchMy1ZDye,"5xUKGtiP4KvMEJWSQ72SyZ","Aquabogue","Slice Of Life","Special EFX",1986-01-01,279493,5,spotify:user:seankmchenry,2022-11-15T14:24:29Z,"progressive jazz fusion",0.677,0.72,11,-15.111,1,0.0351,0.0983,0.88,0.0865,0.969,103.492,4
65TreN4Gvum7LAuDHmPR9O,"5xUKGtiP4KvMEJWSQ72SyZ","Yesterday's Memories","Slice Of Life","Special EFX",1986-01-01,305333,6,spotify:user:seankmchenry,2022-11-15T14:24:29Z,"progressive jazz fusion",0.48,0.441,9,-16.549,1,0.0347,0.451,0.698,0.0775,0.265,169.752,4
6fg0vdTOIjA9oRfSYsx2Z6,"5xUKGtiP4KvMEJWSQ72SyZ","Formal Invitation","Slice Of Life","Special EFX",1986-01-01,335240,6,spotify:user:seankmchenry,2022-11-15T14:24:29Z,"progressive jazz fusion",0.649,0.767,1,-15.141,1,0.0363,0.208,0.879,0.127,0.771,119.869,4
1croOBxaLpCQQftKNAu6aE,"5xUKGtiP4KvMEJWSQ72SyZ","Bethany Beach","Slice Of Life","Special EFX",1986-01-01,289000,5,spotify:user:seankmchenry,2022-11-15T14:24:29Z,"progressive jazz fusion",0.657,0.458,6,-15.653,1,0.0416,0.402,0.93,0.0717,0.83,113.244,4
1abthI2dvwqHk8TY4VIVHW,"5xUKGtiP4KvMEJWSQ72SyZ","Slice Of Life - Timeless Mood","Slice Of Life","Special EFX",1986-01-01,132026,4,spotify:user:seankmchenry,2022-11-15T14:24:29Z,"progressive jazz fusion",0.16,0.0782,4,-26.455,0,0.0435,0.976,0.658,0.315,0.0348,72.465,3
65jh2i3mXDixD7VwBoYMqD,"5xUKGtiP4KvMEJWSQ72SyZ","Slice Of Life - Jinji's Magic Bottle","Slice Of Life","Special EFX",1986-01-01,193666,4,spotify:user:seankmchenry,2022-11-15T14:24:29Z,"progressive jazz fusion",0.454,0.537,0,-16.753,1,0.0459,0.017,0.827,0.287,0.823,123.445,4
31L5QnrLMlCF6KVVkY9to6,"5xUKGtiP4KvMEJWSQ72SyZ","Slice Of Life - Escape To Reality","Slice Of Life","Special EFX",1986-01-01,207973,4,spotify:user:seankmchenry,2022-11-15T14:24:29Z,"progressive jazz fusion",0.583,0.525,9,-16.749,1,0.0304,0.486,0.891,0.0834,0.756,133.935,4
5fk2i515U3PAstwph7qyyv,"5xUKGtiP4KvMEJWSQ72SyZ","Festival Of The Evergreens","Slice Of Life","Special EFX",1986-01-01,216933,4,spotify:user:seankmchenry,2022-11-15T14:24:29Z,"progressive jazz fusion",0.604,0.587,2,-13.651,1,0.0461,0.134,0.559,0.0952,0.603,89.997,4
2I46TfipXWNaxrrLBn4oit,"5xUKGtiP4KvMEJWSQ72SyZ","Vacation For Life","Slice Of Life","Special EFX",1986-01-01,305200,6,spotify:user:seankmchenry,2022-11-15T14:24:29Z,"progressive jazz fusion",0.644,0.324,4,-16.733,1,0.0316,0.158,0.0348,0.0922,0.407,108.646,4
1DrItZx9eIc5iuzrgeialm,"5xUKGtiP4KvMEJWSQ72SyZ","Sabariah","Confidential","Special EFX",1989-01-01,242200,3,spotify:user:seankmchenry,2022-11-15T14:24:32Z,"progressive jazz fusion",0.647,0.733,7,-16.202,1,0.0348,0.243,0.882,0.0827,0.769,113.277,4
