Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5UjfwiiYJRk4jhVeDkd8JL,"Starlight Lullaby","Singing Sands","Los Days,Tommy Guerrero,Josh Lippi",2020-05-22,302749,31,seankmchenry,2024-02-20T15:51:35Z,"","Too Good",0.629,0.173,9,-15.597,0,0.0386,0.913,0.932,0.113,0.282,135.901,4
6qeeNGYrlhze1vdSDWN48h,"Expanding Night","Singing Sands","Los Days,Tommy Guerrero,Josh Lippi",2020-05-22,213908,17,seankmchenry,2024-02-20T15:51:35Z,"","Too Good",0.616,0.236,9,-16.85,0,0.0291,0.521,0.892,0.127,0.182,139.743,4
6WE5rSfGEvRTSvY2dD5YIZ,"Twilight","Singing Sands","Los Days,Tommy Guerrero,Josh Lippi",2020-05-22,211061,33,seankmchenry,2024-02-20T15:51:35Z,"","Too Good",0.667,0.136,7,-18.729,1,0.0437,0.847,0.764,0.112,0.491,127.989,3
5nHPoPyFiY3WnGQqBbfQVe,"Floating Fire","Singing Sands","Los Days,Tommy Guerrero,Josh Lippi",2020-05-22,261328,15,seankmchenry,2024-02-20T15:51:35Z,"","Too Good",0.173,0.059,0,-21.575,1,0.0468,0.948,0.787,0.116,0.133,180.977,3
0ZD42gUrbI1jm4sFi6Dm6W,"Traveling Light","Singing Sands","Los Days,Tommy Guerrero,Josh Lippi",2020-05-22,158629,38,seankmchenry,2024-02-20T15:51:35Z,"","Too Good",0.522,0.137,7,-17.526,1,0.041,0.881,0.848,0.114,0.711,133.883,3
2h3KSRnPFCRhBqZujHBc5T,"Below The Black Canopy","Singing Sands","Los Days,Tommy Guerrero,Josh Lippi",2020-05-22,124628,13,seankmchenry,2024-02-20T15:51:35Z,"","Too Good",0.558,0.189,7,-19.362,1,0.0425,0.838,0.951,0.109,0.211,127.883,3
6ahItpcRAc7wDC1r8fOC3x,"Painted Hills","Singing Sands","Los Days,Tommy Guerrero,Josh Lippi",2020-05-22,271406,12,seankmchenry,2024-02-20T15:51:35Z,"","Too Good",0.508,0.0423,11,-23.922,1,0.0382,0.792,0.867,0.0836,0.0378,123.125,4
1CiuewjvM8dSGDpr6UlNwQ,"Broken Plains","Singing Sands","Los Days,Tommy Guerrero,Josh Lippi",2020-05-22,172280,14,seankmchenry,2024-02-20T15:51:35Z,"","Too Good",0.362,0.0844,3,-16.989,1,0.0412,0.899,0.881,0.111,0.207,124.093,4
1VxDnyp5xMOLTkU2uixn4v,"Wonder Valley","Singing Sands","Los Days,Tommy Guerrero,Josh Lippi",2020-05-22,145533,31,seankmchenry,2024-02-20T15:51:35Z,"","Too Good",0.503,0.0867,11,-17.822,0,0.0441,0.932,0.773,0.117,0.187,75.005,3
3RIYGJlegTFx74onfmPspP,"Agua Morena","Singing Sands","Los Days,Tommy Guerrero,Josh Lippi",2020-05-22,171358,32,seankmchenry,2024-02-20T15:51:35Z,"","Too Good",0.667,0.288,0,-13.381,1,0.0385,0.826,0.867,0.0815,0.724,80,4
4R60H3uF7QJsi3uyqAzRdU,"Rain Shadow","Singing Sands","Los Days,Tommy Guerrero,Josh Lippi",2020-05-22,179781,23,seankmchenry,2024-02-20T15:51:35Z,"","Too Good",0.321,0.0734,9,-20.416,0,0.0375,0.879,0.905,0.104,0.348,174.23,3
15zz4HVwO2tCFNhbT9knGL,"Singing Sands","Singing Sands","Los Days,Tommy Guerrero,Josh Lippi",2020-05-22,196041,31,seankmchenry,2024-02-20T15:51:35Z,"","Too Good",0.556,0.199,9,-15.026,0,0.0459,0.96,0.892,0.108,0.534,173.888,3
6V9QrMHWNbJiIUa7NXn0P3,"Intro","Feeling Good Is Good Enough","Five and Tens",2017-09-27,267666,6,seankmchenry,2024-02-20T16:03:06Z,"","Vidal Recordings",0.586,0.518,10,-7.776,0,0.072,0.134,0.00306,0.174,0.694,77.134,4
6GOMnkq9XxQJsSDMT7GgVW,"Feeling Good Is Good Enough","Feeling Good Is Good Enough","Five and Tens",2017-09-27,374920,15,seankmchenry,2024-02-20T16:03:06Z,"","Vidal Recordings",0.615,0.417,1,-9.911,1,0.0384,0.36,0.143,0.0927,0.669,82.594,4
6IkX1Ler8cOQmWe0gd3yRF,"Cruiser","Feeling Good Is Good Enough","Five and Tens",2017-09-27,195893,21,seankmchenry,2024-02-20T16:03:06Z,"","Vidal Recordings",0.678,0.607,9,-7.986,1,0.0284,0.403,0.745,0.136,0.815,103.071,4
3EvbSWSVcBDUEnbQwim8VR,"The Story of Hattori Hanzo","Feeling Good Is Good Enough","Five and Tens",2017-09-27,144440,41,seankmchenry,2024-02-20T16:03:06Z,"","Vidal Recordings",0.555,0.357,11,-10.169,0,0.0326,0.26,0.542,0.259,0.679,170.619,4
50cpZzIW9BCm3H1l2sYvvn,"Thai Freakout","Feeling Good Is Good Enough","Five and Tens",2017-09-27,223294,17,seankmchenry,2024-02-20T16:03:06Z,"","Vidal Recordings",0.61,0.576,9,-9.454,1,0.033,0.304,0.947,0.361,0.808,139.562,4
3fUMayyfDL4lasK4ivjSNS,"Kick in the Rings","Feeling Good Is Good Enough","Five and Tens",2017-09-27,271213,6,seankmchenry,2024-02-20T16:03:06Z,"","Vidal Recordings",0.555,0.536,6,-11.862,0,0.0306,0.0161,0.837,0.353,0.746,95.816,4
3uvwgImIdE6UJKXH74KK8u,"Fahima","Feeling Good Is Good Enough","Five and Tens",2017-09-27,259013,15,seankmchenry,2024-02-20T16:03:06Z,"","Vidal Recordings",0.76,0.409,1,-12.383,1,0.0474,0.381,0.843,0.0946,0.765,98.492,4
