Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5anfj73jNONHKXCRFBfqxN,"Claire's Dream","Rites Of Summer","Spyro Gyra",1988-01-01,344533,10,seankmchenry,2021-09-01T20:04:45Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz","GRP",0.502,0.303,5,-18.101,1,0.0327,0.762,0.0262,0.0924,0.344,90.449,4
6InYGMUvTog2SgkrSPzGi0,"Daddy's Got A New Girl Now","Rites Of Summer","Spyro Gyra",1988-01-01,246626,10,seankmchenry,2021-09-01T20:04:45Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz","GRP",0.506,0.574,10,-14.727,1,0.0332,0.135,0.848,0.0448,0.821,79.99,4
1Ynt5vxozXV3RnUPD9uNG0,"Limelight","Rites Of Summer","Spyro Gyra",1988-01-01,270933,19,seankmchenry,2021-09-01T20:04:45Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz","GRP",0.539,0.471,9,-16.185,1,0.0306,0.379,0.132,0.123,0.642,131.961,4
4bvhpIhmQYYSkj1B6p1kp5,"Shanghai Gumbo","Rites Of Summer","Spyro Gyra",1988-01-01,273200,8,seankmchenry,2021-09-01T20:04:45Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz","GRP",0.45,0.375,11,-16.451,1,0.0293,0.194,0.165,0.0609,0.664,97.789,4
1IuzjNtyNfhgmAtmrSw82w,"Innocent Soul","Rites Of Summer","Spyro Gyra",1988-01-01,297773,7,seankmchenry,2021-09-01T20:04:45Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz","GRP",0.181,0.0461,0,-23.821,1,0.033,0.81,0.665,0.0833,0.053,93.672,3
20TMXd2eOGZJnAANfjShYl,"No Man's Land","Rites Of Summer","Spyro Gyra",1988-01-01,342960,7,seankmchenry,2021-09-01T20:04:45Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz","GRP",0.484,0.526,8,-15.799,0,0.0404,0.206,0.509,0.0915,0.596,95.998,4
6RNeRRVGPWJnTG4kDBmxjR,"Yosemite","Rites Of Summer","Spyro Gyra",1988-01-01,324600,11,seankmchenry,2021-09-01T20:04:45Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz","GRP",0.356,0.366,0,-15.533,1,0.0376,0.632,0.527,0.342,0.432,81.189,4
6DEW6JiND3addirHPtTbYz,"The Archer","Rites Of Summer","Spyro Gyra",1988-01-01,304933,7,seankmchenry,2021-09-01T20:04:45Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz","GRP",0.496,0.611,1,-14.607,1,0.0439,0.0195,0.448,0.0988,0.635,129.482,4
3wj7r2XaWmlo1hUX6DWHHY,"Captain Karma","Rites Of Summer","Spyro Gyra",1988-01-01,343400,8,seankmchenry,2021-09-01T20:04:45Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz","GRP",0.526,0.583,0,-14,1,0.0403,0.455,0.729,0.323,0.593,104.102,3
03RHLun8Ni9yFjA7vNGOkY,"Morning Dance","Morning Dance","Spyro Gyra",1979-01-01,236466,0,seankmchenry,2021-09-01T20:04:32Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz","Amherst Records, Inc.",0.699,0.776,10,-7.283,0,0.0436,0.445,0.654,0.0978,0.839,101.692,4
