Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2io6NVUVmLnpl4K6shee4g,"Samba on Sama","Waiting Game","Junior Boys",2022-10-28,346253,0,seankmchenry,2023-04-02T01:19:56Z,"alternative dance,balearic,canadian electropop,chillwave,hamilton on indie,indietronica,neo-synthpop,new rave","City Slang",0.463,0.215,5,-18.325,0,0.0408,0.896,0.891,0.0629,0.244,109.665,4
0bZ6ptFwisnk2BPV0ENhAY,"Togetherness","Earthrising","Magic Source",2016-06-17,340054,2,seankmchenry,2023-04-04T15:45:44Z,"","Favorite",0.761,0.638,11,-7.152,0,0.0513,0.00257,0.73,0.0455,0.862,117.439,4
3W1gFtyROYN9xTPomW2Q0k,"Inch by Inch","Sunshine (Digitally Remastered)","Junior Byron",2015-12-18,381748,8,seankmchenry,2023-04-04T15:46:11Z,"","Essential Media Group",0.64,0.584,2,-12.618,0,0.0626,0.217,0.0391,0.137,0.889,123.964,4
10D4l2MpnKW3ASmKPCTta0,"From Time - Groove Version","Songs From Time - The Lost Demos","McKenzie & Gardiner",2013-10-14,356506,11,seankmchenry,2023-04-05T22:59:45Z,"boogie","Headstretch Records",0.916,0.337,9,-10.303,0,0.218,0.264,0.000493,0.153,0.776,107.71,4
6WOewgjnd1oYfunIxhsnz0,"Ruby Ruby Ruby","12","Bob James",1984-03-01,292800,11,seankmchenry,2023-04-13T19:28:56Z,"jazz funk,jazz piano,smooth jazz","evosound",0.627,0.737,10,-11.487,1,0.0547,0.148,0.457,0.0892,0.854,149.257,4
2vwUUUr7aZmZe5Mtpl7sho,"Shimmering Coast","By Nature EP","Rudy's Midnight Machine",2016-08-15,280396,18,seankmchenry,2023-04-13T19:28:56Z,"neapolitan funk","Faze Action Records",0.786,0.583,7,-8.183,0,0.048,0.00576,0.836,0.269,0.674,104.999,4
3XzOaBQ5ReR2WZx2zUHS2F,"Camera Dans La Nuit","La Cadenza","Rudy's Midnight Machine",2019-03-08,289900,8,seankmchenry,2023-04-13T19:28:56Z,"neapolitan funk","Faze Action Records",0.711,0.887,2,-6.979,0,0.0337,0.0251,0.739,0.161,0.573,108.004,4
143sH2crBs4fUQyRr8pjUm,"Go Insane","Go Insane","Lindsey Buckingham",1985,185333,38,seankmchenry,2023-04-13T20:01:25Z,"classic rock","Reprise",0.724,0.665,5,-12.048,0,0.0314,0.0309,0.0000236,0.181,0.942,111.362,4
2jGbeJyGWvRhM7krDRseHL,"Looking For A Lover","Virtual Love","Adam Chini",2017-11-13,279900,3,seankmchenry,2023-04-13T20:26:16Z,"boogie","Star Creature Universal Vibrations",0.852,0.512,6,-5.795,1,0.0326,0.222,0.00258,0.0637,0.877,117.94,4
1D9S5t3jUlHBc9WWs3ssGk,"Ain't No Home","Drowsy","Banes World",2016-06-04,173823,29,seankmchenry,2023-04-14T15:16:47Z,"bedroom pop","Bane's World",0.562,0.184,4,-19.953,0,0.0293,0.791,0.0214,0.218,0.429,100.009,4
3cRvGwK3IBTULAsl4pWpso,"Fo Porter","Deja Vu, Vol. 2","Wolf + Lamb,Voices Of Black",2017-11-30,349387,0,seankmchenry,2023-04-16T14:52:54Z,"","Wolf + Lamb Records",0.834,0.476,5,-6.289,0,0.0374,0.0599,0.0109,0.0574,0.728,115.989,4
0LZWtVrA3xC3YkRP9BkIX2,"Hotspot (She My Wifi)","Corporate Interiors","Body-San",2015-05-05,371280,3,seankmchenry,2023-04-20T14:59:07Z,"lo-fi house","100% Silk",0.747,0.883,1,-7.702,1,0.0727,0.0675,0.943,0.0652,0.655,113.954,4
5BwLfOKgoxNFEtLSHNfpSw,"reasons","refresh","Channel Tres",2022-03-02,332853,13,seankmchenry,2023-04-23T18:24:10Z,"escape room,indie soul,la pop","Art For Their Good",0.84,0.675,1,-7.738,0,0.0748,0.0574,0.89,0.108,0.181,116.017,4
0qeKzbUsW0V4ZWRJrHNiD3,"Bad Boys (Theme from COPS)","Blazzin' Fire","Inner Circle",2010-12-14,229374,4,seankmchenry,2023-05-22T03:33:42Z,"reggae,reggae fusion","DubShot Records/Sound Bwoy Entertainment",0.781,0.722,7,-8.376,1,0.0667,0.236,0.000398,0.077,0.533,87.858,4
7Knf7pGCWQg4OG6hrlORFj,"Future!","The Future","Halo Varga",2000-01-01,585493,10,seankmchenry,2023-05-25T16:21:24Z,"","Hooj Choons",0.814,0.949,8,-4.361,0,0.0689,0.0707,0.765,0.517,0.224,127.021,4
0PbAPjogN6nY79Lpn5jZj6,"Alpha Return","Supernature","Medicine Drum",1997-04-14,297880,0,seankmchenry,2023-05-25T18:46:25Z,"ambient trance","memo604",0.689,0.796,5,-13.284,0,0.0386,0.11,0.872,0.273,0.655,131.473,4
3xS4ABNFMkOqTUmlgnr5Z0,"Hemis Gompa","Cham Dance","Kurc,Chausi",2023-04-07,327186,0,seankmchenry,2023-05-25T18:48:06Z,"","Gop Tun Records",0.715,0.809,10,-9.679,0,0.0569,0.0661,0.777,0.064,0.38,126.995,4
6PuAYmmcj4ldzUNEYRWF8B,"Islands","Space World","Conrad Wedde",2014-03-21,272341,0,seankmchenry,2023-05-25T18:50:11Z,"","Conrad Wedde",0.663,0.373,9,-14.298,1,0.0434,0.334,0.499,0.0888,0.823,139.993,4
6VE9G8pJgrdZQTuu9ElNgn,"Nostalgia","Brilliant Trees (Remastered 2003)","David Sylvian",1984-07-07,342386,29,seankmchenry,2023-05-25T19:00:26Z,"ambient pop,art pop,art rock,experimental rock,fourth world,melancholia,solo wave,sophisti-pop","UMC (Universal Music Catalogue)",0.404,0.387,7,-11.562,1,0.0811,0.888,0.564,0.101,0.174,168.701,4
0Hxqin6Aq1lnnjRRXML8T1,"So Wrong","Arcade","Patrick Simmons",1983,200413,14,seankmchenry,2023-05-25T19:26:41Z,"deep soft rock,yacht rock","Rhino/Elektra",0.671,0.902,4,-7.085,0,0.0717,0.177,0.0000465,0.0482,0.889,117.133,4
5GBWZBtlTU8pzstZJP0fzX,"Double Meaning","Double Meaning","Michael David,Sam Wilkes",2023-05-03,307419,5,seankmchenry,2023-05-27T03:55:08Z,"experimental ambient","Cascine",0.704,0.61,0,-7.036,1,0.0232,0.562,0.897,0.182,0.67,104.184,4
42Fyn8TPnrX47SAYVUl3Ik,"Secrets Of The Nile","Bang The Drums","Push Pull",2014-10-13,414628,0,seankmchenry,2023-06-04T01:45:15Z,"","Rush Hour",0.735,0.811,7,-9.311,1,0.0433,0.0128,0.768,0.0653,0.238,117.017,4
