Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2BstRQGodshjGpeDGQiNgo,"6P7H3ai06vU1sGvdpBwDmE","Do It Again","Can't Buy A Thrill","Steely Dan",1972-01-01,356733,69,spotify:user:seankmchenry,2022-08-08T19:04:18Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.682,0.537,2,-10.254,0,0.0323,0.218,0.0000307,0.0556,0.963,124.574,4
0s1aSsYlLIEiy16LjFWbdp,"6P7H3ai06vU1sGvdpBwDmE","Dirty Work","Can't Buy A Thrill","Steely Dan",1972-01-01,187400,69,spotify:user:seankmchenry,2022-08-08T19:04:18Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.631,0.354,1,-11.112,1,0.0313,0.795,0.000107,0.0879,0.522,73.007,4
6V4vufRraefNq5DYDjICRS,"6P7H3ai06vU1sGvdpBwDmE","Kings","Can't Buy A Thrill","Steely Dan",1972-01-01,225973,50,spotify:user:seankmchenry,2022-08-08T19:04:18Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.614,0.63,9,-10.497,0,0.0475,0.481,0.0000227,0.138,0.666,75.742,4
3Hp7HkYTFxzMrTJdPXQJI6,"6P7H3ai06vU1sGvdpBwDmE","Midnite Cruiser","Can't Buy A Thrill","Steely Dan",1972-01-01,246600,51,spotify:user:seankmchenry,2022-08-08T19:04:18Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.641,0.643,1,-10.273,1,0.0284,0.277,0,0.0449,0.72,99.188,4
6eT2fNwiVD04D3R4uP5qOv,"6P7H3ai06vU1sGvdpBwDmE","Only A Fool Would Say That","Can't Buy A Thrill","Steely Dan",1972-01-01,176266,61,spotify:user:seankmchenry,2022-08-08T19:04:18Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.803,0.531,0,-11.967,1,0.0348,0.712,0,0.197,0.965,130.05,4
1I7zHEdDx8Ny5RxzYPqsU2,"6P7H3ai06vU1sGvdpBwDmE","Reelin' In The Years","Can't Buy A Thrill","Steely Dan",1972-01-01,275466,72,spotify:user:seankmchenry,2022-08-08T19:04:18Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.523,0.758,2,-9.81,1,0.0403,0.133,0,0.0952,0.766,135.437,4
4usVYcPlxRgRet6YashdCJ,"6P7H3ai06vU1sGvdpBwDmE","Fire In The Hole","Can't Buy A Thrill","Steely Dan",1972-01-01,206226,52,spotify:user:seankmchenry,2022-08-08T19:04:18Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.619,0.438,3,-13.139,1,0.0359,0.528,0.000869,0.0623,0.541,73.122,4
5w6AGoRTmtlLK89lhrupBR,"6P7H3ai06vU1sGvdpBwDmE","Brooklyn (Owes The Charmer Under Me)","Can't Buy A Thrill","Steely Dan",1972-01-01,259333,45,spotify:user:seankmchenry,2022-08-08T19:04:18Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.633,0.475,5,-11.447,1,0.0238,0.534,0.0000679,0.159,0.643,105.442,4
4nXetPzsp0cG4HAgBW7dXW,"6P7H3ai06vU1sGvdpBwDmE","Change Of The Guard","Can't Buy A Thrill","Steely Dan",1972-01-01,218466,44,spotify:user:seankmchenry,2022-08-08T19:04:18Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.705,0.667,1,-10.566,1,0.028,0.222,0.000126,0.0654,0.746,118.606,4
0Ka6cMllwgn7TwUyT0La0R,"6P7H3ai06vU1sGvdpBwDmE","Turn That Heartbeat Over Again","Can't Buy A Thrill","Steely Dan",1972-01-01,298493,42,spotify:user:seankmchenry,2022-08-08T19:04:18Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.632,0.488,1,-11.768,1,0.0419,0.242,0.000245,0.057,0.621,116.534,4
