Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4G583ulT4McBeLG1x53j1p,"0y0cl3t1UlQf0730g7Zjkl","As","Scenes","Rhucle",2020-12-01,258000,2,spotify:user:seankmchenry,2022-06-01T17:10:49Z,"dreampunk,drift,fourth world,j-ambient",0.126,0.0653,3,-23.53,1,0.0401,0.993,0.912,0.0759,0.0334,97.08,3
1epMV4jmUe9Tfq9KQVFPlP,"0y0cl3t1UlQf0730g7Zjkl","Chiffon","Scenes","Rhucle",2020-12-01,253000,2,spotify:user:seankmchenry,2022-06-01T17:10:49Z,"dreampunk,drift,fourth world,j-ambient",0.135,0.0256,9,-27.019,1,0.0408,0.972,0.721,0.0807,0.0397,80.74,4
42txXPPDnKbZoz1cuZniZs,"0y0cl3t1UlQf0730g7Zjkl","Future River","Scenes","Rhucle",2020-12-01,221000,3,spotify:user:seankmchenry,2022-06-01T17:10:49Z,"dreampunk,drift,fourth world,j-ambient",0.155,0.0637,4,-24.803,1,0.0375,0.992,0.99,0.0612,0.0383,80.773,4
4xv1qOSmJrawnJbfg4Rhpz,"0y0cl3t1UlQf0730g7Zjkl","Popol","Scenes","Rhucle",2020-12-01,274000,23,spotify:user:seankmchenry,2022-06-01T17:10:49Z,"dreampunk,drift,fourth world,j-ambient",0.122,0.0465,5,-25.568,1,0.0439,0.991,0.963,0.104,0.0332,67.941,4
1QTwH9bvvO6FLy1BpCKKBl,"0y0cl3t1UlQf0730g7Zjkl","Basic","Scenes","Rhucle",2020-12-01,212000,2,spotify:user:seankmchenry,2022-06-01T17:10:49Z,"dreampunk,drift,fourth world,j-ambient",0.201,0.0926,5,-24.643,0,0.0472,0.994,0.592,0.0616,0.0399,115.124,4
1lWFaUopOwrDQUptSZudw7,"0y0cl3t1UlQf0730g7Zjkl","In The Wind","Scenes","Rhucle",2020-12-01,253000,2,spotify:user:seankmchenry,2022-06-01T17:10:49Z,"dreampunk,drift,fourth world,j-ambient",0.0647,0.0319,5,-25.871,1,0.0427,0.99,0.922,0.0468,0.031,72.891,4
1bniaGke5Hge9PPd0KorMb,"0y0cl3t1UlQf0730g7Zjkl","Sott","Scenes","Rhucle",2020-12-01,235000,1,spotify:user:seankmchenry,2022-06-01T17:10:49Z,"dreampunk,drift,fourth world,j-ambient",0.122,0.0446,5,-25.036,1,0.0368,0.995,0.743,0.0868,0.0923,63.206,3
1RRnSUt0CW6XW9DAxnFr8E,"0y0cl3t1UlQf0730g7Zjkl","Scape","Scenes","Rhucle",2020-12-01,294000,24,spotify:user:seankmchenry,2022-06-01T17:10:49Z,"dreampunk,drift,fourth world,j-ambient",0.0833,0.0284,10,-26.583,0,0.0412,0.996,0.991,0.08,0.0507,78.218,4
5rLnpDrvlcUJ5FtnKRDlBk,"7qYpCU93Ep6tVZTOJyg8bT","I Love You","More Than Just A Dream","Sachi Kobayashi",2020-12-18,333000,6,spotify:user:seankmchenry,2022-06-01T17:11:38Z,"drift",0.0794,0.126,1,-22.64,0,0.0429,0.932,0.978,0.0921,0.0387,173.477,3
09WkvqlMCRZfCYGf8cM60l,"7qYpCU93Ep6tVZTOJyg8bT","Nostalgia","More Than Just A Dream","Sachi Kobayashi",2020-12-18,340000,25,spotify:user:seankmchenry,2022-06-01T17:11:38Z,"drift",0.165,0.0343,9,-28.031,0,0.0519,0.982,0.92,0.0695,0.0367,71.679,4
