Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6Euq9b3bwdvMp4W8TQIQGw,"Rosemary Hemphill","Friendship EP","Surprise Chef",2023-06-02,311282,24,seankmchenry,2023-09-08T17:06:01Z,"","Big Crown Records",0.404,0.633,0,-9.164,1,0.105,0.0139,0.103,0.111,0.0591,83.439,4
2lXUiUE3GHldPfFPK6LGaN,"Friendship Theme","Friendship EP","Surprise Chef",2023-06-02,191264,32,seankmchenry,2023-09-08T17:06:01Z,"","Big Crown Records",0.691,0.905,11,-6.949,0,0.0535,0.0107,0.557,0.0578,0.862,169.173,4
5asQpx4UqHbWOYBNP375Qv,"Over The Moon","Friendship EP","Surprise Chef",2023-06-02,212113,29,seankmchenry,2023-09-08T17:06:01Z,"","Big Crown Records",0.667,0.492,5,-11.082,0,0.21,0.0682,0.889,0.0966,0.187,167.722,3
0vZ1sR0gTUJwx5ugsgSG4Z,"Talent Stick","Friendship EP","Surprise Chef",2023-06-02,240352,23,seankmchenry,2023-09-08T17:06:01Z,"","Big Crown Records",0.635,0.754,2,-8.717,1,0.0835,0.00937,0.838,0.107,0.117,123.574,5
1geU3dUBoTtkCoCJmU2L5D,"Pash Rash","Friendship EP","Surprise Chef",2023-06-02,368232,23,seankmchenry,2023-09-08T17:06:01Z,"","Big Crown Records",0.454,0.63,5,-5.664,0,0.0828,0.0368,0.102,0.0983,0.6,94.371,4
2VvUwV9PDrli8uapBKPQOv,"Spiky Boi","Friendship EP","Surprise Chef",2023-06-02,119510,43,seankmchenry,2023-09-08T17:06:01Z,"","Big Crown Records",0.671,0.862,4,-5.606,0,0.102,0.000119,0.836,0.0945,0.538,94.741,4
6xNouwojGWhHlweVGfAI9H,"All News Is Good News","All News Is Good News","Surprise Chef",2020-07-10,261395,45,seankmchenry,2023-09-08T17:05:58Z,"","Mr Bongo",0.609,0.53,0,-12.725,0,0.0564,0.384,0.499,0.115,0.398,88.32,4
1HMMMMFu41MjLgglWp4kwN,"Herbie Hemphill","All News Is Good News","Surprise Chef",2020-07-10,245788,33,seankmchenry,2023-09-08T17:05:58Z,"","Mr Bongo",0.811,0.607,10,-9.185,0,0.116,0.0361,0.793,0.0932,0.155,89.299,4
1WxMZMZtW19ihGdfdE9YX5,"Blyth Street Nocturne","All News Is Good News","Surprise Chef",2020-07-10,293799,35,seankmchenry,2023-09-08T17:05:58Z,"","Mr Bongo",0.678,0.631,2,-11.635,1,0.115,0.001,0.861,0.0585,0.878,168.62,4
6HamqpndailP6wZUFRABhL,"Have You Fed Baby Huey Today","All News Is Good News","Surprise Chef",2020-07-10,261646,40,seankmchenry,2023-09-08T17:05:58Z,"","Mr Bongo",0.73,0.406,7,-11.026,1,0.117,0.378,0.329,0.135,0.51,91.325,4
06PpkLUklPAAMzywkBr3TM,"Yung Boi Suite","All News Is Good News","Surprise Chef",2020-07-10,300294,26,seankmchenry,2023-09-08T17:05:58Z,"","Mr Bongo",0.616,0.439,9,-9.658,0,0.0444,0.428,0.421,0.112,0.374,88.549,4
33iMJKVzhZQTieO3HrSdKr,"Crayfish Caper","All News Is Good News","Surprise Chef",2020-07-10,409034,27,seankmchenry,2023-09-08T17:05:58Z,"","Mr Bongo",0.587,0.523,6,-10.615,0,0.0503,0.188,0.0125,0.103,0.62,80.772,4
2CoqzZtXmVaX5shLQODjNo,"Flip Shelton","All News Is Good News","Surprise Chef",2020-07-10,395621,22,seankmchenry,2023-09-08T17:05:58Z,"","Mr Bongo",0.611,0.405,0,-10.809,1,0.374,0.258,0.163,0.0707,0.356,171.205,4
0Ed3Md9WesYA0qTvcyo50A,"Drinking from the Cup of Bob Knob","All News Is Good News","Surprise Chef",2020-07-10,239131,48,seankmchenry,2023-09-08T17:05:58Z,"","Mr Bongo",0.605,0.337,2,-10.593,0,0.0368,0.212,0.774,0.107,0.365,128.687,4
217WOiP9fPCK8Uq72g4wHh,"Mario's Lament","All News Is Good News","Surprise Chef",2020-07-10,115114,34,seankmchenry,2023-09-08T17:05:58Z,"","Mr Bongo",0.845,0.231,7,-13.146,0,0.342,0.045,0.889,0.0894,0.479,165.104,3
7JZe6rKmCeLA1yTGxK9S5h,"College Welcome","Daylight Savings","Surprise Chef",2020-10-16,168122,30,seankmchenry,2023-09-08T17:05:59Z,"","Mr Bongo",0.543,0.615,0,-15.821,0,0.214,0.935,0.778,0.611,0.505,75.73,4
0t8pcT1qqsW1J9crcsp4Nw,"Deadlines","Daylight Savings","Surprise Chef",2020-10-16,270085,25,seankmchenry,2023-09-08T17:05:59Z,"","Mr Bongo",0.381,0.862,0,-5.297,1,0.0685,0.0337,0.227,0.192,0.413,169.802,4
3hEYoFSqyac1ogo6rJuR2f,"New Ferrari","Daylight Savings","Surprise Chef",2020-10-16,258582,30,seankmchenry,2023-09-08T17:05:59Z,"","Mr Bongo",0.604,0.899,4,-7.267,0,0.0532,0.00418,0.926,0.0856,0.691,98.365,4
3LpbXmsqCZ0D5QvAwJdlAB,"Washing Day","Daylight Savings","Surprise Chef",2020-10-16,268595,17,seankmchenry,2023-09-08T17:05:59Z,"","Mr Bongo",0.454,0.568,7,-7.084,0,0.106,0.0228,0.3,0.313,0.154,178.762,4
0wniuj75Q1cFWXGGdYvXqV,"College Welcomes Carl","Daylight Savings","Surprise Chef",2020-10-16,280433,16,seankmchenry,2023-09-08T17:05:59Z,"","Mr Bongo",0.618,0.76,7,-6.591,0,0.0404,0.27,0.907,0.0509,0.629,89.88,4
1XmMB4MWSwSr7zUOtPTIR3,"Sick Day","Daylight Savings","Surprise Chef",2020-10-16,201604,18,seankmchenry,2023-09-08T17:05:59Z,"","Mr Bongo",0.694,0.406,2,-9.13,1,0.335,0.0112,0.16,0.136,0.403,76.278,4
7erCOeMxaHEjUtqMNMWRgi,"Daylight Savings","Daylight Savings","Surprise Chef",2020-10-16,192343,24,seankmchenry,2023-09-08T17:05:59Z,"","Mr Bongo",0.691,0.757,9,-7.973,0,0.0507,0.00181,0.00867,0.202,0.729,96.149,4
4MsbjBEdh7h0duFHLQMqL8,"Dinner Time","Daylight Savings","Surprise Chef",2020-10-16,208489,39,seankmchenry,2023-09-08T17:05:59Z,"","Mr Bongo",0.734,0.771,5,-8.273,0,0.0618,0.0197,0.648,0.0579,0.541,89.868,4
54wdCchC6OioGQwFYDYHpD,"Leave It, Don't Take It","Daylight Savings","Surprise Chef",2020-10-16,272614,15,seankmchenry,2023-09-08T17:05:59Z,"","Mr Bongo",0.476,0.781,3,-9.496,1,0.0533,0.319,0.258,0.18,0.672,147.223,4
1vJgz9Ir2paFHrVR47epKO,"The Limp","Daylight Savings","Surprise Chef",2020-10-16,221564,22,seankmchenry,2023-09-08T17:05:59Z,"","Mr Bongo",0.56,0.348,0,-10.135,0,0.245,0.663,0.883,0.139,0.115,141.257,4
16qVOWyR3r6rsZ4SWP1fC3,"A1 Bakery Pledge of Allegiance","Education & Recreation","Surprise Chef",2022-10-14,199217,29,seankmchenry,2023-09-08T17:05:56Z,"","Big Crown Records",0.534,0.683,2,-7.198,1,0.0706,0.0184,0.809,0.113,0.509,176.441,4
48Yhxre7SE1R6j5OIshE2h,"Grinners Circle","Education & Recreation","Surprise Chef",2022-10-14,202717,24,seankmchenry,2023-09-08T17:05:56Z,"","Big Crown Records",0.887,0.29,5,-8.687,0,0.0695,0.0541,0.896,0.108,0.294,127.154,4
3V0z9r3PyuzmHuekdc8Y03,"Velodrome","Education & Recreation","Surprise Chef",2022-10-14,193504,23,seankmchenry,2023-09-08T17:05:56Z,"","Big Crown Records",0.683,0.697,5,-7.063,0,0.116,0.0265,0.0105,0.819,0.825,162.471,4
6xgskwtbWpagoXEIeAHHK3,"Suburban Breeze","Education & Recreation","Surprise Chef",2022-10-14,127545,31,seankmchenry,2023-09-08T17:05:56Z,"","Big Crown Records",0.545,0.503,9,-8.929,0,0.103,0.00208,0.678,0.144,0.181,77.852,4
1IkiJCsgMG47dHjN8kmnsN,"Conversation Piece","Education & Recreation","Surprise Chef",2022-10-14,281399,19,seankmchenry,2023-09-08T17:05:56Z,"","Big Crown Records",0.594,0.636,0,-7.242,0,0.0584,0.00783,0.499,0.0629,0.331,103.473,4
2dRShVpRxGWdFt1icMTYSK,"Iconoclasts","Education & Recreation","Surprise Chef",2022-10-14,218233,28,seankmchenry,2023-09-08T17:05:56Z,"","Big Crown Records",0.634,0.461,9,-11.495,0,0.0871,0.475,0.903,0.098,0.046,81.029,4
5aJaL72YTZmsfEK1xWexyw,"Money Music","Education & Recreation","Surprise Chef",2022-10-14,169319,31,seankmchenry,2023-09-08T17:05:56Z,"","Big Crown Records",0.531,0.551,2,-7.993,1,0.0941,0.103,0.881,0.0705,0.275,88.587,4
6cF8Z623V1z9sovxUEdWYW,"Spring's Theme","Education & Recreation","Surprise Chef",2022-10-14,229623,22,seankmchenry,2023-09-08T17:05:56Z,"","Big Crown Records",0.798,0.474,3,-8.094,0,0.055,0.0722,0.78,0.137,0.408,96.055,4
4bwS3Oi7gycaB8UzyHsOPE,"Together Again","Education & Recreation","Surprise Chef",2022-10-14,226644,23,seankmchenry,2023-09-08T17:05:56Z,"","Big Crown Records",0.607,0.721,2,-6.181,1,0.0722,0.00951,0.785,0.0623,0.414,90.721,4
4ShaogVxiEHyyHeIFWsxiH,"Winter’s Theme","Education & Recreation","Surprise Chef",2022-10-14,226599,20,seankmchenry,2023-09-08T17:05:56Z,"","Big Crown Records",0.626,0.919,2,-5.682,0,0.0362,0.000912,0.91,0.0884,0.647,90.2,4
32n9QcFwjNl6LBFPNj9qEI,"Ten & Two","Education & Recreation","Surprise Chef",2022-10-14,235296,16,seankmchenry,2023-09-08T17:05:56Z,"","Big Crown Records",0.628,0.717,5,-8.552,1,0.233,0.32,0.847,0.0791,0.123,160.194,4
5AaSY8NlwaXk0GnwNeS9Ub,"Goldie’s Lullaby","Education & Recreation","Surprise Chef",2022-10-14,167210,16,seankmchenry,2023-09-08T17:05:56Z,"","Big Crown Records",0.479,0.339,2,-11.78,0,0.0876,0.732,0.787,0.174,0.0607,133.225,3
