Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6Jb7L7FDSeUBYNI6vftDSo,"5mfMhhHDACKNJbXdrsbrm2","Look (Every Day)","Nickel Queen (Original Motion Pictuire Soundtrack)","Sven Libaek",2016,222506,2,spotify:user:seankmchenry,2022-10-21T17:31:05Z,"exotica,library music,lounge,moog,spytrack",0.271,0.337,5,-17.622,1,0.0539,0.345,0.00000139,0.13,0.0858,152.864,4
2oWgnKgGz4ZDPcqxgKlG1n,"5mfMhhHDACKNJbXdrsbrm2","Take Without Giving","Nickel Queen (Original Motion Pictuire Soundtrack)","Sven Libaek",2016,254373,1,spotify:user:seankmchenry,2022-10-21T17:31:05Z,"exotica,library music,lounge,moog,spytrack",0.698,0.175,5,-19.332,1,0.0294,0.465,0.848,0.125,0.444,102.036,4
7wKfVrW12HCjnC3eOfdlQ6,"5mfMhhHDACKNJbXdrsbrm2","Jenny Blake","Nickel Queen (Original Motion Pictuire Soundtrack)","Sven Libaek",2016,174986,1,spotify:user:seankmchenry,2022-10-21T17:31:05Z,"exotica,library music,lounge,moog,spytrack",0.368,0.217,7,-22.377,1,0.134,0.576,0.0755,0.179,0.522,135.704,4
3BZPDc0cj46CYvucaXAHyf,"5mfMhhHDACKNJbXdrsbrm2","Go Anywhere","Nickel Queen (Original Motion Pictuire Soundtrack)","Sven Libaek",2016,61466,1,spotify:user:seankmchenry,2022-10-21T17:31:05Z,"exotica,library music,lounge,moog,spytrack",0.502,0.534,5,-16.464,1,0.0411,0.256,0.0000167,0.0815,0.786,98.342,4
55D7CUVebpSP6iRXsfttL1,"5mfMhhHDACKNJbXdrsbrm2","News From The Exchange","Nickel Queen (Original Motion Pictuire Soundtrack)","Sven Libaek",2016,80600,2,spotify:user:seankmchenry,2022-10-21T17:31:05Z,"exotica,library music,lounge,moog,spytrack",0.647,0.309,10,-20.51,1,0.0456,0.44,0.852,0.304,0.609,113.987,4
4hUPos2GbFX4fb7d00ap0T,"5mfMhhHDACKNJbXdrsbrm2","Park Scene","Nickel Queen (Original Motion Pictuire Soundtrack)","Sven Libaek",2016,162000,8,spotify:user:seankmchenry,2022-10-21T17:31:05Z,"exotica,library music,lounge,moog,spytrack",0.542,0.19,5,-22.482,1,0.0312,0.227,0.0546,0.11,0.391,138.234,4
11l2IFh20zk57EkiKkyM3A,"5mfMhhHDACKNJbXdrsbrm2","Go Anywhere - Vocal","Nickel Queen (Original Motion Pictuire Soundtrack)","Sven Libaek",2016,195893,0,spotify:user:seankmchenry,2022-10-21T17:31:05Z,"exotica,library music,lounge,moog,spytrack",0.341,0.421,5,-16.782,1,0.032,0.0862,0,0.328,0.768,81.5,4
1MOSYnCAlZU4zbCIu38PLC,"5mfMhhHDACKNJbXdrsbrm2","Go Anywhere - Instrumental","Nickel Queen (Original Motion Pictuire Soundtrack)","Sven Libaek",2016,221240,0,spotify:user:seankmchenry,2022-10-21T17:31:05Z,"exotica,library music,lounge,moog,spytrack",0.583,0.252,5,-20.649,1,0.0315,0.248,0.779,0.299,0.556,142.967,4
7wBOHIGxl2natujF83MEMi,"5mfMhhHDACKNJbXdrsbrm2","Spinifex Hill","Nickel Queen (Original Motion Pictuire Soundtrack)","Sven Libaek",2016,138293,1,spotify:user:seankmchenry,2022-10-21T17:31:05Z,"exotica,library music,lounge,moog,spytrack",0.256,0.187,1,-19.596,1,0.0377,0.457,0.0608,0.0805,0.122,159.69,4
2CwuyyOMx8jZ0ytzjMo5Jq,"5mfMhhHDACKNJbXdrsbrm2","Meg's Shopping Spree","Nickel Queen (Original Motion Pictuire Soundtrack)","Sven Libaek",2016,99866,4,spotify:user:seankmchenry,2022-10-21T17:31:05Z,"exotica,library music,lounge,moog,spytrack",0.479,0.389,5,-20.331,1,0.034,0.0791,0.485,0.31,0.802,169.889,4
