Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3r0Rhl5Zdo9YjACZNsaBvN,"1fvz0vd4P0LNMkAysF1ivk","Nite and Day","In Effect Mode","Al B. Sure!",1988-04-26,238013,57,spotify:user:seankmchenry,2020-02-18T14:36:03Z,"contemporary r&b,funk,new jack swing,post-disco,quiet storm,r&b,urban contemporary",0.655,0.477,1,-9.616,0,0.0421,0.029,0.000221,0.0518,0.642,92.097,4
6LRAGgnBMPkhYDWn3s24yR,"047D9GgqEzyMoULd2oKr7G","What's Missing","Alexander O'Neal","Alexander O'Neal",1985-01-01,343240,36,spotify:user:seankmchenry,2020-02-18T14:36:03Z,"contemporary r&b,disco,funk,minneapolis sound,post-disco,quiet storm,soul,urban contemporary",0.765,0.765,11,-8.261,0,0.0358,0.0194,0,0.1,0.932,110.973,4
1E6hApWpDDGD3v337PDwob,"3WNUkxJcJeliFx9KXWXMgs","Heaven","Heaven","Bebe & Cece Winans",1988-01-01,283283,39,spotify:user:seankmchenry,2020-02-18T14:36:03Z,"gospel,quiet storm",0.65,0.692,8,-12.472,1,0.0508,0.294,0.0181,0.0338,0.962,109.437,4
0qHdKIXSB75MNYas4tYScV,"5IDs1CK15HegSAhGEbSYXo","Stay the Night - 12 Version","Nights (Feel Like Getting Down) [Expanded Edition]","Billy Ocean",1981,387240,21,spotify:user:seankmchenry,2020-02-18T14:36:03Z,"disco,mellow gold,new romantic,new wave pop,soft rock,yacht rock",0.753,0.768,6,-6.606,0,0.0318,0.0397,0.163,0.0936,0.962,115.989,4
0s6e7ZafqOAUBDoQYGmxrc,"62sPt3fswraiEPnKQpAbdE","Every Little Step","Don't Be Cruel","Bobby Brown",1988-01-01,237240,63,spotify:user:seankmchenry,2020-02-18T14:36:03Z,"contemporary r&b,funk,hip hop,new jack swing,quiet storm,r&b,urban contemporary",0.797,0.656,1,-11.601,1,0.0404,0.00721,0,0.0377,0.948,99.828,4
3ojDU1HhKEfdExIN6QsK8q,"62sPt3fswraiEPnKQpAbdE","On Our Own","Ghostbusters II","Bobby Brown",1989-06-16,294413,49,spotify:user:seankmchenry,2020-02-18T14:36:03Z,"contemporary r&b,funk,hip hop,new jack swing,quiet storm,r&b,urban contemporary",0.659,0.899,2,-6.207,1,0.0423,0.0035,0,0.0629,0.562,101.802,4
4Xt62tjE20m3ATFv9zXrgi,"6mQfAAqZGBzIfrmlZCeaYT","Stronger Than Before","I Feel for You","Chaka Khan",1984,261333,30,spotify:user:seankmchenry,2020-02-18T14:36:03Z,"dance pop,disco,funk,neo soul,post-disco,quiet storm,soul,urban contemporary",0.596,0.553,7,-13.361,0,0.0639,0.178,0,0.302,0.583,81.346,4
7gh2v4IHnxdiwSgA6xluhe,"6mQfAAqZGBzIfrmlZCeaYT","Through the Fire","I Feel for You","Chaka Khan",1984,288653,62,spotify:user:seankmchenry,2020-02-18T14:36:03Z,"dance pop,disco,funk,neo soul,post-disco,quiet storm,soul,urban contemporary",0.563,0.593,8,-7.099,1,0.0322,0.192,0.0000185,0.145,0.428,130.744,4
5RtpKIYF87MRC1oug24UmV,"2fJ2vi4PUSxyvYaeq0FTbE","Mutual Attraction","The Best of Change","Change",2015-10-02,356507,0,spotify:user:seankmchenry,2020-02-18T14:36:03Z,"disco,funk,minneapolis sound,post-disco,quiet storm",0.748,0.7,1,-5.655,1,0.0387,0.304,0.0161,0.083,0.776,104.455,4
07bN8cB9mNxEc8MXZTeIHz,"4kEAjV4pCBOkoowYYQydvO","Rumors","The Collection","Club Nouveau",1998-01-01,296533,50,spotify:user:seankmchenry,2020-02-18T14:36:03Z,"electro,freestyle,funk,quiet storm,urban contemporary",0.881,0.8,10,-5.248,0,0.0411,0.0234,0,0.0398,0.691,106.403,4
