Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4mraRJO2iZA5WQ5dxlSQx9,"0IwfuIL3gUJxjzUqY3wJ3j","Heather","Crosswinds","Billy Cobham",1974,520533,37,spotify:user:127907390,2017-12-06T22:31:41Z,"jazz drums,jazz funk,jazz fusion",0.351,0.0079,10,-27.866,0,0.0323,0.964,0.944,0.0949,0.041,132.805,4
2HMs8njIyjEoYRBlNEXcaE,"4qzIpmopZ2KVodpmw7uJKe","Morgana Da Capo","Correlations","Ashra",1979-01-01,330426,25,spotify:user:127907390,2017-12-06T22:30:14Z,"ambient,art rock,berlin school,experimental,fourth world,krautrock,space rock",0.452,0.559,2,-13.627,0,0.0366,0.00692,0.934,0.0921,0.465,103.348,4
2uhMCS6DIuXnHjaS0WciQm,"0WP1sO0RYZHeJyd8PLSRBp","Pendulum Force","Voyage (a journey into discoid funk)","Brian Bennett",2017-03-31,392626,0,spotify:user:127907390,2017-12-06T22:33:13Z,"library music,spytrack",0.889,0.606,0,-13.357,1,0.054,0.04,0.846,0.109,0.752,121.97,4
4W8IEREeLldaSQyGXcZQ2I,"4YHtIE7FI8ITfekzzN5Jpl","Strawberry Letter 23","Freedom Flight","Shuggie Otis",1971,239906,58,spotify:user:127907390,2017-12-06T22:34:01Z,"classic soul,funk,psychedelic soul,soul,southern soul",0.519,0.483,9,-12.795,0,0.0277,0.139,0.000218,0.365,0.772,171.028,4
4IJKerTtTzpETL915UDwUE,"6GI52t8N5F02MxU0g5U69P","Aqua Marine","Marathon","Santana",1979-09-01,335040,35,spotify:user:127907390,2017-12-06T22:35:58Z,"blues rock,classic rock,mexican classic rock",0.339,0.487,4,-18.24,0,0.047,0.0738,0.146,0.071,0.402,175.272,4
3T37jKtvQzNExmz3DuQNoz,"1LkRvd0mF7sh56nyibirHw","Don't You Know","Melodies","Jan Hammer Group",1977-10-17,180077,44,spotify:user:127907390,2017-12-06T22:29:01Z,"eastern bloc groove",0.656,0.792,2,-7.121,1,0.0478,0.0688,0.654,0.091,0.498,93.804,4
2evT1yI9A6W2rWtoyyAu12,"0WP1sO0RYZHeJyd8PLSRBp","Solstice","Voyage (a journey into discoid funk)","Brian Bennett",2017-03-31,382573,0,spotify:user:127907390,2017-12-06T22:32:40Z,"library music,spytrack",0.636,0.361,7,-17.511,1,0.0428,0.0253,0.0935,0.241,0.504,88.291,4
2iGKdbcNDN2ppf3OZ1UzxC,"1nIUhcKHnK6iyumRyoV68C","Dance On","Così come sei (Colonna sonora originale)","Ennio Morricone",1978,244879,22,spotify:user:127907390,2017-12-06T22:36:20Z,"classic soundtrack,italian soundtrack,orchestral soundtrack,vintage italian soundtrack",0.743,0.648,11,-11.056,0,0.0446,0.0109,0.637,0.0488,0.88,117.215,4
4cVGwZtSwk0yHCXbTQ70yW,"5lYcr7Yue9FUB7MJDBtTJx","Fênix","Fênix","Azymuth",2016-12-02,402168,17,spotify:user:127907390,2017-12-06T22:29:31Z,"brazilian boogie,indie jazz,jazz funk,psicodelia brasileira",0.73,0.663,6,-10.158,0,0.0478,0.0042,0.327,0.181,0.77,121.029,4
7nHD9ygrtxSSQh4jX6IYSZ,"47yvARr7dCOKqvjDVwfbf3","Flying Teapot","Best of Gong","Gong",2004-01-01,708400,7,spotify:user:127907390,2017-12-06T22:37:24Z,"art rock,canterbury scene,experimental,jazz fusion,progressive rock,psychedelic rock,rock progressif francais,space rock,symphonic rock,zolo",0.431,0.521,2,-12.849,1,0.0724,0.575,0.106,0.101,0.298,123.639,4
7i3ZnXJ0Ps3yS73fe9yvTb,"7fohRql3Gq4DU8YAPPdmhO","Getting Ready","Luke Vibert's Nuggets 3","Francis Monkman",2013-10-14,229106,12,spotify:user:127907390,2017-12-06T22:40:18Z,"spytrack",0.405,0.281,8,-13.627,1,0.0375,0.937,0.0161,0.118,0.23,172.355,4
7exxRyEDop0K9qZZo3DpEF,"1PqdKx88nAgPolRy079lMl","Rotation","Rise","Herb Alpert",1979,312600,31,spotify:user:127907390,2017-12-06T22:42:12Z,"jazz trumpet",0.805,0.572,10,-10.35,0,0.0667,0.19,0.876,0.0433,0.354,104.998,4
7FlwylpJSe3ea6m1IrkizS,"2ycnb8Er79LoH2AsR5ldjh","West End Girls - 2001 Remaster","Please: Further Listening 1984-1986","Pet Shop Boys",1986-03-24,245360,0,spotify:user:127907390,2017-12-07T00:45:54Z,"art pop,dance rock,europop,new romantic,new wave,new wave pop,permanent wave,synthpop",0.648,0.947,4,-6.617,0,0.0369,0.0114,0.0567,0.105,0.602,113.255,4
6sCGaHcRyj4Q8ZY81hoFVk,"5keeQyPKYRxUCKDMECTXG3","Big Spliff","The Dub Factor","Black Uhuru",1983,246360,0,spotify:user:127907390,2017-12-07T00:42:41Z,"dub,reggae,roots reggae,ska",0.817,0.493,4,-8.019,0,0.0846,0.0252,0.809,0.0649,0.409,94.989,4
74aRnm2TBoTVtWQn0EOXLW,"5jhqwsWfRaETrWPWI0Rc7u","Invaders of the Heart - Decadent Disco Mix","The Lago Years","Jah Wobble",2017-07-21,543753,0,spotify:user:127907390,2017-12-06T22:43:12Z,"uk dub",0.707,0.585,0,-8.519,1,0.038,0.0083,0.834,0.167,0.686,130.279,4
