Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6cwu5ASoTgQVNvUJ09iMnC,"4nlqDmbzFzbNITaqjJv7D7","Skin & Bones","Reading, Writing & Arithmetic","The Sundays",1990-01-01,257493,36,spotify:user:seankmchenry,2022-10-14T15:58:46Z,"alternative pop,alternative rock,dream pop,lilith,new wave pop,pop rock,shoegaze,singer-songwriter",0.516,0.444,5,-8.764,1,0.0364,0.582,0.0939,0.218,0.309,113.328,5
4SPi5Pl7aAtauFsH9Lk5LB,"4nlqDmbzFzbNITaqjJv7D7","Here's Where The Story Ends","Reading, Writing & Arithmetic","The Sundays",1990-01-01,234906,55,spotify:user:seankmchenry,2022-10-14T15:58:46Z,"alternative pop,alternative rock,dream pop,lilith,new wave pop,pop rock,shoegaze,singer-songwriter",0.62,0.593,7,-10.985,1,0.0281,0.294,0,0.0749,0.833,109.044,4
17fLX149EuVS0C5XfyQ6Md,"4nlqDmbzFzbNITaqjJv7D7","Can't Be Sure","Reading, Writing & Arithmetic","The Sundays",1990-01-01,202426,39,spotify:user:seankmchenry,2022-10-14T15:58:46Z,"alternative pop,alternative rock,dream pop,lilith,new wave pop,pop rock,shoegaze,singer-songwriter",0.396,0.443,2,-9.743,1,0.0358,0.735,0.00259,0.0706,0.356,127.568,4
0xfIytYdMN0rFViPcHDPos,"4nlqDmbzFzbNITaqjJv7D7","I Won","Reading, Writing & Arithmetic","The Sundays",1990-01-01,262893,32,spotify:user:seankmchenry,2022-10-14T15:58:46Z,"alternative pop,alternative rock,dream pop,lilith,new wave pop,pop rock,shoegaze,singer-songwriter",0.616,0.562,6,-10.434,0,0.0268,0.104,0.000655,0.0564,0.754,96.404,4
4x4JOsVUMBvGfhsQYm2lyK,"4nlqDmbzFzbNITaqjJv7D7","Hideous Towns","Reading, Writing & Arithmetic","The Sundays",1990-01-01,225706,43,spotify:user:seankmchenry,2022-10-14T15:58:46Z,"alternative pop,alternative rock,dream pop,lilith,new wave pop,pop rock,shoegaze,singer-songwriter",0.544,0.597,2,-8.709,1,0.0324,0.405,0.00518,0.0681,0.349,153.899,4
6PmbpHTKSmKP3FuMIbjttI,"4nlqDmbzFzbNITaqjJv7D7","You're Not The Only One I Know","Reading, Writing & Arithmetic","The Sundays",1990-01-01,230173,48,spotify:user:seankmchenry,2022-10-14T15:58:46Z,"alternative pop,alternative rock,dream pop,lilith,new wave pop,pop rock,shoegaze,singer-songwriter",0.568,0.468,0,-11.578,1,0.0264,0.512,0,0.337,0.614,97.952,4
4eRDMqA0hhIlLQtOa5elXK,"4nlqDmbzFzbNITaqjJv7D7","A Certain Someone","Reading, Writing & Arithmetic","The Sundays",1990-01-01,264866,36,spotify:user:seankmchenry,2022-10-14T15:58:46Z,"alternative pop,alternative rock,dream pop,lilith,new wave pop,pop rock,shoegaze,singer-songwriter",0.698,0.629,9,-9.302,0,0.0504,0.299,0.0185,0.146,0.877,122.269,4
7fzMLaxdvF0NFl6mjrn7ZF,"4nlqDmbzFzbNITaqjJv7D7","I Kicked A Boy","Reading, Writing & Arithmetic","The Sundays",1990-01-01,136733,43,spotify:user:seankmchenry,2022-10-14T15:58:46Z,"alternative pop,alternative rock,dream pop,lilith,new wave pop,pop rock,shoegaze,singer-songwriter",0.578,0.568,7,-10.898,1,0.0241,0.356,0.0000464,0.101,0.826,97.837,3
1SIIAPJl5n8xCYKk1nv4OL,"4nlqDmbzFzbNITaqjJv7D7","My Finest Hour","Reading, Writing & Arithmetic","The Sundays",1990-01-01,239706,41,spotify:user:seankmchenry,2022-10-14T15:58:46Z,"alternative pop,alternative rock,dream pop,lilith,new wave pop,pop rock,shoegaze,singer-songwriter",0.296,0.567,4,-8.849,1,0.032,0.524,0.0192,0.104,0.436,145.153,4
1LKnfyfxbdv6cHiR0RhKI0,"4nlqDmbzFzbNITaqjJv7D7","Joy","Reading, Writing & Arithmetic","The Sundays",1990-01-01,250466,31,spotify:user:seankmchenry,2022-10-14T15:58:46Z,"alternative pop,alternative rock,dream pop,lilith,new wave pop,pop rock,shoegaze,singer-songwriter",0.586,0.386,2,-11.505,1,0.0339,0.471,0.0945,0.0608,0.634,98.814,4
